"Date","CUURA210SA0E"
1978-02-01,50.1
1978-03-01,50.5
1978-04-01,49.7
1978-05-01,49.4
1978-06-01,50.6
1978-07-01,51.2
1978-08-01,51.4
1978-09-01,51.9
1978-10-01,51.9
1978-11-01,51.9
1978-12-01,52.2
1979-01-01,53
1979-02-01,54.3
1979-03-01,55.5
1979-04-01,57
1979-05-01,59.4
1979-06-01,62.8
1979-07-01,65.1
1979-08-01,67
1979-09-01,68.3
1979-10-01,69.9
1979-11-01,69.4
1979-12-01,72.6
1980-01-01,74.3
1980-02-01,75.5
1980-03-01,77.2
1980-04-01,77.8
1980-05-01,77.7
1980-06-01,81.4
1980-07-01,82.3
1980-08-01,84.2
1980-09-01,83.8
1980-10-01,83.5
1980-11-01,82.1
1980-12-01,82.2
1981-01-01,83.7
1981-02-01,87.8
1981-03-01,89
1981-04-01,89
1981-05-01,91.6
1981-06-01,91.9
1981-07-01,92.9
1981-08-01,93.3
1981-09-01,94.6
1981-10-01,94.4
1981-11-01,92.2
1981-12-01,93
1982-01-01,92.7
1982-02-01,92.4
1982-03-01,91.7
1982-04-01,90.2
1982-05-01,90.8
1982-06-01,99.1
1982-07-01,99.6
1982-08-01,99.2
1982-09-01,101.1
1982-10-01,101.2
1982-11-01,101.7
1982-12-01,100.7
1983-01-01,100.9
1983-02-01,98.9
1983-03-01,96.9
1983-04-01,100.3
1983-05-01,102.3
1983-06-01,107.3
1983-07-01,107.6
1983-08-01,106.5
1983-09-01,106.4
1983-10-01,105.7
1983-11-01,100.7
1983-12-01,100.2
1984-01-01,99.6
1984-02-01,97.4
1984-03-01,98.5
1984-04-01,98.9
1984-05-01,100.3
1984-06-01,104.4
1984-07-01,103.5
1984-08-01,102.1
1984-09-01,102.2
1984-10-01,102.4
1984-11-01,98.5
1984-12-01,98.1
1985-01-01,96.9
1985-02-01,95.6
1985-03-01,97.3
1985-04-01,99.8
1985-05-01,100.5
1985-06-01,105.4
1985-07-01,105.4
1985-08-01,105.3
1985-09-01,104.7
1985-10-01,100.2
1985-11-01,99.6
1985-12-01,99.3
1986-01-01,99.3
1986-02-01,95.7
1986-03-01,88.9
1986-04-01,86
1986-05-01,94.1
1986-06-01,94.6
1986-07-01,92
1986-08-01,89.1
1986-09-01,90.3
1986-10-01,84
1986-11-01,83.3
1986-12-01,84.6
1987-01-01,88.1
1987-02-01,88.1
1987-03-01,88.1
1987-04-01,89.1
1987-05-01,89
1987-06-01,95
1987-07-01,97
1987-08-01,97.7
1987-09-01,96.1
1987-10-01,90
1987-11-01,90.2
1987-12-01,89.8
1988-01-01,88.7
1988-02-01,87.6
1988-03-01,87.2
1988-04-01,88.8
1988-05-01,91.4
1988-06-01,96.5
1988-07-01,96.4
1988-08-01,99
1988-09-01,97.9
1988-10-01,91.1
1988-11-01,91.8
1988-12-01,90.8
1989-01-01,89.7
1989-02-01,93.4
1989-03-01,94.5
1989-04-01,102
1989-05-01,103.6
1989-06-01,107.5
1989-07-01,105.9
1989-08-01,105.4
1989-09-01,104
1989-10-01,100.1
1989-11-01,97.2
1989-12-01,96.1
1990-01-01,102.8
1990-02-01,101.8
1990-03-01,100.4
1990-04-01,100.7
1990-05-01,101.7
1990-06-01,109.5
1990-07-01,108.1
1990-08-01,113.6
1990-09-01,119.4
1990-10-01,118.6
1990-11-01,116.5
1990-12-01,114.1
1991-01-01,107.8
1991-02-01,106.5
1991-03-01,103.9
1991-04-01,104.4
1991-05-01,107.3
1991-06-01,115.7
1991-07-01,114.1
1991-08-01,114
1991-09-01,114.3
1991-10-01,105.7
1991-11-01,106.3
1991-12-01,105
1992-01-01,101.2
1992-02-01,100.3
1992-03-01,103.4
1992-04-01,103.5
1992-05-01,106.3
1992-06-01,113.7
1992-07-01,112.4
1992-08-01,111.1
1992-09-01,111.7
1992-10-01,105.2
1992-11-01,107.7
1992-12-01,107.1
1993-01-01,104.6
1993-02-01,105.3
1993-03-01,104
1993-04-01,106
1993-05-01,106.7
1993-06-01,113.9
1993-07-01,112.9
1993-08-01,111.7
1993-09-01,112.1
1993-10-01,109.7
1993-11-01,108.4
1993-12-01,107
1994-01-01,106.9
1994-02-01,107.5
1994-03-01,106.2
1994-04-01,108.1
1994-05-01,110
1994-06-01,115.3
1994-07-01,115.6
1994-08-01,119.4
1994-09-01,116.5
1994-10-01,109.8
1994-11-01,111.1
1994-12-01,108.4
1995-01-01,108.1
1995-02-01,107.1
1995-03-01,105.8
1995-04-01,110.1
1995-05-01,113
1995-06-01,118.6
1995-07-01,114.4
1995-08-01,112.9
1995-09-01,113.3
1995-10-01,107.7
1995-11-01,105.9
1995-12-01,107.5
1996-01-01,109.1
1996-02-01,107.9
1996-03-01,112.3
1996-04-01,115.2
1996-05-01,118.8
1996-06-01,122
1996-07-01,121.4
1996-08-01,120
1996-09-01,125
1996-10-01,120.4
1996-11-01,124.7
1996-12-01,123.7
1997-01-01,122.7
1997-02-01,121
1997-03-01,120.6
1997-04-01,120.6
1997-05-01,121.7
1997-06-01,125
1997-07-01,123.5
1997-08-01,128.1
1997-09-01,123.3
1997-10-01,116.6
1997-11-01,116.3
1997-12-01,113.4
1998-01-01,112.2
1998-02-01,112
1998-03-01,110.3
1998-04-01,111.8
1998-05-01,113.9
1998-06-01,117.4
1998-07-01,117.5
1998-08-01,117.3
1998-09-01,123.3
1998-10-01,116.8
1998-11-01,115.3
1998-12-01,107.8
1999-01-01,108.6
1999-02-01,107.7
1999-03-01,108.3
1999-04-01,113.2
1999-05-01,112.9
1999-06-01,119.8
1999-07-01,122.2
1999-08-01,123.9
1999-09-01,126.1
1999-10-01,116.8
1999-11-01,119.3
1999-12-01,121.3
2000-01-01,122.4
2000-02-01,125.7
2000-03-01,129.4
2000-04-01,124.5
2000-05-01,126.7
2000-06-01,149.2
2000-07-01,138.4
2000-08-01,134.7
2000-09-01,147.1
2000-10-01,138.9
2000-11-01,142
2000-12-01,142
2001-01-01,147
2001-02-01,150.5
2001-03-01,148.9
2001-04-01,153.7
2001-05-01,162.1
2001-06-01,161.7
2001-07-01,153.6
2001-08-01,143.5
2001-09-01,152.3
2001-10-01,131.7
2001-11-01,125.4
2001-12-01,122.7
2002-01-01,123.1
2002-02-01,116.7
2002-03-01,124.2
2002-04-01,126.9
2002-05-01,126.3
2002-06-01,131.8
2002-07-01,132.5
2002-08-01,140.8
2002-09-01,141.4
2002-10-01,137.5
2002-11-01,132.2
2002-12-01,131.4
2003-01-01,139.4
2003-02-01,150.8
2003-03-01,151.2
2003-04-01,150.5
2003-05-01,144.6
2003-06-01,153.2
2003-07-01,155.2
2003-08-01,166.5
2003-09-01,169.8
2003-10-01,157.7
2003-11-01,151.7
2003-12-01,147.8
2004-01-01,157.6
2004-02-01,160.1
2004-03-01,160
2004-04-01,164.1
2004-05-01,169.8
2004-06-01,171.7
2004-07-01,172.5
2004-08-01,179.4
2004-09-01,178.6
2004-10-01,178.5
2004-11-01,173.6
2004-12-01,172
2005-01-01,174
2005-02-01,176.3
2005-03-01,184.8
2005-04-01,192.4
2005-05-01,187.3
2005-06-01,193
2005-07-01,203.2
2005-08-01,216.1
2005-09-01,235.4
2005-10-01,230.4
2005-11-01,211.8
2005-12-01,209.1
2006-01-01,214.5
2006-02-01,210.4
2006-03-01,211.1
2006-04-01,216.9
2006-05-01,224.9
2006-06-01,227.9
2006-07-01,234
2006-08-01,226.6
2006-09-01,210.6
2006-10-01,195.9
2006-11-01,180.2
2006-12-01,194.2
2007-01-01,194.605
2007-02-01,190.662
2007-03-01,202.381
2007-04-01,214.52
2007-05-01,229.302
2007-06-01,230.837
2007-07-01,233.877
2007-08-01,220.789
2007-09-01,223.954
2007-10-01,208.528
2007-11-01,226.046
2007-12-01,223.568
2008-01-01,226.2
2008-02-01,227.426
2008-03-01,242.45
2008-04-01,251.46
2008-05-01,272.414
2008-06-01,296.862
2008-07-01,300.21
2008-08-01,292.274
2008-09-01,276.376
2008-10-01,233.949
2008-11-01,193.655
2008-12-01,180.885
2009-01-01,189.404
2009-02-01,186.497
2009-03-01,182.444
2009-04-01,183.956
2009-05-01,190.289
2009-06-01,208.493
2009-07-01,200.005
2009-08-01,203.561
2009-09-01,194.238
2009-10-01,192.307
2009-11-01,199.951
2009-12-01,200.683
2010-01-01,209.01
2010-02-01,204.987
2010-03-01,210.325
2010-04-01,213.231
2010-05-01,213.349
2010-06-01,211.964
2010-07-01,213.534
2010-08-01,213.881
2010-09-01,213.975
2010-10-01,212.429
2010-11-01,215.295
2010-12-01,218.594
2011-01-01,226.306
2011-02-01,226.588
2011-03-01,241.007
2011-04-01,252.87
2011-05-01,259.548
2011-06-01,246.928
2011-07-01,246.998
2011-08-01,246.288
2011-09-01,239.121
2011-10-01,228.641
2011-11-01,229.379
2011-12-01,225.02
2012-01-01,230.095
2012-02-01,230.006
2012-03-01,242.671
2012-04-01,237.841
2012-05-01,233.201
2012-06-01,234.761
2012-07-01,231.93
2012-08-01,243.84
2012-09-01,241.156
2012-10-01,231.082
2012-11-01,226.302
2012-12-01,225.734
2013-01-01,224.944
2013-02-01,238.087
2013-03-01,240.747
2013-04-01,237.334
2013-05-01,243.567
2013-06-01,256.574
2013-07-01,243.038
2013-08-01,240.721
2013-09-01,231.555
2013-10-01,230.273
2013-11-01,220.422
2013-12-01,220.188
2014-01-01,228.163
2014-02-01,233.47
2014-03-01,247.934
2014-04-01,245.986
2014-05-01,247.476
2014-06-01,261.519
2014-07-01,246.91
2014-08-01,243.271
2014-09-01,231.133
2014-10-01,223.915
2014-11-01,214.291
2014-12-01,201.802
2015-01-01,185.717
2015-02-01,189.925
2015-03-01,195.276
2015-04-01,191.096
2015-05-01,196.079
2015-06-01,213.635
2015-07-01,207.651
2015-08-01,201.544
2015-09-01,185.018
2015-10-01,188.132
2015-11-01,179.907
2015-12-01,168.206
2016-01-01,169.428
2016-02-01,161.114
2016-03-01,172.146
2016-04-01,175.743
2016-05-01,185.107
2016-06-01,187.692
2016-07-01,177.213
2016-08-01,177.784
2016-09-01,172.983
2016-10-01,176.525
2016-11-01,174.34
2016-12-01,175.584
2017-01-01,183.829
2017-02-01,179.999
2017-03-01,185.088
2017-04-01,184.445
2017-05-01,184.973
2017-06-01,191.315
2017-07-01,188.365
2017-08-01,193.793
2017-09-01,197.881
2017-10-01,192.712
2017-11-01,200.986
2017-12-01,192.277
