"Date","CUUR0200SAD"
1977-12-01,64.6
1978-01-01,NA
1978-02-01,65.4
1978-03-01,NA
1978-04-01,66.4
1978-05-01,NA
1978-06-01,67.9
1978-07-01,NA
1978-08-01,68.7
1978-09-01,NA
1978-10-01,70.1
1978-11-01,NA
1978-12-01,71.2
1979-01-01,NA
1979-02-01,72.4
1979-03-01,NA
1979-04-01,74.1
1979-05-01,NA
1979-06-01,75.4
1979-07-01,NA
1979-08-01,76.8
1979-09-01,NA
1979-10-01,77.8
1979-11-01,NA
1979-12-01,79.3
1980-01-01,NA
1980-02-01,79.3
1980-03-01,NA
1980-04-01,80.4
1980-05-01,NA
1980-06-01,82.3
1980-07-01,NA
1980-08-01,83.4
1980-09-01,NA
1980-10-01,87
1980-11-01,NA
1980-12-01,87.9
1981-01-01,NA
1981-02-01,86.3
1981-03-01,NA
1981-04-01,86.3
1981-05-01,NA
1981-06-01,89.6
1981-07-01,NA
1981-08-01,90.9
1981-09-01,NA
1981-10-01,90.2
1981-11-01,NA
1981-12-01,89.8
1982-01-01,NA
1982-02-01,90.7
1982-03-01,NA
1982-04-01,92.9
1982-05-01,NA
1982-06-01,95.7
1982-07-01,NA
1982-08-01,97.5
1982-09-01,NA
1982-10-01,96.9
1982-11-01,NA
1982-12-01,97.9
1983-01-01,NA
1983-02-01,97.4
1983-03-01,NA
1983-04-01,98.4
1983-05-01,NA
1983-06-01,99.3
1983-07-01,NA
1983-08-01,100.5
1983-09-01,NA
1983-10-01,102.2
1983-11-01,NA
1983-12-01,103.4
1984-01-01,NA
1984-02-01,103.1
1984-03-01,NA
1984-04-01,104.8
1984-05-01,NA
1984-06-01,105.5
1984-07-01,NA
1984-08-01,105.7
1984-09-01,NA
1984-10-01,106.1
1984-11-01,NA
1984-12-01,106.3
1985-01-01,NA
1985-02-01,107.1
1985-03-01,NA
1985-04-01,107.4
1985-05-01,NA
1985-06-01,106.6
1985-07-01,NA
1985-08-01,105.9
1985-09-01,NA
1985-10-01,106.6
1985-11-01,NA
1985-12-01,106.9
1986-01-01,NA
1986-02-01,106.8
1986-03-01,NA
1986-04-01,106.5
1986-05-01,NA
1986-06-01,106.4
1986-07-01,NA
1986-08-01,105.9
1986-09-01,NA
1986-10-01,106.4
1986-11-01,NA
1986-12-01,107
1987-01-01,106.9
1987-02-01,106.6
1987-03-01,106.9
1987-04-01,107.2
1987-05-01,107.3
