"Date","CWUR0000SA0L5"
1973-05-01,44.5
1973-06-01,44.8
1973-07-01,44.9
1973-08-01,45.8
1973-09-01,45.9
1973-10-01,46.3
1973-11-01,46.6
1973-12-01,46.9
1974-01-01,47.4
1974-02-01,48
1974-03-01,48.5
1974-04-01,48.8
1974-05-01,49.3
1974-06-01,49.8
1974-07-01,50.2
1974-08-01,50.8
1974-09-01,51.4
1974-10-01,51.8
1974-11-01,52.3
1974-12-01,52.7
1975-01-01,52.9
1975-02-01,53.2
1975-03-01,53.4
1975-04-01,53.6
1975-05-01,53.9
1975-06-01,54.4
1975-07-01,54.9
1975-08-01,55.1
1975-09-01,55.3
1975-10-01,55.6
1975-11-01,56
1975-12-01,56.2
1976-01-01,56.4
1976-02-01,56.5
1976-03-01,56.6
1976-04-01,56.8
1976-05-01,57.1
1976-06-01,57.4
1976-07-01,57.8
1976-08-01,58
1976-09-01,58.2
1976-10-01,58.5
1976-11-01,58.6
1976-12-01,58.7
1977-01-01,59
1977-02-01,59.7
1977-03-01,60
1977-04-01,60.5
1977-05-01,60.8
1977-06-01,61.2
1977-07-01,61.5
1977-08-01,61.7
1977-09-01,61.9
1977-10-01,62.1
1977-11-01,62.4
1977-12-01,62.6
1978-01-01,63
1978-02-01,63.4
1978-03-01,63.9
1978-04-01,64.4
1978-05-01,65.1
1978-06-01,65.8
1978-07-01,66.2
1978-08-01,66.6
1978-09-01,67
1978-10-01,67.6
1978-11-01,67.9
1978-12-01,68.3
1979-01-01,68.9
1979-02-01,69.7
1979-03-01,70.5
1979-04-01,71.3
1979-05-01,72.2
1979-06-01,73.1
1979-07-01,73.9
1979-08-01,74.6
1979-09-01,75.4
1979-10-01,76
1979-11-01,76.7
1979-12-01,77.5
1980-01-01,78.6
1980-02-01,79.7
1980-03-01,80.8
1980-04-01,81.8
1980-05-01,82.6
1980-06-01,83.6
1980-07-01,83.6
1980-08-01,84.2
1980-09-01,84.9
1980-10-01,85.7
1980-11-01,86.5
1980-12-01,87.3
1981-01-01,87.9
1981-02-01,88.8
1981-03-01,89.4
1981-04-01,90
1981-05-01,90.7
1981-06-01,91.5
1981-07-01,92.6
1981-08-01,93.2
1981-09-01,94.1
1981-10-01,94.3
1981-11-01,94.5
1981-12-01,94.7
1982-01-01,95
1982-02-01,95.3
1982-03-01,95.1
1982-04-01,95.5
1982-05-01,96.4
1982-06-01,97.7
1982-07-01,98.2
1982-08-01,98.4
1982-09-01,98.5
1982-10-01,98.7
1982-11-01,98.5
1982-12-01,98.1
1983-01-01,98.1
1983-02-01,98.1
1983-03-01,98.3
1983-04-01,99
1983-05-01,99.5
1983-06-01,99.8
1983-07-01,100.1
1983-08-01,100.5
1983-09-01,101
1983-10-01,101.1
1983-11-01,101.1
1983-12-01,101.1
1984-01-01,101.5
1984-02-01,101.6
1984-03-01,101.6
1984-04-01,101.9
1984-05-01,102.3
1984-06-01,102.6
1984-07-01,103
1984-08-01,104
1984-09-01,104.6
1984-10-01,104.6
1984-11-01,104.5
1984-12-01,104.6
1985-01-01,104.7
1985-02-01,105.1
1985-03-01,105.6
1985-04-01,106
1985-05-01,106.4
1985-06-01,106.7
1985-07-01,106.8
1985-08-01,106.9
1985-09-01,107.2
1985-10-01,107.5
1985-11-01,107.9
1985-12-01,108.1
1986-01-01,108.4
1986-02-01,107.9
1986-03-01,107.2
1986-04-01,106.9
1986-05-01,107.2
1986-06-01,107.7
1986-07-01,107.6
1986-08-01,107.8
1986-09-01,108.3
1986-10-01,108.3
1986-11-01,108.4
1986-12-01,108.4
1987-01-01,109.1
1987-02-01,109.5
1987-03-01,110
1987-04-01,110.6
1987-05-01,111
1987-06-01,111.5
1987-07-01,111.7
1987-08-01,112.3
1987-09-01,112.9
1987-10-01,113.1
1987-11-01,113.3
1987-12-01,113.2
1988-01-01,113.4
1988-02-01,113.6
1988-03-01,114
1988-04-01,114.6
1988-05-01,115
1988-06-01,115.6
1988-07-01,116
1988-08-01,116.6
1988-09-01,117.3
1988-10-01,117.7
1988-11-01,117.8
1988-12-01,117.9
1989-01-01,118.5
1989-02-01,118.9
1989-03-01,119.5
1989-04-01,120.5
1989-05-01,121.2
1989-06-01,121.5
1989-07-01,121.8
1989-08-01,121.8
1989-09-01,122.2
1989-10-01,122.7
1989-11-01,122.9
1989-12-01,123.1
1990-01-01,124.4
1990-02-01,124.9
1990-03-01,125.5
1990-04-01,125.7
1990-05-01,125.9
1990-06-01,126.6
1990-07-01,127
1990-08-01,128.2
1990-09-01,129.4
1990-10-01,130.2
1990-11-01,130.4
1990-12-01,130.4
1991-01-01,130.9
1991-02-01,130.9
1991-03-01,131
1991-04-01,131.3
1991-05-01,131.8
1991-06-01,132.1
1991-07-01,132.2
1991-08-01,132.5
1991-09-01,133.1
1991-10-01,133.2
1991-11-01,133.6
1991-12-01,133.6
1992-01-01,133.7
1992-02-01,134
1992-03-01,134.6
1992-04-01,134.8
1992-05-01,135.2
1992-06-01,135.6
1992-07-01,135.9
1992-08-01,136.2
1992-09-01,136.6
1992-10-01,137
1992-11-01,137.2
1992-12-01,137.2
1993-01-01,137.6
1993-02-01,138
1993-03-01,138.4
1993-04-01,138.8
1993-05-01,139.1
1993-06-01,139.2
1993-07-01,139.2
1993-08-01,139.5
1993-09-01,139.8
1993-10-01,140.4
1993-11-01,140.5
1993-12-01,140.4
1994-01-01,140.6
1994-02-01,140.9
1994-03-01,141.4
1994-04-01,141.6
1994-05-01,141.9
1994-06-01,142.4
1994-07-01,142.7
1994-08-01,143.4
1994-09-01,143.8
1994-10-01,143.8
1994-11-01,144.1
1994-12-01,144
1995-01-01,144.6
1995-02-01,145
1995-03-01,145.5
1995-04-01,146
1995-05-01,146.3
1995-06-01,146.6
1995-07-01,146.6
1995-08-01,146.9
1995-09-01,147.2
1995-10-01,147.6
1995-11-01,147.5
1995-12-01,147.5
1996-01-01,148.3
1996-02-01,148.7
1996-03-01,149.5
1996-04-01,150.2
1996-05-01,150.5
1996-06-01,150.6
1996-07-01,150.8
1996-08-01,151
1996-09-01,151.6
1996-10-01,152
1996-11-01,152.3
1996-12-01,152.4
1997-01-01,152.8
1997-02-01,153.2
1997-03-01,153.5
1997-04-01,153.6
1997-05-01,153.6
1997-06-01,153.8
1997-07-01,153.8
1997-08-01,154.2
1997-09-01,154.7
1997-10-01,154.9
1997-11-01,154.9
1997-12-01,154.5
1998-01-01,154.7
1998-02-01,154.8
1998-03-01,154.9
1998-04-01,155.3
1998-05-01,155.7
1998-06-01,155.9
1998-07-01,156
1998-08-01,156.1
1998-09-01,156.3
1998-10-01,156.8
1998-11-01,156.8
1998-12-01,156.8
1999-01-01,157.1
1999-02-01,157.1
1999-03-01,157.5
1999-04-01,158.8
1999-05-01,158.8
1999-06-01,158.8
1999-07-01,159.2
1999-08-01,159.7
1999-09-01,160.7
1999-10-01,161
1999-11-01,161.1
1999-12-01,161.1
2000-01-01,161.5
2000-02-01,162.4
2000-03-01,163.7
2000-04-01,163.9
2000-05-01,164.1
2000-06-01,165.1
2000-07-01,165.2
2000-08-01,165
2000-09-01,166.2
2000-10-01,166.4
2000-11-01,166.6
2000-12-01,166.4
2001-01-01,167.4
2001-02-01,168
2001-03-01,168.2
2001-04-01,169.1
2001-05-01,170
2001-06-01,170.2
2001-07-01,169.4
2001-08-01,169.3
2001-09-01,170.3
2001-10-01,169.5
2001-11-01,169.1
2001-12-01,168.3
2002-01-01,168.5
2002-02-01,169
2002-03-01,170
2002-04-01,171.1
2002-05-01,171
2002-06-01,171.2
2002-07-01,171.3
2002-08-01,171.8
2002-09-01,172.2
2002-10-01,172.5
2002-11-01,172.5
2002-12-01,172.1
2003-01-01,172.7
2003-02-01,174.2
2003-03-01,175.4
2003-04-01,174.8
2003-05-01,174.4
2003-06-01,174.5
2003-07-01,174.5
2003-08-01,175.2
2003-09-01,176
2003-10-01,175.6
2003-11-01,175
2003-12-01,174.7
2004-01-01,175.6
2004-02-01,176.6
2004-03-01,177.6
2004-04-01,178.2
2004-05-01,179.4
2004-06-01,180
2004-07-01,179.6
2004-08-01,179.6
2004-09-01,180
2004-10-01,181.1
2004-11-01,181.3
2004-12-01,180.6
2005-01-01,180.8
2005-02-01,181.7
2005-03-01,183.1
2005-04-01,184.6
2005-05-01,184.4
2005-06-01,184.5
2005-07-01,185.3
2005-08-01,186.5
2005-09-01,189.5
2005-10-01,189.6
2005-11-01,187.7
2005-12-01,186.7
2006-01-01,188.2
2006-02-01,188.4
2006-03-01,189.5
2006-04-01,191.3
2006-05-01,192.4
2006-06-01,192.8
2006-07-01,193.3
2006-08-01,193.8
2006-09-01,192.5
2006-10-01,191
2006-11-01,190.8
2006-12-01,191.2
2007-01-01,191.475
2007-02-01,192.389
2007-03-01,194.481
2007-04-01,195.998
2007-05-01,197.543
2007-06-01,197.783
2007-07-01,197.504
2007-08-01,196.949
2007-09-01,197.629
2007-10-01,198.022
2007-11-01,199.565
2007-12-01,199.431
2008-01-01,200.329
2008-02-01,200.8
2008-03-01,202.713
2008-04-01,204.29
2008-05-01,206.423
2008-06-01,208.906
2008-07-01,210.002
2008-08-01,208.9
2008-09-01,208.563
2008-10-01,205.726
2008-11-01,200.707
2008-12-01,198.153
2009-01-01,198.978
2009-02-01,199.928
2009-03-01,200.421
2009-04-01,201.112
2009-05-01,201.955
2009-06-01,204.2
2009-07-01,203.723
2009-08-01,204.341
2009-09-01,204.472
2009-10-01,204.68
2009-11-01,205.106
2009-12-01,204.8
2010-01-01,205.589
2010-02-01,205.461
2010-03-01,206.42
2010-04-01,206.841
2010-05-01,207.01
2010-06-01,206.706
2010-07-01,206.771
2010-08-01,207.068
2010-09-01,207.107
2010-10-01,207.409
2010-11-01,207.523
2010-12-01,208.036
2011-01-01,209.141
2011-02-01,210.198
2011-03-01,212.722
2011-04-01,214.442
2011-05-01,215.66
2011-06-01,215.216
2011-07-01,215.361
2011-08-01,215.996
2011-09-01,216.346
2011-10-01,215.626
2011-11-01,215.342
2011-12-01,214.658
2012-01-01,215.653
2012-02-01,216.699
2012-03-01,218.7
2012-04-01,219.39
2012-05-01,218.929
2012-06-01,218.297
2012-07-01,217.768
2012-08-01,219.286
2012-09-01,220.408
2012-10-01,220.179
2012-11-01,218.761
2012-12-01,218.033
2013-01-01,218.614
2013-02-01,220.741
2013-03-01,221.374
2013-04-01,221.002
2013-05-01,221.492
2013-06-01,222.066
2013-07-01,222.133
2013-08-01,222.343
2013-09-01,222.492
2013-10-01,221.671
2013-11-01,221.068
2013-12-01,221.135
2014-01-01,221.935
2014-02-01,222.679
2014-03-01,224.399
2014-04-01,225.288
2014-05-01,226.055
2014-06-01,226.546
2014-07-01,226.344
2014-08-01,225.84
2014-09-01,225.956
2014-10-01,224.973
2014-11-01,223.2
2014-12-01,221.471
2015-01-01,219.766
2015-02-01,220.866
2015-03-01,222.505
2015-04-01,222.898
2015-05-01,224.311
2015-06-01,225.262
2015-07-01,225.247
2015-08-01,224.799
2015-09-01,224.048
2015-10-01,223.644
2015-11-01,222.923
2015-12-01,221.978
2016-01-01,222.127
2016-02-01,221.88
2016-03-01,223.147
2016-04-01,224.374
2016-05-01,225.353
2016-06-01,226.202
2016-07-01,225.589
2016-08-01,225.555
2016-09-01,226.136
2016-10-01,226.383
2016-11-01,225.846
2016-12-01,226.023
2017-01-01,227.447
2017-02-01,227.975
2017-03-01,228.161
2017-04-01,229.005
2017-05-01,229.194
2017-06-01,229.377
2017-07-01,229.107
2017-08-01,229.932
2017-09-01,231.501
2017-10-01,231.101
2017-11-01,231.193
2017-12-01,231.033
2018-01-01,232.353
2018-02-01,233.4
2018-03-01,233.854
2018-04-01,235.036
2018-05-01,236.215
2018-06-01,236.614
2018-07-01,236.606
2018-08-01,236.835
2018-09-01,237.046
2018-10-01,237.513
2018-11-01,236.298
2018-12-01,235.088
2019-01-01,235.33
2019-02-01,236.406
2019-03-01,237.978
2019-04-01,239.571
2019-05-01,240.059
2019-06-01,239.897
2019-07-01,240.309
2019-08-01,240.047
2019-09-01,240.165
2019-10-01,240.629
2019-11-01,240.307
2019-12-01,240.012
2020-01-01,240.85
2020-02-01,241.363
2020-03-01,240.711
2020-04-01,238.72
2020-05-01,238.628
2020-06-01,240.147
2020-07-01,241.701
2020-08-01,242.668
2020-09-01,243.126
2020-10-01,243.283
2020-11-01,243.059
2020-12-01,243.364
2021-01-01,244.499
2021-02-01,246.034
2021-03-01,248.186
2021-04-01,250.587
2021-05-01,253.075
2021-06-01,256.016
2021-07-01,257.391
2021-08-01,257.97
2021-09-01,258.722
2021-10-01,261.157
2021-11-01,262.649
2021-12-01,263.505
2022-01-01,265.763
2022-02-01,268.432
2022-03-01,272.703
2022-04-01,274.078
2022-05-01,277.565
2022-06-01,282.126
2022-07-01,281.675
2022-08-01,280.899
2022-09-01,281.017
2022-10-01,282.315
2022-11-01,281.928
2022-12-01,280.427
2023-01-01,282.995
2023-02-01,284.632
2023-03-01,285.748
2023-04-01,287.553
2023-05-01,288.226
2023-06-01,289.286
2023-07-01,289.873
2023-08-01,291.545
2023-09-01,292.267
2023-10-01,291.973
2023-11-01,291.012
