"Date","CWSR0000SAM"
1962-01-01,23.4
1962-02-01,23.4
1962-03-01,23.5
1962-04-01,23.6
1962-05-01,23.6
1962-06-01,23.7
1962-07-01,23.7
1962-08-01,23.7
1962-09-01,23.8
1962-10-01,23.8
1962-11-01,23.8
1962-12-01,23.9
1963-01-01,24
1963-02-01,24
1963-03-01,24
1963-04-01,24.1
1963-05-01,24.1
1963-06-01,24.2
1963-07-01,24.3
1963-08-01,24.3
1963-09-01,24.4
1963-10-01,24.4
1963-11-01,24.4
1963-12-01,24.5
1964-01-01,24.5
1964-02-01,24.5
1964-03-01,24.5
1964-04-01,24.6
1964-05-01,24.6
1964-06-01,24.7
1964-07-01,24.7
1964-08-01,24.8
1964-09-01,24.8
1964-10-01,24.9
1964-11-01,24.9
1964-12-01,25
1965-01-01,25
1965-02-01,25.1
1965-03-01,25.1
1965-04-01,25.2
1965-05-01,25.2
1965-06-01,25.3
1965-07-01,25.4
1965-08-01,25.4
1965-09-01,25.4
1965-10-01,25.5
1965-11-01,25.6
1965-12-01,25.7
1966-01-01,25.7
1966-02-01,25.8
1966-03-01,25.9
1966-04-01,26
1966-05-01,26.1
1966-06-01,26.3
1966-07-01,26.4
1966-08-01,26.6
1966-09-01,26.8
1966-10-01,27
1966-11-01,27.2
1966-12-01,27.4
1967-01-01,27.5
1967-02-01,27.7
1967-03-01,27.8
1967-04-01,27.9
1967-05-01,28.1
1967-06-01,28.2
1967-07-01,28.3
1967-08-01,28.5
1967-09-01,28.7
1967-10-01,28.8
1967-11-01,29
1967-12-01,29.2
1968-01-01,29.3
1968-02-01,29.4
1968-03-01,29.6
1968-04-01,29.7
1968-05-01,29.8
1968-06-01,29.9
1968-07-01,30
1968-08-01,30.1
1968-09-01,30.3
1968-10-01,30.6
1968-11-01,30.8
1968-12-01,30.9
1969-01-01,31.1
1969-02-01,31.3
1969-03-01,31.5
1969-04-01,31.8
1969-05-01,32
1969-06-01,32.1
1969-07-01,32.2
1969-08-01,32.4
1969-09-01,32.6
1969-10-01,32.5
1969-11-01,32.7
1969-12-01,32.8
1970-01-01,33
1970-02-01,33.2
1970-03-01,33.4
1970-04-01,33.7
1970-05-01,33.9
1970-06-01,34.1
1970-07-01,34.3
1970-08-01,34.5
1970-09-01,34.7
1970-10-01,34.8
1970-11-01,35
1970-12-01,35.2
1971-01-01,35.4
1971-02-01,35.6
1971-03-01,35.8
1971-04-01,36
1971-05-01,36.2
1971-06-01,36.4
1971-07-01,36.6
1971-08-01,36.7
1971-09-01,36.9
1971-10-01,36.7
1971-11-01,36.8
1971-12-01,36.9
1972-01-01,37
1972-02-01,37.1
1972-03-01,37.2
1972-04-01,37.3
1972-05-01,37.4
1972-06-01,37.5
1972-07-01,37.5
1972-08-01,37.6
1972-09-01,37.7
1972-10-01,38
1972-11-01,38
1972-12-01,38.1
1973-01-01,38.2
1973-02-01,38.3
1973-03-01,38.4
1973-04-01,38.6
1973-05-01,38.7
1973-06-01,38.8
1973-07-01,38.8
1973-08-01,38.9
1973-09-01,39.1
1973-10-01,39.8
1973-11-01,39.9
1973-12-01,40.1
1974-01-01,40.3
1974-02-01,40.6
1974-03-01,40.9
1974-04-01,41.2
1974-05-01,41.7
1974-06-01,42.3
1974-07-01,42.8
1974-08-01,43.5
1974-09-01,43.9
1974-10-01,44.3
1974-11-01,44.6
1974-12-01,45.1
1975-01-01,45.6
1975-02-01,46.1
1975-03-01,46.5
1975-04-01,46.9
1975-05-01,47.2
1975-06-01,47.6
1975-07-01,48.1
1975-08-01,48.3
1975-09-01,48.7
1975-10-01,49.1
1975-11-01,49.1
1975-12-01,49.5
1976-01-01,50
1976-02-01,50.5
1976-03-01,51
1976-04-01,51.4
1976-05-01,51.7
1976-06-01,52.1
1976-07-01,52.6
1976-08-01,52.9
1976-09-01,53.3
1976-10-01,53.5
1976-11-01,54.1
1976-12-01,54.5
1977-01-01,54.9
1977-02-01,55.3
1977-03-01,55.9
1977-04-01,56.3
1977-05-01,56.8
1977-06-01,57.3
1977-07-01,57.7
1977-08-01,58
1977-09-01,58.5
1977-10-01,58.7
1977-11-01,58.9
1977-12-01,59.3
1978-01-01,59.7
1978-02-01,60.2
1978-03-01,60.6
1978-04-01,61
1978-05-01,61.5
1978-06-01,61.8
1978-07-01,62.2
1978-08-01,62.7
1978-09-01,63.1
1978-10-01,63.6
1978-11-01,64.1
1978-12-01,64.5
1979-01-01,65
1979-02-01,65.5
1979-03-01,66
1979-04-01,66.5
1979-05-01,66.9
1979-06-01,67.6
1979-07-01,68.2
1979-08-01,68.7
1979-09-01,69.4
1979-10-01,70
1979-11-01,70.5
1979-12-01,71.2
1980-01-01,72.1
1980-02-01,73
1980-03-01,73.6
1980-04-01,74.4
1980-05-01,75
1980-06-01,75.4
1980-07-01,75.9
1980-08-01,76.5
1980-09-01,77.1
1980-10-01,77.7
1980-11-01,78.2
1980-12-01,78.8
1981-01-01,79.5
1981-02-01,80.2
1981-03-01,81
1981-04-01,81.7
1981-05-01,82.3
1981-06-01,83.1
1981-07-01,83.8
1981-08-01,84.6
1981-09-01,85.3
1981-10-01,86.1
1981-11-01,87
1981-12-01,87.7
1982-01-01,88.3
1982-02-01,88.9
1982-03-01,89.6
1982-04-01,90.5
1982-05-01,91.3
1982-06-01,92.2
1982-07-01,93
1982-08-01,93.8
1982-09-01,94.7
1982-10-01,95.4
1982-11-01,96.3
1982-12-01,97
1983-01-01,97.7
1983-02-01,98.5
1983-03-01,98.8
1983-04-01,99.2
1983-05-01,99.7
1983-06-01,100.2
1983-07-01,100.8
1983-08-01,101.3
1983-09-01,101.8
1983-10-01,102.3
1983-11-01,102.8
1983-12-01,103.4
1984-01-01,104.1
1984-02-01,104.9
1984-03-01,105.2
1984-04-01,105.7
1984-05-01,106.2
1984-06-01,106.7
1984-07-01,107.2
1984-08-01,107.7
1984-09-01,108.1
1984-10-01,108.8
1984-11-01,109.3
1984-12-01,109.8
1985-01-01,110.3
1985-02-01,110.8
1985-03-01,111.4
1985-04-01,112
1985-05-01,112.7
1985-06-01,113.3
1985-07-01,113.9
1985-08-01,114.6
1985-09-01,115.1
1985-10-01,115.8
1985-11-01,116.5
1985-12-01,117.2
1986-01-01,118
1986-02-01,118.8
1986-03-01,119.6
1986-04-01,120.4
1986-05-01,121
1986-06-01,121.7
1986-07-01,122.4
1986-08-01,123.2
1986-09-01,123.9
1986-10-01,124.7
1986-11-01,125.2
1986-12-01,126.1
1987-01-01,126.5
1987-02-01,127
1987-03-01,127.7
1987-04-01,128.5
1987-05-01,129.3
1987-06-01,130
1987-07-01,130.8
1987-08-01,131.3
1987-09-01,132
1987-10-01,132.7
1987-11-01,133.2
1987-12-01,133.7
1988-01-01,134.8
1988-02-01,135.5
1988-03-01,136.2
1988-04-01,136.9
1988-05-01,137.8
1988-06-01,138.5
1988-07-01,139.5
1988-08-01,140.2
1988-09-01,140.9
1988-10-01,141.8
1988-11-01,142.4
1988-12-01,143.2
1989-01-01,144.3
1989-02-01,145.3
1989-03-01,146.2
1989-04-01,147.1
1989-05-01,147.9
1989-06-01,149
1989-07-01,149.9
1989-08-01,151
1989-09-01,152.2
1989-10-01,153.1
1989-11-01,154.4
1989-12-01,155.3
1990-01-01,156.2
1990-02-01,157.3
1990-03-01,158.3
1990-04-01,159.6
1990-05-01,160.8
1990-06-01,161.9
1990-07-01,163.2
1990-08-01,164.7
1990-09-01,165.6
1990-10-01,166.9
1990-11-01,168.3
1990-12-01,169.4
1991-01-01,170.6
1991-02-01,171.6
1991-03-01,172.8
1991-04-01,173.7
1991-05-01,174.7
1991-06-01,175.8
1991-07-01,176.8
1991-08-01,178.2
1991-09-01,179.3
1991-10-01,180.3
1991-11-01,181.4
1991-12-01,182.6
1992-01-01,183.7
1992-02-01,185.1
1992-03-01,186.3
1992-04-01,187.5
1992-05-01,188.2
1992-06-01,189.1
1992-07-01,190.2
1992-08-01,191.1
1992-09-01,192.1
1992-10-01,193.1
1992-11-01,194
1992-12-01,194.9
1993-01-01,196
1993-02-01,197
1993-03-01,197.7
1993-04-01,198.8
1993-05-01,200.1
1993-06-01,200.9
1993-07-01,201.7
1993-08-01,202.4
1993-09-01,203.1
1993-10-01,203.9
1993-11-01,204.4
1993-12-01,205.2
1994-01-01,205.8
1994-02-01,206.4
1994-03-01,207.2
1994-04-01,208.4
1994-05-01,209
1994-06-01,209.8
1994-07-01,210.6
1994-08-01,211.5
1994-09-01,212.3
1994-10-01,213.5
1994-11-01,214.3
1994-12-01,215.3
1995-01-01,215.9
1995-02-01,216.8
1995-03-01,217.4
1995-04-01,218
1995-05-01,218.6
1995-06-01,219.3
1995-07-01,220.1
1995-08-01,221
1995-09-01,221.8
1995-10-01,222.4
1995-11-01,223.2
1995-12-01,223.7
1996-01-01,224.5
1996-02-01,225.1
1996-03-01,225.6
1996-04-01,226.1
1996-05-01,226.8
1996-06-01,227.4
1996-07-01,228
1996-08-01,228.5
1996-09-01,229
1996-10-01,229.7
1996-11-01,230.3
1996-12-01,230.7
1997-01-01,231.1
1997-02-01,231.5
1997-03-01,232.4
1997-04-01,232.9
1997-05-01,233.5
1997-06-01,233.8
1997-07-01,234
1997-08-01,234.4
1997-09-01,234.9
1997-10-01,235.6
1997-11-01,236.2
1997-12-01,237.3
1998-01-01,237.5
1998-02-01,238.2
1998-03-01,238.7
1998-04-01,239.6
1998-05-01,240.5
1998-06-01,241.2
1998-07-01,241.9
1998-08-01,242.7
1998-09-01,243.4
1998-10-01,244
1998-11-01,244.6
1998-12-01,245.2
1999-01-01,245.8
1999-02-01,246.5
1999-03-01,247
1999-04-01,247.9
1999-05-01,248.5
1999-06-01,249.2
1999-07-01,250.1
1999-08-01,250.8
1999-09-01,251.7
1999-10-01,252.3
1999-11-01,253.1
1999-12-01,254
2000-01-01,254.6
2000-02-01,255.7
2000-03-01,256.8
2000-04-01,257.6
2000-05-01,258.5
2000-06-01,259.5
2000-07-01,260.4
2000-08-01,261.6
2000-09-01,262.5
2000-10-01,263.2
2000-11-01,263.7
2000-12-01,264.5
2001-01-01,266.3
2001-02-01,267.4
2001-03-01,268.5
2001-04-01,269.4
2001-05-01,270.3
2001-06-01,271.3
2001-07-01,271.7
2001-08-01,273.3
2001-09-01,274.2
2001-10-01,275.3
2001-11-01,276.3
2001-12-01,277.1
2002-01-01,278.6
2002-02-01,279.1
2002-03-01,280.2
2002-04-01,281.5
2002-05-01,282.7
2002-06-01,283.5
2002-07-01,285.4
2002-08-01,286.4
2002-09-01,287
2002-10-01,288.8
2002-11-01,290.3
2002-12-01,291.5
2003-01-01,291.9
2003-02-01,292.2
2003-03-01,292.7
2003-04-01,293.2
2003-05-01,294.4
2003-06-01,295.3
2003-07-01,296.6
2003-08-01,297.5
2003-09-01,298.9
2003-10-01,299.7
2003-11-01,300.8
2003-12-01,302.3
2004-01-01,303.1
2004-02-01,304.7
2004-03-01,306
2004-04-01,307.1
2004-05-01,308.1
2004-06-01,309.3
2004-07-01,310.1
2004-08-01,311.1
2004-09-01,312.4
2004-10-01,313.3
2004-11-01,314.2
2004-12-01,315.2
2005-01-01,316.4
2005-02-01,318
2005-03-01,319.3
2005-04-01,320.4
2005-05-01,321.6
2005-06-01,322.5
2005-07-01,323.7
2005-08-01,323.8
2005-09-01,324.7
2005-10-01,326.5
2005-11-01,328.5
2005-12-01,329
2006-01-01,329.3
2006-02-01,330.5
2006-03-01,332
2006-04-01,333.2
2006-05-01,334.5
2006-06-01,335.5
2006-07-01,336.5
2006-08-01,337.7
2006-09-01,338.6
2006-10-01,339.6
2006-11-01,340.5
2006-12-01,341.1
2007-01-01,343.281
2007-02-01,345.066
2007-03-01,345.655
2007-04-01,347.13
2007-05-01,348.233
2007-06-01,349.191
2007-07-01,351.477
2007-08-01,353.156
2007-09-01,354.377
2007-10-01,356.37
2007-11-01,357.792
2007-12-01,359.011
2008-01-01,360.81
2008-02-01,360.899
2008-03-01,361.58
2008-04-01,362.15
2008-05-01,362.737
2008-06-01,363.721
2008-07-01,364.217
2008-08-01,365.195
2008-09-01,366.085
2008-10-01,366.732
2008-11-01,367.597
2008-12-01,368.883
2009-01-01,370.059
2009-02-01,371.055
2009-03-01,372.035
2009-04-01,373.407
2009-05-01,374.752
2009-06-01,375.601
2009-07-01,376.561
2009-08-01,377.618
2009-09-01,378.859
2009-10-01,379.792
2009-11-01,381.106
2009-12-01,381.895
2010-01-01,383.568
2010-02-01,385.261
2010-03-01,386.85
2010-04-01,387.824
2010-05-01,388.306
2010-06-01,389.516
2010-07-01,389.678
2010-08-01,390.575
2010-09-01,392.626
2010-10-01,393.481
2010-11-01,394.156
2010-12-01,395.216
2011-01-01,395.785
2011-02-01,397.309
2011-03-01,398.014
2011-04-01,399.457
2011-05-01,400.638
2011-06-01,401.305
2011-07-01,402.442
2011-08-01,403.363
2011-09-01,404.047
2011-10-01,406.108
2011-11-01,408.039
2011-12-01,409.524
2012-01-01,410.758
2012-02-01,411.347
2012-03-01,412.8
2012-04-01,414.171
2012-05-01,415.698
2012-06-01,418.17
2012-07-01,420.066
2012-08-01,420.42
2012-09-01,421.421
2012-10-01,422.177
2012-11-01,422.518
2012-12-01,423.453
2013-01-01,424.218
2013-02-01,424.676
2013-03-01,426.223
2013-04-01,426.189
2013-05-01,425.617
2013-06-01,427.54
2013-07-01,428.297
2013-08-01,430.555
2013-09-01,431.498
2013-10-01,431.815
2013-11-01,431.649
2013-12-01,431.631
2014-01-01,433.084
2014-02-01,434.287
2014-03-01,435.287
2014-04-01,436.304
2014-05-01,437.339
2014-06-01,438.067
2014-07-01,438.722
2014-08-01,438.944
2014-09-01,439.983
2014-10-01,440.654
2014-11-01,442.273
2014-12-01,444.288
2015-01-01,444.019
2015-02-01,443.858
2015-03-01,445.621
2015-04-01,448.574
2015-05-01,449.531
2015-06-01,449.043
2015-07-01,449.665
2015-08-01,449.294
2015-09-01,450.361
2015-10-01,453.764
2015-11-01,455.559
2015-12-01,456.019
2016-01-01,457.795
2016-02-01,460.728
2016-03-01,461.429
2016-04-01,463.019
2016-05-01,464.511
2016-06-01,466.093
2016-07-01,468.463
2016-08-01,473.266
2016-09-01,474.125
2016-10-01,474.164
2016-11-01,474.197
2016-12-01,474.731
2017-01-01,475.842
2017-02-01,477.727
2017-03-01,478.338
2017-04-01,477.61
2017-05-01,477.484
2017-06-01,478.943
2017-07-01,480.805
2017-08-01,481.839
2017-09-01,481.507
2017-10-01,481.976
2017-11-01,482.089
2017-12-01,483.058
2018-01-01,484.872
2018-02-01,485.373
2018-03-01,486.836
2018-04-01,487.524
2018-05-01,488.42
2018-06-01,490.071
2018-07-01,489.025
2018-08-01,487.649
2018-09-01,488.902
2018-10-01,489.622
2018-11-01,491.709
2018-12-01,492.853
2019-01-01,494.177
2019-02-01,494.455
2019-03-01,495.775
2019-04-01,497.17
2019-05-01,499.174
2019-06-01,500.368
2019-07-01,502.533
2019-08-01,505.637
2019-09-01,506.907
2019-10-01,512.454
2019-11-01,514.595
2019-12-01,517.848
2020-01-01,518.651
2020-02-01,519.787
2020-03-01,521.968
2020-04-01,524.253
2020-05-01,526.982
2020-06-01,529.043
2020-07-01,530.839
2020-08-01,531.181
2020-09-01,530.95
2020-10-01,529.192
2020-11-01,529.082
2020-12-01,528.981
2021-01-01,530.107
2021-02-01,530.89
2021-03-01,531.556
2021-04-01,531.735
2021-05-01,531.185
2021-06-01,530.29
2021-07-01,531.093
2021-08-01,531.609
2021-09-01,531.691
2021-10-01,535.439
2021-11-01,537.851
2021-12-01,540.62
2022-01-01,543.531
2022-02-01,544.323
2022-03-01,547.553
2022-04-01,550.01
2022-05-01,552.3
2022-06-01,555.613
2022-07-01,558.074
2022-08-01,561.79
2022-09-01,565.774
2022-10-01,563.538
2022-11-01,561.052
2022-12-01,562.607
2023-01-01,560.957
2023-02-01,557.42
2023-03-01,554.591
2023-04-01,554.231
2023-05-01,554.43
2023-06-01,554.281
2023-07-01,551.986
2023-08-01,552.401
2023-09-01,553.511
2023-10-01,556.798
2023-11-01,560.172
