"Date","APU000074717"
1998-01-01,1.25
1998-02-01,1.22
1998-03-01,1.192
1998-04-01,1.184
1998-05-01,1.19
1998-06-01,1.185
1998-07-01,1.168
1998-08-01,1.154
1998-09-01,1.138
1998-10-01,1.148
1998-11-01,1.142
1998-12-01,1.112
1999-01-01,1.102
1999-02-01,1.094
1999-03-01,1.104
1999-04-01,1.178
1999-05-01,1.174
1999-06-01,1.178
1999-07-01,1.213
1999-08-01,1.241
1999-09-01,1.28
1999-10-01,1.305
1999-11-01,1.326
1999-12-01,1.357
2000-01-01,1.392
2000-02-01,1.564
2000-03-01,1.587
2000-04-01,1.526
2000-05-01,1.512
2000-06-01,1.527
2000-07-01,1.527
2000-08-01,1.524
2000-09-01,1.683
2000-10-01,1.698
2000-11-01,1.696
2000-12-01,1.689
2001-01-01,1.643
2001-02-01,1.633
2001-03-01,1.558
2001-04-01,1.555
2001-05-01,1.594
2001-06-01,1.598
2001-07-01,1.522
2001-08-01,1.497
2001-09-01,1.573
2001-10-01,1.497
2001-11-01,1.411
2001-12-01,1.327
2002-01-01,1.299
2002-02-01,1.292
2002-03-01,1.33
2002-04-01,1.408
2002-05-01,1.437
2002-06-01,1.423
2002-07-01,1.421
2002-08-01,1.431
2002-09-01,1.482
2002-10-01,1.531
2002-11-01,1.535
2002-12-01,1.518
2003-01-01,1.574
2003-02-01,1.73
2003-03-01,1.873
2003-04-01,1.759
2003-05-01,1.635
2003-06-01,1.591
2003-07-01,1.581
2003-08-01,1.619
2003-09-01,1.608
2003-10-01,1.587
2003-11-01,1.594
2003-12-01,1.593
2004-01-01,1.655
2004-02-01,1.705
2004-03-01,1.75
2004-04-01,1.823
2004-05-01,1.896
2004-06-01,1.864
2004-07-01,1.854
2004-08-01,1.932
2004-09-01,1.99
2004-10-01,2.207
2004-11-01,2.245
2004-12-01,2.129
2005-01-01,2.058
2005-02-01,2.116
2005-03-01,2.308
2005-04-01,2.426
2005-05-01,2.349
2005-06-01,2.373
2005-07-01,2.482
2005-08-01,2.615
2005-09-01,2.944
2005-10-01,3.193
2005-11-01,2.794
2005-12-01,2.582
2006-01-01,2.615
2006-02-01,2.603
2006-03-01,2.672
2006-04-01,2.834
2006-05-01,3.003
2006-06-01,2.995
2006-07-01,3.007
2006-08-01,3.097
2006-09-01,2.914
2006-10-01,2.646
2006-11-01,2.652
2006-12-01,2.727
2007-01-01,2.645
2007-02-01,2.612
2007-03-01,2.744
2007-04-01,2.916
2007-05-01,2.912
2007-06-01,2.903
2007-07-01,2.934
2007-08-01,2.934
2007-09-01,2.994
2007-10-01,3.133
2007-11-01,3.422
2007-12-01,3.423
2008-01-01,3.413
2008-02-01,3.45
2008-03-01,3.918
2008-04-01,4.131
2008-05-01,4.445
2008-06-01,4.788
2008-07-01,4.794
2008-08-01,4.47
2008-09-01,4.177
2008-10-01,3.802
2008-11-01,3.006
2008-12-01,2.585
2009-01-01,2.414
2009-02-01,2.341
2009-03-01,2.179
2009-04-01,2.276
2009-05-01,2.299
2009-06-01,2.567
2009-07-01,2.584
2009-08-01,2.67
2009-09-01,2.666
2009-10-01,2.707
2009-11-01,2.833
2009-12-01,2.811
2010-01-01,2.901
2010-02-01,2.846
2010-03-01,2.928
2010-04-01,3.05
2010-05-01,3.097
2010-06-01,2.988
2010-07-01,2.952
2010-08-01,2.97
2010-09-01,2.969
2010-10-01,3.086
2010-11-01,3.153
2010-12-01,3.269
2011-01-01,3.373
2011-02-01,3.544
2011-03-01,3.929
2011-04-01,4.114
2011-05-01,4.119
2011-06-01,3.981
2011-07-01,3.953
2011-08-01,3.912
2011-09-01,3.9
2011-10-01,3.859
2011-11-01,3.957
2011-12-01,3.874
2012-01-01,3.884
2012-02-01,3.981
2012-03-01,4.166
2012-04-01,4.169
2012-05-01,4.053
2012-06-01,3.808
2012-07-01,3.748
2012-08-01,3.956
2012-09-01,4.128
2012-10-01,4.124
2012-11-01,4.022
2012-12-01,3.95
2013-01-01,3.922
2013-02-01,4.092
2013-03-01,4.085
2013-04-01,3.959
2013-05-01,3.886
2013-06-01,3.861
2013-07-01,3.863
2013-08-01,3.897
2013-09-01,3.955
2013-10-01,3.888
2013-11-01,3.833
2013-12-01,3.852
2014-01-01,3.872
2014-02-01,3.947
2014-03-01,3.993
2014-04-01,3.969
2014-05-01,3.932
2014-06-01,3.919
2014-07-01,3.896
2014-08-01,3.84
2014-09-01,3.801
2014-10-01,3.676
2014-11-01,3.615
2014-12-01,3.406
2015-01-01,2.964
2015-02-01,2.875
2015-03-01,2.933
2015-04-01,2.84
2015-05-01,2.906
2015-06-01,2.91
2015-07-01,2.85
2015-08-01,2.692
2015-09-01,2.566
2015-10-01,2.532
2015-11-01,2.493
2015-12-01,2.378
2016-01-01,2.193
2016-02-01,2.04
2016-03-01,2.088
2016-04-01,2.158
2016-05-01,2.274
2016-06-01,2.384
2016-07-01,2.361
2016-08-01,2.333
2016-09-01,2.37
2016-10-01,2.421
2016-11-01,2.421
2016-12-01,2.456
2017-01-01,2.547
2017-02-01,2.537
2017-03-01,2.541
2017-04-01,2.548
2017-05-01,2.537
2017-06-01,2.516
2017-07-01,2.477
2017-08-01,2.544
2017-09-01,2.742
2017-10-01,2.761
2017-11-01,2.873
2017-12-01,2.886
2018-01-01,2.965
2018-02-01,3.007
2018-03-01,2.973
2018-04-01,3.051
2018-05-01,3.197
2018-06-01,3.245
2018-07-01,3.226
2018-08-01,3.211
2018-09-01,3.243
2018-10-01,3.335
2018-11-01,3.292
2018-12-01,3.155
2019-01-01,3.015
2019-02-01,2.985
2019-03-01,3.063
2019-04-01,3.129
2019-05-01,3.189
2019-06-01,3.104
2019-07-01,3.078
2019-08-01,3.03
2019-09-01,3.033
2019-10-01,3.086
2019-11-01,3.09
2019-12-01,3.089
2020-01-01,3.078
2020-02-01,2.98
2020-03-01,2.818
2020-04-01,2.605
2020-05-01,2.515
2020-06-01,2.508
2020-07-01,2.514
2020-08-01,2.503
2020-09-01,2.496
2020-10-01,2.46
2020-11-01,2.441
2020-12-01,2.543
2021-01-01,2.661
2021-02-01,2.802
2021-03-01,3.076
2021-04-01,3.126
2021-05-01,3.2
2021-06-01,3.272
2021-07-01,3.324
2021-08-01,3.353
2021-09-01,3.366
2021-10-01,3.55
2021-11-01,3.695
2021-12-01,3.661
2022-01-01,3.675
2022-02-01,3.899
2022-03-01,4.818
2022-04-01,5.119
2022-05-01,5.517
2022-06-01,5.758
2022-07-01,5.637
2022-08-01,5.165
2022-09-01,5.046
2022-10-01,5.232
2022-11-01,5.349
2022-12-01,4.913
2023-01-01,4.684
2023-02-01,4.587
2023-03-01,4.359
2023-04-01,4.215
2023-05-01,4.074
2023-06-01,3.941
2023-07-01,3.91
2023-08-01,4.357
2023-09-01,4.617
2023-10-01,4.566
2023-11-01,4.397
