"Date","CUURX000SAF1"
1997-12-01,100
1998-01-01,100.7
1998-02-01,100.4
1998-03-01,100.6
1998-04-01,100.7
1998-05-01,100.8
1998-06-01,100.6
1998-07-01,100.7
1998-08-01,101.2
1998-09-01,101.2
1998-10-01,101.7
1998-11-01,101.9
1998-12-01,102
1999-01-01,102.7
1999-02-01,102.6
1999-03-01,102.6
1999-04-01,102.5
1999-05-01,102.8
1999-06-01,102.7
1999-07-01,102.9
1999-08-01,102.9
1999-09-01,103.4
1999-10-01,103.6
1999-11-01,103.7
1999-12-01,104
2000-01-01,104.3
2000-02-01,104.4
2000-03-01,104.6
2000-04-01,104.7
2000-05-01,105
2000-06-01,105
2000-07-01,105.6
2000-08-01,105.8
2000-09-01,106
2000-10-01,106.1
2000-11-01,106.2
2000-12-01,106.7
2001-01-01,107.3
2001-02-01,107.5
2001-03-01,107.7
2001-04-01,107.8
2001-05-01,108.1
2001-06-01,108.4
2001-07-01,108.6
2001-08-01,109
2001-09-01,109.1
2001-10-01,109.5
2001-11-01,109.4
2001-12-01,109.5
2002-01-01,110.1
2002-02-01,110.2
2002-03-01,110.4
2002-04-01,110.4
2002-05-01,110.2
2002-06-01,109.9
2002-07-01,110.3
2002-08-01,110.3
2002-09-01,110.4
2002-10-01,110.4
2002-11-01,110.5
2002-12-01,110.9
2003-01-01,111.3
2003-02-01,111.2
2003-03-01,111.7
2003-04-01,111.6
2003-05-01,111.7
2003-06-01,112.1
2003-07-01,112.4
2003-08-01,112.6
2003-09-01,113
2003-10-01,113.5
2003-11-01,113.9
2003-12-01,114.6
2004-01-01,114.7
2004-02-01,114.7
2004-03-01,114.8
2004-04-01,114.9
2004-05-01,115.9
2004-06-01,116.2
2004-07-01,116.5
2004-08-01,116.6
2004-09-01,116.6
2004-10-01,117.3
2004-11-01,117.3
2004-12-01,117.4
2005-01-01,118
2005-02-01,117.8
2005-03-01,118
2005-04-01,118.5
2005-05-01,118.6
2005-06-01,118.8
2005-07-01,119
2005-08-01,119.2
2005-09-01,119.4
2005-10-01,119.7
2005-11-01,119.9
2005-12-01,120.2
2006-01-01,121.1
2006-02-01,121
2006-03-01,120.8
2006-04-01,120.8
2006-05-01,121
2006-06-01,121.3
2006-07-01,121.4
2006-08-01,121.6
2006-09-01,122.1
2006-10-01,122.8
2006-11-01,122.7
2006-12-01,122.8
2007-01-01,123.934
2007-02-01,124.542
2007-03-01,124.902
2007-04-01,125.065
2007-05-01,125.864
2007-06-01,126.389
2007-07-01,126.844
2007-08-01,127.398
2007-09-01,128.224
2007-10-01,128.751
2007-11-01,128.99
2007-12-01,129.178
2008-01-01,130.275
2008-02-01,130.701
2008-03-01,130.962
2008-04-01,132.207
2008-05-01,132.553
2008-06-01,133.429
2008-07-01,134.812
2008-08-01,135.683
2008-09-01,136.277
2008-10-01,136.936
2008-11-01,137.081
2008-12-01,137.126
2009-01-01,137.674
2009-02-01,137.179
2009-03-01,136.858
2009-04-01,136.546
2009-05-01,136.495
2009-06-01,136.52
2009-07-01,136.133
2009-08-01,136.284
2009-09-01,136.222
2009-10-01,136.442
2009-11-01,136.21
2009-12-01,136.475
2010-01-01,137.385
2010-02-01,137.399
2010-03-01,137.645
2010-04-01,137.756
2010-05-01,137.756
2010-06-01,137.568
2010-07-01,137.713
2010-08-01,138.139
2010-09-01,138.438
2010-10-01,138.269
2010-11-01,138.473
2010-12-01,138.536
2011-01-01,139.907
2011-02-01,140.359
2011-03-01,141.431
2011-04-01,142.113
2011-05-01,142.666
2011-06-01,142.663
2011-07-01,143.197
2011-08-01,144.155
2011-09-01,144.907
2011-10-01,145.339
2011-11-01,145.087
2011-12-01,145.189
2012-01-01,146.303
2012-02-01,146.068
2012-03-01,146.435
2012-04-01,146.739
2012-05-01,146.874
2012-06-01,146.913
2012-07-01,146.703
2012-08-01,147.22
2012-09-01,147.307
2012-10-01,147.746
2012-11-01,147.687
2012-12-01,147.99
2013-01-01,148.563
2013-02-01,148.665
2013-03-01,148.693
2013-04-01,148.839
2013-05-01,149.001
2013-06-01,148.839
2013-07-01,149.28
2013-08-01,149.645
2013-09-01,149.563
2013-10-01,149.892
2013-11-01,149.765
2013-12-01,149.719
2014-01-01,150.473
2014-02-01,151.021
2014-03-01,151.521
2014-04-01,152.223
2014-05-01,152.723
2014-06-01,152.493
2014-07-01,152.883
2014-08-01,153.491
2014-09-01,154.04
2014-10-01,154.343
2014-11-01,154.344
2014-12-01,154.659
2015-01-01,154.922
2015-02-01,155.129
2015-03-01,154.529
2015-04-01,154.462
2015-05-01,154.555
2015-06-01,155.069
2015-07-01,155.115
2015-08-01,155.403
2015-09-01,156.097
2015-10-01,156.33
2015-11-01,155.469
2015-12-01,155.281
2016-01-01,155.45
2016-02-01,155.944
2016-03-01,155.542
2016-04-01,155.52
2016-05-01,155.218
2016-06-01,154.721
2016-07-01,154.808
2016-08-01,155.094
2016-09-01,155.08
2016-10-01,155.073
2016-11-01,154.526
2016-12-01,154.604
2017-01-01,155.276
2017-02-01,155.547
2017-03-01,155.745
2017-04-01,156.103
2017-05-01,156.107
2017-06-01,155.687
2017-07-01,156.115
2017-08-01,156.291
2017-09-01,156.472
2017-10-01,157.163
2017-11-01,156.757
2017-12-01,156.681
2018-01-01,157.602
2018-02-01,157.433
2018-03-01,157.388
2018-04-01,157.805
2018-05-01,157.777
2018-06-01,157.873
2018-07-01,158.21
2018-08-01,158.27
2018-09-01,158.401
2018-10-01,158.605
2018-11-01,158.612
2018-12-01,159.069
2019-01-01,159.77
2019-02-01,160.369
2019-03-01,160.653
2019-04-01,160.782
2019-05-01,160.779
2019-06-01,160.704
2019-07-01,160.79
2019-08-01,160.851
2019-09-01,161.088
2019-10-01,161.57
2019-11-01,161.513
2019-12-01,161.654
2020-01-01,162.338
2020-02-01,162.791
2020-03-01,163.32
2020-04-01,165.805
2020-05-01,166.581
2020-06-01,167.849
2020-07-01,167.224
2020-08-01,167.432
2020-09-01,167.36
2020-10-01,167.54
2020-11-01,167.01
2020-12-01,167.703
2021-01-01,168.242
2021-02-01,168.385
2021-03-01,168.777
2021-04-01,169.481
2021-05-01,170.171
2021-06-01,171.354
2021-07-01,172.64
2021-08-01,173.433
2021-09-01,174.991
2021-10-01,176.76
2021-11-01,177.517
2021-12-01,178.382
2022-01-01,179.874
2022-02-01,182.024
2022-03-01,183.9
2022-04-01,185.659
2022-05-01,187.716
2022-06-01,189.985
2022-07-01,192.128
2022-08-01,193.528
2022-09-01,195.319
2022-10-01,196.784
2022-11-01,197.077
2022-12-01,197.905
2023-01-01,199.129
2023-02-01,200.084
2023-03-01,200.165
2023-04-01,200.754
2023-05-01,201.118
2023-06-01,201.262
2023-07-01,201.931
2023-08-01,202.271
2023-09-01,202.559
2023-10-01,203.214
2023-11-01,202.76
