"Date","APU02407471A"
2018-01-01,2.519
2018-02-01,2.541
2018-03-01,2.53
2018-04-01,2.637
2018-05-01,2.816
2018-06-01,2.848
2018-07-01,2.808
2018-08-01,2.796
2018-09-01,2.813
2018-10-01,2.795
2018-11-01,2.488
2018-12-01,2.223
2019-01-01,2.102
2019-02-01,2.283
2019-03-01,2.58
2019-04-01,2.792
2019-05-01,2.828
2019-06-01,2.728
2019-07-01,2.704
2019-08-01,2.61
2019-09-01,2.59
2019-10-01,2.53
2019-11-01,2.448
2019-12-01,2.373
2020-01-01,2.363
2020-02-01,2.29
2020-03-01,2.15
2020-04-01,1.707
2020-05-01,1.721
2020-06-01,1.974
2020-07-01,2.074
2020-08-01,2.077
2020-09-01,2.088
2020-10-01,2.046
2020-11-01,1.998
2020-12-01,2.096
2021-01-01,2.255
2021-02-01,2.45
2021-03-01,2.745
2021-04-01,2.766
2021-05-01,2.866
2021-06-01,2.918
2021-07-01,3.007
2021-08-01,3.02
2021-09-01,3.006
2021-10-01,3.121
2021-11-01,3.199
2021-12-01,3.115
2022-01-01,3.129
2022-02-01,3.353
2022-03-01,3.889
2022-04-01,3.882
2022-05-01,4.153
2022-06-01,4.724
2022-07-01,4.45
2022-08-01,3.803
2022-09-01,3.601
2022-10-01,3.628
2022-11-01,3.464
2022-12-01,3.026
2023-01-01,3.212
2023-02-01,3.283
2023-03-01,3.236
2023-04-01,3.488
2023-05-01,3.404
2023-06-01,3.419
2023-07-01,3.477
2023-08-01,3.738
2023-09-01,3.789
2023-10-01,3.537
2023-11-01,3.221
