"Date","CUURA209SAS"
1966-12-01,29
1967-01-01,NA
1967-02-01,NA
1967-03-01,29.3
1967-04-01,NA
1967-05-01,NA
1967-06-01,29.6
1967-07-01,NA
1967-08-01,NA
1967-09-01,30
1967-10-01,NA
1967-11-01,NA
1967-12-01,30.2
1968-01-01,NA
1968-02-01,NA
1968-03-01,30.7
1968-04-01,NA
1968-05-01,NA
1968-06-01,31
1968-07-01,NA
1968-08-01,NA
1968-09-01,31.3
1968-10-01,NA
1968-11-01,NA
1968-12-01,31.6
1969-01-01,NA
1969-02-01,NA
1969-03-01,32.4
1969-04-01,NA
1969-05-01,NA
1969-06-01,32.9
1969-07-01,NA
1969-08-01,NA
1969-09-01,33.4
1969-10-01,NA
1969-11-01,NA
1969-12-01,33.9
1970-01-01,NA
1970-02-01,NA
1970-03-01,34.8
1970-04-01,NA
1970-05-01,NA
1970-06-01,35.5
1970-07-01,NA
1970-08-01,NA
1970-09-01,36.1
1970-10-01,NA
1970-11-01,NA
1970-12-01,36.5
1971-01-01,NA
1971-02-01,NA
1971-03-01,36.9
1971-04-01,NA
1971-05-01,NA
1971-06-01,37.4
1971-07-01,NA
1971-08-01,NA
1971-09-01,37.7
1971-10-01,NA
1971-11-01,NA
1971-12-01,37.7
1972-01-01,NA
1972-02-01,NA
1972-03-01,37.7
1972-04-01,NA
1972-05-01,NA
1972-06-01,38
1972-07-01,NA
1972-08-01,NA
1972-09-01,38.5
1972-10-01,NA
1972-11-01,NA
1972-12-01,38.3
1973-01-01,NA
1973-02-01,NA
1973-03-01,38.7
1973-04-01,NA
1973-05-01,NA
1973-06-01,38.7
1973-07-01,NA
1973-08-01,NA
1973-09-01,39.5
1973-10-01,NA
1973-11-01,NA
1973-12-01,39.7
1974-01-01,NA
1974-02-01,NA
1974-03-01,40.3
1974-04-01,NA
1974-05-01,NA
1974-06-01,41.1
1974-07-01,NA
1974-08-01,NA
1974-09-01,42.3
1974-10-01,NA
1974-11-01,NA
1974-12-01,43.1
1975-01-01,NA
1975-02-01,NA
1975-03-01,44.8
1975-04-01,NA
1975-05-01,NA
1975-06-01,46.1
1975-07-01,NA
1975-08-01,NA
1975-09-01,46.9
1975-10-01,NA
1975-11-01,NA
1975-12-01,47.5
1976-01-01,NA
1976-02-01,NA
1976-03-01,49
1976-04-01,NA
1976-05-01,NA
1976-06-01,49.7
1976-07-01,NA
1976-08-01,NA
1976-09-01,50.3
1976-10-01,NA
1976-11-01,NA
1976-12-01,51
1977-01-01,NA
1977-02-01,NA
1977-03-01,52.5
1977-04-01,NA
1977-05-01,NA
1977-06-01,53.4
1977-07-01,NA
1977-08-01,NA
1977-09-01,54.6
1977-10-01,NA
1977-11-01,NA
1977-12-01,55.4
1978-01-01,NA
1978-02-01,NA
1978-03-01,56.6
1978-04-01,NA
1978-05-01,58
1978-06-01,NA
1978-07-01,58.9
1978-08-01,NA
1978-09-01,60.3
1978-10-01,NA
1978-11-01,61
1978-12-01,NA
1979-01-01,62.6
1979-02-01,NA
1979-03-01,63.7
1979-04-01,NA
1979-05-01,63.5
1979-06-01,NA
1979-07-01,65.4
1979-08-01,NA
1979-09-01,68.3
1979-10-01,NA
1979-11-01,69.5
1979-12-01,NA
1980-01-01,72
1980-02-01,NA
1980-03-01,73.7
1980-04-01,NA
1980-05-01,75
1980-06-01,NA
1980-07-01,76.2
1980-08-01,NA
1980-09-01,79.2
1980-10-01,NA
1980-11-01,79.1
1980-12-01,NA
1981-01-01,80.5
1981-02-01,NA
1981-03-01,81.3
1981-04-01,NA
1981-05-01,85.7
1981-06-01,NA
1981-07-01,86.7
1981-08-01,NA
1981-09-01,89.6
1981-10-01,NA
1981-11-01,88.7
1981-12-01,NA
1982-01-01,91.6
1982-02-01,NA
1982-03-01,93.6
1982-04-01,NA
1982-05-01,95.8
1982-06-01,NA
1982-07-01,97.4
1982-08-01,NA
1982-09-01,99.3
1982-10-01,NA
1982-11-01,96.8
1982-12-01,NA
1983-01-01,98
1983-02-01,NA
1983-03-01,98.5
1983-04-01,NA
1983-05-01,98.9
1983-06-01,NA
1983-07-01,101
1983-08-01,NA
1983-09-01,102
1983-10-01,NA
1983-11-01,100.6
1983-12-01,NA
1984-01-01,101.5
1984-02-01,NA
1984-03-01,101.9
1984-04-01,NA
1984-05-01,103.4
1984-06-01,NA
1984-07-01,104.8
1984-08-01,NA
1984-09-01,106
1984-10-01,NA
1984-11-01,104.9
1984-12-01,NA
1985-01-01,107.7
1985-02-01,NA
1985-03-01,107.2
1985-04-01,NA
1985-05-01,108.2
1985-06-01,NA
1985-07-01,110.9
1985-08-01,NA
1985-09-01,111.4
1985-10-01,NA
1985-11-01,111.6
1985-12-01,NA
1986-01-01,112.5
1986-02-01,NA
1986-03-01,112.2
1986-04-01,NA
1986-05-01,112.2
1986-06-01,NA
1986-07-01,117.2
1986-08-01,NA
1986-09-01,116.5
1986-10-01,NA
1986-11-01,114.3
1986-12-01,NA
1987-01-01,115.6
1987-02-01,NA
1987-03-01,116.1
1987-04-01,NA
1987-05-01,116.9
1987-06-01,NA
1987-07-01,119.2
1987-08-01,NA
1987-09-01,119.9
1987-10-01,NA
1987-11-01,118.3
1987-12-01,NA
1988-01-01,119.3
1988-02-01,NA
1988-03-01,120.3
1988-04-01,NA
1988-05-01,120.4
1988-06-01,NA
1988-07-01,123.3
1988-08-01,NA
1988-09-01,123.7
1988-10-01,NA
1988-11-01,124.4
1988-12-01,NA
1989-01-01,125.4
1989-02-01,NA
1989-03-01,125.2
1989-04-01,NA
1989-05-01,126.5
1989-06-01,NA
1989-07-01,130.4
1989-08-01,NA
1989-09-01,132
1989-10-01,NA
1989-11-01,129.7
1989-12-01,NA
1990-01-01,130.8
1990-02-01,NA
1990-03-01,133.9
1990-04-01,NA
1990-05-01,133.4
1990-06-01,NA
1990-07-01,135.6
1990-08-01,NA
1990-09-01,136.2
1990-10-01,NA
1990-11-01,135.4
1990-12-01,NA
1991-01-01,136.4
1991-02-01,NA
1991-03-01,136.6
1991-04-01,NA
1991-05-01,137.6
1991-06-01,NA
1991-07-01,140.7
1991-08-01,NA
1991-09-01,140.7
1991-10-01,NA
1991-11-01,139.2
1991-12-01,NA
1992-01-01,138.7
1992-02-01,NA
1992-03-01,139.6
1992-04-01,NA
1992-05-01,140.7
1992-06-01,NA
1992-07-01,144
1992-08-01,NA
1992-09-01,144.9
1992-10-01,NA
1992-11-01,143.4
1992-12-01,NA
1993-01-01,144
1993-02-01,NA
1993-03-01,144.6
1993-04-01,NA
1993-05-01,144.8
1993-06-01,NA
1993-07-01,148.7
1993-08-01,NA
1993-09-01,149.2
1993-10-01,NA
1993-11-01,147.4
1993-12-01,NA
1994-01-01,148.4
1994-02-01,NA
1994-03-01,149.8
1994-04-01,NA
1994-05-01,150.1
1994-06-01,NA
1994-07-01,152.9
1994-08-01,NA
1994-09-01,154.4
1994-10-01,NA
1994-11-01,153.7
1994-12-01,NA
1995-01-01,154.5
1995-02-01,NA
1995-03-01,157.4
1995-04-01,NA
1995-05-01,156.4
1995-06-01,NA
1995-07-01,159.8
1995-08-01,NA
1995-09-01,161.4
1995-10-01,NA
1995-11-01,159.4
1995-12-01,NA
1996-01-01,160.6
1996-02-01,NA
1996-03-01,162.6
1996-04-01,NA
1996-05-01,160.3
1996-06-01,NA
1996-07-01,164
1996-08-01,NA
1996-09-01,164.9
1996-10-01,NA
1996-11-01,164.1
1996-12-01,NA
1997-01-01,165.4
1997-02-01,NA
1997-03-01,166.3
1997-04-01,NA
1997-05-01,164.9
1997-06-01,NA
1997-07-01,167.9
1997-08-01,NA
1997-09-01,169.2
1997-10-01,NA
1997-11-01,167
