"Date","APUS49C74714"
2018-01-01,3.173
2018-02-01,3.333
2018-03-01,3.396
2018-04-01,3.526
2018-05-01,3.653
2018-06-01,3.545
2018-07-01,3.459
2018-08-01,3.382
2018-09-01,3.411
2018-10-01,3.646
2018-11-01,3.486
2018-12-01,3.221
2019-01-01,3.09
2019-02-01,3.083
2019-03-01,3.221
2019-04-01,3.718
2019-05-01,3.893
2019-06-01,3.621
2019-07-01,3.507
2019-08-01,3.368
2019-09-01,3.506
2019-10-01,3.952
2019-11-01,3.777
2019-12-01,3.466
2020-01-01,3.337
2020-02-01,3.317
2020-03-01,3.141
2020-04-01,2.626
2020-05-01,2.581
2020-06-01,2.816
2020-07-01,2.935
2020-08-01,2.997
2020-09-01,3.009
2020-10-01,2.966
2020-11-01,2.931
2020-12-01,2.94
2021-01-01,3.06
2021-02-01,3.281
2021-03-01,3.614
2021-04-01,3.732
2021-05-01,3.882
2021-06-01,4.169
2021-07-01,4.254
2021-08-01,4.299
2021-09-01,4.311
2021-10-01,4.392
2021-11-01,4.571
2021-12-01,4.612
2022-01-01,4.605
2022-02-01,4.685
2022-03-01,5.67
2022-04-01,5.781
2022-05-01,5.892
2022-06-01,6.256
2022-07-01,5.889
2022-08-01,5.285
2022-09-01,5.391
2022-10-01,5.925
2022-11-01,5.25
2022-12-01,4.417
2023-01-01,4.385
2023-02-01,4.6
2023-03-01,4.807
2023-04-01,4.82
2023-05-01,4.778
2023-06-01,4.808
2023-07-01,4.844
2023-08-01,5.137
2023-09-01,5.634
2023-10-01,5.619
2023-11-01,4.947
