"Date","SUUR0000SAH1"
1999-12-01,100
2000-01-01,100.8
2000-02-01,101.3
2000-03-01,102
2000-04-01,102
2000-05-01,102.1
2000-06-01,102.6
2000-07-01,103.1
2000-08-01,103.4
2000-09-01,103.3
2000-10-01,103.6
2000-11-01,103.5
2000-12-01,103.4
2001-01-01,104.2
2001-02-01,104.9
2001-03-01,105.7
2001-04-01,105.8
2001-05-01,105.9
2001-06-01,106.6
2001-07-01,107
2001-08-01,107.5
2001-09-01,107.1
2001-10-01,107.3
2001-11-01,107.4
2001-12-01,107.6
2002-01-01,108.2
2002-02-01,109.1
2002-03-01,109.6
2002-04-01,109.8
2002-05-01,109.8
2002-06-01,110
2002-07-01,110.4
2002-08-01,110.8
2002-09-01,110.6
2002-10-01,110.8
2002-11-01,110.8
2002-12-01,110.7
2003-01-01,111.4
2003-02-01,111.7
2003-03-01,112.1
2003-04-01,112.1
2003-05-01,112.4
2003-06-01,112.5
2003-07-01,113
2003-08-01,113.2
2003-09-01,112.9
2003-10-01,113.3
2003-11-01,113
2003-12-01,113
2004-01-01,113.6
2004-02-01,114
2004-03-01,115
2004-04-01,115.3
2004-05-01,115.4
2004-06-01,115.6
2004-07-01,116.1
2004-08-01,116.3
2004-09-01,116.3
2004-10-01,116.6
2004-11-01,116.3
2004-12-01,116.4
2005-01-01,116.9
2005-02-01,117.6
2005-03-01,118.3
2005-04-01,118.3
2005-05-01,118.2
2005-06-01,118.5
2005-07-01,119
2005-08-01,119
2005-09-01,118.5
2005-10-01,119.1
2005-11-01,119.1
2005-12-01,119.3
2006-01-01,119.9
2006-02-01,120.6
2006-03-01,121.4
2006-04-01,121.8
2006-05-01,122
2006-06-01,122.6
2006-07-01,123.3
2006-08-01,123.6
2006-09-01,123.4
2006-10-01,123.8
2006-11-01,123.9
2006-12-01,124.1
2007-01-01,124.797
2007-02-01,125.474
2007-03-01,125.928
2007-04-01,126.302
2007-05-01,126.309
2007-06-01,126.867
2007-07-01,127.367
2007-08-01,127.506
2007-09-01,127.375
2007-10-01,127.662
2007-11-01,127.644
2007-12-01,127.742
2008-01-01,128.426
2008-02-01,128.86
2008-03-01,129.506
2008-04-01,129.562
2008-05-01,129.597
2008-06-01,130.107
2008-07-01,130.61
2008-08-01,130.535
2008-09-01,130.458
2008-10-01,130.596
2008-11-01,130.479
2008-12-01,130.352
2009-01-01,130.93
2009-02-01,131.218
2009-03-01,131.571
2009-04-01,131.728
2009-05-01,131.725
2009-06-01,131.99
2009-07-01,132.025
2009-08-01,131.971
2009-09-01,131.569
2009-10-01,131.575
2009-11-01,131.003
2009-12-01,130.869
2010-01-01,130.891
2010-02-01,130.901
2010-03-01,130.904
2010-04-01,130.888
2010-05-01,130.916
2010-06-01,131.135
2010-07-01,131.258
2010-08-01,131.188
2010-09-01,131.158
2010-10-01,131.228
2010-11-01,131.29
2010-12-01,131.421
2011-01-01,131.658
2011-02-01,131.858
2011-03-01,132.057
2011-04-01,132.136
2011-05-01,132.305
2011-06-01,132.671
2011-07-01,133.108
2011-08-01,133.238
2011-09-01,133.292
2011-10-01,133.549
2011-11-01,133.694
2011-12-01,133.931
2012-01-01,134.27
2012-02-01,134.504
2012-03-01,134.829
2012-04-01,135.074
2012-05-01,135.285
2012-06-01,135.572
2012-07-01,135.794
2012-08-01,135.942
2012-09-01,136.144
2012-10-01,136.452
2012-11-01,136.566
2012-12-01,136.748
2013-01-01,137.116
2013-02-01,137.453
2013-03-01,137.758
2013-04-01,137.935
2013-05-01,138.266
2013-06-01,138.58
2013-07-01,138.874
2013-08-01,139.1
2013-09-01,139.239
2013-10-01,139.431
2013-11-01,139.743
2013-12-01,140.069
2014-01-01,140.489
2014-02-01,140.802
2014-03-01,141.31
2014-04-01,141.567
2014-05-01,142.002
2014-06-01,142.272
2014-07-01,142.725
2014-08-01,142.946
2014-09-01,143.164
2014-10-01,143.5
2014-11-01,143.729
2014-12-01,143.923
2015-01-01,144.463
2015-02-01,144.861
2015-03-01,145.364
2015-04-01,145.72
2015-05-01,146.028
2015-06-01,146.466
2015-07-01,147.094
2015-08-01,147.272
2015-09-01,147.637
2015-10-01,147.971
2015-11-01,148.196
2015-12-01,148.4
2016-01-01,148.931
2016-02-01,149.369
2016-03-01,149.796
2016-04-01,150.171
2016-05-01,150.722
2016-06-01,151.388
2016-07-01,151.691
2016-08-01,151.987
2016-09-01,152.385
2016-10-01,152.865
2016-11-01,153.11
2016-12-01,153.501
2017-01-01,154.007
2017-02-01,154.408
2017-03-01,154.744
2017-04-01,155.035
2017-05-01,155.472
2017-06-01,155.976
2017-07-01,156.083
2017-08-01,156.768
2017-09-01,157.146
2017-10-01,157.683
2017-11-01,157.851
2017-12-01,158.264
2018-01-01,158.734
2018-02-01,159.063
2018-03-01,159.665
2018-04-01,160.113
2018-05-01,160.731
2018-06-01,161.007
2018-07-01,161.478
2018-08-01,161.816
2018-09-01,162.096
2018-10-01,162.375
2018-11-01,162.652
2018-12-01,163.021
2019-01-01,163.577
2019-02-01,164.177
2019-03-01,164.845
2019-04-01,165.459
2019-05-01,165.952
2019-06-01,166.5
2019-07-01,166.903
2019-08-01,167.105
2019-09-01,167.586
2019-10-01,167.534
2019-11-01,167.743
2019-12-01,168.046
2020-01-01,168.709
2020-02-01,169.3
2020-03-01,169.491
2020-04-01,169.608
2020-05-01,169.95
2020-06-01,170.154
2020-07-01,170.554
2020-08-01,170.781
2020-09-01,170.852
2020-10-01,171.106
2020-11-01,171.238
2020-12-01,171.421
2021-01-01,171.689
2021-02-01,172.038
2021-03-01,172.502
2021-04-01,173.057
2021-05-01,173.695
2021-06-01,174.679
2021-07-01,175.726
2021-08-01,175.864
2021-09-01,176.503
2021-10-01,177.153
2021-11-01,177.835
2021-12-01,178.483
2022-01-01,179.187
2022-02-01,180.184
2022-03-01,181.273
2022-04-01,182.232
2022-05-01,183.415
2022-06-01,184.602
2022-07-01,185.466
2022-08-01,186.469
2022-09-01,187.6
2022-10-01,188.841
2022-11-01,189.857
2022-12-01,191.231
2023-01-01,192.65
2023-02-01,194.167
2023-03-01,195.431
2023-04-01,196.306
2023-05-01,197.364
2023-06-01,198.323
2023-07-01,199.031
2023-08-01,199.698
2023-09-01,200.859
2023-10-01,201.381
2023-11-01,202.131
