"Date","CUURA101SAF"
1976-01-01,62.5
1976-02-01,62.3
1976-03-01,62
1976-04-01,62.1
1976-05-01,62.4
1976-06-01,62.8
1976-07-01,63.2
1976-08-01,63.2
1976-09-01,63
1976-10-01,63.1
1976-11-01,62.8
1976-12-01,63.2
1977-01-01,63.4
1977-02-01,64.7
1977-03-01,64.8
1977-04-01,65.4
1977-05-01,65.8
1977-06-01,66.3
1977-07-01,66.6
1977-08-01,66.7
1977-09-01,66.1
1977-10-01,66.2
1977-11-01,66.8
1977-12-01,66.8
1978-01-01,68
1978-02-01,68.8
1978-03-01,69.3
1978-04-01,70.4
1978-05-01,71.1
1978-06-01,72.4
1978-07-01,72.5
1978-08-01,72.4
1978-09-01,72.4
1978-10-01,72.8
1978-11-01,73.3
1978-12-01,73.6
1979-01-01,74.8
1979-02-01,76.1
1979-03-01,76.6
1979-04-01,77.1
1979-05-01,77.7
1979-06-01,78
1979-07-01,79
1979-08-01,78.3
1979-09-01,78.9
1979-10-01,79.5
1979-11-01,79.6
1979-12-01,80.3
1980-01-01,81.7
1980-02-01,81.6
1980-03-01,82.6
1980-04-01,83.3
1980-05-01,83.6
1980-06-01,84.2
1980-07-01,85.1
1980-08-01,86.6
1980-09-01,87.3
1980-10-01,87.6
1980-11-01,88.4
1980-12-01,88.7
1981-01-01,89.5
1981-02-01,90.4
1981-03-01,91.1
1981-04-01,91.9
1981-05-01,92.1
1981-06-01,92.6
1981-07-01,93.7
1981-08-01,94.1
1981-09-01,94.7
1981-10-01,94.1
1981-11-01,93.8
1981-12-01,94
1982-01-01,96
1982-02-01,96.8
1982-03-01,96.9
1982-04-01,97
1982-05-01,97.3
1982-06-01,98.6
1982-07-01,98.3
1982-08-01,97.6
1982-09-01,97.9
1982-10-01,97.9
1982-11-01,96.8
1982-12-01,97.1
1983-01-01,97.5
1983-02-01,98.1
1983-03-01,98.5
1983-04-01,98.7
1983-05-01,98.8
1983-06-01,98.9
1983-07-01,98.9
1983-08-01,99
1983-09-01,99.9
1983-10-01,99.8
1983-11-01,99.5
1983-12-01,100.3
1984-01-01,102.3
1984-02-01,103
1984-03-01,103.5
1984-04-01,103.3
1984-05-01,102.9
1984-06-01,103.4
1984-07-01,103.7
1984-08-01,104.4
1984-09-01,104.3
1984-10-01,104.4
1984-11-01,104.1
1984-12-01,104.8
1985-01-01,105.8
1985-02-01,106.5
1985-03-01,106.8
1985-04-01,107
1985-05-01,106.8
1985-06-01,106.9
1985-07-01,107
1985-08-01,107.4
1985-09-01,108
1985-10-01,108.1
1985-11-01,108.2
1985-12-01,108.9
1986-01-01,110.1
1986-02-01,109.9
1986-03-01,110.1
1986-04-01,110.9
1986-05-01,111.2
1986-06-01,110.9
1986-07-01,112.8
1986-08-01,113.6
1986-09-01,113.5
1986-10-01,114.2
1986-11-01,114.2
1986-12-01,114.7
1987-01-01,116.3
1987-02-01,116.5
1987-03-01,116.8
1987-04-01,117.2
1987-05-01,117.8
1987-06-01,119.2
1987-07-01,118.9
1987-08-01,119.2
1987-09-01,119.7
1987-10-01,119.9
1987-11-01,120.1
1987-12-01,121.3
1988-01-01,122.5
1988-02-01,122.7
1988-03-01,122.5
1988-04-01,124
1988-05-01,123.5
1988-06-01,124.5
1988-07-01,125.5
1988-08-01,126.3
1988-09-01,126.8
1988-10-01,126.2
1988-11-01,126.8
1988-12-01,126.8
1989-01-01,129.2
1989-02-01,130.2
1989-03-01,130.6
1989-04-01,131.2
1989-05-01,132.2
1989-06-01,132.6
1989-07-01,133
1989-08-01,133.3
1989-09-01,133.1
1989-10-01,132.9
