"Date","CUUR0400SEHC"
1982-12-01,100
1983-01-01,NA
1983-02-01,101.5
1983-03-01,NA
1983-04-01,102.2
1983-05-01,NA
1983-06-01,102.4
1983-07-01,NA
1983-08-01,103.9
1983-09-01,NA
1983-10-01,105.4
1983-11-01,NA
1983-12-01,105.7
1984-01-01,NA
1984-02-01,106.5
1984-03-01,NA
1984-04-01,107.9
1984-05-01,NA
1984-06-01,109.4
1984-07-01,NA
1984-08-01,111
1984-09-01,NA
1984-10-01,111.4
1984-11-01,NA
1984-12-01,112
1985-01-01,NA
1985-02-01,113.6
1985-03-01,NA
1985-04-01,114.3
1985-05-01,NA
1985-06-01,116.1
1985-07-01,NA
1985-08-01,118.4
1985-09-01,NA
1985-10-01,119.4
1985-11-01,NA
1985-12-01,120.2
1986-01-01,NA
1986-02-01,120.5
1986-03-01,NA
1986-04-01,122.1
1986-05-01,NA
1986-06-01,122.4
1986-07-01,NA
1986-08-01,123.8
1986-09-01,NA
1986-10-01,126
1986-11-01,NA
1986-12-01,125.1
1987-01-01,125.3
1987-02-01,126.8
1987-03-01,127.2
1987-04-01,128.8
1987-05-01,129
1987-06-01,128.6
1987-07-01,128.2
1987-08-01,128.6
1987-09-01,129.6
1987-10-01,130.8
1987-11-01,131.3
1987-12-01,131.8
1988-01-01,131.8
1988-02-01,132.5
1988-03-01,132.4
1988-04-01,132.6
1988-05-01,133.3
1988-06-01,133.6
1988-07-01,133.6
1988-08-01,134.6
1988-09-01,135.2
1988-10-01,135.7
1988-11-01,136.4
1988-12-01,136.8
1989-01-01,136.9
1989-02-01,137.7
1989-03-01,137.8
1989-04-01,137.9
1989-05-01,138.7
1989-06-01,139.2
1989-07-01,140
1989-08-01,140.6
1989-09-01,142.2
1989-10-01,142.5
1989-11-01,143.5
1989-12-01,144.7
1990-01-01,145.2
1990-02-01,145
1990-03-01,145.7
1990-04-01,145.8
1990-05-01,146.2
1990-06-01,148.6
1990-07-01,149.1
1990-08-01,149.9
1990-09-01,150.8
1990-10-01,151
1990-11-01,151.5
1990-12-01,152.3
1991-01-01,152.9
1991-02-01,153.4
1991-03-01,152.7
1991-04-01,153.5
1991-05-01,153.1
1991-06-01,154.2
1991-07-01,154.4
1991-08-01,155
1991-09-01,156.5
1991-10-01,156.5
1991-11-01,157.4
1991-12-01,157.6
1992-01-01,158.3
1992-02-01,158.7
1992-03-01,159.3
1992-04-01,159.1
1992-05-01,159.1
1992-06-01,159.5
1992-07-01,159.6
1992-08-01,160
1992-09-01,160.8
1992-10-01,161.8
1992-11-01,162.8
1992-12-01,163
1993-01-01,163.3
1993-02-01,163.1
1993-03-01,163.4
1993-04-01,164.3
1993-05-01,164.5
1993-06-01,165.3
1993-07-01,165.2
1993-08-01,165.4
1993-09-01,165.9
1993-10-01,165.5
1993-11-01,166.5
1993-12-01,167.5
1994-01-01,167.9
1994-02-01,168.2
1994-03-01,168.5
1994-04-01,168.1
1994-05-01,167.8
1994-06-01,168.7
1994-07-01,169.6
1994-08-01,170.1
1994-09-01,171
1994-10-01,171.9
1994-11-01,171.7
1994-12-01,171.9
1995-01-01,172.2
1995-02-01,172.7
1995-03-01,173.1
1995-04-01,173.4
1995-05-01,173.7
1995-06-01,174.4
1995-07-01,174.9
1995-08-01,175.4
1995-09-01,176.2
1995-10-01,176.7
1995-11-01,177.2
1995-12-01,177.5
1996-01-01,177.7
1996-02-01,178
1996-03-01,178.5
1996-04-01,178.8
1996-05-01,178.9
1996-06-01,179.4
1996-07-01,180
1996-08-01,180.6
1996-09-01,180.9
1996-10-01,181.4
1996-11-01,181.9
1996-12-01,182.2
1997-01-01,182.8
1997-02-01,182.9
1997-03-01,183.3
1997-04-01,183.8
1997-05-01,184
1997-06-01,184.2
1997-07-01,184.7
1997-08-01,185.4
1997-09-01,186.2
1997-10-01,186.7
1997-11-01,187.5
1997-12-01,187.9
1998-01-01,188.2
1998-02-01,188.8
1998-03-01,189.3
1998-04-01,189.8
1998-05-01,190
1998-06-01,190.8
1998-07-01,191.6
1998-08-01,192.1
1998-09-01,192.9
1998-10-01,193.8
1998-11-01,194.6
1998-12-01,195.3
1999-01-01,195.9
1999-02-01,196.5
1999-03-01,196.8
1999-04-01,197.1
1999-05-01,197.6
1999-06-01,198.3
1999-07-01,198.8
1999-08-01,199.2
1999-09-01,199.7
1999-10-01,200.3
1999-11-01,201
1999-12-01,201.5
2000-01-01,202.3
2000-02-01,202.9
2000-03-01,203.2
2000-04-01,203.9
2000-05-01,204.2
2000-06-01,204.9
2000-07-01,205.6
2000-08-01,206.3
2000-09-01,207
2000-10-01,207.9
2000-11-01,208.9
2000-12-01,209.9
2001-01-01,210.9
2001-02-01,211.8
2001-03-01,212.6
2001-04-01,213.6
2001-05-01,214.8
2001-06-01,216
2001-07-01,217
2001-08-01,218.1
2001-09-01,219.1
2001-10-01,220
2001-11-01,220.7
2001-12-01,221.8
2002-01-01,222.5
2002-02-01,223
2002-03-01,223.3
2002-04-01,223.7
2002-05-01,224.1
2002-06-01,224.3
2002-07-01,224.8
2002-08-01,225.2
2002-09-01,225.9
2002-10-01,226.4
2002-11-01,226.7
2002-12-01,227.3
2003-01-01,227.9
2003-02-01,228
2003-03-01,228.1
2003-04-01,228.2
2003-05-01,228.4
2003-06-01,228.5
2003-07-01,228.9
2003-08-01,229.6
2003-09-01,229.9
2003-10-01,230.5
2003-11-01,230.9
2003-12-01,231.2
2004-01-01,231.2
2004-02-01,231.4
2004-03-01,231.8
2004-04-01,232.2
2004-05-01,232.8
2004-06-01,233.1
2004-07-01,233.7
2004-08-01,234.5
2004-09-01,234.7
2004-10-01,235
2004-11-01,235.6
2004-12-01,236.1
2005-01-01,236.7
2005-02-01,237.2
2005-03-01,237.4
2005-04-01,238
2005-05-01,238.5
2005-06-01,238.9
2005-07-01,239.5
2005-08-01,240.4
2005-09-01,241.3
2005-10-01,242
2005-11-01,242.7
2005-12-01,243.7
2006-01-01,244
2006-02-01,244.5
2006-03-01,245.5
2006-04-01,246.3
2006-05-01,247.2
2006-06-01,247.6
2006-07-01,248.8
2006-08-01,249.9
2006-09-01,250.7
2006-10-01,251.6
2006-11-01,252.5
2006-12-01,254.1
2007-01-01,254.991
2007-02-01,255.853
2007-03-01,256.604
2007-04-01,257.105
2007-05-01,257.821
2007-06-01,258.122
2007-07-01,258.666
2007-08-01,259.473
2007-09-01,260.387
2007-10-01,261.083
2007-11-01,262.043
2007-12-01,262.834
2008-01-01,263.768
