"Date","CUSR0000SEFR"
1989-01-01,117.1
1989-02-01,117.7
1989-03-01,117.9
1989-04-01,118.1
1989-05-01,118
1989-06-01,119.2
1989-07-01,120
1989-08-01,120.3
1989-09-01,120.6
1989-10-01,121.1
1989-11-01,121.1
1989-12-01,121.8
1990-01-01,122.4
1990-02-01,122.8
1990-03-01,122.9
1990-04-01,123.8
1990-05-01,124.3
1990-06-01,124.5
1990-07-01,124.7
1990-08-01,125.3
1990-09-01,125.6
1990-10-01,126.3
1990-11-01,126.6
1990-12-01,127.2
1991-01-01,127.2
1991-02-01,127
1991-03-01,128.2
1991-04-01,128.3
1991-05-01,128.9
1991-06-01,129.5
1991-07-01,129.7
1991-08-01,130
1991-09-01,129.6
1991-10-01,130.3
1991-11-01,131.1
1991-12-01,131.7
1992-01-01,132
1992-02-01,132.2
1992-03-01,132.7
1992-04-01,133
1992-05-01,132.5
1992-06-01,133.3
1992-07-01,133.6
1992-08-01,133.5
1992-09-01,133.7
1992-10-01,133.5
1992-11-01,133.6
1992-12-01,133.1
1993-01-01,133.1
1993-02-01,133.1
1993-03-01,132.7
1993-04-01,133
1993-05-01,133
1993-06-01,133.1
1993-07-01,133
1993-08-01,133.5
1993-09-01,133.3
1993-10-01,133.9
1993-11-01,134.4
1993-12-01,134.4
1994-01-01,134.8
1994-02-01,135.3
1994-03-01,135.1
1994-04-01,135.6
1994-05-01,135.1
1994-06-01,134.9
1994-07-01,134.9
1994-08-01,135
1994-09-01,135.4
1994-10-01,135.5
1994-11-01,135.4
1994-12-01,135.7
1995-01-01,135.3
1995-02-01,135.5
1995-03-01,136.2
1995-04-01,136.3
1995-05-01,136.9
1995-06-01,137.2
1995-07-01,137.9
1995-08-01,138.7
1995-09-01,138.3
1995-10-01,139.1
1995-11-01,139.5
1995-12-01,139.6
1996-01-01,140.9
1996-02-01,141.3
1996-03-01,141.9
1996-04-01,141.9
1996-05-01,143.1
1996-06-01,143.5
1996-07-01,144.4
1996-08-01,144.7
1996-09-01,145.3
1996-10-01,145.7
1996-11-01,145.5
1996-12-01,145.9
1997-01-01,146.3
1997-02-01,146.9
1997-03-01,145.8
1997-04-01,147.6
