"Date","CUURA421SETB"
1977-12-01,45.5
1978-01-01,49.8
1978-02-01,50
1978-03-01,50.1
1978-04-01,50.3
1978-05-01,51.4
1978-06-01,52.4
1978-07-01,53.3
1978-08-01,54
1978-09-01,54.3
1978-10-01,54.4
1978-11-01,54.6
1978-12-01,55
1979-01-01,55.2
1979-02-01,56.2
1979-03-01,58.9
1979-04-01,64.8
1979-05-01,69.5
1979-06-01,72.5
1979-07-01,75.1
1979-08-01,78.1
1979-09-01,81.1
1979-10-01,80.9
1979-11-01,81
1979-12-01,82.7
1980-01-01,88.3
1980-02-01,95.1
1980-03-01,98.2
1980-04-01,98.9
1980-05-01,98.1
1980-06-01,97.5
1980-07-01,97.9
1980-08-01,98.3
1980-09-01,97.7
1980-10-01,97
1980-11-01,97
1980-12-01,97.3
1981-01-01,99.2
1981-02-01,105.7
1981-03-01,108.1
1981-04-01,108.6
1981-05-01,109.3
1981-06-01,109.9
1981-07-01,110.5
1981-08-01,110.3
1981-09-01,109.8
1981-10-01,109.5
1981-11-01,109.4
1981-12-01,108.9
1982-01-01,108.1
1982-02-01,105.4
1982-03-01,101.7
1982-04-01,99.5
1982-05-01,100.2
1982-06-01,105.1
1982-07-01,109.4
1982-08-01,109.5
1982-09-01,106.8
1982-10-01,104.5
1982-11-01,102.4
1982-12-01,97.8
1983-01-01,95.2
1983-02-01,91.7
1983-03-01,89.4
1983-04-01,94.9
1983-05-01,101.2
1983-06-01,105.9
1983-07-01,107.6
1983-08-01,105.3
1983-09-01,100.1
1983-10-01,95.2
1983-11-01,94.2
1983-12-01,98.4
1984-01-01,98.1
1984-02-01,94.8
1984-03-01,95.2
1984-04-01,100
1984-05-01,103.1
1984-06-01,100.5
1984-07-01,94.3
1984-08-01,92.7
1984-09-01,94.5
1984-10-01,99.1
1984-11-01,99.8
1984-12-01,98.3
1985-01-01,94.9
1985-02-01,93.2
1985-03-01,97.1
1985-04-01,102.8
1985-05-01,104.4
1985-06-01,103.9
1985-07-01,101.7
1985-08-01,97.6
1985-09-01,95.7
1985-10-01,95.3
1985-11-01,94.1
1985-12-01,94.4
1986-01-01,94.2
1986-02-01,89
1986-03-01,82.3
1986-04-01,80.4
1986-05-01,82.7
1986-06-01,83.5
1986-07-01,76.3
1986-08-01,71.7
1986-09-01,72.7
1986-10-01,69.2
1986-11-01,67.1
1986-12-01,66.6
1987-01-01,69.1
1987-02-01,77.6
1987-03-01,79.6
1987-04-01,80.8
1987-05-01,81.4
1987-06-01,80.5
1987-07-01,78.4
1987-08-01,79.3
1987-09-01,78.7
1987-10-01,79
1987-11-01,78.4
1987-12-01,76.9
1988-01-01,75.6
1988-02-01,74.1
1988-03-01,74.3
1988-04-01,80.4
1988-05-01,83
1988-06-01,83.5
1988-07-01,84
1988-08-01,84
1988-09-01,83.9
1988-10-01,82.2
1988-11-01,79.5
1988-12-01,76.6
1989-01-01,74.3
1989-02-01,75.9
1989-03-01,81.5
1989-04-01,99
1989-05-01,100.4
1989-06-01,99.1
1989-07-01,95.5
1989-08-01,90.2
1989-09-01,84.5
1989-10-01,83.1
1989-11-01,79.6
1989-12-01,78.7
1990-01-01,82
1990-02-01,84.6
1990-03-01,86.8
1990-04-01,88.2
1990-05-01,92
1990-06-01,94
1990-07-01,96.5
1990-08-01,104.8
1990-09-01,110.2
1990-10-01,116.1
1990-11-01,116.6
1990-12-01,115.3
1991-01-01,103.4
1991-02-01,91
1991-03-01,82.9
1991-04-01,86.9
1991-05-01,95.4
1991-06-01,95.5
1991-07-01,91.8
1991-08-01,93.3
1991-09-01,96.3
1991-10-01,95.1
1991-11-01,94.6
1991-12-01,95.4
1992-01-01,95.9
1992-02-01,97.5
1992-03-01,97.6
1992-04-01,99.5
1992-05-01,105.6
1992-06-01,110.3
1992-07-01,111.7
1992-08-01,111.1
1992-09-01,110.5
1992-10-01,110.8
1992-11-01,113.2
1992-12-01,112.2
1993-01-01,111.7
1993-02-01,111.8
1993-03-01,111
1993-04-01,108.4
1993-05-01,106.9
1993-06-01,107.2
1993-07-01,105.9
1993-08-01,103.5
1993-09-01,103.9
1993-10-01,107.9
1993-11-01,105.7
1993-12-01,101.6
1994-01-01,99.1
1994-02-01,98.9
1994-03-01,100.1
1994-04-01,101.7
1994-05-01,102.9
1994-06-01,105.5
1994-07-01,107.1
1994-08-01,108
1994-09-01,107.8
1994-10-01,110.3
1994-11-01,110.7
1994-12-01,107.7
1995-01-01,106.7
1995-02-01,105.3
1995-03-01,104.4
1995-04-01,104.8
1995-05-01,106.3
1995-06-01,106.4
1995-07-01,103.8
1995-08-01,101.3
1995-09-01,99.1
1995-10-01,100
1995-11-01,99.5
1995-12-01,98.5
1996-01-01,99.2
1996-02-01,99.5
1996-03-01,103.3
1996-04-01,114.5
1996-05-01,122
1996-06-01,115.5
1996-07-01,111.6
1996-08-01,104.5
1996-09-01,100.2
1996-10-01,96.4
1996-11-01,91.2
1996-12-01,94.4
1997-01-01,97.6
1997-02-01,99.2
1997-03-01,103.6
1997-04-01,107.7
1997-05-01,106.6
1997-06-01,104.2
1997-07-01,101.2
1997-08-01,107.4
1997-09-01,113.9
1997-10-01,111.7
1997-11-01,108
1997-12-01,104.2
1998-01-01,97.5
1998-02-01,88.7
1998-03-01,82.6
1998-04-01,87
1998-05-01,96.4
1998-06-01,95
1998-07-01,93.2
1998-08-01,91.5
1998-09-01,91
1998-10-01,91.3
1998-11-01,91.3
1998-12-01,92.1
1999-01-01,91.8
1999-02-01,91.3
1999-03-01,95
1999-04-01,120.3
1999-05-01,114.4
1999-06-01,104.2
1999-07-01,105.3
1999-08-01,112.3
1999-09-01,107.9
1999-10-01,104.3
1999-11-01,103
1999-12-01,106.8
2000-01-01,103.7
2000-02-01,108.5
2000-03-01,131.4
2000-04-01,131.7
2000-05-01,124.8
2000-06-01,123.2
2000-07-01,128.1
2000-08-01,122.7
2000-09-01,133.3
2000-10-01,134.2
2000-11-01,131
2000-12-01,124
2001-01-01,119.1
2001-02-01,123.3
2001-03-01,126.5
2001-04-01,135.1
2001-05-01,153.9
2001-06-01,152.2
2001-07-01,140.5
2001-08-01,122.4
2001-09-01,124.8
2001-10-01,114.1
2001-11-01,101
2001-12-01,87.5
2002-01-01,94.3
2002-02-01,104.5
2002-03-01,119.5
2002-04-01,127
2002-05-01,124.4
2002-06-01,124.9
2002-07-01,126.1
2002-08-01,126.7
2002-09-01,126
2002-10-01,121.8
2002-11-01,125.4
2002-12-01,121.5
2003-01-01,127.3
2003-02-01,145.1
2003-03-01,167.5
2003-04-01,164.2
2003-05-01,145.3
2003-06-01,136.4
2003-07-01,134.3
2003-08-01,146.8
2003-09-01,160.6
2003-10-01,146
2003-11-01,135.1
2003-12-01,132
2004-01-01,136
2004-02-01,152.6
2004-03-01,169.9
2004-04-01,172.1
2004-05-01,180.3
2004-06-01,181.6
2004-07-01,172.3
2004-08-01,163.3
2004-09-01,163.8
2004-10-01,186.6
2004-11-01,183.8
2004-12-01,166.6
2005-01-01,154.6
2005-02-01,166.6
2005-03-01,183.8
2005-04-01,203.3
2005-05-01,195.9
2005-06-01,186.5
2005-07-01,199.5
2005-08-01,213.1
2005-09-01,230.4
2005-10-01,225.9
2005-11-01,201.7
2005-12-01,179.4
2006-01-01,190
2006-02-01,199.5
2006-03-01,205.4
2006-04-01,231
2006-05-01,262.2
2006-06-01,253.5
2006-07-01,253.9
2006-08-01,249.3
2006-09-01,225.8
2006-10-01,197.2
2006-11-01,190.2
2006-12-01,197.1
2007-01-01,197.828
2007-02-01,204.22
2007-03-01,238.444
2007-04-01,256.907
2007-05-01,267.273
2007-06-01,250.241
2007-07-01,239.836
2007-08-01,221.62
2007-09-01,224.339
2007-10-01,237.62
2007-11-01,259.055
2007-12-01,253.531
2008-01-01,249.7
2008-02-01,246.194
2008-03-01,277.009
2008-04-01,295.134
2008-05-01,308.766
2008-06-01,352.248
2008-07-01,350.712
2008-08-01,316.158
2008-09-01,292.61
2008-10-01,263.411
2008-11-01,191.643
2008-12-01,144.131
2009-01-01,156.258
2009-02-01,174.02
2009-03-01,170.687
2009-04-01,182.007
2009-05-01,194.836
2009-06-01,229.353
2009-07-01,225.183
2009-08-01,235.804
2009-09-01,241.17
2009-10-01,236.109
2009-11-01,231.815
2009-12-01,228.901
2010-01-01,237.449
2010-02-01,231.099
2010-03-01,239.587
2010-04-01,241.519
2010-05-01,242.146
2010-06-01,240.119
2010-07-01,242.694
2010-08-01,242.835
2010-09-01,232.314
2010-10-01,241.824
2010-11-01,245.154
2010-12-01,254.022
2011-01-01,261.299
2011-02-01,272.221
2011-03-01,309.441
2011-04-01,327.742
2011-05-01,327.289
2011-06-01,306.844
2011-07-01,297.345
2011-08-01,294.016
2011-09-01,306.776
2011-10-01,301.563
2011-11-01,297.199
2011-12-01,280.305
2012-01-01,292.072
2012-02-01,311.808
2012-03-01,342.228
2012-04-01,331.156
2012-05-01,335.088
2012-06-01,310.124
2012-07-01,293.981
2012-08-01,315.186
2012-09-01,323.158
2012-10-01,347.892
2012-11-01,302.659
2012-12-01,284.737
2013-01-01,290.072
2013-02-01,328.055
2013-03-01,326.08
2013-04-01,312.336
2013-05-01,314.177
2013-06-01,315.294
2013-07-01,317.705
2013-08-01,305.978
2013-09-01,309.888
2013-10-01,291.092
2013-11-01,280.949
2013-12-01,282.896
2014-01-01,283.685
2014-02-01,294.504
2014-03-01,312.78
2014-04-01,328.506
2014-05-01,325.394
2014-06-01,321.804
2014-07-01,316.382
2014-08-01,300.708
2014-09-01,291.985
2014-10-01,273.641
2014-11-01,247.502
2014-12-01,219.41
2015-01-01,196.162
2015-02-01,219.228
2015-03-01,258.782
2015-04-01,249.347
2015-05-01,300.219
2015-06-01,280.247
2015-07-01,309.603
2015-08-01,283.806
2015-09-01,246.755
2015-10-01,228.651
2015-11-01,219.83
2015-12-01,218.367
2016-01-01,223.372
2016-02-01,191.643
2016-03-01,208.369
2016-04-01,217.508
2016-05-01,217.766
2016-06-01,223.3
2016-07-01,220.516
2016-08-01,205.366
2016-09-01,212.508
2016-10-01,215.917
2016-11-01,215.875
2016-12-01,208.577
2017-01-01,217.767
2017-02-01,227.233
2017-03-01,233.94
2017-04-01,233.584
2017-05-01,233.161
2017-06-01,229.595
2017-07-01,223.75
2017-08-01,230.041
2017-09-01,242.911
2017-10-01,235.084
2017-11-01,248.485
2017-12-01,239.908
