"Date","CUURX300SA0"
1996-12-01,100
1997-01-01,100.3
1997-02-01,100.6
1997-03-01,100.9
1997-04-01,101.1
1997-05-01,101
1997-06-01,101.3
1997-07-01,101.3
1997-08-01,101.4
1997-09-01,101.5
1997-10-01,101.8
1997-11-01,101.9
1997-12-01,101.3
1998-01-01,101.5
1998-02-01,101.6
1998-03-01,101.8
1998-04-01,102
1998-05-01,102.2
1998-06-01,102.3
1998-07-01,102.4
1998-08-01,102.5
1998-09-01,102.5
1998-10-01,102.8
1998-11-01,102.8
1998-12-01,102.8
1999-01-01,102.9
1999-02-01,103
1999-03-01,103.3
1999-04-01,103.9
1999-05-01,104.1
1999-06-01,104.1
1999-07-01,104.3
1999-08-01,104.4
1999-09-01,104.8
1999-10-01,105.1
1999-11-01,105.1
1999-12-01,105.2
2000-01-01,105.4
2000-02-01,106
2000-03-01,107
2000-04-01,107.2
2000-05-01,107.2
2000-06-01,107.6
2000-07-01,107.8
2000-08-01,107.8
2000-09-01,108.1
2000-10-01,108.1
2000-11-01,108.2
2000-12-01,108.1
2001-01-01,108.6
2001-02-01,109.2
2001-03-01,109.4
2001-04-01,109.9
2001-05-01,110.1
2001-06-01,110.3
2001-07-01,109.8
2001-08-01,109.8
2001-09-01,110.2
2001-10-01,109.7
2001-11-01,109.4
2001-12-01,108.9
2002-01-01,109.2
2002-02-01,109.3
2002-03-01,110
2002-04-01,110.8
2002-05-01,110.7
2002-06-01,110.9
2002-07-01,111
2002-08-01,110.9
2002-09-01,111.2
2002-10-01,111.6
2002-11-01,111.9
2002-12-01,111.6
2003-01-01,111.7
2003-02-01,112.5
2003-03-01,113.3
2003-04-01,113.3
2003-05-01,112.8
2003-06-01,113.1
2003-07-01,113.1
2003-08-01,113.4
2003-09-01,113.8
2003-10-01,113.6
2003-11-01,113.3
2003-12-01,113.3
2004-01-01,113.8
2004-02-01,114.3
2004-03-01,114.9
2004-04-01,115.6
2004-05-01,116.4
2004-06-01,117
2004-07-01,116.9
2004-08-01,116.9
2004-09-01,116.9
2004-10-01,117.4
2004-11-01,117.4
2004-12-01,117.1
2005-01-01,117.1
2005-02-01,117.7
2005-03-01,118.4
2005-04-01,119.3
2005-05-01,119.4
2005-06-01,119.7
2005-07-01,120.2
2005-08-01,120.9
2005-09-01,122.3
2005-10-01,122.5
2005-11-01,121.4
2005-12-01,121.2
2006-01-01,122
2006-02-01,122.1
2006-03-01,123
2006-04-01,124.1
2006-05-01,124.6
2006-06-01,125
2006-07-01,125.5
2006-08-01,125.4
2006-09-01,124.4
2006-10-01,123.7
2006-11-01,123.4
2006-12-01,123.8
2007-01-01,123.817
2007-02-01,124.521
2007-03-01,125.726
2007-04-01,127
2007-05-01,127.893
2007-06-01,128.265
2007-07-01,128.226
2007-08-01,127.833
