"Date","CUURA318SEHF01"
1971-05-01,24.2
1971-06-01,24.2
1971-07-01,24.2
1971-08-01,24.4
1971-09-01,24.4
1971-10-01,24.4
1971-11-01,23.9
1971-12-01,23.9
1972-01-01,23.9
1972-02-01,23.9
1972-03-01,23.9
1972-04-01,23.9
1972-05-01,24.4
1972-06-01,24.4
1972-07-01,24.4
1972-08-01,24.4
1972-09-01,24.4
1972-10-01,24.4
1972-11-01,23.9
1972-12-01,24.4
1973-01-01,24.4
1973-02-01,24.4
1973-03-01,24.4
1973-04-01,24.4
1973-05-01,25
1973-06-01,24.9
1973-07-01,24.9
1973-08-01,24.9
1973-09-01,24.9
1973-10-01,26.1
1973-11-01,25.6
1973-12-01,25.6
1974-01-01,25.8
1974-02-01,26
1974-03-01,25.8
1974-04-01,26.5
1974-05-01,26.8
1974-06-01,26.9
1974-07-01,27.1
1974-08-01,27.4
1974-09-01,27.4
1974-10-01,27.6
1974-11-01,26.8
1974-12-01,27.7
1975-01-01,28.8
1975-02-01,29
1975-03-01,29.1
1975-04-01,29.6
1975-05-01,30.1
1975-06-01,30
1975-07-01,30.7
1975-08-01,30.2
1975-09-01,30.6
1975-10-01,31.1
1975-11-01,30.5
1975-12-01,34.7
1976-01-01,35.7
1976-02-01,35.7
1976-03-01,35.5
1976-04-01,35.5
1976-05-01,36.8
1976-06-01,36.1
1976-07-01,36.8
1976-08-01,36.7
1976-09-01,35.2
1976-10-01,35.7
1976-11-01,35.8
1976-12-01,36.4
1977-01-01,35.2
1977-02-01,36.8
1977-03-01,37.4
1977-04-01,38.3
1977-05-01,39.7
1977-06-01,38.6
1977-07-01,38.9
1977-08-01,39.5
1977-09-01,39.8
1977-10-01,38.6
1977-11-01,38.1
1977-12-01,37.9
1978-01-01,38.1
1978-02-01,38.5
1978-03-01,41
1978-04-01,41.8
1978-05-01,46.8
1978-06-01,43.9
1978-07-01,46.1
1978-08-01,48.5
1978-09-01,44.6
1978-10-01,45.8
1978-11-01,40.6
1978-12-01,42.4
1979-01-01,43.8
1979-02-01,45.2
1979-03-01,48.2
1979-04-01,47.4
1979-05-01,47.3
1979-06-01,54.1
1979-07-01,56.4
1979-08-01,55
1979-09-01,53.3
1979-10-01,53
1979-11-01,47.8
1979-12-01,51.5
1980-01-01,56.7
1980-02-01,50.7
1980-03-01,56.8
1980-04-01,54.1
1980-05-01,59.8
1980-06-01,68.4
1980-07-01,69.4
1980-08-01,70.5
1980-09-01,67.3
1980-10-01,69.2
1980-11-01,57
1980-12-01,59.7
1981-01-01,58.8
1981-02-01,61.8
1981-03-01,67.7
1981-04-01,69.7
1981-05-01,85.9
