"Date","CUUR0000SAE1"
1993-01-01,76.5
1993-02-01,76.6
1993-03-01,76.6
1993-04-01,76.7
1993-05-01,76.8
1993-06-01,77
1993-07-01,77.3
1993-08-01,78.6
1993-09-01,80.8
1993-10-01,81.1
1993-11-01,81.2
1993-12-01,81.2
1994-01-01,81.5
1994-02-01,81.6
1994-03-01,81.7
1994-04-01,81.7
1994-05-01,81.8
1994-06-01,82
1994-07-01,82.3
1994-08-01,83.5
1994-09-01,85.6
1994-10-01,85.8
1994-11-01,85.9
1994-12-01,85.9
1995-01-01,86.2
1995-02-01,86.5
1995-03-01,86.5
1995-04-01,86.5
1995-05-01,86.5
1995-06-01,86.6
1995-07-01,86.9
1995-08-01,88.4
1995-09-01,90.4
1995-10-01,90.5
1995-11-01,90.6
1995-12-01,90.7
1996-01-01,91
1996-02-01,91.1
1996-03-01,91.2
1996-04-01,91.3
1996-05-01,91.3
1996-06-01,91.4
1996-07-01,91.6
1996-08-01,93.1
1996-09-01,94.9
1996-10-01,95
1996-11-01,95.1
1996-12-01,95.1
1997-01-01,95.5
1997-02-01,95.6
1997-03-01,95.6
1997-04-01,95.6
1997-05-01,95.8
1997-06-01,95.9
1997-07-01,96.2
1997-08-01,97.8
1997-09-01,99.6
1997-10-01,99.9
1997-11-01,99.9
1997-12-01,100
1998-01-01,100.3
1998-02-01,100.4
1998-03-01,100.5
1998-04-01,100.7
1998-05-01,100.9
1998-06-01,100.8
1998-07-01,101
1998-08-01,102.6
1998-09-01,104.3
1998-10-01,104.5
1998-11-01,104.6
1998-12-01,104.7
1999-01-01,105
1999-02-01,105.3
1999-03-01,105.4
1999-04-01,105.5
1999-05-01,105.6
1999-06-01,105.7
1999-07-01,106
1999-08-01,107.5
1999-09-01,109.4
1999-10-01,109.6
1999-11-01,109.3
1999-12-01,109.3
2000-01-01,110.2
2000-02-01,110.6
2000-03-01,110.6
2000-04-01,110.7
2000-05-01,110.9
2000-06-01,111.5
2000-07-01,111.8
2000-08-01,113
2000-09-01,114.9
2000-10-01,115.3
2000-11-01,115.4
2000-12-01,115.5
2001-01-01,115.8
2001-02-01,116
2001-03-01,116.1
2001-04-01,116.1
2001-05-01,116.4
2001-06-01,116.9
2001-07-01,117.2
2001-08-01,119.5
2001-09-01,121.7
2001-10-01,122.2
2001-11-01,122.3
2001-12-01,122
2002-01-01,122.6
2002-02-01,123.2
2002-03-01,123.3
2002-04-01,123.3
2002-05-01,123.5
2002-06-01,124.3
2002-07-01,124.8
2002-08-01,127.1
2002-09-01,129.6
2002-10-01,129.9
2002-11-01,130
2002-12-01,130
2003-01-01,130.6
2003-02-01,131
2003-03-01,131.1
2003-04-01,131.2
2003-05-01,131.4
2003-06-01,132
2003-07-01,132.6
2003-08-01,136.2
2003-09-01,138.7
2003-10-01,139.1
2003-11-01,139
2003-12-01,139.4
2004-01-01,140.1
2004-02-01,140.4
2004-03-01,140.6
2004-04-01,140.7
2004-05-01,140.9
2004-06-01,141.6
2004-07-01,142.1
2004-08-01,145.1
2004-09-01,147.9
2004-10-01,148.3
2004-11-01,148.4
2004-12-01,148.5
2005-01-01,148.8
2005-02-01,149.2
2005-03-01,149.3
2005-04-01,149.5
2005-05-01,149.9
2005-06-01,150.5
2005-07-01,151.3
2005-08-01,153.9
2005-09-01,157.1
2005-10-01,157.4
2005-11-01,157.5
2005-12-01,157.6
2006-01-01,158.3
2006-02-01,158.4
2006-03-01,158.4
2006-04-01,158.6
2006-05-01,158.9
2006-06-01,159.5
2006-07-01,160.3
2006-08-01,163.9
2006-09-01,166.6
2006-10-01,167.1
2006-11-01,167.4
2006-12-01,167.6
2007-01-01,167.624
2007-02-01,167.927
2007-03-01,168.114
2007-04-01,168.152
2007-05-01,168.403
2007-06-01,168.601
2007-07-01,169.49
2007-08-01,172.873
2007-09-01,175.486
2007-10-01,176.339
2007-11-01,176.717
2007-12-01,176.927
2008-01-01,177.44
2008-02-01,177.46
2008-03-01,177.407
2008-04-01,177.754
