"Date","CWSR0000SEFV05"
1998-01-01,100.1
1998-02-01,100.4
1998-03-01,100.5
1998-04-01,100.8
1998-05-01,101
1998-06-01,101.4
1998-07-01,101.6
1998-08-01,102.1
1998-09-01,102.4
1998-10-01,102.3
1998-11-01,103
1998-12-01,103.3
1999-01-01,103.6
1999-02-01,103.7
1999-03-01,104
1999-04-01,104.3
1999-05-01,104.5
1999-06-01,105
1999-07-01,105.4
1999-08-01,105.7
1999-09-01,105.8
1999-10-01,106.1
1999-11-01,106.4
1999-12-01,106.8
2000-01-01,107.4
2000-02-01,107.9
2000-03-01,108
2000-04-01,108.5
2000-05-01,108.8
2000-06-01,108.8
2000-07-01,108.9
2000-08-01,109.6
2000-09-01,110
2000-10-01,110.5
2000-11-01,110.8
2000-12-01,111.3
2001-01-01,111.5
2001-02-01,111.7
2001-03-01,112
2001-04-01,112.2
2001-05-01,112.8
2001-06-01,113.1
2001-07-01,114.1
2001-08-01,114.4
2001-09-01,115.3
2001-10-01,115.3
2001-11-01,115.5
2001-12-01,115.7
2002-01-01,115.9
2002-02-01,116.1
2002-03-01,117
2002-04-01,117.5
2002-05-01,117.9
2002-06-01,118.3
2002-07-01,118.3
2002-08-01,118.5
2002-09-01,119
2002-10-01,119.2
2002-11-01,119.7
2002-12-01,120.1
2003-01-01,120.2
2003-02-01,120.4
2003-03-01,120.7
2003-04-01,120.8
2003-05-01,120.8
2003-06-01,121.3
2003-07-01,121.4
2003-08-01,121.6
2003-09-01,122
2003-10-01,122.5
2003-11-01,122.9
2003-12-01,123.1
2004-01-01,123.6
2004-02-01,123.8
2004-03-01,123.8
2004-04-01,124.3
2004-05-01,124.6
2004-06-01,124.7
2004-07-01,124.9
2004-08-01,125.2
2004-09-01,125.8
2004-10-01,126.8
2004-11-01,126.8
2004-12-01,127
2005-01-01,127.3
2005-02-01,128.4
2005-03-01,129.1
2005-04-01,129.2
2005-05-01,129.6
2005-06-01,131.5
2005-07-01,131.8
2005-08-01,132.4
2005-09-01,133
2005-10-01,133.3
2005-11-01,133.5
2005-12-01,133.6
2006-01-01,133.7
2006-02-01,134.4
2006-03-01,134.8
2006-04-01,135.6
2006-05-01,135.8
2006-06-01,136
2006-07-01,136.3
2006-08-01,136.7
2006-09-01,137.1
2006-10-01,137.5
2006-11-01,138.3
2006-12-01,138.7
2007-01-01,140.499
2007-02-01,141.274
2007-03-01,141.119
2007-04-01,142.991
2007-05-01,143.031
2007-06-01,143.018
2007-07-01,144.439
2007-08-01,144.938
2007-09-01,145.783
2007-10-01,144.764
2007-11-01,145.233
2007-12-01,144.454
2008-01-01,145.625
2008-02-01,146.924
2008-03-01,147.188
2008-04-01,147.335
2008-05-01,148.517
2008-06-01,149.306
2008-07-01,150.232
2008-08-01,150.301
2008-09-01,151.321
2008-10-01,152.91
2008-11-01,153.464
2008-12-01,153.646
2009-01-01,153.397
2009-02-01,154.52
2009-03-01,154.054
2009-04-01,154.414
2009-05-01,154.409
2009-06-01,155.091
2009-07-01,156.904
2009-08-01,156.769
2009-09-01,157.132
2009-10-01,156.909
2009-11-01,156.853
2009-12-01,156.83
2010-01-01,157.67
2010-02-01,158.826
2010-03-01,159.023
2010-04-01,159.088
2010-05-01,158.901
2010-06-01,159.601
2010-07-01,159.725
2010-08-01,159.866
2010-09-01,160.755
2010-10-01,160.988
2010-11-01,161.428
2010-12-01,161.657
2011-01-01,161.635
2011-02-01,162.728
2011-03-01,162.85
2011-04-01,163.275
2011-05-01,163.498
2011-06-01,163.524
2011-07-01,164.167
2011-08-01,164.551
2011-09-01,164.421
2011-10-01,165.008
2011-11-01,165.228
2011-12-01,165.205
2012-01-01,166.216
2012-02-01,165.955
2012-03-01,165.661
2012-04-01,165.82
2012-05-01,165.994
2012-06-01,166.614
2012-07-01,166.731
2012-08-01,167.096
2012-09-01,167.495
2012-10-01,167.622
2012-11-01,167.942
2012-12-01,167.933
2013-01-01,168.36
2013-02-01,168.227
2013-03-01,168.984
2013-04-01,169.792
2013-05-01,169.521
2013-06-01,169.684
2013-07-01,169.707
2013-08-01,169.958
2013-09-01,170.651
2013-10-01,170.863
2013-11-01,172.065
2013-12-01,171.872
2014-01-01,171.627
2014-02-01,172.298
2014-03-01,173.599
2014-04-01,174.116
2014-05-01,174.627
2014-06-01,175.184
2014-07-01,175.014
2014-08-01,174.829
2014-09-01,175.183
2014-10-01,175.011
2014-11-01,175.446
2014-12-01,175.7
2015-01-01,175.81
2015-02-01,177.355
2015-03-01,178.476
2015-04-01,178.816
2015-05-01,180.239
2015-06-01,181.923
2015-07-01,181.855
2015-08-01,181.736
2015-09-01,181.636
2015-10-01,181.706
2015-11-01,182.637
2015-12-01,183.048
2016-01-01,183.271
2016-02-01,183.37
2016-03-01,183.347
2016-04-01,183.627
2016-05-01,183.861
2016-06-01,183.931
2016-07-01,184.069
2016-08-01,184.261
2016-09-01,183.837
2016-10-01,184.261
2016-11-01,184.259
2016-12-01,183.73
2017-01-01,184.396
2017-02-01,184.708
2017-03-01,185.081
2017-04-01,184.807
2017-05-01,184.732
2017-06-01,184.905
2017-07-01,184.95
2017-08-01,186.118
2017-09-01,186.52
2017-10-01,186.756
2017-11-01,187.499
2017-12-01,187.898
2018-01-01,188.583
2018-02-01,188.588
2018-03-01,188.322
2018-04-01,193.465
2018-05-01,193.584
2018-06-01,193.602
2018-07-01,194.133
2018-08-01,194.075
2018-09-01,194.218
2018-10-01,194.43
2018-11-01,195.788
2018-12-01,196.062
2019-01-01,196.111
2019-02-01,196.034
2019-03-01,197.162
2019-04-01,197.162
2019-05-01,196.26
2019-06-01,197.827
2019-07-01,198.281
2019-08-01,197.893
2019-09-01,198.955
2019-10-01,199.368
2019-11-01,199.368
2019-12-01,199.362
2020-01-01,199.273
2020-02-01,199.443
2020-03-01,199.7
2020-04-01,200.31
2020-05-01,200.758
2020-06-01,202.322
2020-07-01,201.565
2020-08-01,202.614
2020-09-01,203.305
2020-10-01,202.967
2020-11-01,203.213
2020-12-01,203.433
2021-01-01,203.49
2021-02-01,203.831
2021-03-01,204.324
2021-04-01,204.661
2021-05-01,206.428
2021-06-01,206.514
2021-07-01,208.202
2021-08-01,208.485
2021-09-01,211.026
2021-10-01,211.423
2021-11-01,211.344
2021-12-01,212.823
2022-01-01,212.922
2022-02-01,214.468
2022-03-01,214.829
2022-04-01,214.875
2022-05-01,215.872
2022-06-01,219.794
2022-07-01,221.367
2022-08-01,221.666
2022-09-01,222.156
2022-10-01,222.784
2022-11-01,222.84
2022-12-01,224.782
2023-01-01,224.768
2023-02-01,226.421
2023-03-01,227.432
2023-04-01,230.223
2023-05-01,231.572
2023-06-01,234.62
2023-07-01,232.973
2023-08-01,237.202
2023-09-01,239.38
2023-10-01,236.775
2023-11-01,237.157
