"Date","CUUR0000SEFR"
1935-01-01,10.7
1935-02-01,10.7
1935-03-01,10.7
1935-04-01,10.7
1935-05-01,11.2
1935-06-01,11.3
1935-07-01,11.5
1935-08-01,11.6
1935-09-01,11.6
1935-10-01,11.6
1935-11-01,11.7
1935-12-01,11.6
1936-01-01,11.3
1936-02-01,11.1
1936-03-01,11
1936-04-01,11
1936-05-01,11.1
1936-06-01,11.2
1936-07-01,11.3
1936-08-01,11.3
1936-09-01,11.2
1936-10-01,11.1
1936-11-01,10.9
1936-12-01,10.9
1937-01-01,11.1
1937-02-01,11.3
1937-03-01,11.3
1937-04-01,11.3
1937-05-01,11.3
1937-06-01,11.2
1937-07-01,11.1
1937-08-01,11
1937-09-01,11.4
1937-10-01,11.6
1937-11-01,11.5
1937-12-01,11.5
1938-01-01,11.4
1938-02-01,11.4
1938-03-01,11.3
1938-04-01,11.1
1938-05-01,11
1938-06-01,10.9
1938-07-01,10.8
1938-08-01,10.7
1938-09-01,10.6
1938-10-01,10.6
1938-11-01,10.6
1938-12-01,10.7
1939-01-01,10.6
1939-02-01,10.6
1939-03-01,10.6
1939-04-01,10.6
1939-05-01,10.6
1939-06-01,10.7
1939-07-01,10.7
1939-08-01,10.7
1939-09-01,13.3
1939-10-01,12.9
1939-11-01,12.1
1939-12-01,11.6
1940-01-01,11.2
1940-02-01,11.1
1940-03-01,11
1940-04-01,10.9
1940-05-01,10.9
1940-06-01,10.9
1940-07-01,10.7
1940-08-01,10.7
1940-09-01,10.6
1940-10-01,10.6
1940-11-01,10.6
1940-12-01,10.6
1941-01-01,10.6
1941-02-01,10.7
1941-03-01,11
1941-04-01,11.7
1941-05-01,12
1941-06-01,12
1941-07-01,12
1941-08-01,12.2
1941-09-01,12.5
1941-10-01,12.5
1941-11-01,12.6
1941-12-01,12.8
1942-01-01,13.2
1942-02-01,14.3
1942-03-01,14.3
1942-04-01,14.3
1942-05-01,14.2
1942-06-01,14.2
1942-07-01,14.1
1942-08-01,14.2
1942-09-01,14.2
1942-10-01,14.2
1942-11-01,14.2
1942-12-01,14.3
1943-01-01,14.2
1943-02-01,14.2
1943-03-01,14.3
1943-04-01,14.3
1943-05-01,14.3
1943-06-01,14.1
1943-07-01,14.1
1943-08-01,14.1
1943-09-01,14.2
1943-10-01,14.2
1943-11-01,14.1
1943-12-01,14.2
1944-01-01,14.1
1944-02-01,14.1
1944-03-01,14.1
1944-04-01,14.1
1944-05-01,14.1
1944-06-01,14.1
1944-07-01,14.1
1944-08-01,14.1
1944-09-01,14.1
1944-10-01,14.1
1944-11-01,14.1
1944-12-01,14.1
1945-01-01,14.1
1945-02-01,14.1
1945-03-01,14.1
1945-04-01,14.1
1945-05-01,14.1
1945-06-01,14.1
1945-07-01,14.1
1945-08-01,14.1
1945-09-01,14.1
1945-10-01,14.1
1945-11-01,14.1
1945-12-01,14.1
1946-01-01,14.1
1946-02-01,14.2
1946-03-01,14.8
1946-04-01,15.1
1946-05-01,15.2
1946-06-01,15.2
1946-07-01,15.5
1946-08-01,15.7
1946-09-01,15.8
1946-10-01,18.7
1946-11-01,19
1946-12-01,19.6
1947-01-01,19.7
1947-02-01,19.9
1947-03-01,19.9
1947-04-01,20
1947-05-01,20
1947-06-01,20.1
1947-07-01,20.1
1947-08-01,20.1
1947-09-01,20.2
1947-10-01,20.3
1947-11-01,20.5
1947-12-01,20.5
1948-01-01,20.5
1948-02-01,19.8
1948-03-01,19.5
1948-04-01,19.4
1948-05-01,19.3
1948-06-01,19
1948-07-01,19.1
1948-08-01,19.3
1948-09-01,19.4
1948-10-01,19.3
1948-11-01,19.4
1948-12-01,19.3
1949-01-01,19.4
1949-02-01,19.5
1949-03-01,19.6
1949-04-01,19.7
1949-05-01,19.7
1949-06-01,19.7
1949-07-01,19.7
1949-08-01,19.7
1949-09-01,19.8
1949-10-01,19.8
1949-11-01,20
1949-12-01,19.9
1950-01-01,20
1950-02-01,19.9
1950-03-01,19.8
1950-04-01,19.5
1950-05-01,19.5
1950-06-01,19.5
1950-07-01,19.6
1950-08-01,20.7
1950-09-01,20.7
1950-10-01,20.6
1950-11-01,20.6
1950-12-01,20.7
1951-01-01,20.7
1951-02-01,20.8
1951-03-01,20.8
1951-04-01,20.8
1951-05-01,20.7
1951-06-01,20.8
1951-07-01,21
1951-08-01,21
1951-09-01,21
1951-10-01,20.9
1951-11-01,20.8
1951-12-01,20.8
1952-01-01,20.8
1952-02-01,20.7
1952-03-01,20.6
1952-04-01,20.8
1952-05-01,20.9
1952-06-01,21
1952-07-01,21.1
1952-08-01,21.2
1952-09-01,21.3
1952-10-01,21.3
1952-11-01,21.3
1952-12-01,21.3
1953-01-01,21.2
1953-02-01,21.2
1953-03-01,21.2
1953-04-01,21.2
1953-05-01,21.2
1953-06-01,21.2
1953-07-01,21.3
1953-08-01,21.3
1953-09-01,21.3
1953-10-01,21.4
1953-11-01,21.3
1953-12-01,21.3
1954-01-01,21.3
1954-02-01,21.2
1954-03-01,21.2
1954-04-01,21.3
1954-05-01,21.4
1954-06-01,21.6
1954-07-01,21.7
1954-08-01,21.8
1954-09-01,22
1954-10-01,22.1
1954-11-01,22.3
1954-12-01,22.4
1955-01-01,22.4
1955-02-01,22.4
1955-03-01,22.4
1955-04-01,22.4
1955-05-01,22.4
1955-06-01,22.3
1955-07-01,22.3
1955-08-01,22.3
1955-09-01,22.3
1955-10-01,21.8
1955-11-01,21.6
1955-12-01,21.5
1956-01-01,21.5
1956-02-01,21.5
1956-03-01,21.5
1956-04-01,21.5
1956-05-01,21.5
1956-06-01,21.6
1956-07-01,21.6
1956-08-01,21.7
1956-09-01,21.7
1956-10-01,21.8
1956-11-01,21.8
1956-12-01,21.9
1957-01-01,22
1957-02-01,22.1
1957-03-01,22.2
1957-04-01,22.2
1957-05-01,22.3
1957-06-01,22.3
1957-07-01,22.3
1957-08-01,22.4
1957-09-01,22.4
1957-10-01,22.4
1957-11-01,22.4
1957-12-01,22.4
1958-01-01,22.5
1958-02-01,22.4
1958-03-01,22.5
1958-04-01,23.1
1958-05-01,23.4
1958-06-01,23.6
1958-07-01,23.6
1958-08-01,23.7
1958-09-01,23.7
1958-10-01,23.7
1958-11-01,23.7
1958-12-01,23.7
1959-01-01,23.7
1959-02-01,23.7
1959-03-01,23.7
1959-04-01,23.7
1959-05-01,23.7
1959-06-01,23.7
1959-07-01,23.8
1959-08-01,23.8
1959-09-01,23.9
1959-10-01,23.9
1959-11-01,23.9
1959-12-01,23.9
1960-01-01,24
1960-02-01,23.9
1960-03-01,23.9
1960-04-01,23.9
1960-05-01,23.9
1960-06-01,23.9
1960-07-01,23.9
1960-08-01,24.1
1960-09-01,24.2
1960-10-01,24.1
1960-11-01,23.7
1960-12-01,23.6
1961-01-01,23.5
1961-02-01,23.5
1961-03-01,23.5
1961-04-01,23.5
1961-05-01,23.5
1961-06-01,23.5
1961-07-01,23.4
1961-08-01,23.4
1961-09-01,23.3
1961-10-01,23.4
1961-11-01,23.4
1961-12-01,23.4
1962-01-01,23.4
1962-02-01,23.4
1962-03-01,23.4
1962-04-01,23.4
1962-05-01,23.4
1962-06-01,23.4
1962-07-01,23.5
1962-08-01,23.5
1962-09-01,23.5
1962-10-01,23.5
1962-11-01,23.6
1962-12-01,23.6
1963-01-01,23.6
1963-02-01,23.7
1963-03-01,23.8
1963-04-01,23.8
1963-05-01,24.5
1963-06-01,28
1963-07-01,27.3
1963-08-01,26.4
1963-09-01,25.4
1963-10-01,25.4
1963-11-01,26.4
1963-12-01,27.1
