"Date","CWSR0000SAS2RS"
1990-01-01,128
1990-02-01,128.2
1990-03-01,129.2
1990-04-01,129.7
1990-05-01,130.1
1990-06-01,131
1990-07-01,131.9
1990-08-01,133
1990-09-01,133.4
1990-10-01,133.6
1990-11-01,133.8
1990-12-01,134.2
1991-01-01,134.9
1991-02-01,135.4
1991-03-01,135.7
1991-04-01,136.2
1991-05-01,136.5
1991-06-01,136.8
1991-07-01,137.1
1991-08-01,137.4
1991-09-01,137.9
1991-10-01,138.4
1991-11-01,138.9
1991-12-01,139.5
1992-01-01,139.9
1992-02-01,140.1
1992-03-01,140.6
1992-04-01,140.8
1992-05-01,141.1
1992-06-01,141.5
1992-07-01,141.8
1992-08-01,142.1
1992-09-01,142.1
1992-10-01,142.7
1992-11-01,143.2
1992-12-01,143.4
1993-01-01,143.9
1993-02-01,144.3
1993-03-01,144.5
1993-04-01,145
1993-05-01,145.3
1993-06-01,145.8
1993-07-01,145.9
1993-08-01,146.2
1993-09-01,146.5
1993-10-01,146.9
1993-11-01,147.2
1993-12-01,147.8
1994-01-01,148.1
1994-02-01,148.7
1994-03-01,149.2
1994-04-01,149.4
1994-05-01,149.7
1994-06-01,150
1994-07-01,150.3
1994-08-01,150.9
1994-09-01,151.4
1994-10-01,151.8
1994-11-01,152.2
1994-12-01,152.2
1995-01-01,152.6
1995-02-01,153.1
1995-03-01,153.5
1995-04-01,154
1995-05-01,154.5
1995-06-01,154.8
1995-07-01,155.3
1995-08-01,155.6
1995-09-01,156.1
1995-10-01,156.6
1995-11-01,157
1995-12-01,157.4
1996-01-01,157.8
1996-02-01,158.2
1996-03-01,158.6
1996-04-01,158.9
1996-05-01,159.3
1996-06-01,159.6
1996-07-01,160.3
1996-08-01,160.6
1996-09-01,160.9
1996-10-01,161.3
1996-11-01,161.6
1996-12-01,161.9
1997-01-01,162.5
1997-02-01,162.9
1997-03-01,163.2
1997-04-01,163.6
1997-05-01,164.1
1997-06-01,164.5
1997-07-01,165
1997-08-01,165.4
1997-09-01,165.8
1997-10-01,166.2
1997-11-01,166.6
1997-12-01,167.2
1998-01-01,167.6
1998-02-01,168
1998-03-01,168.3
1998-04-01,168.9
1998-05-01,169.3
1998-06-01,169.8
1998-07-01,170.1
1998-08-01,170.7
1998-09-01,171.3
1998-10-01,171.8
1998-11-01,172.3
1998-12-01,172.8
1999-01-01,172.8
1999-02-01,173.1
1999-03-01,173.5
1999-04-01,174
1999-05-01,174.3
1999-06-01,174.6
1999-07-01,175.1
1999-08-01,175.3
1999-09-01,175.8
1999-10-01,176.1
1999-11-01,176.6
1999-12-01,177.1
2000-01-01,177.9
2000-02-01,178.3
2000-03-01,178.8
2000-04-01,179.1
2000-05-01,179.7
2000-06-01,180.2
2000-07-01,180.8
2000-08-01,181.2
2000-09-01,181.8
2000-10-01,182.3
2000-11-01,182.8
2000-12-01,183.2
2001-01-01,183.8
2001-02-01,184.3
2001-03-01,185.1
2001-04-01,185.6
2001-05-01,186.3
2001-06-01,187.1
2001-07-01,187.6
2001-08-01,188.4
2001-09-01,188.8
2001-10-01,189.3
2001-11-01,190.3
2001-12-01,191.1
2002-01-01,191.6
2002-02-01,192.3
2002-03-01,192.8
2002-04-01,193.4
2002-05-01,193.9
2002-06-01,194.2
2002-07-01,194.6
2002-08-01,195.1
2002-09-01,195.6
2002-10-01,196.1
2002-11-01,196.6
2002-12-01,197.1
2003-01-01,197.5
2003-02-01,197.8
2003-03-01,197.9
2003-04-01,198
2003-05-01,198.8
2003-06-01,198.8
2003-07-01,199.2
2003-08-01,199.6
2003-09-01,200
2003-10-01,200.6
2003-11-01,201
2003-12-01,201.4
2004-01-01,201.6
2004-02-01,201.9
2004-03-01,202.8
2004-04-01,203.4
2004-05-01,203.8
2004-06-01,204.3
2004-07-01,204.8
2004-08-01,205.1
2004-09-01,205.7
2004-10-01,205.9
2004-11-01,206
2004-12-01,206.4
2005-01-01,206.9
2005-02-01,207.6
2005-03-01,208.4
2005-04-01,208.5
2005-05-01,208.7
2005-06-01,209.1
2005-07-01,209.8
2005-08-01,210
2005-09-01,210
2005-10-01,210.8
2005-11-01,211.4
2005-12-01,212
2006-01-01,212.4
2006-02-01,213.1
2006-03-01,213.9
2006-04-01,214.6
2006-05-01,215.5
2006-06-01,216.3
2006-07-01,217.1
2006-08-01,217.9
2006-09-01,218.6
2006-10-01,219.4
2006-11-01,220
2006-12-01,220.7
2007-01-01,221.315
2007-02-01,222.134
2007-03-01,222.625
2007-04-01,223.277
2007-05-01,223.803
2007-06-01,224.424
2007-07-01,224.995
2007-08-01,225.458
2007-09-01,226.038
2007-10-01,226.522
2007-11-01,227.092
2007-12-01,227.681
2008-01-01,228.253
2008-02-01,228.648
2008-03-01,229.147
2008-04-01,229.475
2008-05-01,229.808
2008-06-01,230.375
2008-07-01,230.861
2008-08-01,231.221
2008-09-01,231.685
2008-10-01,232.028
2008-11-01,232.476
2008-12-01,232.604
2009-01-01,233.092
2009-02-01,233.33
2009-03-01,233.659
2009-04-01,233.966
2009-05-01,234.236
2009-06-01,234.303
2009-07-01,234.229
2009-08-01,234.367
2009-09-01,234.201
2009-10-01,234.192
2009-11-01,233.737
2009-12-01,233.607
2010-01-01,233.318
2010-02-01,233.21
2010-03-01,233.087
2010-04-01,233.105
2010-05-01,233.207
2010-06-01,233.326
2010-07-01,233.421
2010-08-01,233.362
2010-09-01,233.626
2010-10-01,233.792
2010-11-01,234.148
2010-12-01,234.455
2011-01-01,234.761
2011-02-01,235.076
2011-03-01,235.274
2011-04-01,235.493
2011-05-01,235.761
2011-06-01,236.15
2011-07-01,236.637
2011-08-01,237.16
2011-09-01,237.507
2011-10-01,237.977
2011-11-01,238.442
2011-12-01,239.007
2012-01-01,239.382
2012-02-01,239.774
2012-03-01,240.241
2012-04-01,240.739
2012-05-01,241.115
2012-06-01,241.402
2012-07-01,241.793
2012-08-01,242.226
2012-09-01,242.805
2012-10-01,243.373
2012-11-01,243.798
2012-12-01,244.203
2013-01-01,244.626
2013-02-01,245.119
2013-03-01,245.568
2013-04-01,246.044
2013-05-01,246.645
2013-06-01,247.124
2013-07-01,247.545
2013-08-01,248.156
2013-09-01,248.619
2013-10-01,249.007
2013-11-01,249.682
2013-12-01,250.368
2014-01-01,250.948
2014-02-01,251.457
2014-03-01,252.224
2014-04-01,252.828
2014-05-01,253.465
2014-06-01,253.991
2014-07-01,254.647
2014-08-01,255.158
2014-09-01,255.775
2014-10-01,256.319
2014-11-01,257.01
2014-12-01,257.509
2015-01-01,258.215
2015-02-01,258.891
2015-03-01,259.675
2015-04-01,260.302
2015-05-01,260.826
2015-06-01,261.637
2015-07-01,262.549
2015-08-01,263.148
2015-09-01,263.925
2015-10-01,264.559
2015-11-01,265.202
2015-12-01,265.84
2016-01-01,266.666
2016-02-01,267.417
2016-03-01,268.043
2016-04-01,268.702
2016-05-01,269.616
2016-06-01,270.568
2016-07-01,271.267
2016-08-01,272.041
2016-09-01,272.951
2016-10-01,273.859
2016-11-01,274.683
2016-12-01,275.491
2017-01-01,276.157
2017-02-01,276.938
2017-03-01,277.456
2017-04-01,278.103
2017-05-01,278.814
2017-06-01,279.591
2017-07-01,280.096
2017-08-01,281.227
2017-09-01,282.02
2017-10-01,282.969
2017-11-01,283.693
2017-12-01,284.647
2018-01-01,285.423
2018-02-01,286.004
2018-03-01,286.926
2018-04-01,287.904
2018-05-01,288.791
2018-06-01,289.221
2018-07-01,289.969
2018-08-01,290.898
2018-09-01,291.45
2018-10-01,292.209
2018-11-01,293.155
2018-12-01,293.839
2019-01-01,294.737
2019-02-01,295.725
2019-03-01,296.77
2019-04-01,297.995
2019-05-01,298.65
2019-06-01,299.576
2019-07-01,300.352
2019-08-01,300.943
2019-09-01,301.967
2019-10-01,302.354
2019-11-01,303.112
2019-12-01,303.777
2020-01-01,304.884
2020-02-01,305.81
2020-03-01,306.206
2020-04-01,306.404
2020-05-01,306.973
2020-06-01,307.235
2020-07-01,307.899
2020-08-01,308.365
2020-09-01,308.639
2020-10-01,309.094
2020-11-01,309.439
2020-12-01,309.845
2021-01-01,310.374
2021-02-01,310.936
2021-03-01,311.755
2021-04-01,312.838
2021-05-01,313.763
2021-06-01,315.01
2021-07-01,316.273
2021-08-01,316.995
2021-09-01,318.25
2021-10-01,319.613
2021-11-01,321.139
2021-12-01,322.407
2022-01-01,323.85
2022-02-01,325.566
2022-03-01,327.156
2022-04-01,328.949
2022-05-01,330.892
2022-06-01,332.982
2022-07-01,334.974
2022-08-01,337.4
2022-09-01,339.95
2022-10-01,342.4
2022-11-01,344.746
2022-12-01,347.435
2023-01-01,350.179
2023-02-01,352.698
2023-03-01,354.961
2023-04-01,356.699
2023-05-01,358.327
2023-06-01,359.824
2023-07-01,361.231
2023-08-01,362.395
2023-09-01,364.601
2023-10-01,365.891
2023-11-01,367.536
