"Date","CWUR0000SAS2RS"
1994-10-01,151.8
1994-11-01,151.9
1994-12-01,151.7
1995-01-01,152.5
1995-02-01,153.3
1995-03-01,153.8
1995-04-01,154
1995-05-01,154.2
1995-06-01,154.8
1995-07-01,155.5
1995-08-01,156
1995-09-01,156.1
1995-10-01,156.6
1995-11-01,156.7
1995-12-01,156.9
1996-01-01,157.7
1996-02-01,158.4
1996-03-01,158.9
1996-04-01,159
1996-05-01,159.1
1996-06-01,159.6
1996-07-01,160.6
1996-08-01,161
1996-09-01,160.9
1996-10-01,161.3
1996-11-01,161.3
1996-12-01,161.4
1997-01-01,162.3
1997-02-01,163
1997-03-01,163.5
1997-04-01,163.7
1997-05-01,163.9
1997-06-01,164.5
1997-07-01,165.3
1997-08-01,165.8
1997-09-01,165.8
1997-10-01,166.2
1997-11-01,166.3
1997-12-01,166.6
1998-01-01,167.4
1998-02-01,168.1
1998-03-01,168.6
1998-04-01,169
1998-05-01,169.2
1998-06-01,169.8
1998-07-01,170.4
1998-08-01,171
1998-09-01,171.3
1998-10-01,171.8
1998-11-01,172
1998-12-01,172.2
1999-01-01,172.7
1999-02-01,173.2
1999-03-01,173.8
1999-04-01,174.1
1999-05-01,174.2
1999-06-01,174.7
1999-07-01,175.3
1999-08-01,175.6
1999-09-01,175.8
1999-10-01,176.1
1999-11-01,176.3
1999-12-01,176.5
2000-01-01,177.7
2000-02-01,178.4
2000-03-01,179.1
2000-04-01,179.3
2000-05-01,179.6
2000-06-01,180.3
2000-07-01,181
2000-08-01,181.5
2000-09-01,181.7
2000-10-01,182.3
2000-11-01,182.5
2000-12-01,182.6
2001-01-01,183.6
2001-02-01,184.4
2001-03-01,185.5
2001-04-01,185.8
2001-05-01,186.3
2001-06-01,187.2
2001-07-01,187.8
2001-08-01,188.7
2001-09-01,188.7
2001-10-01,189.3
2001-11-01,189.9
2001-12-01,190.4
2002-01-01,191.4
2002-02-01,192.5
2002-03-01,193.2
2002-04-01,193.7
2002-05-01,193.9
2002-06-01,194.3
2002-07-01,194.8
2002-08-01,195.5
2002-09-01,195.5
2002-10-01,196.1
2002-11-01,196.2
2002-12-01,196.3
2003-01-01,197.3
2003-02-01,197.9
2003-03-01,198.3
2003-04-01,198.3
2003-05-01,198.8
2003-06-01,198.9
2003-07-01,199.5
2003-08-01,200
2003-09-01,199.9
2003-10-01,200.6
2003-11-01,200.5
2003-12-01,200.6
2004-01-01,201.4
2004-02-01,202
2004-03-01,203.2
2004-04-01,203.7
2004-05-01,203.9
2004-06-01,204.4
2004-07-01,205.1
2004-08-01,205.5
2004-09-01,205.5
2004-10-01,205.9
2004-11-01,205.5
2004-12-01,205.6
2005-01-01,206.5
2005-02-01,207.7
2005-03-01,208.8
2005-04-01,208.9
2005-05-01,208.8
2005-06-01,209.3
2005-07-01,210.2
2005-08-01,210.4
2005-09-01,209.9
2005-10-01,210.8
2005-11-01,210.9
2005-12-01,211.2
2006-01-01,211.9
2006-02-01,213.1
2006-03-01,214.3
2006-04-01,215
2006-05-01,215.6
2006-06-01,216.5
2006-07-01,217.6
2006-08-01,218.3
2006-09-01,218.4
2006-10-01,219.3
2006-11-01,219.5
2006-12-01,220
2007-01-01,221.062
2007-02-01,222.15
2007-03-01,222.97
2007-04-01,223.59
2007-05-01,223.833
2007-06-01,224.655
2007-07-01,225.455
2007-08-01,225.76
2007-09-01,225.867
2007-10-01,226.393
2007-11-01,226.636
2007-12-01,227.035
2008-01-01,228.071
2008-02-01,228.66
2008-03-01,229.443
2008-04-01,229.719
2008-05-01,229.81
2008-06-01,230.62
2008-07-01,231.255
2008-08-01,231.445
2008-09-01,231.541
2008-10-01,231.885
2008-11-01,232.096
2008-12-01,232.112
2009-01-01,232.981
2009-02-01,233.365
2009-03-01,233.903
2009-04-01,234.148
2009-05-01,234.229
2009-06-01,234.511
2009-07-01,234.515
2009-08-01,234.537
2009-09-01,234.079
2009-10-01,234.064
2009-11-01,233.436
2009-12-01,233.241
2010-01-01,233.252
2010-02-01,233.234
2010-03-01,233.25
2010-04-01,233.21
2010-05-01,233.184
2010-06-01,233.46
2010-07-01,233.588
2010-08-01,233.478
2010-09-01,233.516
2010-10-01,233.679
2010-11-01,233.956
2010-12-01,234.278
2011-01-01,234.715
2011-02-01,235.09
2011-03-01,235.413
2011-04-01,235.544
2011-05-01,235.734
2011-06-01,236.207
2011-07-01,236.781
2011-08-01,237.244
2011-09-01,237.418
2011-10-01,237.944
2011-11-01,238.318
2011-12-01,238.834
2012-01-01,239.387
2012-02-01,239.82
2012-03-01,240.373
2012-04-01,240.748
2012-05-01,241.058
2012-06-01,241.38
2012-07-01,241.843
2012-08-01,242.294
2012-09-01,242.751
2012-10-01,243.405
2012-11-01,243.716
2012-12-01,244.077
2013-01-01,244.683
2013-02-01,245.214
2013-03-01,245.719
2013-04-01,246.052
2013-05-01,246.58
2013-06-01,247.064
2013-07-01,247.531
2013-08-01,248.169
2013-09-01,248.567
2013-10-01,249.049
2013-11-01,249.643
2013-12-01,250.288
2014-01-01,250.97
2014-02-01,251.509
2014-03-01,252.343
2014-04-01,252.8
2014-05-01,253.427
2014-06-01,253.944
2014-07-01,254.612
2014-08-01,255.184
2014-09-01,255.757
2014-10-01,256.418
2014-11-01,256.989
2014-12-01,257.423
2015-01-01,258.218
2015-02-01,258.902
2015-03-01,259.749
2015-04-01,260.268
2015-05-01,260.782
2015-06-01,261.617
2015-07-01,262.542
2015-08-01,263.202
2015-09-01,263.926
2015-10-01,264.673
2015-11-01,265.187
2015-12-01,265.732
2016-01-01,266.642
2016-02-01,267.405
2016-03-01,268.083
2016-04-01,268.642
2016-05-01,269.573
2016-06-01,270.579
2016-07-01,271.325
2016-08-01,272.135
2016-09-01,272.959
2016-10-01,273.948
2016-11-01,274.638
2016-12-01,275.362
2017-01-01,276.12
2017-02-01,276.898
2017-03-01,277.466
2017-04-01,278.02
2017-05-01,278.747
2017-06-01,279.632
2017-07-01,280.206
2017-08-01,281.364
2017-09-01,282.039
2017-10-01,283.043
2017-11-01,283.637
2017-12-01,284.519
2018-01-01,285.352
2018-02-01,285.954
2018-03-01,286.925
2018-04-01,287.776
2018-05-01,288.749
2018-06-01,289.31
2018-07-01,290.118
2018-08-01,291.063
2018-09-01,291.505
2018-10-01,292.262
2018-11-01,293.074
2018-12-01,293.697
2019-01-01,294.621
2019-02-01,295.66
2019-03-01,296.768
2019-04-01,297.864
2019-05-01,298.639
2019-06-01,299.708
2019-07-01,300.531
2019-08-01,301.131
2019-09-01,302.041
2019-10-01,302.39
2019-11-01,303.015
2019-12-01,303.608
2020-01-01,304.719
2020-02-01,305.73
2020-03-01,306.198
2020-04-01,306.267
2020-05-01,306.968
2020-06-01,307.406
2020-07-01,308.1
2020-08-01,308.55
2020-09-01,308.743
2020-10-01,309.133
2020-11-01,309.339
2020-12-01,309.674
2021-01-01,310.178
2021-02-01,310.855
2021-03-01,311.734
2021-04-01,312.677
2021-05-01,313.752
2021-06-01,315.2
2021-07-01,316.478
2021-08-01,317.178
2021-09-01,318.38
2021-10-01,319.68
2021-11-01,321.049
2021-12-01,322.243
2022-01-01,323.629
2022-02-01,325.479
2022-03-01,327.11
2022-04-01,328.763
2022-05-01,330.86
2022-06-01,333.192
2022-07-01,335.183
2022-08-01,337.582
2022-09-01,340.1
2022-10-01,342.502
2022-11-01,344.671
2022-12-01,347.288
2023-01-01,349.941
2023-02-01,352.603
2023-03-01,354.911
2023-04-01,356.495
2023-05-01,358.291
2023-06-01,360.051
2023-07-01,361.455
2023-08-01,362.591
2023-09-01,364.761
2023-10-01,366.001
2023-11-01,367.455
