"Date","CWUR0000SAS2RS"
1985-01-01,100.3
1985-02-01,100.8
1985-03-01,101.1
1985-04-01,101.6
1985-05-01,102.6
1985-06-01,102.9
1985-07-01,103.5
1985-08-01,104.3
1985-09-01,104.5
1985-10-01,105.1
1985-11-01,105.8
1985-12-01,106.1
1986-01-01,106.4
1986-02-01,106.7
1986-03-01,107.4
1986-04-01,108.3
1986-05-01,108.5
1986-06-01,108.7
1986-07-01,109.2
1986-08-01,109.6
1986-09-01,110.3
1986-10-01,110.8
1986-11-01,111
1986-12-01,111.1
1987-01-01,111.5
1987-02-01,111.9
1987-03-01,112.5
1987-04-01,113
1987-05-01,113.4
1987-06-01,113.5
1987-07-01,114
1987-08-01,114.9
1987-09-01,115.2
1987-10-01,115.9
1987-11-01,116.1
1987-12-01,116.4
1988-01-01,117.1
1988-02-01,117.5
1988-03-01,118
1988-04-01,118.2
1988-05-01,118.5
1988-06-01,119
1988-07-01,119.6
1988-08-01,120.3
1988-09-01,120.7
1988-10-01,121.1
1988-11-01,121.4
1988-12-01,121.5
1989-01-01,121.9
1989-02-01,122.4
1989-03-01,123.1
1989-04-01,123.2
1989-05-01,123.7
1989-06-01,124.2
1989-07-01,125.4
1989-08-01,125.9
1989-09-01,126
1989-10-01,126.7
1989-11-01,127.1
1989-12-01,127.5
1990-01-01,128
1990-02-01,128.2
1990-03-01,129.3
1990-04-01,129.5
1990-05-01,129.8
1990-06-01,130.8
1990-07-01,132.2
1990-08-01,133.4
1990-09-01,133.5
1990-10-01,133.7
1990-11-01,133.7
1990-12-01,133.9
1991-01-01,134.9
1991-02-01,135.4
1991-03-01,135.9
1991-04-01,136
1991-05-01,136.1
1991-06-01,136.6
1991-07-01,137.4
1991-08-01,137.8
1991-09-01,138.1
1991-10-01,138.5
1991-11-01,138.7
1991-12-01,139.1
1992-01-01,139.9
1992-02-01,140.2
1992-03-01,140.8
1992-04-01,140.7
1992-05-01,140.7
1992-06-01,141.4
1992-07-01,142.1
1992-08-01,142.5
1992-09-01,142.2
1992-10-01,142.8
1992-11-01,142.9
1992-12-01,143
1993-01-01,143.9
1993-02-01,144.5
1993-03-01,144.8
1993-04-01,145
1993-05-01,145
1993-06-01,145.7
1993-07-01,146.2
1993-08-01,146.6
1993-09-01,146.6
1993-10-01,146.9
1993-11-01,146.9
1993-12-01,147.3
1994-01-01,148.1
1994-02-01,148.9
1994-03-01,149.5
1994-04-01,149.4
1994-05-01,149.4
1994-06-01,149.9
1994-07-01,150.5
1994-08-01,151.3
1994-09-01,151.4
