"Date","CUUR0000SEHF02"
1935-03-01,12.8
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,12.8
1935-08-01,NA
1935-09-01,NA
1935-10-01,12.8
1935-11-01,NA
1935-12-01,NA
1936-01-01,12.8
1936-02-01,NA
1936-03-01,NA
1936-04-01,12.8
1936-05-01,NA
1936-06-01,NA
1936-07-01,12.7
1936-08-01,NA
1936-09-01,12.7
1936-10-01,NA
1936-11-01,NA
1936-12-01,12.6
1937-01-01,NA
1937-02-01,NA
1937-03-01,12.6
1937-04-01,NA
1937-05-01,NA
1937-06-01,12.6
1937-07-01,NA
1937-08-01,NA
1937-09-01,12.6
1937-10-01,NA
1937-11-01,NA
1937-12-01,12.6
1938-01-01,NA
1938-02-01,NA
1938-03-01,12.8
1938-04-01,NA
1938-05-01,NA
1938-06-01,12.7
1938-07-01,NA
1938-08-01,NA
1938-09-01,12.7
1938-10-01,NA
1938-11-01,NA
1938-12-01,12.7
1939-01-01,NA
1939-02-01,NA
1939-03-01,12.9
1939-04-01,NA
1939-05-01,NA
1939-06-01,12.9
1939-07-01,NA
1939-08-01,NA
1939-09-01,12.8
1939-10-01,NA
1939-11-01,NA
1939-12-01,12.9
1940-01-01,NA
1940-02-01,NA
1940-03-01,12.9
1940-04-01,NA
1940-05-01,NA
1940-06-01,12.7
1940-07-01,NA
1940-08-01,NA
1940-09-01,12.8
1940-10-01,NA
1940-11-01,NA
1940-12-01,12.7
1941-01-01,12.7
1941-02-01,12.7
1941-03-01,12.7
1941-04-01,12.7
1941-05-01,12.7
1941-06-01,12.7
1941-07-01,12.7
1941-08-01,12.7
1941-09-01,12.7
1941-10-01,12.6
1941-11-01,12.6
1941-12-01,12.6
1942-01-01,12.6
1942-02-01,12.6
1942-03-01,12.6
1942-04-01,12.6
1942-05-01,12.6
1942-06-01,12.6
1942-07-01,12.6
1942-08-01,12.6
1942-09-01,12.6
1942-10-01,12.6
1942-11-01,12.6
1942-12-01,12.7
1943-01-01,12.7
1943-02-01,12.5
1943-03-01,12.5
1943-04-01,12.5
1943-05-01,12.5
1943-06-01,12.5
1943-07-01,12.4
1943-08-01,12.4
1943-09-01,12.4
1943-10-01,12.5
1943-11-01,12.5
1943-12-01,12.5
1944-01-01,12.5
1944-02-01,12.5
1944-03-01,12.5
1944-04-01,12.5
1944-05-01,12.5
1944-06-01,12.5
1944-07-01,12.5
1944-08-01,12.4
1944-09-01,12.4
1944-10-01,12.4
1944-11-01,12.4
1944-12-01,12.2
1945-01-01,12.3
1945-02-01,12.3
1945-03-01,12.3
1945-04-01,12.3
1945-05-01,12.3
1945-06-01,12.3
1945-07-01,12.3
1945-08-01,12.3
1945-09-01,12.3
1945-10-01,12.3
1945-11-01,12.2
1945-12-01,12.2
1946-01-01,12.2
1946-02-01,12.2
1946-03-01,12.1
1946-04-01,12.1
1946-05-01,12
1946-06-01,12
1946-07-01,12
1946-08-01,12
1946-09-01,12
1946-10-01,12
1946-11-01,12
1946-12-01,12.1
1947-01-01,NA
1947-02-01,NA
1947-03-01,12.2
1947-04-01,NA
1947-05-01,NA
1947-06-01,12.1
1947-07-01,NA
1947-08-01,NA
1947-09-01,12.2
1947-10-01,NA
1947-11-01,NA
1947-12-01,12.3
1948-01-01,NA
1948-02-01,NA
1948-03-01,12.5
1948-04-01,NA
1948-05-01,NA
1948-06-01,12.6
1948-07-01,NA
1948-08-01,NA
1948-09-01,12.6
1948-10-01,NA
1948-11-01,NA
1948-12-01,12.8
1949-01-01,NA
1949-02-01,NA
1949-03-01,13.1
1949-04-01,NA
1949-05-01,NA
1949-06-01,13.1
1949-07-01,NA
1949-08-01,NA
1949-09-01,13.2
1949-10-01,NA
1949-11-01,NA
1949-12-01,13.3
1950-01-01,NA
1950-02-01,NA
1950-03-01,13.2
1950-04-01,NA
1950-05-01,NA
1950-06-01,13.2
1950-07-01,NA
1950-08-01,NA
1950-09-01,13.2
1950-10-01,NA
1950-11-01,NA
1950-12-01,13.1
1951-01-01,NA
1951-02-01,NA
1951-03-01,13.1
1951-04-01,NA
1951-05-01,NA
1951-06-01,13.1
1951-07-01,NA
1951-08-01,NA
1951-09-01,13.1
1951-10-01,NA
1951-11-01,NA
1951-12-01,13.2
1952-01-01,13.2
1952-02-01,13.3
1952-03-01,13.3
1952-04-01,13.3
1952-05-01,13.3
1952-06-01,13.4
1952-07-01,13.4
1952-08-01,13.4
1952-09-01,13.4
1952-10-01,13.4
1952-11-01,13.5
1952-12-01,13.5
1953-01-01,13.6
1953-02-01,13.6
1953-03-01,13.7
1953-04-01,13.7
1953-05-01,13.7
1953-06-01,13.8
1953-07-01,13.7
1953-08-01,13.9
1953-09-01,13.9
1953-10-01,13.9
1953-11-01,14
1953-12-01,14
1954-01-01,14
1954-02-01,14
1954-03-01,14
1954-04-01,14
1954-05-01,14
1954-06-01,14
1954-07-01,14
1954-08-01,14
1954-09-01,14
1954-10-01,14.1
1954-11-01,14.2
1954-12-01,14.3
1955-01-01,14.4
1955-02-01,14.4
1955-03-01,14.5
1955-04-01,14.5
1955-05-01,14.7
1955-06-01,14.6
1955-07-01,14.6
1955-08-01,14.6
1955-09-01,14.7
1955-10-01,14.7
1955-11-01,14.8
1955-12-01,14.8
1956-01-01,14.8
1956-02-01,14.8
1956-03-01,14.8
1956-04-01,14.8
1956-05-01,14.8
1956-06-01,14.8
1956-07-01,14.8
1956-08-01,14.9
1956-09-01,14.9
1956-10-01,14.9
1956-11-01,14.9
1956-12-01,14.9
1957-01-01,15
1957-02-01,15
1957-03-01,15
1957-04-01,14.9
1957-05-01,14.9
1957-06-01,14.9
1957-07-01,14.9
1957-08-01,15.2
1957-09-01,15.3
1957-10-01,15.3
1957-11-01,15.4
1957-12-01,15.4
1958-01-01,15.7
1958-02-01,15.8
1958-03-01,15.8
1958-04-01,15.8
1958-05-01,15.9
1958-06-01,16
1958-07-01,16
1958-08-01,16.1
1958-09-01,16.2
1958-10-01,16.2
1958-11-01,16.2
1958-12-01,16.3
1959-01-01,16.3
1959-02-01,16.3
1959-03-01,16.3
1959-04-01,16.2
1959-05-01,16.3
1959-06-01,16.4
1959-07-01,16.4
1959-08-01,16.5
1959-09-01,16.9
1959-10-01,16.9
1959-11-01,16.9
1959-12-01,17.1
1960-01-01,17.3
1960-02-01,17.5
1960-03-01,17.5
1960-04-01,17.5
1960-05-01,17.6
1960-06-01,17.6
1960-07-01,17.6
1960-08-01,17.7
1960-09-01,17.9
1960-10-01,17.9
1960-11-01,17.9
1960-12-01,17.8
1961-01-01,17.9
1961-02-01,17.9
1961-03-01,17.9
1961-04-01,17.9
1961-05-01,18
1961-06-01,18
1961-07-01,17.8
1961-08-01,17.8
1961-09-01,17.8
1961-10-01,17.9
1961-11-01,17.8
1961-12-01,17.8
1962-01-01,17.8
1962-02-01,17.9
1962-03-01,17.9
1962-04-01,17.9
1962-05-01,17.9
1962-06-01,17.9
1962-07-01,17.9
1962-08-01,17.9
1962-09-01,17.9
1962-10-01,17.9
1962-11-01,17.9
1962-12-01,17.9
1963-01-01,17.9
1963-02-01,17.9
1963-03-01,17.9
1963-04-01,17.9
1963-05-01,17.9
1963-06-01,17.9
1963-07-01,17.9
1963-08-01,17.4
1963-09-01,17.9
1963-10-01,17.9
1963-11-01,17.9
1963-12-01,17.9
1964-01-01,17.9
1964-02-01,17.3
1964-03-01,17.6
1964-04-01,18
1964-05-01,18
1964-06-01,18.1
1964-07-01,18
1964-08-01,18.1
1964-09-01,18.1
1964-10-01,18.1
1964-11-01,18.1
1964-12-01,18.1
1965-01-01,18
1965-02-01,18
1965-03-01,18
1965-04-01,18
1965-05-01,18
1965-06-01,18
1965-07-01,17.7
1965-08-01,18
1965-09-01,18
1965-10-01,18
1965-11-01,18.1
1965-12-01,18.1
1966-01-01,18
1966-02-01,18.1
1966-03-01,18.1
1966-04-01,18.1
1966-05-01,18.1
1966-06-01,18.1
1966-07-01,18.1
1966-08-01,18.1
1966-09-01,18.1
1966-10-01,18.1
1966-11-01,18.1
1966-12-01,18
1967-01-01,18.1
1967-02-01,18.1
1967-03-01,18.1
1967-04-01,18.1
1967-05-01,18.1
1967-06-01,18
1967-07-01,18.1
1967-08-01,18.1
1967-09-01,18.1
1967-10-01,18
1967-11-01,18.1
1967-12-01,18
1968-01-01,18.1
1968-02-01,18.2
1968-03-01,18.2
1968-04-01,18.2
1968-05-01,18.2
1968-06-01,18.2
1968-07-01,18.3
1968-08-01,18.3
1968-09-01,18.2
1968-10-01,18.1
1968-11-01,18.3
1968-12-01,18.4
1969-01-01,18.4
1969-02-01,18.5
1969-03-01,18.5
1969-04-01,18.5
1969-05-01,18.5
1969-06-01,18.5
1969-07-01,18.4
1969-08-01,18.5
1969-09-01,18.5
1969-10-01,18.6
1969-11-01,18.9
1969-12-01,19
1970-01-01,19.2
1970-02-01,19.3
1970-03-01,19.4
1970-04-01,19.6
1970-05-01,19.6
1970-06-01,19.4
1970-07-01,19.4
1970-08-01,19.6
1970-09-01,19.6
1970-10-01,19.7
1970-11-01,20
1970-12-01,20.1
1971-01-01,20.3
1971-02-01,20.7
1971-03-01,20.7
1971-04-01,20.9
1971-05-01,21
1971-06-01,21
1971-07-01,20.9
1971-08-01,21.1
1971-09-01,21.1
1971-10-01,21.1
1971-11-01,21.3
1971-12-01,21.8
1972-01-01,22
1972-02-01,22
1972-03-01,22.1
1972-04-01,22.1
1972-05-01,22.1
1972-06-01,21.9
1972-07-01,21.9
1972-08-01,21.9
1972-09-01,22
1972-10-01,22
1972-11-01,22.5
1972-12-01,22.6
1973-01-01,22.8
1973-02-01,22.9
1973-03-01,22.9
1973-04-01,22.9
1973-05-01,23
1973-06-01,22.8
1973-07-01,22.8
1973-08-01,22.9
1973-09-01,23
1973-10-01,23.2
1973-11-01,23.9
1973-12-01,24
1974-01-01,24.4
1974-02-01,24.7
1974-03-01,25
1974-04-01,25.2
1974-05-01,25.5
1974-06-01,25.5
1974-07-01,25.9
1974-08-01,26.4
1974-09-01,26.6
1974-10-01,26.9
1974-11-01,27.6
1974-12-01,28.1
1975-01-01,28.8
1975-02-01,29.3
1975-03-01,29.6
1975-04-01,30.4
1975-05-01,30.9
1975-06-01,31.4
1975-07-01,31.2
1975-08-01,31.3
1975-09-01,31.9
1975-10-01,32
1975-11-01,33.1
1975-12-01,33.8
1976-01-01,34
1976-02-01,34.6
1976-03-01,35
1976-04-01,35.2
1976-05-01,35.6
1976-06-01,35.8
1976-07-01,36.1
1976-08-01,36.2
1976-09-01,37
1976-10-01,37.7
1976-11-01,38.5
1976-12-01,40.1
1977-01-01,41
1977-02-01,41.4
1977-03-01,42
1977-04-01,42.5
1977-05-01,43
1977-06-01,43.1
1977-07-01,43.5
1977-08-01,43.6
1977-09-01,43.7
1977-10-01,44.5
1977-11-01,45.1
1977-12-01,45
1978-01-01,45
1978-02-01,45.6
1978-03-01,46.1
1978-04-01,46.7
1978-05-01,47.3
1978-06-01,47.2
1978-07-01,47.2
1978-08-01,47.4
1978-09-01,48.1
1978-10-01,49.9
1978-11-01,49.3
1978-12-01,50
1979-01-01,51.1
1979-02-01,51.3
1979-03-01,51.7
1979-04-01,51.7
1979-05-01,53.6
1979-06-01,54.5
1979-07-01,55.6
1979-08-01,55.9
1979-09-01,57.3
1979-10-01,59.4
1979-11-01,59.4
1979-12-01,60
1980-01-01,60.5
1980-02-01,60.8
1980-03-01,62.1
1980-04-01,62.8
1980-05-01,65.8
1980-06-01,66.2
1980-07-01,67.1
1980-08-01,67.7
1980-09-01,68.6
1980-10-01,69.4
1980-11-01,68.4
1980-12-01,68.9
1981-01-01,69.6
1981-02-01,70.2
1981-03-01,71.3
1981-04-01,72.1
1981-05-01,75.2
1981-06-01,75.3
1981-07-01,75.6
1981-08-01,75.1
1981-09-01,77.9
1981-10-01,78.4
1981-11-01,78.9
1981-12-01,79.1
1982-01-01,80.7
1982-02-01,81.4
1982-03-01,82.8
1982-04-01,84
1982-05-01,89.3
1982-06-01,89.8
1982-07-01,90.3
1982-08-01,90.4
1982-09-01,93.4
1982-10-01,97.9
1982-11-01,98
1982-12-01,99.2
1983-01-01,100.9
1983-02-01,101.1
1983-03-01,102.6
1983-04-01,104.4
1983-05-01,107.2
1983-06-01,106.8
1983-07-01,107.1
1983-08-01,106.5
1983-09-01,106.6
1983-10-01,105.1
1983-11-01,104
1983-12-01,104.4
1984-01-01,103.1
1984-02-01,103.6
1984-03-01,103.2
1984-04-01,103.5
1984-05-01,106.8
1984-06-01,105.8
1984-07-01,106.5
1984-08-01,106.9
1984-09-01,108
1984-10-01,107.8
1984-11-01,105.6
1984-12-01,105.3
1985-01-01,105.2
1985-02-01,104.1
1985-03-01,104.7
1985-04-01,104.4
1985-05-01,108.1
1985-06-01,106.6
1985-07-01,107
1985-08-01,105.4
1985-09-01,106
1985-10-01,104.3
1985-11-01,101.1
1985-12-01,100.4
1986-01-01,100.3
1986-02-01,100.4
1986-03-01,99.9
1986-04-01,99.6
1986-05-01,102.9
1986-06-01,103
1986-07-01,100.1
1986-08-01,101.3
1986-09-01,99.4
1986-10-01,99.7
1986-11-01,94.5
1986-12-01,94.6
1987-01-01,95.1
1987-02-01,95.1
1987-03-01,94.3
1987-04-01,93.9
1987-05-01,98.1
1987-06-01,97.6
1987-07-01,94.3
1987-08-01,96.9
1987-09-01,96.3
1987-10-01,95.7
1987-11-01,91.9
1987-12-01,91.9
1988-01-01,92.3
1988-02-01,92.9
1988-03-01,92.8
1988-04-01,92.5
1988-05-01,96.2
1988-06-01,95
1988-07-01,95.1
1988-08-01,95.2
1988-09-01,95.1
1988-10-01,96.7
1988-11-01,95.2
1988-12-01,95.2
1989-01-01,97.3
1989-02-01,97.7
1989-03-01,97
1989-04-01,96.1
1989-05-01,97.7
1989-06-01,96.8
1989-07-01,96.9
1989-08-01,97.3
1989-09-01,96.3
1989-10-01,98.1
1989-11-01,96.7
1989-12-01,97.8
1990-01-01,99.2
1990-02-01,99.5
1990-03-01,98.8
1990-04-01,95.3
1990-05-01,95.9
1990-06-01,97.1
1990-07-01,95.5
1990-08-01,95.6
1990-09-01,96.4
1990-10-01,97.1
1990-11-01,97.9
1990-12-01,99.6
1991-01-01,101.7
1991-02-01,100.9
1991-03-01,98.9
1991-04-01,96.5
1991-05-01,98.6
1991-06-01,96.9
1991-07-01,97.2
1991-08-01,96.3
1991-09-01,97.2
1991-10-01,98.7
1991-11-01,99.7
1991-12-01,99.9
1992-01-01,101.2
1992-02-01,99.6
1992-03-01,97.1
1992-04-01,97.7
1992-05-01,98.4
1992-06-01,98.6
1992-07-01,98.8
1992-08-01,99
1992-09-01,101
1992-10-01,102.6
1992-11-01,105
1992-12-01,105
1993-01-01,105.6
1993-02-01,104.1
1993-03-01,103.7
1993-04-01,103.5
1993-05-01,105.3
1993-06-01,106.5
1993-07-01,106.1
1993-08-01,106.7
1993-09-01,108.1
1993-10-01,108.6
1993-11-01,108.3
1993-12-01,111.1
1994-01-01,111.2
1994-02-01,111
1994-03-01,111.7
1994-04-01,110.6
1994-05-01,109.2
1994-06-01,107.7
1994-07-01,106.9
1994-08-01,106.6
1994-09-01,106.6
1994-10-01,106.2
1994-11-01,106.7
1994-12-01,107.5
1995-01-01,107.2
1995-02-01,106.5
1995-03-01,104.7
1995-04-01,104.9
1995-05-01,103.2
1995-06-01,101.4
1995-07-01,101.3
1995-08-01,100.5
1995-09-01,100.8
1995-10-01,100.7
1995-11-01,100.4
1995-12-01,103.6
1996-01-01,104.6
1996-02-01,105.8
1996-03-01,102.4
1996-04-01,103.4
1996-05-01,107.3
1996-06-01,107.1
1996-07-01,107.4
1996-08-01,107.1
1996-09-01,107
1996-10-01,107.6
1996-11-01,111.4
1996-12-01,115
1997-01-01,120.8
1997-02-01,121
1997-03-01,115.1
1997-04-01,110.4
1997-05-01,108.9
1997-06-01,110.8
1997-07-01,111.5
1997-08-01,110
1997-09-01,112.8
1997-10-01,115.4
1997-11-01,119.9
1997-12-01,118.8
1998-01-01,116
1998-02-01,113.5
1998-03-01,113.2
1998-04-01,113
1998-05-01,113.2
1998-06-01,110.7
1998-07-01,110.4
1998-08-01,109.8
1998-09-01,109.8
1998-10-01,110.4
1998-11-01,113.5
1998-12-01,114.7
1999-01-01,113.4
1999-02-01,111.8
1999-03-01,109.9
1999-04-01,108.9
1999-05-01,109.4
1999-06-01,109.9
1999-07-01,110.9
1999-08-01,112.4
1999-09-01,115.9
1999-10-01,115.5
1999-11-01,120.3
1999-12-01,117.1
2000-01-01,117.3
2000-02-01,117.7
2000-03-01,117.6
2000-04-01,118.8
2000-05-01,120.1
2000-06-01,128.3
2000-07-01,133.2
2000-08-01,132.1
2000-09-01,139.7
2000-10-01,148.1
2000-11-01,151.1
2000-12-01,160.1
2001-01-01,186.9
2001-02-01,181.8
2001-03-01,175.3
2001-04-01,171.7
2001-05-01,171.9
2001-06-01,161.6
2001-07-01,154.3
2001-08-01,148.2
2001-09-01,140.9
2001-10-01,132.3
2001-11-01,138.3
2001-12-01,136
2002-01-01,136.3
2002-02-01,130.6
2002-03-01,130.2
2002-04-01,133.1
2002-05-01,133.2
2002-06-01,132.8
2002-07-01,132.9
2002-08-01,132.6
2002-09-01,134.1
2002-10-01,138.1
2002-11-01,144.3
2002-12-01,145.1
2003-01-01,150.9
2003-02-01,154.7
2003-03-01,175.3
2003-04-01,169.4
2003-05-01,166.3
2003-06-01,170.4
2003-07-01,169.5
2003-08-01,166.9
2003-09-01,167.4
2003-10-01,166.3
2003-11-01,168
2003-12-01,170.3
2004-01-01,176.6
2004-02-01,174.9
2004-03-01,169.7
2004-04-01,170.6
2004-05-01,172.8
2004-06-01,179.7
2004-07-01,181.5
2004-08-01,182.6
2004-09-01,177.8
2004-10-01,179.6
2004-11-01,196.8
2004-12-01,198.2
2005-01-01,196.4
2005-02-01,190.6
2005-03-01,188.2
2005-04-01,198.5
2005-05-01,198.2
2005-06-01,193.6
2005-07-01,200.8
2005-08-01,204.3
2005-09-01,227.8
2005-10-01,260.9
2005-11-01,267.9
2005-12-01,258
2006-01-01,264.1
2006-02-01,241.5
2006-03-01,229.5
2006-04-01,220.4
2006-05-01,218
2006-06-01,208.4
2006-07-01,208.9
2006-08-01,210.1
2006-09-01,213.8
2006-10-01,198.3
2006-11-01,214.8
2006-12-01,221.3
2007-01-01,217.428
2007-02-01,218.173
2007-03-01,222.221
2007-04-01,220.779
2007-05-01,221.801
2007-06-01,223.313
2007-07-01,219.865
2007-08-01,211.181
2007-09-01,208.211
2007-10-01,209.993
2007-11-01,218.791
2007-12-01,220.496
2008-01-01,220.065
2008-02-01,225.808
2008-03-01,233.931
2008-04-01,244.862
2008-05-01,258.374
2008-06-01,271.234
2008-07-01,291.713
2008-08-01,272.982
2008-09-01,247.788
2008-10-01,239.218
2008-11-01,235.114
2008-12-01,232.548
2009-01-01,227
2009-02-01,218.459
2009-03-01,207.179
2009-04-01,193.534
2009-05-01,182.464
2009-06-01,183.979
2009-07-01,186.191
2009-08-01,183.632
2009-09-01,178.424
2009-10-01,181.922
2009-11-01,191.324
2009-12-01,190.497
2010-01-01,199.199
2010-02-01,200.12
2010-03-01,195.832
2010-04-01,188.014
2010-05-01,186.595
2010-06-01,187.442
2010-07-01,192.003
2010-08-01,190.655
2010-09-01,183.759
2010-10-01,185.293
2010-11-01,182.12
2010-12-01,185.106
2011-01-01,186.351
2011-02-01,188.289
2011-03-01,185.11
2011-04-01,185.197
2011-05-01,184.327
2011-06-01,185.94
2011-07-01,186.719
2011-08-01,186.808
2011-09-01,184.144
2011-10-01,181.22
2011-11-01,179.708
2011-12-01,178.193
2012-01-01,176.044
2012-02-01,169.753
2012-03-01,168.196
2012-04-01,163.692
2012-05-01,156.863
2012-06-01,160.714
2012-07-01,162.972
2012-08-01,165.953
2012-09-01,164.528
2012-10-01,165.966
2012-11-01,171.243
2012-12-01,173.098
2013-01-01,171.597
2013-02-01,171.888
2013-03-01,171.248
2013-04-01,176.159
2013-05-01,179.173
2013-06-01,179.557
2013-07-01,177.356
2013-08-01,173.861
2013-09-01,173.315
2013-10-01,173.329
2013-11-01,173.035
2013-12-01,172.898
2014-01-01,179.982
2014-02-01,186.095
2014-03-01,199.34
2014-04-01,196.872
2014-05-01,192.303
2014-06-01,188.769
2014-07-01,189.659
2014-08-01,183.96
2014-09-01,183.376
2014-10-01,179.226
2014-11-01,178.558
2014-12-01,182.908
2015-01-01,179.184
2015-02-01,173.978
2015-03-01,170.592
2015-04-01,164.839
2015-05-01,162.639
2015-06-01,164.205
2015-07-01,162.733
