"Date","CUURX100SA0"
1996-12-01,100
1997-01-01,100
1997-02-01,100.2
1997-03-01,100.5
1997-04-01,100.7
1997-05-01,100.3
1997-06-01,100.6
1997-07-01,101
1997-08-01,101.2
1997-09-01,101.3
1997-10-01,101.4
1997-11-01,101.3
1997-12-01,101.3
1998-01-01,101.6
1998-02-01,101.4
1998-03-01,101.7
1998-04-01,102.1
1998-05-01,101.8
1998-06-01,101.9
1998-07-01,102
1998-08-01,102.2
1998-09-01,102.2
1998-10-01,102.6
1998-11-01,102.6
1998-12-01,102.5
1999-01-01,102.6
1999-02-01,103
1999-03-01,103.2
1999-04-01,103.9
1999-05-01,103.9
1999-06-01,103.8
1999-07-01,103.9
1999-08-01,104.3
1999-09-01,105.1
1999-10-01,105.3
1999-11-01,105.1
1999-12-01,105.4
2000-01-01,105.9
2000-02-01,106.8
2000-03-01,107.3
2000-04-01,107.5
2000-05-01,107.4
2000-06-01,107.7
2000-07-01,108.2
2000-08-01,108
2000-09-01,108.3
2000-10-01,108.8
2000-11-01,108.9
2000-12-01,108.8
2001-01-01,109.6
2001-02-01,109.8
2001-03-01,110.4
2001-04-01,110.7
2001-05-01,110.8
2001-06-01,111
2001-07-01,110.7
2001-08-01,110.5
2001-09-01,110.4
2001-10-01,110.6
2001-11-01,110.9
2001-12-01,110.3
2002-01-01,110.5
2002-02-01,110.5
2002-03-01,111.2
2002-04-01,111.9
2002-05-01,112
2002-06-01,111.6
2002-07-01,111.8
2002-08-01,112
2002-09-01,112.6
2002-10-01,113
2002-11-01,113.1
2002-12-01,112.6
2003-01-01,113.1
2003-02-01,113.8
2003-03-01,115
2003-04-01,114.4
2003-05-01,114.2
2003-06-01,113.9
2003-07-01,114.5
2003-08-01,114.4
2003-09-01,115
2003-10-01,115.2
2003-11-01,115.3
2003-12-01,115
2004-01-01,116
2004-02-01,116.6
2004-03-01,117.4
2004-04-01,118.1
2004-05-01,118.3
2004-06-01,118.7
2004-07-01,119.2
2004-08-01,118.9
2004-09-01,119.2
2004-10-01,120.1
2004-11-01,120.1
2004-12-01,119.2
2005-01-01,119.4
2005-02-01,120.1
2005-03-01,121.3
2005-04-01,122
2005-05-01,121.6
2005-06-01,121.8
2005-07-01,123
2005-08-01,123
2005-09-01,124.5
2005-10-01,125.2
2005-11-01,124.3
2005-12-01,123.6
2006-01-01,124.8
2006-02-01,125.2
2006-03-01,126
2006-04-01,127.3
2006-05-01,127.4
2006-06-01,127.7
2006-07-01,128.2
2006-08-01,128.5
2006-09-01,127.2
2006-10-01,126.9
2006-11-01,126.4
2006-12-01,126.7
2007-01-01,127.237
2007-02-01,127.546
2007-03-01,128.691
2007-04-01,129.563
2007-05-01,130.488
2007-06-01,130.893
2007-07-01,131.391
2007-08-01,130.519
2007-09-01,130.206
2007-10-01,130.761
2007-11-01,132.049
2007-12-01,132.323
2008-01-01,133.301
