"Date","CUUR0000SEEE"
1988-12-01,100
1989-01-01,99.5
1989-02-01,99.7
1989-03-01,99.3
1989-04-01,97.4
1989-05-01,96.3
1989-06-01,96.4
1989-07-01,96.8
1989-08-01,95.4
1989-09-01,94.2
1989-10-01,93.8
1989-11-01,93.8
1989-12-01,92.7
1990-01-01,93
1990-02-01,93.2
1990-03-01,93.9
1990-04-01,93.4
1990-05-01,93.2
1990-06-01,94.4
1990-07-01,95.3
1990-08-01,94.9
1990-09-01,95.2
1990-10-01,93.9
1990-11-01,91.1
1990-12-01,90.3
1991-01-01,90.6
1991-02-01,90.9
1991-03-01,90.4
1991-04-01,89.9
1991-05-01,89.4
1991-06-01,88.8
1991-07-01,86.9
1991-08-01,87.9
1991-09-01,87.4
1991-10-01,87.9
1991-11-01,87
1991-12-01,86.6
1992-01-01,83.8
1992-02-01,85.1
1992-03-01,86.1
1992-04-01,84.6
1992-05-01,84
1992-06-01,83.7
1992-07-01,84
1992-08-01,83
1992-09-01,83
1992-10-01,83.6
1992-11-01,82
1992-12-01,81.3
1993-01-01,81
1993-02-01,81.8
1993-03-01,80.9
1993-04-01,80.9
1993-05-01,80.9
1993-06-01,79.8
1993-07-01,78.7
1993-08-01,77.8
1993-09-01,77.5
1993-10-01,75.7
1993-11-01,75.8
1993-12-01,75.1
1994-01-01,75.4
1994-02-01,73.6
1994-03-01,73.6
1994-04-01,73.5
1994-05-01,73.3
1994-06-01,72.9
1994-07-01,72.4
1994-08-01,72.3
1994-09-01,70
1994-10-01,69.3
1994-11-01,69
1994-12-01,68.3
1995-01-01,66.5
1995-02-01,66.1
1995-03-01,64.2
1995-04-01,64
1995-05-01,64.7
1995-06-01,64.6
1995-07-01,63.7
1995-08-01,63.7
1995-09-01,63.5
1995-10-01,62.5
1995-11-01,61.4
1995-12-01,61
1996-01-01,60.7
1996-02-01,61
1996-03-01,60.4
1996-04-01,58.9
1996-05-01,58
1996-06-01,58.2
1996-07-01,55.8
1996-08-01,55
1996-09-01,55.3
1996-10-01,55.2
1996-11-01,54.4
1996-12-01,53.9
1997-01-01,53.5
1997-02-01,53.2
1997-03-01,52.4
1997-04-01,51.4
1997-05-01,50.8
1997-06-01,49.9
1997-07-01,49.1
1997-08-01,48.2
1997-09-01,48.5
1997-10-01,48.9
1997-11-01,47.6
1997-12-01,47.4
1998-01-01,46.2
1998-02-01,44.3
1998-03-01,43.4
1998-04-01,42.8
1998-05-01,41.5
1998-06-01,40.6
1998-07-01,39.1
1998-08-01,37.6
1998-09-01,36.7
1998-10-01,36.1
1998-11-01,35.3
1998-12-01,34.8
1999-01-01,33.8
1999-02-01,33.3
1999-03-01,32.4
1999-04-01,32.1
1999-05-01,30.9
1999-06-01,29.8
1999-07-01,30
1999-08-01,29.8
1999-09-01,29.3
1999-10-01,28.7
1999-11-01,28.2
1999-12-01,28.2
2000-01-01,28
2000-02-01,27.6
2000-03-01,27.2
2000-04-01,26.7
2000-05-01,26.6
2000-06-01,26
2000-07-01,25.7
2000-08-01,25.2
2000-09-01,25
2000-10-01,24.7
2000-11-01,24.2
2000-12-01,23.8
2001-01-01,23.2
2001-02-01,22.9
2001-03-01,22.5
2001-04-01,22.1
2001-05-01,21.7
2001-06-01,21.4
2001-07-01,21.3
2001-08-01,20.7
2001-09-01,20.3
2001-10-01,20.2
2001-11-01,20
2001-12-01,19.8
2002-01-01,19.4
2002-02-01,19
2002-03-01,18.8
2002-04-01,18.6
2002-05-01,18.5
2002-06-01,18.4
2002-07-01,18.4
2002-08-01,18.3
2002-09-01,17.8
2002-10-01,17.7
2002-11-01,17.3
2002-12-01,17.2
2003-01-01,17.1
2003-02-01,16.9
2003-03-01,16.8
2003-04-01,16.7
2003-05-01,16.4
2003-06-01,16.2
2003-07-01,16
2003-08-01,15.7
2003-09-01,15.6
2003-10-01,15.6
2003-11-01,15.4
2003-12-01,15.3
2004-01-01,15.3
2004-02-01,15.2
2004-03-01,15.2
2004-04-01,15
2004-05-01,14.9
2004-06-01,14.9
2004-07-01,14.8
2004-08-01,14.7
2004-09-01,14.7
2004-10-01,14.5
2004-11-01,14.3
2004-12-01,14.2
2005-01-01,14.2
2005-02-01,14
2005-03-01,14
2005-04-01,13.9
2005-05-01,13.8
2005-06-01,13.6
2005-07-01,13.6
2005-08-01,13.4
2005-09-01,13.3
2005-10-01,13.3
2005-11-01,13.1
2005-12-01,13.1
2006-01-01,13
2006-02-01,13
2006-03-01,13
2006-04-01,12.9
2006-05-01,12.8
2006-06-01,12.7
2006-07-01,12.7
2006-08-01,12.5
2006-09-01,12.3
2006-10-01,11.9
2006-11-01,11.4
2006-12-01,11.2
2007-01-01,10.9
2007-02-01,10.853
2007-03-01,10.86
2007-04-01,10.869
2007-05-01,10.787
2007-06-01,10.597
2007-07-01,10.528
2007-08-01,10.487
2007-09-01,10.477
2007-10-01,10.385
2007-11-01,10.204
2007-12-01,10.215
2008-01-01,10.229
2008-02-01,10.253
2008-03-01,10.246
2008-04-01,10.17
2008-05-01,10.118
2008-06-01,10.071
2008-07-01,10.087
2008-08-01,10.012
2008-09-01,9.901
2008-10-01,9.874
2008-11-01,9.867
2008-12-01,9.906
2009-01-01,9.919
2009-02-01,9.926
2009-03-01,9.872
2009-04-01,9.881
2009-05-01,9.775
2009-06-01,9.731
2009-07-01,9.604
2009-08-01,9.499
2009-09-01,9.467
2009-10-01,9.501
2009-11-01,9.467
2009-12-01,9.423
2010-01-01,9.457
2010-02-01,9.54
2010-03-01,9.552
2010-04-01,9.53
2010-05-01,9.473
2010-06-01,9.422
2010-07-01,9.399
2010-08-01,9.381
2010-09-01,9.339
2010-10-01,9.324
2010-11-01,9.309
2010-12-01,9.232
2011-01-01,9.181
2011-02-01,9.204
2011-03-01,9.196
2011-04-01,9.176
2011-05-01,9.096
2011-06-01,9.038
2011-07-01,9.032
2011-08-01,8.96
2011-09-01,8.912
2011-10-01,8.882
2011-11-01,8.866
2011-12-01,8.818
2012-01-01,8.855
2012-02-01,8.873
2012-03-01,8.862
2012-04-01,8.865
2012-05-01,8.879
2012-06-01,8.838
2012-07-01,8.778
2012-08-01,8.656
2012-09-01,8.608
2012-10-01,8.577
2012-11-01,8.544
2012-12-01,8.528
2013-01-01,8.555
2013-02-01,8.632
2013-03-01,8.679
2013-04-01,8.63
2013-05-01,8.581
2013-06-01,8.535
2013-07-01,8.459
2013-08-01,8.445
2013-09-01,8.459
2013-10-01,8.422
2013-11-01,8.401
2013-12-01,8.392
2014-01-01,8.389
2014-02-01,8.399
2014-03-01,8.422
2014-04-01,8.444
2014-05-01,8.41
2014-06-01,8.397
2014-07-01,8.389
2014-08-01,8.345
2014-09-01,8.295
2014-10-01,8.299
2014-11-01,8.247
2014-12-01,8.182
2015-01-01,8.181
2015-02-01,8.19
2015-03-01,8.197
2015-04-01,8.212
2015-05-01,8.139
2015-06-01,8.087
2015-07-01,8.008
2015-08-01,7.909
2015-09-01,7.929
2015-10-01,7.959
2015-11-01,7.932
2015-12-01,7.896
2016-01-01,7.903
2016-02-01,7.898
2016-03-01,7.919
2016-04-01,7.917
2016-05-01,7.855
2016-06-01,7.812
2016-07-01,7.767
2016-08-01,7.748
2016-09-01,7.744
2016-10-01,7.684
2016-11-01,7.728
2016-12-01,7.693
2017-01-01,7.718
2017-02-01,7.694
2017-03-01,7.666
2017-04-01,7.698
2017-05-01,7.665
2017-06-01,7.669
2017-07-01,7.611
2017-08-01,7.574
2017-09-01,7.542
2017-10-01,7.542
2017-11-01,7.533
2017-12-01,7.511
2018-01-01,7.532
2018-02-01,7.474
2018-03-01,7.438
2018-04-01,7.42
2018-05-01,7.456
2018-06-01,7.489
2018-07-01,7.481
2018-08-01,7.481
2018-09-01,7.502
2018-10-01,7.459
2018-11-01,7.434
2018-12-01,7.442
2019-01-01,7.457
2019-02-01,7.436
2019-03-01,7.39
2019-04-01,7.394
2019-05-01,7.371
2019-06-01,7.358
2019-07-01,7.397
2019-08-01,7.42
2019-09-01,7.363
2019-10-01,7.325
2019-11-01,7.376
2019-12-01,7.347
2020-01-01,7.375
2020-02-01,7.375
2020-03-01,7.354
2020-04-01,7.364
2020-05-01,7.35
2020-06-01,7.328
2020-07-01,7.32
2020-08-01,7.32
2020-09-01,7.266
2020-10-01,7.243
2020-11-01,7.28
2020-12-01,7.288
2021-01-01,7.28
2021-02-01,7.261
2021-03-01,7.242
2021-04-01,7.361
2021-05-01,7.357
2021-06-01,7.338
2021-07-01,7.364
2021-08-01,7.423
2021-09-01,7.47
2021-10-01,7.443
2021-11-01,7.42
2021-12-01,7.427
2022-01-01,7.425
2022-02-01,7.404
2022-03-01,7.371
2022-04-01,7.297
2022-05-01,7.25
2022-06-01,7.251
2022-07-01,7.201
2022-08-01,7.183
2022-09-01,7.163
2022-10-01,7.129
2022-11-01,7.11
2022-12-01,7.083
2023-01-01,7.12
2023-02-01,7.125
2023-03-01,7.147
2023-04-01,7.13
2023-05-01,7.12
2023-06-01,7.135
2023-07-01,7.112
2023-08-01,7.104
2023-09-01,7.104
2023-10-01,7.056
2023-11-01,6.981
