"Date","APUD00072621"
1987-01-01,36.942
1987-02-01,37.45
1987-03-01,37.485
1987-04-01,37.407
1987-05-01,37.419
1987-06-01,37.936
1987-07-01,38.525
1987-08-01,38.505
1987-09-01,37.706
1987-10-01,37.044
1987-11-01,36.8
1987-12-01,38.111
1988-01-01,36.432
1988-02-01,36.282
1988-03-01,36.582
1988-04-01,35.19
1988-05-01,35.371
1988-06-01,37.734
1988-07-01,37.733
1988-08-01,37.614
1988-09-01,37.666
1988-10-01,36.758
1988-11-01,36.656
1988-12-01,36.618
1989-01-01,36.83
1989-02-01,36.409
1989-03-01,36.315
1989-04-01,36.271
1989-05-01,36.5
1989-06-01,37.132
1989-07-01,37.345
1989-08-01,37.643
1989-09-01,37.692
1989-10-01,37.102
1989-11-01,36.948
1989-12-01,37.281
1990-01-01,37.452
1990-02-01,37.416
1990-03-01,37.016
1990-04-01,37.182
1990-05-01,37.079
1990-06-01,38.136
1990-07-01,38.31
1990-08-01,38.406
1990-09-01,38.431
1990-10-01,37.567
1990-11-01,37.36
1990-12-01,37.495
1991-01-01,37.67
1991-02-01,38.135
1991-03-01,38.04
1991-04-01,37.917
1991-05-01,38.158
1991-06-01,39.216
1991-07-01,39.27
1991-08-01,38.912
1991-09-01,38.778
1991-10-01,37.887
1991-11-01,37.454
1991-12-01,37.924
1992-01-01,38.136
1992-02-01,38.458
1992-03-01,38.424
1992-04-01,38.403
1992-05-01,38.614
1992-06-01,39.737
1992-07-01,39.144
1992-08-01,39.39
1992-09-01,39.332
1992-10-01,38.031
1992-11-01,38.194
1992-12-01,38.745
1993-01-01,38.282
1993-02-01,37.897
1993-03-01,37.721
1993-04-01,38.152
1993-05-01,38.377
1993-06-01,40.199
1993-07-01,40.673
1993-08-01,40.864
1993-09-01,40.653
1993-10-01,39.614
1993-11-01,39.577
1993-12-01,39.623
1994-01-01,39.56
1994-02-01,39.47
1994-03-01,39.364
1994-04-01,39.325
1994-05-01,40.167
1994-06-01,41.836
1994-07-01,41.599
1994-08-01,41.704
1994-09-01,41.492
