"Date","APUS49D72511"
1978-11-01,0.516
1978-12-01,0.526
1979-01-01,0.538
1979-02-01,0.559
1979-03-01,0.586
1979-04-01,0.601
1979-05-01,0.646
1979-06-01,0.708
1979-07-01,0.747
1979-08-01,0.808
1979-09-01,0.879
1979-10-01,0.895
1979-11-01,0.894
1979-12-01,0.896
1980-01-01,0.985
1980-02-01,1.031
1980-03-01,1.058
1980-04-01,1.061
1980-05-01,1.064
1980-06-01,1.072
1980-07-01,1.084
1980-08-01,1.077
1980-09-01,1.081
1980-10-01,1.075
1980-11-01,1.083
1980-12-01,1.101
1981-01-01,1.134
1981-02-01,1.206
1981-03-01,1.248
1981-04-01,1.252
1981-05-01,1.267
1981-06-01,1.269
1981-07-01,1.276
1981-08-01,1.269
1981-09-01,1.268
1981-10-01,1.269
1981-11-01,1.282
1981-12-01,1.298
1982-01-01,1.296
1982-02-01,1.296
1982-03-01,1.284
1982-04-01,1.255
1982-05-01,1.25
1982-06-01,1.249
1982-07-01,1.251
1982-08-01,1.251
1982-09-01,1.251
1982-10-01,1.275
1982-11-01,1.311
1982-12-01,1.31
1983-01-01,1.295
1983-02-01,1.26
1983-03-01,1.207
1983-04-01,1.172
1983-05-01,1.153
1983-06-01,1.153
1983-07-01,1.152
1983-08-01,1.152
1983-09-01,1.161
1983-10-01,1.171
1983-11-01,1.18
1983-12-01,1.175
1984-01-01,1.165
1984-02-01,1.17
1984-03-01,1.179
1984-04-01,1.179
1984-05-01,1.172
1984-06-01,1.169
1984-07-01,1.155
1984-08-01,1.136
1984-09-01,1.125
1984-10-01,1.133
1984-11-01,1.14
1984-12-01,1.138
1985-01-01,1.136
1985-02-01,1.131
1985-03-01,1.129
1985-04-01,1.133
1985-05-01,1.136
1985-06-01,1.136
1985-07-01,1.136
1985-08-01,1.132
1985-09-01,NA
1985-10-01,1.124
1985-11-01,1.193
1985-12-01,1.214
1986-01-01,1.206
1986-02-01,1.044
1986-03-01,0.84
1986-04-01,0.797
1986-05-01,0.804
1986-06-01,0.804
1986-07-01,0.719
1986-08-01,0.65
1986-09-01,0.695
1986-10-01,0.72
1986-11-01,0.71
1986-12-01,0.716
