"Date","CUSR0000SAF112"
1967-01-01,38.1
1967-02-01,38
1967-03-01,37.8
1967-04-01,37.5
1967-05-01,37.4
1967-06-01,38.1
1967-07-01,38
1967-08-01,38.2
1967-09-01,38.3
1967-10-01,38.2
1967-11-01,38.1
1967-12-01,38.2
1968-01-01,37.9
1968-02-01,38.3
1968-03-01,38.5
1968-04-01,38.7
1968-05-01,38.8
1968-06-01,38.9
1968-07-01,38.9
1968-08-01,39.1
1968-09-01,39.6
1968-10-01,40.1
1968-11-01,39.9
1968-12-01,40
1969-01-01,40.3
1969-02-01,40.5
1969-03-01,40.3
1969-04-01,41.1
1969-05-01,41.5
1969-06-01,43
1969-07-01,43.3
1969-08-01,43.6
1969-09-01,43.9
1969-10-01,43.9
1969-11-01,44.6
1969-12-01,45.1
1970-01-01,45.3
1970-02-01,45.6
1970-03-01,45
1970-04-01,44.8
1970-05-01,44.9
1970-06-01,44.5
1970-07-01,44.7
1970-08-01,44.2
1970-09-01,44.2
1970-10-01,44.1
1970-11-01,43.8
1970-12-01,43.7
1971-01-01,43.3
1971-02-01,43
1971-03-01,43.5
1971-04-01,43.8
1971-05-01,44.2
1971-06-01,44.5
1971-07-01,44.3
1971-08-01,44.3
1971-09-01,44.1
1971-10-01,44.6
1971-11-01,44.8
1971-12-01,45.4
1972-01-01,45.6
1972-02-01,47
1972-03-01,47.2
1972-04-01,47.2
1972-05-01,47.3
1972-06-01,47.6
1972-07-01,48.4
1972-08-01,48.2
1972-09-01,48.5
1972-10-01,49.2
1972-11-01,49.7
1972-12-01,50.2
1973-01-01,52.2
1973-02-01,53.9
1973-03-01,57.1
1973-04-01,58.9
1973-05-01,59.6
1973-06-01,60.1
1973-07-01,59.7
1973-08-01,69.5
1973-09-01,67.6
1973-10-01,64.7
1973-11-01,63.9
1973-12-01,63.9
1974-01-01,65
1974-02-01,66.4
1974-03-01,65.2
1974-04-01,62.9
1974-05-01,60.5
1974-06-01,58.8
1974-07-01,57.6
1974-08-01,60.2
1974-09-01,62
1974-10-01,62.1
1974-11-01,62.6
1974-12-01,62.7
1975-01-01,62.3
1975-02-01,62
1975-03-01,61.6
1975-04-01,62.1
1975-05-01,64
1975-06-01,66.4
1975-07-01,69.3
1975-08-01,69.8
1975-09-01,70.7
1975-10-01,72
1975-11-01,72
1975-12-01,71.8
1976-01-01,70.8
1976-02-01,69.1
1976-03-01,68
1976-04-01,67.2
1976-05-01,68.2
1976-06-01,68.5
1976-07-01,68.7
1976-08-01,68.1
1976-09-01,67.9
1976-10-01,67.1
1976-11-01,66.3
1976-12-01,66
1977-01-01,66.2
1977-02-01,67.1
1977-03-01,66.8
1977-04-01,66.6
1977-05-01,66.7
1977-06-01,66.9
1977-07-01,67.7
1977-08-01,68
1977-09-01,68.2
1977-10-01,68
1977-11-01,68.7
1977-12-01,68.3
1978-01-01,69.6
1978-02-01,71.3
1978-03-01,73
1978-04-01,75.5
1978-05-01,77.4
1978-06-01,80.2
1978-07-01,79.7
1978-08-01,79.8
1978-09-01,79.6
1978-10-01,80.5
1978-11-01,81.6
1978-12-01,82.1
1979-01-01,84.7
1979-02-01,87.9
1979-03-01,89.6
1979-04-01,91.1
1979-05-01,92.1
1979-06-01,91
1979-07-01,90.2
1979-08-01,87.2
1979-09-01,87.3
1979-10-01,87.7
1979-11-01,87.9
1979-12-01,89.2
1980-01-01,90.5
1980-02-01,89.4
1980-03-01,90
1980-04-01,88.9
1980-05-01,87.9
1980-06-01,87.7
1980-07-01,89.5
1980-08-01,93
1980-09-01,95.2
1980-10-01,96.2
1980-11-01,97.3
1980-12-01,97.3
1981-01-01,96.4
1981-02-01,95.3
1981-03-01,94.6
1981-04-01,93.9
1981-05-01,94.1
1981-06-01,94.8
1981-07-01,96.3
1981-08-01,97.1
1981-09-01,97.4
1981-10-01,97.6
1981-11-01,96.9
1981-12-01,96.3
1982-01-01,95.4
1982-02-01,96.8
1982-03-01,97.1
1982-04-01,97.6
1982-05-01,99.5
1982-06-01,101.6
1982-07-01,102.1
1982-08-01,101.1
1982-09-01,101.6
1982-10-01,101
1982-11-01,100.2
1982-12-01,99.1
1983-01-01,99
1983-02-01,99.5
1983-03-01,99.8
1983-04-01,99.7
1983-05-01,100.3
1983-06-01,99.9
1983-07-01,99.2
1983-08-01,98.6
1983-09-01,98.5
1983-10-01,98.1
1983-11-01,97.7
1983-12-01,98
1984-01-01,101.4
1984-02-01,103.2
1984-03-01,102.1
1984-04-01,102.9
1984-05-01,102.1
1984-06-01,101
1984-07-01,100.6
1984-08-01,100.8
1984-09-01,100
1984-10-01,99.7
1984-11-01,99.4
1984-12-01,100.7
1985-01-01,100.6
1985-02-01,100.8
1985-03-01,100.8
1985-04-01,100.3
1985-05-01,99.3
1985-06-01,99.3
1985-07-01,99
1985-08-01,98.5
1985-09-01,98.5
1985-10-01,98.8
1985-11-01,101
1985-12-01,102.2
1986-01-01,102.5
1986-02-01,102
1986-03-01,101.9
1986-04-01,101.1
1986-05-01,101.2
1986-06-01,101.3
1986-07-01,104.2
1986-08-01,106.8
1986-09-01,106.7
1986-10-01,107.3
1986-11-01,108.3
1986-12-01,109
1987-01-01,109.2
1987-02-01,108.8
1987-03-01,108.8
1987-04-01,109.2
1987-05-01,110.5
1987-06-01,111.2
1987-07-01,111.3
1987-08-01,111.6
1987-09-01,112
1987-10-01,111.6
1987-11-01,111
1987-12-01,110.2
1988-01-01,110.3
1988-02-01,110.8
1988-03-01,111.2
1988-04-01,112.1
1988-05-01,113
1988-06-01,115.2
1988-07-01,116.5
1988-08-01,117
1988-09-01,116.8
1988-10-01,116.5
1988-11-01,116.2
1988-12-01,116
1989-01-01,117.9
1989-02-01,118.4
1989-03-01,120.4
1989-04-01,120.9
1989-05-01,121.6
1989-06-01,122.1
1989-07-01,121.7
1989-08-01,121.9
1989-09-01,122.5
1989-10-01,122.2
1989-11-01,122.6
1989-12-01,123.8
1990-01-01,126.1
1990-02-01,127
1990-03-01,127.4
1990-04-01,128.1
1990-05-01,128.2
1990-06-01,130.2
1990-07-01,130.3
1990-08-01,130.9
1990-09-01,131.8
1990-10-01,132.7
1990-11-01,133.2
1990-12-01,133.9
1991-01-01,133.7
1991-02-01,133.4
1991-03-01,133.3
1991-04-01,132.8
1991-05-01,133.1
1991-06-01,132.7
1991-07-01,132.7
1991-08-01,132.6
1991-09-01,132
1991-10-01,131.8
1991-11-01,131.3
1991-12-01,131.8
1992-01-01,130.5
1992-02-01,130.3
1992-03-01,130
1992-04-01,130.1
1992-05-01,130.4
1992-06-01,130.5
1992-07-01,130.5
1992-08-01,130.8
1992-09-01,131.7
1992-10-01,131.7
1992-11-01,131.7
1992-12-01,132
1993-01-01,133
1993-02-01,133.1
1993-03-01,134
1993-04-01,135.5
1993-05-01,135.5
1993-06-01,135.8
1993-07-01,136
1993-08-01,136.1
1993-09-01,136
1993-10-01,136.7
1993-11-01,137.1
1993-12-01,136.8
