"Date","CUSR0000SEHB"
1997-12-01,108
1998-01-01,107.7
1998-02-01,107.8
1998-03-01,107.3
1998-04-01,107.9
1998-05-01,108.8
1998-06-01,108.3
1998-07-01,107.6
1998-08-01,108.7
1998-09-01,110.3
1998-10-01,110.3
1998-11-01,111.7
1998-12-01,112.3
1999-01-01,110.2
1999-02-01,109.8
1999-03-01,110.5
1999-04-01,112
1999-05-01,111.6
1999-06-01,111.9
1999-07-01,112.8
1999-08-01,112.7
1999-09-01,114.2
1999-10-01,113.8
1999-11-01,113.7
1999-12-01,114.3
2000-01-01,115.4
2000-02-01,115
2000-03-01,116.9
2000-04-01,116.7
2000-05-01,116.9
2000-06-01,118
2000-07-01,118.3
2000-08-01,118.2
2000-09-01,118.5
2000-10-01,119.1
2000-11-01,119.4
2000-12-01,117.3
2001-01-01,118.6
2001-02-01,119.4
2001-03-01,120.1
2001-04-01,118.7
2001-05-01,118.9
2001-06-01,120.7
2001-07-01,119.3
2001-08-01,120.2
2001-09-01,117.4
2001-10-01,115.1
2001-11-01,117.1
2001-12-01,117.7
2002-01-01,117.8
2002-02-01,119.6
2002-03-01,117.8
2002-04-01,118.5
2002-05-01,118.5
2002-06-01,117.7
2002-07-01,116.9
2002-08-01,118.9
2002-09-01,118.7
2002-10-01,117.8
2002-11-01,119.1
2002-12-01,118.6
2003-01-01,119.4
2003-02-01,117.9
2003-03-01,115.8
2003-04-01,115.1
2003-05-01,119.6
2003-06-01,119.2
2003-07-01,119.8
2003-08-01,120.2
2003-09-01,119.7
2003-10-01,121.7
2003-11-01,121.1
2003-12-01,122.4
2004-01-01,122.3
2004-02-01,119.7
2004-03-01,123.9
2004-04-01,125.2
2004-05-01,126.6
2004-06-01,126.4
2004-07-01,126.7
2004-08-01,125.7
2004-09-01,128.5
2004-10-01,128.9
2004-11-01,128.4
2004-12-01,128.4
2005-01-01,127.7
2005-02-01,128.9
2005-03-01,134.2
2005-04-01,132.2
2005-05-01,130.1
2005-06-01,129.9
2005-07-01,130.3
2005-08-01,129.7
2005-09-01,125.6
2005-10-01,130.5
2005-11-01,131.7
2005-12-01,132.6
2006-01-01,132.9
2006-02-01,133.8
2006-03-01,136.3
2006-04-01,136.1
2006-05-01,136.3
2006-06-01,135.5
2006-07-01,135.7
2006-08-01,136.3
2006-09-01,135.7
2006-10-01,136.7
2006-11-01,137.9
2006-12-01,138.2
2007-01-01,139.003
2007-02-01,140.309
2007-03-01,139.454
2007-04-01,140.859
2007-05-01,142.364
2007-06-01,144.083
2007-07-01,144.457
2007-08-01,144.676
2007-09-01,144.575
2007-10-01,144.299
2007-11-01,144.221
2007-12-01,144.645
2008-01-01,145.914
2008-02-01,145.687
2008-03-01,147.658
2008-04-01,143.703
2008-05-01,143.801
2008-06-01,143.277
2008-07-01,143.579
2008-08-01,143.156
2008-09-01,142.788
2008-10-01,141.951
2008-11-01,141.222
2008-12-01,140
2009-01-01,139.624
2009-02-01,138.275
2009-03-01,136.814
2009-04-01,135.94
2009-05-01,133.785
2009-06-01,132.235
2009-07-01,129.99
2009-08-01,131.469
2009-09-01,132.268
2009-10-01,134.433
2009-11-01,133.144
2009-12-01,133.202
2010-01-01,131.746
2010-02-01,131.761
2010-03-01,132.483
2010-04-01,133.312
2010-05-01,134.012
2010-06-01,134.095
2010-07-01,134.5
2010-08-01,134.31
2010-09-01,134.144
2010-10-01,134.202
2010-11-01,133.952
2010-12-01,135.329
2011-01-01,135.937
2011-02-01,134.925
2011-03-01,135.132
2011-04-01,135.354
2011-05-01,134.358
2011-06-01,137.184
2011-07-01,139.958
2011-08-01,138.946
2011-09-01,138.705
2011-10-01,138.726
2011-11-01,139.503
2011-12-01,140.324
2012-01-01,138.511
2012-02-01,140.152
2012-03-01,139.932
2012-04-01,139.988
2012-05-01,140.906
2012-06-01,142.488
2012-07-01,140.433
2012-08-01,140.142
2012-09-01,140.822
2012-10-01,141.429
2012-11-01,140.793
2012-12-01,140.528
2013-01-01,141.473
2013-02-01,141.784
2013-03-01,141.723
2013-04-01,142.263
2013-05-01,143.247
2013-06-01,143.329
2013-07-01,144.382
2013-08-01,143.431
2013-09-01,142.999
2013-10-01,139.053
2013-11-01,142.786
2013-12-01,142.732
2014-01-01,143.484
2014-02-01,144.063
2014-03-01,146.129
2014-04-01,146.567
2014-05-01,150.077
2014-06-01,147.727
2014-07-01,149.185
2014-08-01,150.035
2014-09-01,150.364
2014-10-01,150.829
2014-11-01,151.213
2014-12-01,151.99
2015-01-01,152.941
2015-02-01,152.108
2015-03-01,153.494
2015-04-01,153.599
2015-05-01,151.316
2015-06-01,148.963
2015-07-01,154.047
2015-08-01,152.824
2015-09-01,153.279
2015-10-01,153.968
2015-11-01,155.576
2015-12-01,154.639
2016-01-01,157.308
2016-02-01,158.028
2016-03-01,156.829
2016-04-01,155.194
2016-05-01,156.465
2016-06-01,158.643
2016-07-01,156.779
2016-08-01,158.256
2016-09-01,158.76
2016-10-01,161.261
2016-11-01,159.879
2016-12-01,160.245
2017-01-01,160.225
2017-02-01,160.683
2017-03-01,157.517
2017-04-01,159.503
2017-05-01,159.957
2017-06-01,158.952
2017-07-01,153.378
2017-08-01,158.478
2017-09-01,159.453
2017-10-01,163.832
2017-11-01,160.688
2017-12-01,160.654
2018-01-01,158.539
2018-02-01,158.83
2018-03-01,161.714
2018-04-01,161.391
2018-05-01,166.94
2018-06-01,161.277
2018-07-01,160.772
2018-08-01,161.913
2018-09-01,159.817
2018-10-01,160.665
2018-11-01,158.368
2018-12-01,161.437
2019-01-01,162.82
2019-02-01,165.95
2019-03-01,166.524
2019-04-01,167.417
2019-05-01,169.679
2019-06-01,167.526
2019-07-01,167.941
2019-08-01,164.832
2019-09-01,167.639
2019-10-01,164.558
2019-11-01,163.37
2019-12-01,160.515
2020-01-01,162.709
2020-02-01,167.955
2020-03-01,156.1
2020-04-01,143.738
2020-05-01,144.14
2020-06-01,143.999
2020-07-01,145.497
2020-08-01,146.045
2020-09-01,146.052
2020-10-01,142.12
2020-11-01,145.345
2020-12-01,144.822
