"Date","CUUR0000SASL5"
1957-03-01,22.5
1957-04-01,NA
1957-05-01,NA
1957-06-01,22.7
1957-07-01,NA
1957-08-01,NA
1957-09-01,23
1957-10-01,NA
1957-11-01,NA
1957-12-01,23.2
1958-01-01,NA
1958-02-01,NA
1958-03-01,23.5
1958-04-01,NA
1958-05-01,NA
1958-06-01,23.6
1958-07-01,NA
1958-08-01,NA
1958-09-01,23.7
1958-10-01,NA
1958-11-01,NA
1958-12-01,23.8
1959-01-01,NA
1959-02-01,NA
1959-03-01,23.9
1959-04-01,NA
1959-05-01,NA
1959-06-01,24.1
1959-07-01,NA
1959-08-01,NA
1959-09-01,24.4
1959-10-01,NA
1959-11-01,NA
1959-12-01,24.6
1960-01-01,NA
1960-02-01,NA
1960-03-01,24.8
1960-04-01,NA
1960-05-01,NA
1960-06-01,24.9
1960-07-01,NA
1960-08-01,NA
1960-09-01,25.1
1960-10-01,NA
1960-11-01,NA
1960-12-01,25.2
1961-01-01,NA
1961-02-01,NA
1961-03-01,25.4
1961-04-01,NA
1961-05-01,NA
1961-06-01,25.4
1961-07-01,NA
1961-08-01,NA
1961-09-01,25.5
1961-10-01,NA
1961-11-01,NA
1961-12-01,25.6
1962-01-01,NA
1962-02-01,NA
1962-03-01,25.7
1962-04-01,NA
1962-05-01,NA
1962-06-01,25.9
1962-07-01,NA
1962-08-01,NA
1962-09-01,25.9
1962-10-01,NA
1962-11-01,NA
1962-12-01,26
1963-01-01,NA
1963-02-01,NA
1963-03-01,26.1
1963-04-01,NA
1963-05-01,NA
1963-06-01,26.2
1963-07-01,NA
1963-08-01,NA
1963-09-01,26.4
1963-10-01,NA
1963-11-01,NA
1963-12-01,26.6
1964-01-01,NA
1964-02-01,NA
1964-03-01,26.6
1964-04-01,NA
1964-05-01,NA
1964-06-01,26.7
1964-07-01,NA
1964-08-01,NA
1964-09-01,26.9
1964-10-01,NA
1964-11-01,NA
1964-12-01,27
1965-01-01,NA
1965-02-01,NA
1965-03-01,27.2
1965-04-01,NA
1965-05-01,NA
1965-06-01,27.3
1965-07-01,NA
1965-08-01,NA
1965-09-01,27.5
1965-10-01,NA
1965-11-01,NA
1965-12-01,27.7
1966-01-01,NA
1966-02-01,NA
1966-03-01,27.9
1966-04-01,NA
1966-05-01,NA
1966-06-01,28.3
1966-07-01,NA
1966-08-01,NA
1966-09-01,28.6
1966-10-01,NA
1966-11-01,NA
1966-12-01,28.9
1967-01-01,NA
1967-02-01,NA
1967-03-01,29.1
1967-04-01,NA
1967-05-01,NA
1967-06-01,29.3
1967-07-01,NA
1967-08-01,NA
1967-09-01,29.5
1967-10-01,NA
1967-11-01,NA
1967-12-01,29.8
1968-01-01,NA
1968-02-01,NA
1968-03-01,30.3
1968-04-01,NA
1968-05-01,NA
1968-06-01,30.7
1968-07-01,NA
1968-08-01,NA
1968-09-01,31.2
1968-10-01,NA
1968-11-01,NA
1968-12-01,31.7
1969-01-01,NA
1969-02-01,NA
1969-03-01,32.3
1969-04-01,NA
1969-05-01,NA
1969-06-01,32.8
1969-07-01,NA
1969-08-01,33.2
1969-09-01,33.4
1969-10-01,33.5
1969-11-01,33.7
1969-12-01,34
1970-01-01,34.3
1970-02-01,34.5
1970-03-01,34.9
1970-04-01,35.2
1970-05-01,35.3
1970-06-01,35.5
1970-07-01,35.7
1970-08-01,35.9
1970-09-01,36.1
1970-10-01,36.3
1970-11-01,36.5
1970-12-01,36.8
1971-01-01,36.9
1971-02-01,37
1971-03-01,36.9
1971-04-01,37
1971-05-01,37.2
1971-06-01,37.4
1971-07-01,37.5
1971-08-01,37.7
1971-09-01,37.8
1971-10-01,37.9
1971-11-01,38.1
1971-12-01,38.2
1972-01-01,38.4
1972-02-01,38.5
1972-03-01,38.5
1972-04-01,38.7
1972-05-01,38.7
1972-06-01,38.9
1972-07-01,39
1972-08-01,39.1
1972-09-01,39.1
1972-10-01,39.3
1972-11-01,39.4
1972-12-01,39.5
1973-01-01,39.6
1973-02-01,39.7
1973-03-01,39.9
1973-04-01,40
1973-05-01,40.1
1973-06-01,40.3
1973-07-01,40.4
1973-08-01,40.6
1973-09-01,41.1
1973-10-01,41.5
1973-11-01,41.8
1973-12-01,42
1974-01-01,42.3
1974-02-01,42.6
1974-03-01,42.9
1974-04-01,43.2
1974-05-01,43.6
1974-06-01,44
1974-07-01,44.4
1974-08-01,44.9
1974-09-01,45.4
1974-10-01,45.8
1974-11-01,46.2
1974-12-01,46.6
1975-01-01,46.9
1975-02-01,47.2
1975-03-01,47.4
1975-04-01,47.6
1975-05-01,47.7
1975-06-01,48
1975-07-01,48.2
1975-08-01,48.5
1975-09-01,49
1975-10-01,49.2
1975-11-01,49.9
1975-12-01,50.2
1976-01-01,50.7
1976-02-01,51
1976-03-01,51.3
1976-04-01,51.4
1976-05-01,51.6
1976-06-01,51.9
1976-07-01,52.2
1976-08-01,52.5
1976-09-01,52.9
1976-10-01,53.2
1976-11-01,53.4
1976-12-01,53.6
1977-01-01,54.1
1977-02-01,54.4
1977-03-01,54.7
1977-04-01,55.1
1977-05-01,55.3
1977-06-01,55.8
1977-07-01,56.2
1977-08-01,56.5
1977-09-01,56.9
1977-10-01,57.1
1977-11-01,57.4
1977-12-01,57.7
1978-01-01,58.1
1978-02-01,58.5
1978-03-01,59
1978-04-01,59.4
1978-05-01,59.9
1978-06-01,60.5
1978-07-01,61
1978-08-01,61.5
1978-09-01,62.1
1978-10-01,62.7
1978-11-01,63
1978-12-01,63.1
1979-01-01,63.6
1979-02-01,64.3
1979-03-01,64.8
1979-04-01,65.4
1979-05-01,66.1
1979-06-01,66.9
1979-07-01,67.7
1979-08-01,68.6
1979-09-01,69.5
1979-10-01,70.3
1979-11-01,71.1
1979-12-01,72
1980-01-01,73.1
1980-02-01,74.2
1980-03-01,75.5
1980-04-01,76.7
1980-05-01,78
1980-06-01,79.5
1980-07-01,78.9
1980-08-01,78.9
1980-09-01,79.5
1980-10-01,80.5
1980-11-01,81.4
1980-12-01,82.5
1981-01-01,83.4
1981-02-01,84.1
1981-03-01,84.8
1981-04-01,85.6
1981-05-01,86.9
1981-06-01,88.1
1981-07-01,89.6
1981-08-01,90.6
1981-09-01,92.2
1981-10-01,92.5
1981-11-01,93
1981-12-01,93.4
1982-01-01,93.9
1982-02-01,94.2
1982-03-01,94.2
1982-04-01,95.1
1982-05-01,96.1
1982-06-01,97.1
1982-07-01,97.6
1982-08-01,98.1
1982-09-01,98.3
1982-10-01,98.3
1982-11-01,97.7
1982-12-01,96.6
1983-01-01,97.3
1983-02-01,97.5
1983-03-01,97.6
1983-04-01,98.2
1983-05-01,98.6
1983-06-01,99
1983-07-01,99.5
1983-08-01,99.8
1983-09-01,100.4
1983-10-01,100.7
1983-11-01,101
1983-12-01,101.1
1984-01-01,101.7
1984-02-01,102.1
1984-03-01,102.4
1984-04-01,102.9
1984-05-01,103.4
1984-06-01,104
1984-07-01,104.8
1984-08-01,105.4
1984-09-01,106.1
1984-10-01,106.3
1984-11-01,106.3
1984-12-01,106.5
1985-01-01,106.9
1985-02-01,107.3
1985-03-01,107.7
1985-04-01,108
1985-05-01,108.8
1985-06-01,109.6
1985-07-01,110.1
1985-08-01,110.6
1985-09-01,111
1985-10-01,111.3
1985-11-01,111.5
1985-12-01,111.8
1986-01-01,112.3
1986-02-01,112.7
1986-03-01,113.1
1986-04-01,113.6
1986-05-01,114
1986-06-01,114.8
1986-07-01,115.2
1986-08-01,115.5
1986-09-01,116
1986-10-01,116.1
1986-11-01,116
1986-12-01,116.2
1987-01-01,116.7
1987-02-01,117
1987-03-01,117.4
1987-04-01,117.8
1987-05-01,118.2
1987-06-01,119
1987-07-01,119.4
1987-08-01,120.1
1987-09-01,120.6
1987-10-01,120.8
1987-11-01,120.8
1987-12-01,121
1988-01-01,121.7
1988-02-01,122.1
1988-03-01,122.4
1988-04-01,122.8
1988-05-01,123.2
1988-06-01,124.1
1988-07-01,124.7
1988-08-01,125.3
1988-09-01,125.9
1988-10-01,126.2
1988-11-01,126.3
1988-12-01,126.6
1989-01-01,127.3
1989-02-01,127.8
1989-03-01,128.3
1989-04-01,128.5
1989-05-01,129.1
1989-06-01,129.9
1989-07-01,130.8
1989-08-01,131.3
1989-09-01,131.6
1989-10-01,131.8
1989-11-01,132.1
1989-12-01,132.6
1990-01-01,133.4
1990-02-01,133.9
1990-03-01,134.7
1990-04-01,134.9
1990-05-01,135.3
1990-06-01,136.5
1990-07-01,137.5
1990-08-01,138.5
1990-09-01,139
1990-10-01,139.1
1990-11-01,139.4
1990-12-01,139.7
1991-01-01,141.1
1991-02-01,141.7
1991-03-01,142
1991-04-01,141.8
1991-05-01,142.1
1991-06-01,142.9
1991-07-01,143.8
1991-08-01,144.3
1991-09-01,144.8
1991-10-01,145
1991-11-01,145.1
1991-12-01,145.5
1992-01-01,146.3
1992-02-01,146.6
1992-03-01,147.1
1992-04-01,147.2
1992-05-01,147.3
1992-06-01,148.1
1992-07-01,148.8
1992-08-01,149.2
1992-09-01,149.4
1992-10-01,149.9
1992-11-01,150.1
1992-12-01,150.3
1993-01-01,151.2
1993-02-01,151.7
1993-03-01,152.1
1993-04-01,152.3
1993-05-01,152.6
1993-06-01,153.6
1993-07-01,154.1
1993-08-01,154.7
1993-09-01,155
1993-10-01,155.1
1993-11-01,155.2
1993-12-01,155.6
1994-01-01,156.2
1994-02-01,157
1994-03-01,157.5
1994-04-01,157.4
1994-05-01,157.4
1994-06-01,158.2
1994-07-01,158.7
1994-08-01,159.4
1994-09-01,159.6
1994-10-01,159.7
1994-11-01,159.8
1994-12-01,159.7
1995-01-01,160.9
1995-02-01,161.6
1995-03-01,162.2
1995-04-01,162.4
1995-05-01,162.6
1995-06-01,163.5
1995-07-01,164.1
1995-08-01,164.6
1995-09-01,164.7
1995-10-01,165.1
1995-11-01,165
1995-12-01,165
1996-01-01,165.9
1996-02-01,166.8
1996-03-01,167.2
1996-04-01,167.3
1996-05-01,167.7
1996-06-01,168.5
1996-07-01,169.4
1996-08-01,169.9
1996-09-01,170.2
1996-10-01,170.4
1996-11-01,170.4
1996-12-01,170.6
1997-01-01,171.5
1997-02-01,172.2
1997-03-01,172.7
1997-04-01,172.8
1997-05-01,172.8
1997-06-01,173.8
1997-07-01,174.6
1997-08-01,174.8
1997-09-01,175.1
1997-10-01,175.5
1997-11-01,175.4
1997-12-01,175.4
1998-01-01,176.1
1998-02-01,176.6
1998-03-01,177.2
1998-04-01,177.4
1998-05-01,177.6
1998-06-01,178.4
1998-07-01,179
1998-08-01,179.5
1998-09-01,179.6
1998-10-01,179.7
1998-11-01,179.7
1998-12-01,179.8
1999-01-01,180.3
1999-02-01,180.9
1999-03-01,181.5
1999-04-01,181.8
1999-05-01,181.8
1999-06-01,182.6
1999-07-01,183.4
1999-08-01,183.8
1999-09-01,183.9
1999-10-01,184.1
1999-11-01,184.3
1999-12-01,184.3
2000-01-01,185.3
2000-02-01,186
2000-03-01,186.9
2000-04-01,187.1
2000-05-01,187.4
2000-06-01,188.9
