"Date","APUA42174714"
1978-01-01,0.661
1978-02-01,0.658
1978-03-01,0.661
1978-04-01,0.662
1978-05-01,0.676
1978-06-01,0.689
1978-07-01,0.701
1978-08-01,0.71
1978-09-01,0.713
1978-10-01,0.716
1978-11-01,0.719
1978-12-01,0.723
1979-01-01,0.73
1979-02-01,0.742
1979-03-01,0.78
1979-04-01,0.859
1979-05-01,0.921
1979-06-01,0.962
1979-07-01,0.992
1979-08-01,1.033
1979-09-01,1.071
1979-10-01,1.067
1979-11-01,1.07
1979-12-01,1.092
1980-01-01,1.16
1980-02-01,1.253
1980-03-01,1.294
1980-04-01,1.303
1980-05-01,1.29
1980-06-01,1.278
1980-07-01,1.28
1980-08-01,1.285
1980-09-01,1.281
1980-10-01,1.276
1980-11-01,1.274
1980-12-01,1.274
1981-01-01,1.294
1981-02-01,1.379
1981-03-01,1.407
1981-04-01,1.413
1981-05-01,1.424
1981-06-01,1.43
1981-07-01,1.431
1981-08-01,1.432
1981-09-01,1.431
1981-10-01,1.429
1981-11-01,1.424
1981-12-01,1.409
1982-01-01,1.41
1982-02-01,1.369
1982-03-01,1.319
1982-04-01,1.295
1982-05-01,1.303
1982-06-01,1.318
1982-07-01,1.352
1982-08-01,1.353
1982-09-01,1.32
1982-10-01,1.293
1982-11-01,1.268
1982-12-01,1.21
1983-01-01,1.176
1983-02-01,1.135
1983-03-01,1.101
1983-04-01,1.172
1983-05-01,1.25
1983-06-01,1.312
1983-07-01,1.334
1983-08-01,1.303
1983-09-01,1.236
1983-10-01,1.177
1983-11-01,1.168
1983-12-01,1.221
1984-01-01,1.217
1984-02-01,1.177
1984-03-01,1.18
1984-04-01,1.241
1984-05-01,1.28
1984-06-01,1.251
1984-07-01,1.172
1984-08-01,1.15
1984-09-01,1.174
1984-10-01,1.234
1984-11-01,1.234
1984-12-01,1.216
1985-01-01,1.147
1985-02-01,1.123
1985-03-01,1.175
1985-04-01,1.248
1985-05-01,1.271
1985-06-01,1.266
1985-07-01,1.237
1985-08-01,1.185
1985-09-01,1.162
1985-10-01,1.156
1985-11-01,1.141
1985-12-01,1.177
1986-01-01,1.175
1986-02-01,1.105
1986-03-01,1.022
1986-04-01,0.981
