"Date","CUSR0000SETB"
1967-01-01,26.2
1967-02-01,26.2
1967-03-01,26.1
1967-04-01,26.4
1967-05-01,26.4
1967-06-01,26.4
1967-07-01,26.4
1967-08-01,26.4
1967-09-01,26.7
1967-10-01,26.4
1967-11-01,26.8
1967-12-01,26.4
1968-01-01,26.7
1968-02-01,26.8
1968-03-01,26.7
1968-04-01,26.5
1968-05-01,26.6
1968-06-01,26.7
1968-07-01,26.7
1968-08-01,27
1968-09-01,26.8
1968-10-01,26.9
1968-11-01,27.1
1968-12-01,26.8
1969-01-01,27.1
1969-02-01,27.2
1969-03-01,27.6
1969-04-01,27.9
1969-05-01,27.8
1969-06-01,28
1969-07-01,27.8
1969-08-01,27.8
1969-09-01,27.7
1969-10-01,27.7
1969-11-01,27.5
1969-12-01,27.7
1970-01-01,27.6
1970-02-01,27.7
1970-03-01,27.2
1970-04-01,28.3
1970-05-01,28.1
1970-06-01,27.8
1970-07-01,28
1970-08-01,27.5
1970-09-01,27.7
1970-10-01,28.1
1970-11-01,28.2
1970-12-01,28.4
1971-01-01,28.5
1971-02-01,28.1
1971-03-01,27.9
1971-04-01,27.5
1971-05-01,27.5
1971-06-01,27.6
1971-07-01,27.3
1971-08-01,28.4
1971-09-01,28.5
1971-10-01,28.6
1971-11-01,28.4
1971-12-01,28.5
1972-01-01,28.2
1972-02-01,28.1
1972-03-01,28.1
1972-04-01,27.8
1972-05-01,28
1972-06-01,27.7
1972-07-01,28
1972-08-01,28.4
1972-09-01,29
1972-10-01,29.1
1972-11-01,29.3
1972-12-01,29.3
1973-01-01,29.4
1973-02-01,29.6
1973-03-01,29.7
1973-04-01,30.2
1973-05-01,30.4
1973-06-01,31
1973-07-01,31
1973-08-01,31
1973-09-01,30.8
1973-10-01,32.2
1973-11-01,33.7
1973-12-01,35.2
1974-01-01,37.2
1974-02-01,39.3
1974-03-01,42.1
1974-04-01,42.7
1974-05-01,43.6
1974-06-01,43.6
1974-07-01,43.7
1974-08-01,43.4
1974-09-01,43.2
1974-10-01,42.6
1974-11-01,42.4
1974-12-01,42.5
1975-01-01,42.8
1975-02-01,42.8
1975-03-01,43
1975-04-01,43
1975-05-01,43.5
1975-06-01,44.5
1975-07-01,46.1
1975-08-01,46.5
1975-09-01,46.9
1975-10-01,47.3
1975-11-01,47.3
1975-12-01,47.2
1976-01-01,47.1
1976-02-01,46.7
1976-03-01,46.3
1976-04-01,45.7
1976-05-01,46.1
1976-06-01,46.7
1976-07-01,46.8
1976-08-01,46.9
1976-09-01,47.2
1976-10-01,47.8
1976-11-01,48.2
1976-12-01,48.3
1977-01-01,48.5
1977-02-01,49.2
1977-03-01,49.7
1977-04-01,49.7
1977-05-01,50
1977-06-01,49.7
1977-07-01,49.4
1977-08-01,49.4
1977-09-01,49.6
1977-10-01,50.1
1977-11-01,50.5
1977-12-01,50.9
1978-01-01,50.9
1978-02-01,50.6
1978-03-01,50.7
1978-04-01,50.4
1978-05-01,50.5
1978-06-01,50.7
1978-07-01,51.1
1978-08-01,51.8
1978-09-01,52.5
1978-10-01,53.5
1978-11-01,54.4
1978-12-01,55.4
1979-01-01,56
1979-02-01,56.4
1979-03-01,59
1979-04-01,62.1
1979-05-01,65.2
1979-06-01,69.1
1979-07-01,72.7
1979-08-01,75.9
1979-09-01,78.8
1979-10-01,80.4
1979-11-01,81.7
1979-12-01,83.8
1980-01-01,89.8
1980-02-01,94.1
1980-03-01,99.6
1980-04-01,98.7
1980-05-01,98.7
1980-06-01,98.1
1980-07-01,97.9
1980-08-01,97.8
1980-09-01,97.7
1980-10-01,98.5
1980-11-01,98.7
1980-12-01,99.4
1981-01-01,103.5
1981-02-01,109.9
1981-03-01,113
1981-04-01,110.6
1981-05-01,109
1981-06-01,107.8
1981-07-01,107.2
1981-08-01,107.2
1981-09-01,107.7
1981-10-01,108.3
1981-11-01,108.9
1981-12-01,108.6
1982-01-01,108.1
1982-02-01,106
1982-03-01,103.6
1982-04-01,97.3
1982-05-01,97.8
1982-06-01,102.8
1982-07-01,104.3
1982-08-01,104.1
1982-09-01,103.2
1982-10-01,103.2
1982-11-01,102.8
1982-12-01,100.4
1983-01-01,99
1983-02-01,95.9
1983-03-01,94.2
1983-04-01,98
1983-05-01,100.5
1983-06-01,101
1983-07-01,101.3
1983-08-01,102.1
1983-09-01,101.2
1983-10-01,100.7
1983-11-01,99.5
1983-12-01,98.6
1984-01-01,98.9
1984-02-01,99.4
1984-03-01,100.1
1984-04-01,99.9
1984-05-01,99.5
1984-06-01,98.3
1984-07-01,96.4
1984-08-01,95.4
1984-09-01,96.1
1984-10-01,97.4
1984-11-01,97
1984-12-01,96
1985-01-01,96.4
1985-02-01,96.5
1985-03-01,98.1
1985-04-01,99.8
1985-05-01,99.4
1985-06-01,99.8
1985-07-01,100
1985-08-01,98.7
1985-09-01,98.2
1985-10-01,98.2
1985-11-01,98.9
1985-12-01,99.7
1986-01-01,100.1
1986-02-01,95.9
1986-03-01,83.5
1986-04-01,74.3
1986-05-01,75.5
1986-06-01,77.9
1986-07-01,72.9
1986-08-01,69
1986-09-01,70.8
1986-10-01,69.2
1986-11-01,68.6
1986-12-01,69.1
1987-01-01,74.1
1987-02-01,78.4
1987-03-01,78.7
1987-04-01,79.3
1987-05-01,77.8
1987-06-01,79.5
1987-07-01,81.2
1987-08-01,83.1
1987-09-01,82.7
1987-10-01,82.6
1987-11-01,82.7
1987-12-01,82.1
1988-01-01,81.2
1988-02-01,80.8
1988-03-01,80
1988-04-01,80.6
1988-05-01,80.3
1988-06-01,80.2
1988-07-01,81.2
1988-08-01,82.5
1988-09-01,81.4
1988-10-01,80.8
1988-11-01,80.8
1988-12-01,80.3
1989-01-01,81.1
1989-02-01,82.6
1989-03-01,84.4
1989-04-01,93.8
1989-05-01,95.7
1989-06-01,94.4
1989-07-01,93.2
1989-08-01,89.1
1989-09-01,86.9
1989-10-01,87.8
1989-11-01,86.2
1989-12-01,86.1
1990-01-01,93.5
1990-02-01,93.3
1990-03-01,92.5
1990-04-01,92.9
1990-05-01,91.8
1990-06-01,92.7
1990-07-01,93.1
1990-08-01,101.2
1990-09-01,109.6
1990-10-01,117.2
1990-11-01,117.4
1990-12-01,117.8
1991-01-01,110.9
1991-02-01,102.6
1991-03-01,97.7
1991-04-01,97.6
1991-05-01,99.4
1991-06-01,98.2
1991-07-01,96.4
1991-08-01,97.7
1991-09-01,97.8
1991-10-01,97.3
1991-11-01,98.4
1991-12-01,99.5
1992-01-01,97.1
1992-02-01,96.7
1992-03-01,97
1992-04-01,96.8
1992-05-01,97.6
1992-06-01,99.8
1992-07-01,100.4
1992-08-01,99.8
1992-09-01,99.5
1992-10-01,100.8
1992-11-01,101.2
1992-12-01,101.7
1993-01-01,101.5
1993-02-01,101.6
1993-03-01,100.8
1993-04-01,100.1
1993-05-01,98.1
1993-06-01,96.8
1993-07-01,95.6
1993-08-01,95.3
1993-09-01,94.2
1993-10-01,99.2
1993-11-01,97.8
1993-12-01,96.3
1994-01-01,94.8
1994-02-01,96.7
1994-03-01,96.3
1994-04-01,96.1
1994-05-01,94.5
1994-06-01,95.3
1994-07-01,98.1
1994-08-01,102.6
1994-09-01,102
1994-10-01,101.4
1994-11-01,102.1
1994-12-01,102
1995-01-01,100.9
1995-02-01,101
1995-03-01,100.4
1995-04-01,100.7
1995-05-01,101.7
1995-06-01,103.4
1995-07-01,101.3
1995-08-01,99.8
1995-09-01,98.2
1995-10-01,97.9
1995-11-01,96.2
1995-12-01,97.8
1996-01-01,101.7
1996-02-01,101.6
1996-03-01,104.2
1996-04-01,108.9
1996-05-01,110.1
1996-06-01,108.2
1996-07-01,106.3
1996-08-01,104.8
1996-09-01,104.9
1996-10-01,105.7
1996-11-01,107.8
1996-12-01,110.8
1997-01-01,111.8
1997-02-01,111.3
1997-03-01,108.8
1997-04-01,105.5
1997-05-01,101.8
1997-06-01,103.4
1997-07-01,101.7
1997-08-01,106.4
1997-09-01,108.6
1997-10-01,107.1
1997-11-01,105
1997-12-01,104.1
1998-01-01,99.9
1998-02-01,96.5
1998-03-01,92.3
1998-04-01,90
1998-05-01,91.7
1998-06-01,93.1
1998-07-01,93
1998-08-01,90.8
1998-09-01,90.2
1998-10-01,91
1998-11-01,89.8
1998-12-01,87.8
1999-01-01,87.2
1999-02-01,85.5
1999-03-01,88.2
1999-04-01,99.5
1999-05-01,98.1
1999-06-01,97.2
1999-07-01,101.4
1999-08-01,106.8
1999-09-01,110.4
1999-10-01,110.4
1999-11-01,109.1
1999-12-01,114.7
2000-01-01,116.6
2000-02-01,120.6
2000-03-01,134
2000-04-01,126.5
2000-05-01,124.3
2000-06-01,135.9
2000-07-01,134.4
2000-08-01,127
2000-09-01,135.1
2000-10-01,133.4
2000-11-01,132.6
2000-12-01,131.2
2001-01-01,131.4
2001-02-01,129.9
2001-03-01,126.4
2001-04-01,128.9
2001-05-01,141
2001-06-01,137.8
2001-07-01,123.7
2001-08-01,121
2001-09-01,131.5
2001-10-01,117.7
2001-11-01,104.8
2001-12-01,99.9
2002-01-01,101.2
2002-02-01,100.3
2002-03-01,108.4
2002-04-01,116.4
2002-05-01,117.1
2002-06-01,117.4
2002-07-01,119.1
2002-08-01,120.3
2002-09-01,121.1
2002-10-01,126.5
2002-11-01,125.6
2002-12-01,125.2
2003-01-01,137.6
2003-02-01,149.3
2003-03-01,147.9
2003-04-01,134.2
2003-05-01,119.7
2003-06-01,120.5
2003-07-01,125.7
2003-08-01,137.3
2003-09-01,147.1
2003-10-01,137.5
2003-11-01,136.7
2003-12-01,140.1
2004-01-01,148.9
2004-02-01,151.6
2004-03-01,151.8
2004-04-01,147.7
2004-05-01,155.3
2004-06-01,161
2004-07-01,159
2004-08-01,158.4
2004-09-01,161.9
2004-10-01,173.6
2004-11-01,180
2004-12-01,176.9
2005-01-01,167.2
2005-02-01,175.2
2005-03-01,177.9
2005-04-01,181.6
2005-05-01,173.4
2005-06-01,174.4
2005-07-01,191
2005-08-01,210.5
2005-09-01,253.4
2005-10-01,238.7
2005-11-01,204.7
2005-12-01,201.3
2006-01-01,214.2
2006-02-01,211.3
2006-03-01,209.3
2006-04-01,225.1
2006-05-01,228.6
2006-06-01,229.5
2006-07-01,246.6
2006-08-01,253.9
2006-09-01,222.5
2006-10-01,198
2006-11-01,195.9
2006-12-01,212.2
2007-01-01,206.362
2007-02-01,209.393
2007-03-01,223.843
2007-04-01,230.444
2007-05-01,241.509
2007-06-01,242.266
2007-07-01,243.321
2007-08-01,237.528
2007-09-01,245.68
2007-10-01,247.339
2007-11-01,269.412
2007-12-01,272.539
2008-01-01,274.476
2008-02-01,278.402
2008-03-01,281.547
2008-04-01,279.029
2008-05-01,292.391
2008-06-01,324.598
2008-07-01,336.703
2008-08-01,321.509
2008-09-01,323.12
2008-10-01,280.344
2008-11-01,194.629
2008-12-01,157.164
2009-01-01,162.89
2009-02-01,175.291
2009-03-01,167.446
2009-04-01,168.926
2009-05-01,177.183
2009-06-01,212.955
2009-07-01,211.711
2009-08-01,223.721
2009-09-01,226.35
2009-10-01,228.757
2009-11-01,238.617
2009-12-01,237.153
2010-01-01,242.147
2010-02-01,236.22
2010-03-01,233.57
2010-04-01,233.231
2010-05-01,228.655
2010-06-01,223.838
2010-07-01,229.734
2010-08-01,233.323
2010-09-01,236.369
2010-10-01,250.414
2010-11-01,257.019
2010-12-01,271.623
2011-01-01,276.332
2011-02-01,280.915
2011-03-01,296.105
2011-04-01,311.079
2011-05-01,315.651
2011-06-01,305.409
2011-07-01,305.848
2011-08-01,307.122
2011-09-01,309.961
2011-10-01,306.82
2011-11-01,309.703
2011-12-01,301.972
2012-01-01,307.247
2012-02-01,317.669
2012-03-01,320.302
2012-04-01,320.408
2012-05-01,304.913
2012-06-01,292.683
2012-07-01,288.752
2012-08-01,311.493
2012-09-01,328.194
2012-10-01,333.789
2012-11-01,316.521
2012-12-01,307.731
2013-01-01,308.181
2013-02-01,330.403
2013-03-01,311.661
2013-04-01,296.546
2013-05-01,294.312
2013-06-01,299.213
2013-07-01,299.873
2013-08-01,304.619
2013-09-01,298.759
2013-10-01,297.068
2013-11-01,298.577
2013-12-01,304.619
2014-01-01,309.828
2014-02-01,306.585
2014-03-01,301.754
2014-04-01,306.964
2014-05-01,302.88
2014-06-01,303.905
2014-07-01,301.381
2014-08-01,296.445
2014-09-01,288.561
2014-10-01,279.937
2014-11-01,263.75
2014-12-01,240.02
2015-01-01,201.099
2015-02-01,208.233
2015-03-01,215.931
2015-04-01,212.784
2015-05-01,226.39
2015-06-01,231.952
2015-07-01,232.738
2015-08-01,226.625
2015-09-01,202.855
2015-10-01,200.172
2015-11-01,199.81
2015-12-01,191.564
2016-01-01,182.135
2016-02-01,163.438
2016-03-01,175.823
2016-04-01,185.394
2016-05-01,188.404
2016-06-01,197.305
2016-07-01,186.408
2016-08-01,184.642
2016-09-01,190.67
2016-10-01,198.613
2016-11-01,200.002
2016-12-01,206.968
2017-01-01,218.699
2017-02-01,214.598
2017-03-01,211.556
2017-04-01,210.132
2017-05-01,198.832
2017-06-01,196.777
2017-07-01,192.711
2017-08-01,204.559
2017-09-01,229.145
2017-10-01,220.121
2017-11-01,229.75
2017-12-01,229.898
2018-01-01,236.538
2018-02-01,240.955
2018-03-01,232.476
2018-04-01,239.868
2018-05-01,243.501
2018-06-01,244.36
2018-07-01,242.657
2018-08-01,247.497
2018-09-01,251.647
2018-10-01,254.792
2018-11-01,239.759
2018-12-01,226.645
2019-01-01,214.693
2019-02-01,220.233
2019-03-01,230.019
2019-04-01,246.64
2019-05-01,242.215
2019-06-01,230.306
2019-07-01,233.574
2019-08-01,230.4
2019-09-01,231.467
2019-10-01,236.198
2019-11-01,237.043
2019-12-01,245.197
2020-01-01,242.183
2020-02-01,232.593
2020-03-01,206.133
2020-04-01,167.825
2020-05-01,160.732
2020-06-01,176.771
2020-07-01,185.792
2020-08-01,192.053
2020-09-01,195.657
2020-10-01,193.428
2020-11-01,190.92
2020-12-01,208.587
2021-01-01,221.879
2021-02-01,236.175
2021-03-01,251.107
2021-04-01,249.572
2021-05-01,249.459
2021-06-01,255.83
2021-07-01,262.165
2021-08-01,273.862
2021-09-01,278.045
2021-10-01,289.435
