"Date","CUSR0000SEEE"
2006-01-01,13
2006-02-01,12.9
2006-03-01,12.9
2006-04-01,12.8
2006-05-01,12.7
2006-06-01,12.7
2006-07-01,12.7
2006-08-01,12.5
2006-09-01,12.3
2006-10-01,11.9
2006-11-01,11.5
2006-12-01,11.2
2007-01-01,10.878
2007-02-01,10.836
2007-03-01,10.816
2007-04-01,10.819
2007-05-01,10.769
2007-06-01,10.612
2007-07-01,10.539
2007-08-01,10.502
2007-09-01,10.502
2007-10-01,10.403
2007-11-01,10.232
2007-12-01,10.247
2008-01-01,10.215
2008-02-01,10.229
2008-03-01,10.204
2008-04-01,10.118
2008-05-01,10.1
2008-06-01,10.085
2008-07-01,10.094
2008-08-01,10.032
2008-09-01,9.93
2008-10-01,9.892
2008-11-01,9.887
2008-12-01,9.935
2009-01-01,9.914
2009-02-01,9.902
2009-03-01,9.832
2009-04-01,9.833
2009-05-01,9.754
2009-06-01,9.737
2009-07-01,9.608
2009-08-01,9.517
2009-09-01,9.499
2009-10-01,9.525
2009-11-01,9.49
2009-12-01,9.445
2010-01-01,9.451
2010-02-01,9.521
2010-03-01,9.525
2010-04-01,9.491
2010-05-01,9.455
2010-06-01,9.421
2010-07-01,9.399
2010-08-01,9.4
2010-09-01,9.372
2010-10-01,9.342
2010-11-01,9.323
2010-12-01,9.252
2011-01-01,9.206
2011-02-01,9.173
2011-03-01,9.133
2011-04-01,9.102
2011-05-01,9.059
2011-06-01,9.008
2011-07-01,9.017
2011-08-01,8.983
2011-09-01,8.953
2011-10-01,8.924
2011-11-01,8.916
2011-12-01,8.876
2012-01-01,8.896
2012-02-01,8.856
2012-03-01,8.806
2012-04-01,8.791
2012-05-01,8.84
2012-06-01,8.799
2012-07-01,8.762
2012-08-01,8.682
2012-09-01,8.643
2012-10-01,8.612
2012-11-01,8.585
2012-12-01,8.582
2013-01-01,8.588
2013-02-01,8.617
2013-03-01,8.628
2013-04-01,8.561
2013-05-01,8.542
2013-06-01,8.504
2013-07-01,8.449
2013-08-01,8.478
2013-09-01,8.494
2013-10-01,8.451
2013-11-01,8.436
2013-12-01,8.441
2014-01-01,8.41
2014-02-01,8.384
2014-03-01,8.381
2014-04-01,8.375
2014-05-01,8.372
2014-06-01,8.37
2014-07-01,8.392
2014-08-01,8.379
2014-09-01,8.327
2014-10-01,8.323
2014-11-01,8.27
2014-12-01,8.221
2015-01-01,8.194
2015-02-01,8.177
2015-03-01,8.17
2015-04-01,8.155
2015-05-01,8.106
2015-06-01,8.066
2015-07-01,8.017
2015-08-01,7.939
2015-09-01,7.957
2015-10-01,7.977
2015-11-01,7.946
2015-12-01,7.92
2016-01-01,7.897
2016-02-01,7.888
2016-03-01,7.909
2016-04-01,7.883
2016-05-01,7.839
2016-06-01,7.798
2016-07-01,7.784
2016-08-01,7.764
2016-09-01,7.767
2016-10-01,7.704
2016-11-01,7.733
2016-12-01,7.699
2017-01-01,7.719
2017-02-01,7.69
2017-03-01,7.667
2017-04-01,7.693
2017-05-01,7.662
2017-06-01,7.668
2017-07-01,7.608
2017-08-01,7.569
2017-09-01,7.542
2017-10-01,7.548
2017-11-01,7.537
2017-12-01,7.515
2018-01-01,7.532
2018-02-01,7.474
2018-03-01,7.438
2018-04-01,7.42
2018-05-01,7.456
2018-06-01,7.489
2018-07-01,7.481
2018-08-01,7.481
2018-09-01,7.502
2018-10-01,7.459
2018-11-01,7.434
2018-12-01,7.442
2019-01-01,7.457
2019-02-01,7.436
2019-03-01,7.39
2019-04-01,7.394
2019-05-01,7.371
2019-06-01,7.358
2019-07-01,7.397
2019-08-01,7.42
2019-09-01,7.363
2019-10-01,7.325
2019-11-01,7.376
2019-12-01,7.347
2020-01-01,7.375
2020-02-01,7.375
2020-03-01,7.354
2020-04-01,7.364
2020-05-01,7.35
2020-06-01,7.328
2020-07-01,7.32
2020-08-01,7.32
2020-09-01,7.266
2020-10-01,7.243
2020-11-01,7.28
2020-12-01,7.288
2021-01-01,7.28
2021-02-01,7.261
2021-03-01,7.242
2021-04-01,7.361
2021-05-01,7.357
2021-06-01,7.338
2021-07-01,7.364
2021-08-01,7.423
2021-09-01,7.47
2021-10-01,7.443
2021-11-01,7.42
2021-12-01,7.427
2022-01-01,7.425
2022-02-01,7.404
2022-03-01,7.371
2022-04-01,7.297
2022-05-01,7.25
2022-06-01,7.251
2022-07-01,7.201
2022-08-01,7.183
2022-09-01,7.163
2022-10-01,7.129
2022-11-01,7.11
2022-12-01,7.083
2023-01-01,7.12
2023-02-01,7.125
2023-03-01,7.147
2023-04-01,7.13
2023-05-01,7.12
2023-06-01,7.135
2023-07-01,7.112
2023-08-01,7.104
2023-09-01,7.104
2023-10-01,7.056
2023-11-01,6.981
