"Date","CUSR0000SEFW"
1978-01-01,72.6
1978-02-01,73
1978-03-01,73.3
1978-04-01,73.8
1978-05-01,74.2
1978-06-01,74.5
1978-07-01,74.8
1978-08-01,75.2
1978-09-01,75.8
1978-10-01,76.3
1978-11-01,76.8
1978-12-01,77.3
1979-01-01,77.8
1979-02-01,78.3
1979-03-01,78.8
1979-04-01,79.2
1979-05-01,79.7
1979-06-01,80.3
1979-07-01,80.6
1979-08-01,81
1979-09-01,81.5
1979-10-01,82.4
1979-11-01,83.4
1979-12-01,83.8
1980-01-01,84.2
1980-02-01,84.5
1980-03-01,84.7
1980-04-01,85.9
1980-05-01,86.5
1980-06-01,87
1980-07-01,87.7
1980-08-01,88.4
1980-09-01,88.9
1980-10-01,89.2
1980-11-01,89.8
1980-12-01,90.3
1981-01-01,90.9
1981-02-01,91.6
1981-03-01,91.9
1981-04-01,92.1
1981-05-01,92.5
1981-06-01,93
1981-07-01,93.4
1981-08-01,93.9
1981-09-01,94.4
1981-10-01,93.9
1981-11-01,94.6
1981-12-01,94.9
1982-01-01,95.3
1982-02-01,95.7
1982-03-01,96
1982-04-01,96.5
1982-05-01,96.7
1982-06-01,96.8
1982-07-01,97.2
1982-08-01,97.9
1982-09-01,97.8
1982-10-01,97.9
1982-11-01,98.2
1982-12-01,98.4
1983-01-01,98.1
1983-02-01,99
1983-03-01,100
1983-04-01,100.4
1983-05-01,100.6
1983-06-01,100.8
1983-07-01,101.1
1983-08-01,100.8
1983-09-01,101.5
1983-10-01,101.6
1983-11-01,101.3
1983-12-01,100.9
1984-01-01,101.2
1984-02-01,101.7
1984-03-01,102.1
1984-04-01,102.3
1984-05-01,102.3
1984-06-01,102.6
1984-07-01,102.6
1984-08-01,102.7
1984-09-01,102.6
1984-10-01,103.3
1984-11-01,102.9
1984-12-01,102.9
1985-01-01,103.1
1985-02-01,103.7
1985-03-01,104.1
1985-04-01,104
1985-05-01,104.4
1985-06-01,104.4
1985-07-01,104.4
1985-08-01,104.9
1985-09-01,104.8
1985-10-01,108.5
1985-11-01,108.1
1985-12-01,108
1986-01-01,108.5
1986-02-01,109
1986-03-01,109
1986-04-01,109.5
1986-05-01,109.4
1986-06-01,109.4
1986-07-01,109.5
1986-08-01,109.3
1986-09-01,109.4
1986-10-01,109.5
1986-11-01,109.4
1986-12-01,109.5
1987-01-01,110.6
1987-02-01,110.7
1987-03-01,110.8
1987-04-01,111
1987-05-01,111.2
1987-06-01,111.1
1987-07-01,111.3
1987-08-01,111.7
1987-09-01,112
1987-10-01,112.3
1987-11-01,112.6
1987-12-01,112.6
1988-01-01,112.5
1988-02-01,113
1988-03-01,113.5
1988-04-01,113.7
1988-05-01,113.9
1988-06-01,114.1
1988-07-01,114.4
1988-08-01,114.7
1988-09-01,114.8
1988-10-01,115
1988-11-01,115.2
1988-12-01,115.3
1989-01-01,115.5
1989-02-01,115.9
1989-03-01,116.2
1989-04-01,116.5
1989-05-01,117.3
1989-06-01,117.9
1989-07-01,118.5
1989-08-01,118.7
1989-09-01,118.7
1989-10-01,119.2
1989-11-01,120.1
1989-12-01,120.3
1990-01-01,120.6
1990-02-01,121.1
1990-03-01,121.5
1990-04-01,121.9
1990-05-01,122.5
1990-06-01,122.9
1990-07-01,123.3
1990-08-01,123.7
1990-09-01,124.2
1990-10-01,124.5
1990-11-01,124.6
1990-12-01,124.8
