"Date","CUURA207SETB01"
1977-12-01,47.6
1978-01-01,52.7
1978-02-01,52.7
1978-03-01,52.4
1978-04-01,52.4
1978-05-01,52.7
1978-06-01,53.4
1978-07-01,53.9
1978-08-01,54.5
1978-09-01,55.1
1978-10-01,55.4
1978-11-01,56.1
1978-12-01,56.8
1979-01-01,57.9
1979-02-01,59
1979-03-01,61
1979-04-01,64.2
1979-05-01,67.5
1979-06-01,72.2
1979-07-01,75.9
1979-08-01,79.7
1979-09-01,82.7
1979-10-01,83.8
1979-11-01,82.7
1979-12-01,84.7
1980-01-01,90.8
1980-02-01,96.4
1980-03-01,100
1980-04-01,100.9
1980-05-01,100.4
1980-06-01,100.1
1980-07-01,100
1980-08-01,99.5
1980-09-01,98.5
1980-10-01,97.5
1980-11-01,97.3
1980-12-01,98
1981-01-01,101.8
1981-02-01,108.2
1981-03-01,111.3
1981-04-01,110.4
1981-05-01,108.5
1981-06-01,107.8
1981-07-01,106.1
1981-08-01,105.6
1981-09-01,105.8
1981-10-01,106
1981-11-01,106
1981-12-01,105.4
1982-01-01,105.1
1982-02-01,103.6
1982-03-01,99.5
1982-04-01,94.3
1982-05-01,96.4
1982-06-01,103.1
1982-07-01,104.9
1982-08-01,103.6
1982-09-01,102.3
1982-10-01,101.3
1982-11-01,101
1982-12-01,99.7
1983-01-01,97.1
1983-02-01,94.5
1983-03-01,92.1
1983-04-01,97.3
1983-05-01,100.1
1983-06-01,100.9
1983-07-01,101.3
1983-08-01,103.9
1983-09-01,104
1983-10-01,103.1
1983-11-01,102
1983-12-01,100.1
1984-01-01,98.8
1984-02-01,99
1984-03-01,99
1984-04-01,100.3
1984-05-01,100.3
1984-06-01,100.5
1984-07-01,99.2
1984-08-01,98.1
1984-09-01,98.8
1984-10-01,99
1984-11-01,98.6
1984-12-01,97.5
1985-01-01,95.7
1985-02-01,94.9
1985-03-01,97.6
1985-04-01,100.7
1985-05-01,102.2
1985-06-01,103
1985-07-01,104
1985-08-01,103.7
1985-09-01,102.1
1985-10-01,100.4
1985-11-01,102.6
1985-12-01,102.5
1986-01-01,101.3
1986-02-01,92.4
1986-03-01,80.6
1986-04-01,72.5
1986-05-01,77.8
1986-06-01,81.8
1986-07-01,74
1986-08-01,70
1986-09-01,71.9
1986-10-01,69.4
1986-11-01,71.2
1986-12-01,73
1987-01-01,77.2
1987-02-01,79.1
1987-03-01,78.9
1987-04-01,82.4
1987-05-01,82.4
1987-06-01,83.6
1987-07-01,85.2
1987-08-01,87.5
1987-09-01,86.5
1987-10-01,84.7
1987-11-01,83.9
1987-12-01,82.5
1988-01-01,80.6
1988-02-01,80.6
1988-03-01,80.3
1988-04-01,81.6
1988-05-01,83.4
1988-06-01,83.6
1988-07-01,85.4
1988-08-01,88.7
1988-09-01,87.4
1988-10-01,84.7
1988-11-01,84.5
1988-12-01,83.4
1989-01-01,81.1
1989-02-01,82.1
1989-03-01,83.2
1989-04-01,95.5
1989-05-01,100.3
1989-06-01,99.4
1989-07-01,97.5
1989-08-01,94.5
1989-09-01,93.9
1989-10-01,95.3
1989-11-01,93.4
1989-12-01,91.5
1990-01-01,99.5
1990-02-01,97.7
1990-03-01,93.8
1990-04-01,98.7
1990-05-01,100.2
1990-06-01,102.9
1990-07-01,100.9
1990-08-01,110.1
1990-09-01,114.3
1990-10-01,123.3
1990-11-01,123.1
1990-12-01,120.8
1991-01-01,112.2
1991-02-01,105.3
1991-03-01,99.4
1991-04-01,100.3
1991-05-01,105.8
1991-06-01,107.1
1991-07-01,103.6
1991-08-01,105.9
1991-09-01,104.7
1991-10-01,101.1
1991-11-01,103
1991-12-01,102.2
1992-01-01,97.2
1992-02-01,93.9
1992-03-01,92.7
1992-04-01,95.5
1992-05-01,101
1992-06-01,104.6
1992-07-01,102.2
1992-08-01,100
1992-09-01,101.9
1992-10-01,104.4
1992-11-01,104.4
1992-12-01,101.6
1993-01-01,98
1993-02-01,97.8
1993-03-01,97.9
1993-04-01,101.3
1993-05-01,103.1
1993-06-01,101.7
1993-07-01,98.1
1993-08-01,96.5
1993-09-01,95
1993-10-01,98
1993-11-01,96.6
1993-12-01,92.4
1994-01-01,91.2
1994-02-01,93.9
1994-03-01,92.6
1994-04-01,95.7
1994-05-01,98.2
1994-06-01,101.8
1994-07-01,105.5
1994-08-01,109.7
1994-09-01,109
1994-10-01,105.1
1994-11-01,104.7
1994-12-01,102.6
1995-01-01,99.8
1995-02-01,98
1995-03-01,97.1
1995-04-01,100.5
1995-05-01,105.5
1995-06-01,108.5
1995-07-01,105.2
1995-08-01,101.7
1995-09-01,100.6
1995-10-01,98.4
1995-11-01,96.2
1995-12-01,97.8
1996-01-01,99.7
1996-02-01,99.1
1996-03-01,105.1
1996-04-01,110
1996-05-01,114.2
1996-06-01,113
1996-07-01,110
1996-08-01,106.5
1996-09-01,107.3
1996-10-01,107.4
1996-11-01,112.4
1996-12-01,113.5
1997-01-01,112.7
1997-02-01,109.5
1997-03-01,105.2
1997-04-01,103
1997-05-01,106.1
1997-06-01,107.7
1997-07-01,106.1
1997-08-01,109.9
1997-09-01,108
1997-10-01,102.9
1997-11-01,101.3
1997-12-01,99.6
1998-01-01,93.9
1998-02-01,91.7
1998-03-01,90.4
1998-04-01,92.4
1998-05-01,97.8
1998-06-01,99
1998-07-01,98.1
1998-08-01,95.4
1998-09-01,93.6
1998-10-01,94.7
1998-11-01,92.6
1998-12-01,87.8
1999-01-01,88.3
1999-02-01,85.1
1999-03-01,90.1
1999-04-01,99
1999-05-01,101.5
1999-06-01,100.2
1999-07-01,103.3
1999-08-01,106.4
1999-09-01,111
1999-10-01,109.5
1999-11-01,109.5
1999-12-01,110.7
2000-01-01,113.8
2000-02-01,121.8
2000-03-01,130.7
2000-04-01,125.8
2000-05-01,140.5
2000-06-01,172.7
2000-07-01,132.1
2000-08-01,117
