"Date","CUSR0000SAT1"
1968-09-01,34.9
1968-10-01,35
1968-11-01,35.2
1968-12-01,34.9
1969-01-01,35
1969-02-01,35.5
1969-03-01,36.2
1969-04-01,36.2
1969-05-01,35.8
1969-06-01,36
1969-07-01,35.9
1969-08-01,36
1969-09-01,35.8
1969-10-01,36.2
1969-11-01,36.3
1969-12-01,36.6
1970-01-01,36.7
1970-02-01,36.8
1970-03-01,36.6
1970-04-01,37.1
1970-05-01,37.2
1970-06-01,37.4
1970-07-01,37.6
1970-08-01,37.5
1970-09-01,37.7
1970-10-01,38.1
1970-11-01,38.5
1970-12-01,38.9
1971-01-01,39.2
1971-02-01,39.4
1971-03-01,39.4
1971-04-01,39.3
1971-05-01,39.4
1971-06-01,39.5
1971-07-01,39.5
1971-08-01,39.6
1971-09-01,39.4
1971-10-01,39.4
1971-11-01,39.3
1971-12-01,39.3
1972-01-01,39.5
1972-02-01,39.4
1972-03-01,39.4
1972-04-01,39.4
1972-05-01,39.5
1972-06-01,39.4
1972-07-01,39.6
1972-08-01,39.8
1972-09-01,40
1972-10-01,39.9
1972-11-01,40.1
1972-12-01,40.2
1973-01-01,40.2
1973-02-01,40.5
1973-03-01,40.6
1973-04-01,40.8
1973-05-01,40.9
1973-06-01,41.1
1973-07-01,41.1
1973-08-01,41.1
1973-09-01,40.9
1973-10-01,41.3
1973-11-01,41.8
1973-12-01,42.2
1974-01-01,42.9
1974-02-01,43.5
1974-03-01,44.4
1974-04-01,44.9
1974-05-01,45.6
1974-06-01,46.2
1974-07-01,46.8
1974-08-01,47.1
1974-09-01,47.5
1974-10-01,47.8
1974-11-01,48.2
1974-12-01,48.3
1975-01-01,48.5
1975-02-01,48.8
1975-03-01,49.2
1975-04-01,49.4
1975-05-01,49.5
1975-06-01,50
1975-07-01,50.8
1975-08-01,51.3
1975-09-01,51.6
1975-10-01,52.1
1975-11-01,52.8
1975-12-01,53
1976-01-01,53.4
1976-02-01,53.8
1976-03-01,54.2
1976-04-01,54.5
1976-05-01,54.9
1976-06-01,55.3
1976-07-01,55.6
1976-08-01,56
1976-09-01,56.5
1976-10-01,57.2
1976-11-01,57.6
1976-12-01,58
1977-01-01,58.4
1977-02-01,59
1977-03-01,59.5
1977-04-01,59.8
1977-05-01,59.9
1977-06-01,59.8
1977-07-01,59.6
1977-08-01,59.6
1977-09-01,59.8
1977-10-01,60
1977-11-01,60.2
1977-12-01,60.5
1978-01-01,60.8
1978-02-01,60.9
1978-03-01,61.1
1978-04-01,61.1
1978-05-01,61.4
1978-06-01,61.9
1978-07-01,62.4
1978-08-01,62.9
1978-09-01,63.4
1978-10-01,64.2
1978-11-01,64.8
1978-12-01,65.5
1979-01-01,65.6
1979-02-01,66.2
1979-03-01,67.5
1979-04-01,69
1979-05-01,70.4
1979-06-01,71.9
1979-07-01,73
1979-08-01,74.1
1979-09-01,74.8
1979-10-01,75.3
1979-11-01,76
1979-12-01,76.9
1980-01-01,79.2
1980-02-01,81.1
1980-03-01,83.2
1980-04-01,83.6
1980-05-01,84.1
1980-06-01,84
1980-07-01,84.2
1980-08-01,84.6
1980-09-01,85.4
1980-10-01,86.1
1980-11-01,86.9
1980-12-01,87.6
1981-01-01,89.3
1981-02-01,91.6
1981-03-01,92.7
1981-04-01,92.5
1981-05-01,93
1981-06-01,93.4
1981-07-01,93.9
1981-08-01,94.2
1981-09-01,95
1981-10-01,95.9
1981-11-01,96.6
1981-12-01,96.8
1982-01-01,97
1982-02-01,96.5
1982-03-01,96.1
1982-04-01,94.6
1982-05-01,95.2
1982-06-01,97.4
1982-07-01,98.3
1982-08-01,98.4
1982-09-01,98.1
1982-10-01,98.2
1982-11-01,98.3
1982-12-01,97.8
1983-01-01,97.6
1983-02-01,96.9
1983-03-01,96.5
1983-04-01,97.7
1983-05-01,98.7
1983-06-01,99.1
1983-07-01,99.6
1983-08-01,100.5
1983-09-01,100.8
1983-10-01,101.2
1983-11-01,101.5
1983-12-01,101.6
1984-01-01,102
1984-02-01,102.2
1984-03-01,102.9
1984-04-01,103.3
1984-05-01,103.8
1984-06-01,103.8
1984-07-01,103.5
1984-08-01,103.6
1984-09-01,104
1984-10-01,104.7
1984-11-01,104.8
1984-12-01,104.6
1985-01-01,104.9
1985-02-01,105.5
1985-03-01,106.2
1985-04-01,106.7
1985-05-01,106.3
1985-06-01,106.4
1985-07-01,106.4
1985-08-01,106
1985-09-01,105.8
1985-10-01,106.1
1985-11-01,106.7
1985-12-01,107.2
1986-01-01,107.6
1986-02-01,106.4
1986-03-01,102.8
1986-04-01,100
1986-05-01,100.3
1986-06-01,101.3
1986-07-01,100
1986-08-01,98.9
1986-09-01,99.4
1986-10-01,99.3
1986-11-01,99.5
1986-12-01,99.8
1987-01-01,101.3
1987-02-01,102.2
1987-03-01,102.6
1987-04-01,103.2
1987-05-01,103.2
1987-06-01,104
1987-07-01,104.8
1987-08-01,105.5
1987-09-01,105.7
1987-10-01,105.9
1987-11-01,106.2
1987-12-01,106.1
1988-01-01,105.9
1988-02-01,106
1988-03-01,105.9
1988-04-01,106.3
1988-05-01,106.8
1988-06-01,107.2
1988-07-01,107.7
1988-08-01,108.6
1988-09-01,108.9
1988-10-01,108.9
1988-11-01,109.1
1988-12-01,109.1
1989-01-01,109.8
1989-02-01,110.6
1989-03-01,111.4
1989-04-01,114.1
1989-05-01,114.9
1989-06-01,114.6
1989-07-01,114.2
1989-08-01,113.1
1989-09-01,112.6
1989-10-01,113.1
1989-11-01,113.1
1989-12-01,113.5
1990-01-01,115.9
1990-02-01,116
1990-03-01,115.8
1990-04-01,116.1
1990-05-01,115.8
1990-06-01,116.1
1990-07-01,116.5
1990-08-01,118.9
1990-09-01,121.5
1990-10-01,123.9
1990-11-01,124.3
1990-12-01,124.9
1991-01-01,123.4
1991-02-01,121.6
1991-03-01,120.5
1991-04-01,120.7
1991-05-01,121.4
1991-06-01,121.5
1991-07-01,121.5
1991-08-01,122
1991-09-01,122.2
1991-10-01,122.2
1991-11-01,122.7
1991-12-01,123.2
1992-01-01,122.7
1992-02-01,122.7
1992-03-01,123
1992-04-01,123.4
1992-05-01,123.9
1992-06-01,124.9
1992-07-01,125.2
1992-08-01,125.3
1992-09-01,125.5
1992-10-01,126
1992-11-01,126.4
1992-12-01,126.7
1993-01-01,126.9
1993-02-01,127.1
1993-03-01,127
1993-04-01,127.1
1993-05-01,127.1
1993-06-01,127
1993-07-01,127.1
1993-08-01,127.4
1993-09-01,127.3
1993-10-01,129.1
1993-11-01,129.1
1993-12-01,128.7
1994-01-01,128.3
1994-02-01,128.9
1994-03-01,129.1
1994-04-01,129.4
1994-05-01,129.5
1994-06-01,130.4
1994-07-01,131.5
1994-08-01,133.1
1994-09-01,133.4
1994-10-01,133.7
1994-11-01,134.4
1994-12-01,135
1995-01-01,135.1
1995-02-01,135.4
1995-03-01,135.7
1995-04-01,136.4
1995-05-01,136.8
1995-06-01,137.3
1995-07-01,136.7
1995-08-01,136.5
1995-09-01,136.2
1995-10-01,136.4
1995-11-01,136.2
1995-12-01,136.7
1996-01-01,137.8
1996-02-01,138.1
1996-03-01,138.8
1996-04-01,140.2
1996-05-01,140.7
1996-06-01,140.4
1996-07-01,140.1
1996-08-01,140
1996-09-01,140.4
1996-10-01,140.6
1996-11-01,141.2
1996-12-01,142
1997-01-01,142.2
1997-02-01,142.3
1997-03-01,141.8
1997-04-01,141
1997-05-01,139.9
1997-06-01,140.3
1997-07-01,139.9
1997-08-01,141.1
1997-09-01,141.5
1997-10-01,141.2
1997-11-01,140.5
1997-12-01,140.2
1998-01-01,139.5
1998-02-01,138.7
1998-03-01,137.7
1998-04-01,137.2
1998-05-01,137.5
1998-06-01,137.9
1998-07-01,138.1
1998-08-01,137.8
1998-09-01,137.5
1998-10-01,137.8
1998-11-01,137.7
1998-12-01,137.2
1999-01-01,136.9
1999-02-01,136
1999-03-01,136.6
1999-04-01,139.5
1999-05-01,139.3
1999-06-01,139.3
1999-07-01,140.6
1999-08-01,142.1
1999-09-01,143.4
1999-10-01,143.6
1999-11-01,143.3
1999-12-01,144.7
2000-01-01,145.1
2000-02-01,145.9
2000-03-01,149.5
2000-04-01,148
2000-05-01,147.8
2000-06-01,150.8
2000-07-01,150.5
2000-08-01,148.8
2000-09-01,151
2000-10-01,150.7
2000-11-01,150.8
2000-12-01,150.8
2001-01-01,151.1
2001-02-01,150.9
2001-03-01,150.1
2001-04-01,150.8
2001-05-01,153.8
2001-06-01,153.1
2001-07-01,149.7
2001-08-01,149.1
2001-09-01,151.8
2001-10-01,148.7
2001-11-01,145.9
2001-12-01,144.9
2002-01-01,144.9
2002-02-01,144.3
2002-03-01,146.2
2002-04-01,148.2
2002-05-01,148.5
2002-06-01,148.7
2002-07-01,149.4
2002-08-01,150
2002-09-01,150.3
2002-10-01,151.7
2002-11-01,151.5
2002-12-01,151.4
2003-01-01,154.2
2003-02-01,157.1
2003-03-01,157.1
2003-04-01,153.9
2003-05-01,150.3
2003-06-01,150.5
2003-07-01,151.6
2003-08-01,154.2
2003-09-01,155.9
2003-10-01,153.4
2003-11-01,152.8
2003-12-01,153.4
2004-01-01,155.9
2004-02-01,156.7
2004-03-01,156.8
2004-04-01,155.8
2004-05-01,157.8
2004-06-01,159.1
2004-07-01,158.6
2004-08-01,158.4
2004-09-01,159.9
2004-10-01,163.2
2004-11-01,165.4
2004-12-01,164.9
2005-01-01,162.9
2005-02-01,164.9
2005-03-01,165.5
2005-04-01,166.5
2005-05-01,164.8
2005-06-01,165.2
2005-07-01,168.9
2005-08-01,173.6
2005-09-01,184.4
2005-10-01,180.9
2005-11-01,172.9
2005-12-01,172.1
2006-01-01,175.1
2006-02-01,174.6
2006-03-01,174.2
2006-04-01,178
2006-05-01,178.8
2006-06-01,179.1
2006-07-01,183.1
2006-08-01,184.7
2006-09-01,177.5
2006-10-01,171.8
2006-11-01,170.9
2006-12-01,174.5
2007-01-01,173.058
2007-02-01,173.657
2007-03-01,177.09
2007-04-01,178.593
2007-05-01,180.883
2007-06-01,181.109
2007-07-01,181.588
2007-08-01,180.485
2007-09-01,182.477
2007-10-01,182.951
2007-11-01,188.394
2007-12-01,189.249
2008-01-01,190.165
2008-02-01,191.005
2008-03-01,191.677
2008-04-01,190.97
2008-05-01,194.149
2008-06-01,201.848
2008-07-01,204.808
2008-08-01,201.09
2008-09-01,201.29
2008-10-01,190.955
2008-11-01,170.34
2008-12-01,161.326
2009-01-01,163.275
2009-02-01,166.668
2009-03-01,164.732
2009-04-01,165.515
2009-05-01,167.864
2009-06-01,176.72
2009-07-01,176.664
2009-08-01,179.484
2009-09-01,180.992
2009-10-01,183.369
2009-11-01,186.752
2009-12-01,186.907
2010-01-01,188.697
2010-02-01,187.562
2010-03-01,186.904
2010-04-01,186.688
2010-05-01,185.51
2010-06-01,184.608
2010-07-01,186.282
2010-08-01,187.515
2010-09-01,188.612
2010-10-01,192.269
2010-11-01,194.061
2010-12-01,197.69
2011-01-01,199.266
2011-02-01,200.632
2011-03-01,204.538
2011-04-01,208.416
2011-05-01,210.267
2011-06-01,208.573
2011-07-01,208.961
2011-08-01,209.596
2011-09-01,210.565
2011-10-01,209.979
2011-11-01,210.798
2011-12-01,209.028
2012-01-01,210.698
2012-02-01,213.147
2012-03-01,213.871
2012-04-01,214.133
2012-05-01,210.653
2012-06-01,207.903
2012-07-01,206.991
2012-08-01,212.762
2012-09-01,216.955
2012-10-01,218.473
2012-11-01,214.383
2012-12-01,212.51
2013-01-01,212.938
2013-02-01,218.502
2013-03-01,213.704
2013-04-01,209.815
2013-05-01,209.269
2013-06-01,210.757
2013-07-01,211.546
2013-08-01,212.799
2013-09-01,211.719
2013-10-01,211.533
2013-11-01,212.021
2013-12-01,213.698
2014-01-01,214.63
2014-02-01,213.85
2014-03-01,212.616
2014-04-01,214.16
2014-05-01,213.313
2014-06-01,213.575
2014-07-01,213.191
2014-08-01,212.157
2014-09-01,210.526
2014-10-01,208.746
2014-11-01,204.732
2014-12-01,198.839
2015-01-01,189.222
2015-02-01,191.616
2015-03-01,193.844
2015-04-01,193.509
2015-05-01,197.083
2015-06-01,198.523
2015-07-01,198.988
2015-08-01,197.411
2015-09-01,191.819
2015-10-01,190.922
2015-11-01,191.045
2015-12-01,189.081
2016-01-01,186.965
2016-02-01,183.014
2016-03-01,185.942
2016-04-01,188.877
2016-05-01,189.949
2016-06-01,191.731
2016-07-01,189.269
2016-08-01,188.848
2016-09-01,190.619
2016-10-01,192.21
2016-11-01,192.321
2016-12-01,194.043
2017-01-01,197.045
2017-02-01,196.45
2017-03-01,195.974
2017-04-01,195.665
2017-05-01,193.48
2017-06-01,192.953
2017-07-01,191.8
2017-08-01,194.737
2017-09-01,199.898
2017-10-01,198.601
2017-11-01,201.191
2017-12-01,201.822
2018-01-01,204.559
2018-02-01,206.109
2018-03-01,204.067
2018-04-01,205.224
2018-05-01,206.405
2018-06-01,206.713
2018-07-01,206.341
2018-08-01,207.692
2018-09-01,208.657
2018-10-01,209.838
2018-11-01,206.94
2018-12-01,204.407
2019-01-01,202.097
2019-02-01,203.035
2019-03-01,205.153
2019-04-01,208.825
2019-05-01,207.421
2019-06-01,204.74
2019-07-01,205.366
2019-08-01,205.092
2019-09-01,205.293
2019-10-01,206.493
2019-11-01,206.625
2019-12-01,208.984
2020-01-01,208.215
2020-02-01,206.498
2020-03-01,200.911
2020-04-01,190.074
2020-05-01,186.663
2020-06-01,190.289
2020-07-01,195.245
2020-08-01,199.05
2020-09-01,201.191
2020-10-01,201.178
2020-11-01,201.333
2020-12-01,205.613
2021-01-01,208.038
2021-02-01,211.072
2021-03-01,214.975
2021-04-01,219.311
2021-05-01,223.832
2021-06-01,231.172
2021-07-01,232.962
2021-08-01,235.467
2021-09-01,236.83
2021-10-01,241.985
2021-11-01,247.631
2021-12-01,253.307
2022-01-01,254.662
2022-02-01,257.855
2022-03-01,264.491
2022-04-01,263.461
2022-05-01,267.031
2022-06-01,276.615
2022-07-01,270.98
2022-08-01,266.564
2022-09-01,265.327
2022-10-01,267.346
2022-11-01,265.359
2022-12-01,260.945
2023-01-01,262.279
2023-02-01,262.351
2023-03-01,260.423
2023-04-01,264.269
2023-05-01,263.638
2023-06-01,264.949
2023-07-01,265.449
2023-08-01,272.331
2023-09-01,273.17
2023-10-01,270.502
2023-11-01,268.581
