"Date","CWSR0000SETA"
2003-06-01,97.2
2003-07-01,96.6
2003-08-01,96
2003-09-01,94.7
2003-10-01,93.6
2003-11-01,93
2003-12-01,92.6
2004-01-01,92.6
2004-02-01,92.7
2004-03-01,92.6
2004-04-01,92.5
2004-05-01,92.6
2004-06-01,92.1
2004-07-01,92.1
2004-08-01,92.1
2004-09-01,93
2004-10-01,93.4
2004-11-01,94.1
2004-12-01,94.4
2005-01-01,94.5
2005-02-01,94.5
2005-03-01,94.4
2005-04-01,94.5
2005-05-01,94.7
2005-06-01,94.8
2005-07-01,94.5
2005-08-01,94.4
2005-09-01,94.8
2005-10-01,94.9
2005-11-01,94.9
2005-12-01,94.8
2006-01-01,94.9
2006-02-01,95
2006-03-01,95
2006-04-01,95.1
2006-05-01,95
2006-06-01,95.1
2006-07-01,94.9
2006-08-01,94.8
2006-09-01,94.7
2006-10-01,94.4
2006-11-01,94
2006-12-01,93.6
2007-01-01,93.476
2007-02-01,93.25
2007-03-01,93.281
2007-04-01,93.243
2007-05-01,93.074
2007-06-01,92.967
2007-07-01,93.063
2007-08-01,93.278
2007-09-01,93.277
2007-10-01,93.386
2007-11-01,93.641
2007-12-01,93.709
2008-01-01,94.044
2008-02-01,93.815
2008-03-01,93.57
2008-04-01,93.267
2008-05-01,92.881
2008-06-01,92.534
2008-07-01,92.219
2008-08-01,91.743
2008-09-01,91.159
2008-10-01,90.631
2008-11-01,90.101
2008-12-01,89.799
2009-01-01,90.092
2009-02-01,89.928
2009-03-01,89.5
2009-04-01,89.665
2009-05-01,89.985
2009-06-01,90.303
2009-07-01,90.413
2009-08-01,90.495
2009-09-01,91.426
2009-10-01,93.551
2009-11-01,94.82
2009-12-01,95.616
2010-01-01,95.757
2010-02-01,96.059
2010-03-01,96.195
2010-04-01,96.032
2010-05-01,96.057
2010-06-01,96.14
2010-07-01,96.275
2010-08-01,96.466
2010-09-01,96.604
2010-10-01,96.49
2010-11-01,96.507
2010-12-01,96.616
2011-01-01,97.455
2011-02-01,97.59
2011-03-01,97.726
2011-04-01,97.892
2011-05-01,98.552
2011-06-01,99.419
2011-07-01,99.829
2011-08-01,100.203
2011-09-01,100.338
2011-10-01,100.467
2011-11-01,100.498
2011-12-01,100.486
2012-01-01,100.043
2012-02-01,100.031
2012-03-01,100.168
2012-04-01,100.478
2012-05-01,100.644
2012-06-01,100.76
2012-07-01,100.608
2012-08-01,100.245
2012-09-01,99.885
2012-10-01,99.679
2012-11-01,99.843
2012-12-01,100.038
2013-01-01,100.389
2013-02-01,100.378
2013-03-01,100.3
2013-04-01,100.258
2013-05-01,100.036
2013-06-01,100.028
2013-07-01,100.093
2013-08-01,100.191
2013-09-01,100.654
2013-10-01,100.967
2013-11-01,101.189
2013-12-01,101.137
2014-01-01,100.853
2014-02-01,100.64
2014-03-01,100.337
2014-04-01,100.274
2014-05-01,100.253
2014-06-01,99.979
2014-07-01,100.219
2014-08-01,100.346
2014-09-01,100.572
2014-10-01,100.481
2014-11-01,100.006
2014-12-01,99.51
2015-01-01,99.173
2015-02-01,99.871
2015-03-01,100.203
2015-04-01,100.462
2015-05-01,100.704
2015-06-01,100.826
2015-07-01,100.673
2015-08-01,100.392
2015-09-01,100.205
2015-10-01,99.866
2015-11-01,99.498
2015-12-01,99.167
2016-01-01,99.326
2016-02-01,99.407
2016-03-01,99.361
2016-04-01,99.895
2016-05-01,100.162
2016-06-01,99.678
2016-07-01,99.257
2016-08-01,98.992
2016-09-01,99.625
2016-10-01,98.932
2016-11-01,98.177
2016-12-01,97.999
2017-01-01,97.948
2017-02-01,98.049
2017-03-01,98.018
2017-04-01,97.902
2017-05-01,97.931
2017-06-01,97.477
2017-07-01,96.959
2017-08-01,96.907
2017-09-01,96.107
2017-10-01,96.827
2017-11-01,97.144
2017-12-01,97.528
2018-01-01,98.163
2018-02-01,98.139
2018-03-01,98.079
2018-04-01,97.223
2018-05-01,97.126
2018-06-01,97.307
2018-07-01,97.466
2018-08-01,97.576
2018-09-01,96.807
2018-10-01,97.465
2018-11-01,98.256
2018-12-01,98.639
2019-01-01,99.154
2019-02-01,98.718
2019-03-01,98.464
2019-04-01,98.168
2019-05-01,97.664
2019-06-01,97.772
2019-07-01,97.729
2019-08-01,98.05
2019-09-01,97.551
2019-10-01,97.807
2019-11-01,97.687
2019-12-01,98.054
2020-01-01,98.021
2020-02-01,98.181
2020-03-01,98.055
2020-04-01,97.205
2020-05-01,97.086
2020-06-01,96.173
2020-07-01,97.343
2020-08-01,99.954
2020-09-01,102.348
2020-10-01,103.543
2020-11-01,103.76
2020-12-01,103.77
2021-01-01,103.081
2021-02-01,102.73
2021-03-01,103.174
2021-04-01,108.064
2021-05-01,112.814
2021-06-01,119.099
2021-07-01,119.374
2021-08-01,119.018
2021-09-01,119.156
2021-10-01,121.894
2021-11-01,124.966
2021-12-01,128.327
2022-01-01,129.593
2022-02-01,129.36
2022-03-01,127.43
2022-04-01,127.589
2022-05-01,128.628
2022-06-01,129.844
2022-07-01,129.613
2022-08-01,130.054
2022-09-01,130.14
2022-10-01,129.411
2022-11-01,128.285
2022-12-01,127.644
2023-01-01,126.686
2023-02-01,125.756
2023-03-01,125.955
2023-04-01,127.682
2023-05-01,129.364
2023-06-01,129.172
2023-07-01,128.317
2023-08-01,127.95
2023-09-01,126.853
2023-10-01,126.355
2023-11-01,127.587
