"Date","CWSR0000SETA"
1993-01-01,88.8
1993-02-01,88.6
1993-03-01,88.9
1993-04-01,89.5
1993-05-01,90.3
1993-06-01,91.1
1993-07-01,91.7
1993-08-01,92.3
1993-09-01,92.7
1993-10-01,93.2
1993-11-01,93.5
1993-12-01,93.4
1994-01-01,92.9
1994-02-01,92.6
1994-03-01,92.7
1994-04-01,93.2
1994-05-01,94
1994-06-01,94.9
1994-07-01,95.6
1994-08-01,96.1
1994-09-01,96.6
1994-10-01,97.1
1994-11-01,97.6
1994-12-01,98.1
1995-01-01,98.4
1995-02-01,98.7
1995-03-01,99.1
1995-04-01,99.8
1995-05-01,100.1
1995-06-01,100.4
1995-07-01,100.2
1995-08-01,100.2
1995-09-01,100.1
1995-10-01,100.4
1995-11-01,100.7
1995-12-01,100.9
1996-01-01,101.3
1996-02-01,101.5
1996-03-01,101.6
1996-04-01,101.5
1996-05-01,101.5
1996-06-01,101.5
1996-07-01,101.7
1996-08-01,101.8
1996-09-01,102
1996-10-01,101.9
1996-11-01,101.9
1996-12-01,101.7
1997-01-01,101.7
1997-02-01,101.7
1997-03-01,101.7
1997-04-01,101.6
1997-05-01,101.4
1997-06-01,101
1997-07-01,100.6
1997-08-01,100.3
1997-09-01,100.1
1997-10-01,100
1997-11-01,99.7
1997-12-01,99.6
1998-01-01,99.8
1998-02-01,100
1998-03-01,100
1998-04-01,100
1998-05-01,100
1998-06-01,100.1
1998-07-01,100.5
1998-08-01,100.7
1998-09-01,100.6
1998-10-01,100.4
1998-11-01,100.8
1998-12-01,100.7
1999-01-01,100.2
1999-02-01,99.6
1999-03-01,99.2
1999-04-01,99.5
1999-05-01,99.8
1999-06-01,100.1
1999-07-01,100.4
1999-08-01,100.7
1999-09-01,101.2
1999-10-01,101.4
1999-11-01,101.4
1999-12-01,101.1
2000-01-01,100.8
2000-02-01,100.4
2000-03-01,100.6
2000-04-01,101
2000-05-01,101.4
2000-06-01,101.5
2000-07-01,101.4
2000-08-01,101.4
2000-09-01,101.5
2000-10-01,101.7
2000-11-01,102.1
2000-12-01,102.4
2001-01-01,102.5
2001-02-01,102.4
2001-03-01,102.2
2001-04-01,102.2
2001-05-01,102
2001-06-01,101.8
2001-07-01,101.7
2001-08-01,101.5
2001-09-01,101.3
2001-10-01,101.3
2001-11-01,101.5
2001-12-01,101.6
2002-01-01,100.9
2002-02-01,100
2002-03-01,99.5
2002-04-01,99.4
2002-05-01,99.3
2002-06-01,99.3
2002-07-01,99.4
2002-08-01,99.5
2002-09-01,99.4
2002-10-01,99
2002-11-01,98.5
2002-12-01,98.3
2003-01-01,97.8
2003-02-01,97.6
2003-03-01,97.8
2003-04-01,97.6
2003-05-01,97.4
