"Date","CUSR0000SEMD"
1978-01-01,52.3
1978-02-01,52.9
1978-03-01,53.4
1978-04-01,53.9
1978-05-01,54.6
1978-06-01,54.9
1978-07-01,55.4
1978-08-01,55.9
1978-09-01,56.2
1978-10-01,56.7
1978-11-01,57.2
1978-12-01,57.7
1979-01-01,58.2
1979-02-01,58.6
1979-03-01,59.2
1979-04-01,59.7
1979-05-01,60.2
1979-06-01,60.8
1979-07-01,61.2
1979-08-01,61.6
1979-09-01,62.2
1979-10-01,62.8
1979-11-01,63.3
1979-12-01,64.2
1980-01-01,64.8
1980-02-01,65.7
1980-03-01,66.4
1980-04-01,67.2
1980-05-01,68
1980-06-01,68.8
1980-07-01,69.6
1980-08-01,70.3
1980-09-01,71.2
1980-10-01,72.2
1980-11-01,72.8
1980-12-01,73.5
1981-01-01,74.6
1981-02-01,75.2
1981-03-01,75.9
1981-04-01,76.7
1981-05-01,77.3
1981-06-01,78.3
1981-07-01,79
1981-08-01,80.3
1981-09-01,81.3
1981-10-01,82.4
1981-11-01,83.6
1981-12-01,84.4
1982-01-01,85.5
1982-02-01,86
1982-03-01,87
1982-04-01,88
1982-05-01,88.9
1982-06-01,89.8
1982-07-01,91
1982-08-01,91.8
1982-09-01,92.6
1982-10-01,93.3
1982-11-01,94.3
1982-12-01,95
1983-01-01,95.6
1983-02-01,97.2
1983-03-01,97.8
1983-04-01,98.6
1983-05-01,99.4
1983-06-01,100.2
1983-07-01,100.8
1983-08-01,101.9
1983-09-01,102.7
1983-10-01,103.4
1983-11-01,103.7
1983-12-01,104.9
1984-01-01,105.6
1984-02-01,106.4
1984-03-01,106.9
1984-04-01,107.6
1984-05-01,108.2
1984-06-01,108.9
1984-07-01,109.6
1984-08-01,110.1
1984-09-01,110.5
1984-10-01,111.5
1984-11-01,112.3
1984-12-01,112.9
1985-01-01,113.5
1985-02-01,113.8
1985-03-01,114.5
1985-04-01,115.1
1985-05-01,115.7
1985-06-01,116.4
1985-07-01,116.4
1985-08-01,116.9
1985-09-01,117.3
1985-10-01,117.6
1985-11-01,118
1985-12-01,118.6
1986-01-01,119.3
1986-02-01,120.1
1986-03-01,120.8
1986-04-01,121.3
1986-05-01,121.9
1986-06-01,122.7
1986-07-01,123.3
1986-08-01,124.1
1986-09-01,124.7
1986-10-01,125.6
1986-11-01,126.2
1986-12-01,127.2
1987-01-01,127.5
1987-02-01,127.9
1987-03-01,128.7
1987-04-01,129.7
1987-05-01,130.6
1987-06-01,131.5
1987-07-01,132.2
1987-08-01,132.9
1987-09-01,133.5
1987-10-01,134.2
1987-11-01,135.2
1987-12-01,136.1
1988-01-01,137.2
1988-02-01,138.3
1988-03-01,139.5
1988-04-01,140.7
1988-05-01,142.3
1988-06-01,143
1988-07-01,144.5
1988-08-01,145.7
1988-09-01,147.2
1988-10-01,148.4
1988-11-01,149.5
1988-12-01,151.1
1989-01-01,152.5
1989-02-01,154.2
1989-03-01,155.3
1989-04-01,156.6
1989-05-01,158
1989-06-01,159.6
1989-07-01,161
1989-08-01,162.5
1989-09-01,164.5
1989-10-01,165.9
1989-11-01,167.6
1989-12-01,168.2
1990-01-01,169.5
1990-02-01,170.5
1990-03-01,172.4
1990-04-01,173.8
1990-05-01,175.1
1990-06-01,176.6
1990-07-01,178.4
1990-08-01,180.7
1990-09-01,182.1
1990-10-01,183.9
1990-11-01,185.9
1990-12-01,187.3
1991-01-01,188.8
1991-02-01,190.2
1991-03-01,191.4
1991-04-01,192.7
1991-05-01,193.9
1991-06-01,195.3
1991-07-01,196.7
1991-08-01,198.2
1991-09-01,199.2
1991-10-01,200.5
1991-11-01,202.2
1991-12-01,203.9
1992-01-01,205.6
1992-02-01,207.3
1992-03-01,209.1
1992-04-01,210.4
1992-05-01,212.1
1992-06-01,213.4
1992-07-01,214.9
1992-08-01,216.1
1992-09-01,217.6
1992-10-01,219.2
1992-11-01,220.6
1992-12-01,221.9
1993-01-01,223.7
1993-02-01,225.7
1993-03-01,226.9
1993-04-01,229
