"Date","APU0100FC3101"
1998-01-01,3.642
1998-02-01,3.603
1998-03-01,3.578
1998-04-01,3.665
1998-05-01,3.647
1998-06-01,3.673
1998-07-01,3.644
1998-08-01,3.664
1998-09-01,3.659
1998-10-01,3.651
1998-11-01,3.704
1998-12-01,3.641
1999-01-01,3.613
1999-02-01,3.701
1999-03-01,3.708
1999-04-01,3.709
1999-05-01,3.707
1999-06-01,3.839
1999-07-01,3.798
1999-08-01,3.809
1999-09-01,3.8
1999-10-01,3.815
1999-11-01,3.924
1999-12-01,3.975
2000-01-01,3.877
2000-02-01,3.876
2000-03-01,3.928
2000-04-01,3.92
2000-05-01,4.042
2000-06-01,4.1
2000-07-01,4.096
2000-08-01,4.135
2000-09-01,4.174
2000-10-01,4.04
2000-11-01,4.001
2000-12-01,4.1
2001-01-01,4.179
2001-02-01,4.285
2001-03-01,4.27
2001-04-01,4.377
2001-05-01,4.477
2001-06-01,4.5
2001-07-01,4.541
2001-08-01,4.397
2001-09-01,4.499
2001-10-01,4.458
2001-11-01,4.534
2001-12-01,4.506
2002-01-01,4.498
2002-02-01,4.355
2002-03-01,4.358
2002-04-01,4.455
2002-05-01,4.625
2002-06-01,4.617
2002-07-01,4.55
2002-08-01,4.585
2002-09-01,4.574
2002-10-01,4.367
2002-11-01,4.503
2002-12-01,4.405
2003-01-01,4.355
2003-02-01,4.703
2003-03-01,4.557
2003-04-01,4.53
2003-05-01,4.684
2003-06-01,4.799
2003-07-01,4.76
2003-08-01,4.624
2003-09-01,4.837
2003-10-01,5.218
2003-11-01,5.788
2003-12-01,5.915
2004-01-01,5.569
2004-02-01,5.521
2004-03-01,5.62
2004-04-01,5.722
2004-05-01,5.722
2004-06-01,5.639
2004-07-01,5.762
2004-08-01,5.532
2004-09-01,5.651
2004-10-01,5.596
2004-11-01,5.398
2004-12-01,5.424
2005-01-01,5.444
2005-02-01,5.466
2005-03-01,5.501
2005-04-01,5.567
2005-05-01,5.513
2005-06-01,5.384
2005-07-01,5.317
2005-08-01,5.208
2005-09-01,5.048
2005-10-01,5.108
2005-11-01,4.869
2005-12-01,4.934
2006-01-01,5.042
2006-02-01,4.961
2006-03-01,4.974
2006-04-01,5.129
2006-05-01,4.846
2006-06-01,4.893
2006-07-01,4.877
2006-08-01,4.974
2006-09-01,4.932
2006-10-01,5.001
2006-11-01,4.939
2006-12-01,4.963
2007-01-01,4.977
2007-02-01,4.94
2007-03-01,5.086
2007-04-01,5.11
2007-05-01,5.233
2007-06-01,5.158
2007-07-01,5.11
2007-08-01,4.995
2007-09-01,5.147
2007-10-01,4.889
2007-11-01,4.923
2007-12-01,5.029
2008-01-01,4.803
2008-02-01,5.15
2008-03-01,5.065
2008-04-01,5.182
2008-05-01,5.203
2008-06-01,5.151
2008-07-01,5.235
2008-08-01,5.374
2008-09-01,5.498
2008-10-01,5.321
