"Date","APUA31574716"
1981-09-01,1.496
1981-10-01,1.488
1981-11-01,1.481
1981-12-01,1.483
1982-01-01,1.483
1982-02-01,1.472
1982-03-01,1.435
1982-04-01,1.375
1982-05-01,1.377
1982-06-01,1.442
1982-07-01,1.475
1982-08-01,1.473
1982-09-01,1.455
1982-10-01,1.445
1982-11-01,1.447
1982-12-01,1.434
1983-01-01,1.422
1983-02-01,1.399
1983-03-01,1.367
1983-04-01,1.421
1983-05-01,1.458
1983-06-01,1.474
1983-07-01,1.487
1983-08-01,1.487
1983-09-01,1.484
1983-10-01,1.471
1983-11-01,1.463
1983-12-01,1.458
1984-01-01,1.457
1984-02-01,1.46
1984-03-01,1.455
1984-04-01,1.456
1984-05-01,1.456
1984-06-01,1.451
1984-07-01,1.446
1984-08-01,1.437
1984-09-01,1.431
1984-10-01,1.426
1984-11-01,1.417
1984-12-01,1.414
1985-01-01,1.375
1985-02-01,1.364
1985-03-01,1.374
1985-04-01,1.398
1985-05-01,1.424
1985-06-01,1.428
1985-07-01,1.428
1985-08-01,1.426
1985-09-01,1.423
1985-10-01,1.418
1985-11-01,1.425
1985-12-01,1.452
1986-01-01,1.45
1986-02-01,1.416
1986-03-01,1.327
1986-04-01,1.214
1986-05-01,1.196
1986-06-01,1.205
1986-07-01,1.182
1986-08-01,1.166
1986-09-01,1.162
1986-10-01,1.152
1986-11-01,1.128
1986-12-01,1.136
1987-01-01,1.146
1987-02-01,1.17
1987-03-01,1.18
1987-04-01,1.197
1987-05-01,1.204
1987-06-01,1.255
1987-07-01,1.289
1987-08-01,1.302
1987-09-01,1.302
1987-10-01,1.296
1987-11-01,1.299
1987-12-01,1.299
1988-01-01,1.287
1988-02-01,1.291
1988-03-01,1.292
1988-04-01,1.288
1988-05-01,1.299
1988-06-01,1.299
1988-07-01,1.304
1988-08-01,1.317
1988-09-01,1.314
1988-10-01,1.313
1988-11-01,1.31
1988-12-01,1.312
1989-01-01,1.314
1989-02-01,1.313
1989-03-01,1.313
1989-04-01,1.336
1989-05-01,1.39
1989-06-01,1.411
1989-07-01,1.405
1989-08-01,1.398
1989-09-01,1.392
1989-10-01,1.393
1989-11-01,1.388
1989-12-01,1.392
1990-01-01,1.423
1990-02-01,1.425
1990-03-01,1.418
1990-04-01,1.427
1990-05-01,1.421
1990-06-01,1.427
1990-07-01,1.426
1990-08-01,1.475
1990-09-01,1.544
1990-10-01,1.672
1990-11-01,1.71
1990-12-01,1.734
1991-01-01,1.638
1991-02-01,1.547
1991-03-01,1.484
1991-04-01,1.475
1991-05-01,1.492
1991-06-01,1.503
1991-07-01,1.492
1991-08-01,1.315
1991-09-01,1.332
1991-10-01,1.319
1991-11-01,1.332
1991-12-01,1.339
1992-01-01,1.327
1992-02-01,1.313
1992-03-01,1.288
1992-04-01,1.279
1992-05-01,1.301
1992-06-01,1.332
1992-07-01,1.347
1992-08-01,1.344
1992-09-01,1.341
1992-10-01,1.353
1992-11-01,1.375
1992-12-01,1.367
1993-01-01,1.348
1993-02-01,1.341
1993-03-01,1.299
1993-04-01,1.301
1993-05-01,1.314
1993-06-01,1.318
1993-07-01,1.316
1993-08-01,1.308
1993-09-01,1.265
1993-10-01,1.306
1993-11-01,1.328
1993-12-01,1.315
1994-01-01,1.294
1994-02-01,1.282
1994-03-01,1.271
1994-04-01,1.261
1994-05-01,1.268
1994-06-01,1.294
1994-07-01,1.309
1994-08-01,1.341
1994-09-01,1.349
1994-10-01,1.341
1994-11-01,1.389
1994-12-01,1.388
1995-01-01,1.377
1995-02-01,1.367
1995-03-01,1.352
1995-04-01,1.346
1995-05-01,1.391
1995-06-01,1.432
1995-07-01,1.382
1995-08-01,1.36
1995-09-01,1.326
1995-10-01,1.309
1995-11-01,1.247
1995-12-01,1.25
1996-01-01,1.293
1996-02-01,1.288
1996-03-01,1.33
1996-04-01,1.424
1996-05-01,1.513
1996-06-01,1.51
1996-07-01,1.492
1996-08-01,1.465
1996-09-01,1.431
1996-10-01,1.427
1996-11-01,1.455
1996-12-01,1.465
1997-01-01,1.456
1997-02-01,1.445
1997-03-01,1.436
1997-04-01,1.407
1997-05-01,1.387
1997-06-01,1.374
1997-07-01,1.362
1997-08-01,1.402
1997-09-01,1.418
1997-10-01,1.4
1997-11-01,1.388
1997-12-01,1.361
