"Date","APU0300711311"
1980-01-01,0.359
1980-02-01,0.37
1980-03-01,0.365
1980-04-01,0.383
1980-05-01,0.376
1980-06-01,NA
1980-07-01,NA
1980-08-01,NA
1980-09-01,NA
1980-10-01,NA
1980-11-01,NA
1980-12-01,0.488
1981-01-01,0.421
1981-02-01,0.442
1981-03-01,0.444
1981-04-01,0.461
1981-05-01,0.42
1981-06-01,0.441
1981-07-01,NA
1981-08-01,NA
1981-09-01,NA
1981-10-01,NA
1981-11-01,0.446
1981-12-01,0.418
1982-01-01,0.459
1982-02-01,0.448
1982-03-01,0.48
1982-04-01,0.466
1982-05-01,0.49
1982-06-01,NA
1982-07-01,NA
1982-08-01,NA
1982-09-01,NA
1982-10-01,NA
1982-11-01,0.506
1982-12-01,0.476
1983-01-01,0.425
1983-02-01,0.436
1983-03-01,0.417
1983-04-01,0.419
1983-05-01,0.401
1983-06-01,0.425
1983-07-01,NA
1983-08-01,NA
1983-09-01,NA
1983-10-01,NA
1983-11-01,NA
1983-12-01,0.424
1984-01-01,0.439
1984-02-01,0.425
1984-03-01,0.413
1984-04-01,0.435
1984-05-01,0.447
1984-06-01,NA
1984-07-01,NA
1984-08-01,NA
1984-09-01,NA
1984-10-01,NA
1984-11-01,NA
1984-12-01,0.595
1985-01-01,0.588
1985-02-01,0.622
1985-03-01,0.572
1985-04-01,0.601
1985-05-01,0.655
1985-06-01,NA
1985-07-01,NA
1985-08-01,NA
1985-09-01,NA
1985-10-01,NA
1985-11-01,NA
1985-12-01,0.563
1986-01-01,0.578
1986-02-01,0.522
1986-03-01,0.513
1986-04-01,0.502
1986-05-01,0.522
1986-06-01,NA
1986-07-01,NA
1986-08-01,NA
1986-09-01,NA
1986-10-01,NA
1986-11-01,0.572
1986-12-01,0.54
1987-01-01,NA
1987-02-01,NA
1987-03-01,0.514
1987-04-01,0.511
1987-05-01,0.559
1987-06-01,NA
1987-07-01,NA
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,0.623
1987-12-01,0.588
1988-01-01,0.533
1988-02-01,0.522
1988-03-01,0.512
1988-04-01,0.509
1988-05-01,0.59
1988-06-01,NA
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,0.604
1988-12-01,0.569
1989-01-01,0.516
1989-02-01,0.537
1989-03-01,0.536
1989-04-01,0.528
1989-05-01,0.547
1989-06-01,NA
1989-07-01,NA
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,0.549
1989-12-01,0.524
1990-01-01,0.553
1990-02-01,0.609
1990-03-01,0.587
1990-04-01,0.563
1990-05-01,0.585
1990-06-01,0.62
1990-07-01,NA
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,0.571
1990-12-01,0.546
1991-01-01,0.712
1991-02-01,0.816
1991-03-01,NA
1991-04-01,NA
1991-05-01,NA
1991-06-01,NA
1991-07-01,NA
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,0.646
1991-12-01,0.624
1992-01-01,0.643
1992-02-01,0.617
1992-03-01,0.614
1992-04-01,0.565
1992-05-01,0.568
1992-06-01,NA
1992-07-01,NA
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,0.573
1992-12-01,0.529
1993-01-01,0.528
1993-02-01,0.528
1993-03-01,0.535
1993-04-01,0.548
1993-05-01,0.558
1993-06-01,NA
1993-07-01,NA
1993-08-01,NA
1993-09-01,NA
1993-10-01,NA
1993-11-01,0.633
1993-12-01,0.526
1994-01-01,0.506
1994-02-01,0.497
1994-03-01,0.542
1994-04-01,0.564
1994-05-01,0.602
1994-06-01,NA
1994-07-01,NA
1994-08-01,NA
1994-09-01,NA
1994-10-01,NA
1994-11-01,0.517
1994-12-01,0.543
1995-01-01,0.611
1995-02-01,0.603
1995-03-01,0.622
1995-04-01,0.647
1995-05-01,0.661
1995-06-01,NA
1995-07-01,NA
1995-08-01,NA
1995-09-01,NA
1995-10-01,NA
1995-11-01,0.681
1995-12-01,0.626
1996-01-01,0.571
1996-02-01,0.59
1996-03-01,0.591
1996-04-01,0.671
1996-05-01,0.748
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,0.614
1996-12-01,0.586
1997-01-01,0.523
1997-02-01,0.571
1997-03-01,0.529
1997-04-01,0.61
1997-05-01,0.659
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,0.584
1997-12-01,0.585
1998-01-01,0.55
1998-02-01,0.545
1998-03-01,0.559
1998-04-01,0.627
1998-05-01,0.702
1998-06-01,0.835
1998-07-01,NA
1998-08-01,NA
1998-09-01,NA
1998-10-01,NA
1998-11-01,0.676
1998-12-01,0.621
1999-01-01,0.809
1999-02-01,0.864
1999-03-01,0.856
1999-04-01,0.943
1999-05-01,NA
1999-06-01,NA
1999-07-01,NA
1999-08-01,NA
1999-09-01,NA
1999-10-01,NA
1999-11-01,0.872
1999-12-01,0.686
2000-01-01,0.65
2000-02-01,0.592
2000-03-01,0.598
2000-04-01,0.57
2000-05-01,0.569
2000-06-01,0.637
2000-07-01,NA
2000-08-01,NA
2000-09-01,NA
2000-10-01,NA
2000-11-01,0.727
2000-12-01,0.597
2001-01-01,0.56
2001-02-01,0.606
2001-03-01,0.618
2001-04-01,0.721
2001-05-01,0.729
2001-06-01,NA
2001-07-01,NA
2001-08-01,NA
2001-09-01,NA
2001-10-01,NA
2001-11-01,0.676
2001-12-01,0.654
2002-01-01,0.642
2002-02-01,0.684
2002-03-01,0.667
2002-04-01,0.699
2002-05-01,0.76
2002-06-01,NA
2002-07-01,NA
2002-08-01,NA
2002-09-01,NA
2002-10-01,NA
2002-11-01,0.73
2002-12-01,0.667
2003-01-01,0.637
2003-02-01,0.658
2003-03-01,0.711
2003-04-01,0.732
2003-05-01,0.782
2003-06-01,0.852
2003-07-01,1.02
2003-08-01,NA
2003-09-01,NA
2003-10-01,0.982
2003-11-01,0.808
2003-12-01,0.748
2004-01-01,0.78
2004-02-01,0.703
2004-03-01,0.715
2004-04-01,0.743
2004-05-01,0.766
2004-06-01,0.894
2004-07-01,NA
2004-08-01,NA
2004-09-01,1.113
2004-10-01,NA
2004-11-01,1.134
2004-12-01,0.849
2005-01-01,0.843
2005-02-01,0.828
2005-03-01,0.757
2005-04-01,0.773
2005-05-01,0.93
2005-06-01,0.996
2005-07-01,NA
2005-08-01,NA
2005-09-01,NA
2005-10-01,NA
2005-11-01,1.066
2005-12-01,0.919
2006-01-01,0.91
2006-02-01,1
2006-03-01,0.974
2006-04-01,1.003
2006-05-01,1.097
2006-06-01,1.15
2006-07-01,1.361
2006-08-01,1.445
2006-09-01,NA
2006-10-01,NA
2006-11-01,1.26
2006-12-01,1.03
2007-01-01,1.124
2007-02-01,1.375
2007-03-01,1.409
2007-04-01,1.306
2007-05-01,1.187
2007-06-01,1.328
2007-07-01,NA
2007-08-01,NA
2007-09-01,NA
2007-10-01,1.568
2007-11-01,1.253
2007-12-01,1.083
2008-01-01,1.085
2008-02-01,1.047
2008-03-01,0.989
2008-04-01,1.061
2008-05-01,1.083
2008-06-01,1.233
2008-07-01,1.43
2008-08-01,1.571
2008-09-01,1.672
2008-10-01,1.572
2008-11-01,1.227
2008-12-01,1.089
2009-01-01,1.027
2009-02-01,1.067
2009-03-01,0.992
2009-04-01,0.974
2009-05-01,1.065
2009-06-01,1.127
2009-07-01,1.256
2009-08-01,1.28
2009-09-01,1.313
2009-10-01,1.269
2009-11-01,1.143
2009-12-01,1.057
2010-01-01,1.047
2010-02-01,0.892
2010-03-01,0.881
2010-04-01,0.95
2010-05-01,1.028
2010-06-01,1.089
2010-07-01,1.195
2010-08-01,1.295
2010-09-01,1.322
2010-10-01,1.391
2010-11-01,1.276
2010-12-01,0.94
2011-01-01,0.916
2011-02-01,1.03
2011-03-01,1.068
2011-04-01,0.997
2011-05-01,0.981
2011-06-01,1.071
2011-07-01,1.151
2011-08-01,1.436
2011-09-01,1.398
2011-10-01,1.28
2011-11-01,1.227
2011-12-01,1.039
2012-01-01,1.066
2012-02-01,1.027
2012-03-01,1.027
2012-04-01,1.035
2012-05-01,1.047
2012-06-01,1.083
2012-07-01,1.213
2012-08-01,1.394
2012-09-01,1.318
2012-10-01,1.24
2012-11-01,1.181
2012-12-01,1.159
2013-01-01,1.052
