"Date","APUS12A72620"
1978-11-01,0.554
1978-12-01,0.571
1979-01-01,0.575
1979-02-01,0.573
1979-03-01,0.572
1979-04-01,0.573
1979-05-01,0.585
1979-06-01,0.603
1979-07-01,0.606
1979-08-01,0.61
1979-09-01,0.62
1979-10-01,0.642
1979-11-01,0.639
1979-12-01,0.645
1980-01-01,0.629
1980-02-01,0.618
1980-03-01,0.66
1980-04-01,0.686
1980-05-01,0.701
1980-06-01,0.697
1980-07-01,0.692
1980-08-01,0.688
1980-09-01,0.686
1980-10-01,0.705
1980-11-01,0.75
1980-12-01,0.741
1981-01-01,0.731
1981-02-01,0.736
1981-03-01,0.729
1981-04-01,0.76
1981-05-01,0.763
1981-06-01,0.776
1981-07-01,0.768
1981-08-01,0.85
1981-09-01,0.853
1981-10-01,0.809
1981-11-01,0.871
1981-12-01,0.892
1982-01-01,0.843
1982-02-01,0.859
1982-03-01,0.864
1982-04-01,0.915
1982-05-01,0.912
1982-06-01,0.932
1982-07-01,0.948
1982-08-01,0.94
1982-09-01,0.946
1982-10-01,0.966
1982-11-01,0.989
1982-12-01,1.018
1983-01-01,1.021
1983-02-01,1.023
1983-03-01,1.011
1983-04-01,1.056
1983-05-01,1.065
1983-06-01,1.057
1983-07-01,1.057
1983-08-01,1.049
1983-09-01,0.992
1983-10-01,0.963
1983-11-01,0.964
1983-12-01,0.963
1984-01-01,0.951
1984-02-01,0.952
1984-03-01,0.953
1984-04-01,0.985
1984-05-01,0.952
1984-06-01,0.976
1984-07-01,0.976
1984-08-01,0.983
1984-09-01,0.986
1984-10-01,0.908
1984-11-01,1.007
1984-12-01,1.004
1985-01-01,0.989
1985-02-01,0.978
1985-03-01,0.992
1985-04-01,1.025
1985-05-01,1.029
1985-06-01,1.025
1985-07-01,1.012
1985-08-01,1.008
1985-09-01,NA
1985-10-01,0.939
1985-11-01,0.994
1985-12-01,1.006
1986-01-01,0.989
1986-02-01,0.992
1986-03-01,0.994
1986-04-01,1
1986-05-01,0.994
1986-06-01,1.013
1986-07-01,0.923
1986-08-01,0.927
1986-09-01,0.813
1986-10-01,0.818
1986-11-01,0.806
1986-12-01,0.799
1987-01-01,0.757
1987-02-01,0.761
1987-03-01,0.757
1987-04-01,0.757
1987-05-01,0.764
1987-06-01,0.751
1987-07-01,0.734
1987-08-01,0.734
1987-09-01,0.732
1987-10-01,0.725
1987-11-01,0.707
1987-12-01,0.695
1988-01-01,0.76
1988-02-01,0.781
1988-03-01,0.772
1988-04-01,0.787
1988-05-01,0.795
1988-06-01,0.781
1988-07-01,0.776
1988-08-01,0.775
1988-09-01,0.776
1988-10-01,0.783
1988-11-01,0.795
1988-12-01,0.807
1989-01-01,0.832
1989-02-01,0.833
1989-03-01,0.852
1989-04-01,0.871
1989-05-01,0.848
1989-06-01,0.841
1989-07-01,0.835
1989-08-01,0.836
1989-09-01,0.835
1989-10-01,0.848
1989-11-01,0.839
1989-12-01,0.84
1990-01-01,0.856
1990-02-01,0.848
1990-03-01,0.877
1990-04-01,0.87
1990-05-01,0.868
1990-06-01,0.854
1990-07-01,0.84
1990-08-01,0.841
1990-09-01,0.835
1990-10-01,0.829
1990-11-01,0.819
1990-12-01,0.754
1991-01-01,0.823
1991-02-01,0.859
1991-03-01,0.853
1991-04-01,0.851
1991-05-01,0.854
1991-06-01,0.865
1991-07-01,0.85
1991-08-01,0.832
1991-09-01,0.817
1991-10-01,0.832
1991-11-01,0.859
1991-12-01,0.862
1992-01-01,0.905
1992-02-01,0.909
1992-03-01,0.901
1992-04-01,0.907
1992-05-01,0.898
1992-06-01,0.906
1992-07-01,0.916
1992-08-01,0.922
1992-09-01,0.872
1992-10-01,0.867
1992-11-01,0.934
1992-12-01,0.92
1993-01-01,0.913
1993-02-01,0.885
1993-03-01,0.908
1993-04-01,0.901
1993-05-01,0.927
1993-06-01,0.938
1993-07-01,0.961
1993-08-01,0.895
1993-09-01,0.879
1993-10-01,0.92
1993-11-01,0.909
1993-12-01,0.941
1994-01-01,0.977
1994-02-01,0.956
1994-03-01,0.979
1994-04-01,1.009
1994-05-01,0.992
1994-06-01,0.996
1994-07-01,0.984
1994-08-01,0.961
1994-09-01,0.956
1994-10-01,0.941
1994-11-01,0.938
1994-12-01,0.935
1995-01-01,0.925
1995-02-01,0.94
1995-03-01,0.933
1995-04-01,0.93
1995-05-01,0.923
1995-06-01,0.928
1995-07-01,0.925
1995-08-01,0.921
1995-09-01,0.833
1995-10-01,0.844
1995-11-01,0.861
1995-12-01,0.87
1996-01-01,0.903
1996-02-01,0.913
1996-03-01,0.886
1996-04-01,0.897
1996-05-01,0.887
1996-06-01,0.881
1996-07-01,0.881
1996-08-01,0.888
1996-09-01,0.877
1996-10-01,0.856
1996-11-01,0.87
1996-12-01,0.919
1997-01-01,0.953
1997-02-01,0.961
1997-03-01,0.937
1997-04-01,0.899
1997-05-01,0.893
1997-06-01,0.895
1997-07-01,0.888
1997-08-01,0.882
1997-09-01,0.893
1997-10-01,0.879
1997-11-01,0.888
1997-12-01,0.897
1998-01-01,0.923
1998-02-01,0.909
1998-03-01,0.899
1998-04-01,0.913
1998-05-01,0.917
1998-06-01,0.911
1998-07-01,0.898
1998-08-01,0.912
1998-09-01,0.901
1998-10-01,0.908
1998-11-01,0.921
1998-12-01,0.921
1999-01-01,0.922
1999-02-01,0.917
1999-03-01,0.907
1999-04-01,0.896
1999-05-01,0.893
1999-06-01,0.897
1999-07-01,0.895
1999-08-01,0.896
1999-09-01,0.915
1999-10-01,0.921
1999-11-01,0.934
1999-12-01,0.923
2000-01-01,0.913
2000-02-01,0.914
2000-03-01,0.909
2000-04-01,0.918
2000-05-01,0.921
2000-06-01,0.946
2000-07-01,0.968
2000-08-01,0.944
2000-09-01,1.014
2000-10-01,1.057
2000-11-01,1.1
2000-12-01,1.107
2001-01-01,1.203
2001-02-01,1.154
2001-03-01,1.113
2001-04-01,1.18
2001-05-01,1.109
2001-06-01,1.078
2001-07-01,1.062
2001-08-01,1.039
2001-09-01,1.022
2001-10-01,1.006
2001-11-01,1.053
2001-12-01,1.026
2002-01-01,1.015
2002-02-01,0.989
2002-03-01,0.992
2002-04-01,1.002
2002-05-01,0.973
2002-06-01,0.975
