"Date","CUURX200SA0L1E"
2022-04-01,160.815
2022-05-01,162.22
2022-06-01,163.145
2022-07-01,163.553
2022-08-01,164.161
2022-09-01,164.738
2022-10-01,165.048
2022-11-01,165.497
2022-12-01,165.582
2023-01-01,166.598
2023-02-01,167.855
2023-03-01,169.186
2023-04-01,169.915
2023-05-01,170.345
2023-06-01,170.937
2023-07-01,171.171
2023-08-01,171.626
2023-09-01,171.783
2023-10-01,172.159
2023-11-01,172.354
