"Date","CUURA207SA0LE"
1977-12-01,61.2
1978-01-01,62.1
1978-02-01,62.7
1978-03-01,63.4
1978-04-01,63.8
1978-05-01,64.3
1978-06-01,64.9
1978-07-01,65.3
1978-08-01,65.3
1978-09-01,66.1
1978-10-01,66.7
1978-11-01,67.6
1978-12-01,67.6
1979-01-01,68
1979-02-01,68.9
1979-03-01,70.2
1979-04-01,70.8
1979-05-01,71.1
1979-06-01,71.8
1979-07-01,73
1979-08-01,73.2
1979-09-01,73.9
1979-10-01,74.3
1979-11-01,75.8
1979-12-01,76.6
1980-01-01,76.8
1980-02-01,77.1
1980-03-01,78
1980-04-01,79.8
1980-05-01,80.9
1980-06-01,82.5
1980-07-01,82
1980-08-01,81.4
1980-09-01,83.2
1980-10-01,84.8
1980-11-01,87.2
1980-12-01,87.1
1981-01-01,86.3
1981-02-01,86.1
1981-03-01,85.8
1981-04-01,87.4
1981-05-01,87.8
1981-06-01,89.3
1981-07-01,90.5
1981-08-01,91.6
1981-09-01,92.1
1981-10-01,92
1981-11-01,92.4
1981-12-01,91.3
1982-01-01,91.8
1982-02-01,91.6
1982-03-01,92.3
1982-04-01,94
1982-05-01,96.5
1982-06-01,97.3
1982-07-01,97.6
1982-08-01,97.9
1982-09-01,98.3
1982-10-01,98.8
1982-11-01,98.7
1982-12-01,98.1
1983-01-01,98.6
1983-02-01,98.6
1983-03-01,98.7
1983-04-01,99
1983-05-01,99.1
1983-06-01,99.2
1983-07-01,99.5
1983-08-01,100
1983-09-01,100.6
1983-10-01,101.2
1983-11-01,101.7
1983-12-01,101.9
1984-01-01,102.5
1984-02-01,102.5
1984-03-01,102.7
1984-04-01,103.2
1984-05-01,103.3
1984-06-01,103.6
1984-07-01,104.1
1984-08-01,104.7
1984-09-01,105.2
1984-10-01,105.5
1984-11-01,105.5
1984-12-01,105.9
1985-01-01,106.4
1985-02-01,107.1
1985-03-01,107.2
1985-04-01,107.9
1985-05-01,108
1985-06-01,108.2
1985-07-01,108.2
1985-08-01,108.8
1985-09-01,109.1
1985-10-01,109.3
1985-11-01,109.7
1985-12-01,110.3
1986-01-01,110.5
1986-02-01,111.2
1986-03-01,111.2
1986-04-01,111.7
1986-05-01,111.7
1986-06-01,111.8
1986-07-01,112.6
1986-08-01,113
1986-09-01,113.7
1986-10-01,114
1986-11-01,114.9
1986-12-01,114.8
1987-01-01,115.6
1987-02-01,115.5
1987-03-01,116
1987-04-01,116.4
1987-05-01,116.9
1987-06-01,117.2
1987-07-01,117.5
1987-08-01,118.4
1987-09-01,118.9
1987-10-01,119.1
1987-11-01,119.9
1987-12-01,119.9
1988-01-01,119.8
1988-02-01,121.1
1988-03-01,121.4
1988-04-01,121.6
1988-05-01,121.4
1988-06-01,121.9
1988-07-01,122.7
1988-08-01,122.9
1988-09-01,125.1
1988-10-01,125.6
1988-11-01,125.3
1988-12-01,125.1
1989-01-01,125.7
1989-02-01,126.2
1989-03-01,127.3
1989-04-01,127.4
1989-05-01,127.7
1989-06-01,128.3
1989-07-01,129.2
1989-08-01,129.3
1989-09-01,130.2
1989-10-01,131.1
1989-11-01,131.1
1989-12-01,130.9
1990-01-01,132.1
1990-02-01,133.1
1990-03-01,134
1990-04-01,134.9
1990-05-01,135
1990-06-01,134.9
1990-07-01,135.8
1990-08-01,136.7
1990-09-01,137.2
1990-10-01,137.8
1990-11-01,138.7
1990-12-01,138.9
1991-01-01,139.1
1991-02-01,140.2
1991-03-01,141.1
1991-04-01,141
