"Date","CUUR0000SEFJ"
1969-03-01,42.2
1969-04-01,42.1
1969-05-01,42.4
1969-06-01,42.5
1969-07-01,42.6
1969-08-01,42.8
1969-09-01,43
1969-10-01,43.1
1969-11-01,43.3
1969-12-01,43.7
1970-01-01,44
1970-02-01,44.2
1970-03-01,44.4
1970-04-01,44.4
1970-05-01,44.5
1970-06-01,44.6
1970-07-01,44.8
1970-08-01,44.8
1970-09-01,45
1970-10-01,45.2
1970-11-01,45.4
1970-12-01,45.4
1971-01-01,45.6
1971-02-01,45.6
1971-03-01,45.7
1971-04-01,45.8
1971-05-01,46
1971-06-01,46.3
1971-07-01,46.4
1971-08-01,46.4
1971-09-01,46.4
1971-10-01,46.4
1971-11-01,46.4
1971-12-01,46.4
1972-01-01,46.6
1972-02-01,46.8
1972-03-01,46.9
1972-04-01,47
1972-05-01,46.9
1972-06-01,46.8
1972-07-01,46.7
1972-08-01,46.6
1972-09-01,46.8
1972-10-01,46.8
1972-11-01,47.1
1972-12-01,47.3
1973-01-01,47.6
1973-02-01,48.4
1973-03-01,48.6
1973-04-01,48.7
1973-05-01,49.3
1973-06-01,49.6
1973-07-01,49.6
1973-08-01,50.6
1973-09-01,52.1
1973-10-01,54.9
1973-11-01,56.5
1973-12-01,58
1974-01-01,58.5
1974-02-01,59.7
1974-03-01,60.6
1974-04-01,61.5
1974-05-01,61.8
1974-06-01,61.5
1974-07-01,60.6
1974-08-01,60.3
1974-09-01,60.4
1974-10-01,60.7
1974-11-01,61.1
1974-12-01,62.1
1975-01-01,62.1
1975-02-01,62.2
1975-03-01,62.1
1975-04-01,61.9
1975-05-01,61.4
1975-06-01,61.3
1975-07-01,61.3
1975-08-01,61.7
1975-09-01,62.5
1975-10-01,63.7
1975-11-01,65.1
1975-12-01,66.2
1976-01-01,67.3
1976-02-01,67.4
1976-03-01,67.1
1976-04-01,67.1
1976-05-01,66.9
1976-06-01,67.1
1976-07-01,67.2
1976-08-01,67.6
1976-09-01,68.4
1976-10-01,69.1
1976-11-01,68.7
1976-12-01,68.5
1977-01-01,68.5
1977-02-01,68.4
1977-03-01,68.5
1977-04-01,68.5
1977-05-01,69.2
1977-06-01,69.7
1977-07-01,69.6
1977-08-01,70
1977-09-01,70.1
1977-10-01,70.5
1977-11-01,70.6
1977-12-01,70.7
1978-01-01,71.1
1978-02-01,71.5
1978-03-01,71.7
1978-04-01,72.6
1978-05-01,73.4
1978-06-01,73.9
1978-07-01,74.1
1978-08-01,74.4
1978-09-01,75.5
1978-10-01,76.4
1978-11-01,77.3
1978-12-01,78.5
1979-01-01,79.3
1979-02-01,80.2
1979-03-01,80.6
1979-04-01,80.9
1979-05-01,81.5
1979-06-01,82.2
1979-07-01,82.5
1979-08-01,83.4
1979-09-01,84.5
1979-10-01,85.3
1979-11-01,86.4
1979-12-01,86.7
1980-01-01,87.3
1980-02-01,87.8
1980-03-01,88.1
1980-04-01,88.9
1980-05-01,90.5
1980-06-01,90.9
1980-07-01,91.4
1980-08-01,91.9
1980-09-01,92.2
1980-10-01,93.1
1980-11-01,94.1
1980-12-01,95.2
1981-01-01,96
1981-02-01,96.8
1981-03-01,97
1981-04-01,97.4
1981-05-01,97.5
1981-06-01,97.5
1981-07-01,97.7
1981-08-01,97.5
1981-09-01,97.7
1981-10-01,97.8
1981-11-01,98
1981-12-01,98.2
1982-01-01,98.3
1982-02-01,98.6
1982-03-01,98.6
1982-04-01,99
1982-05-01,98.8
1982-06-01,98.5
1982-07-01,99
1982-08-01,99
1982-09-01,98.8
1982-10-01,98.8
1982-11-01,98.9
1982-12-01,99.1
1983-01-01,99.8
1983-02-01,99.9
1983-03-01,99.8
1983-04-01,100
1983-05-01,100.1
1983-06-01,99.9
1983-07-01,99.9
1983-08-01,100.1
1983-09-01,100.1
1983-10-01,100
1983-11-01,100.1
1983-12-01,99.9
1984-01-01,100.3
1984-02-01,100.3
1984-03-01,100.3
1984-04-01,100.6
1984-05-01,100.4
1984-06-01,100.7
1984-07-01,100.9
1984-08-01,101.1
1984-09-01,101.9
1984-10-01,102.4
1984-11-01,102.9
1984-12-01,103.3
1985-01-01,103.5
1985-02-01,103.7
1985-03-01,103.5
1985-04-01,103.3
1985-05-01,103.3
1985-06-01,103.1
1985-07-01,103.1
1985-08-01,102.9
1985-09-01,103.2
1985-10-01,102.8
1985-11-01,102.8
1985-12-01,102.7
1986-01-01,102.9
1986-02-01,102.9
1986-03-01,102.7
1986-04-01,102.7
1986-05-01,102.8
1986-06-01,102.9
1986-07-01,103.3
1986-08-01,103.3
1986-09-01,103.4
1986-10-01,104
1986-11-01,104.5
1986-12-01,104.9
1987-01-01,105.3
1987-02-01,105.9
1987-03-01,105.4
1987-04-01,105.3
1987-05-01,105.7
1987-06-01,105.5
1987-07-01,105.3
1987-08-01,105.7
1987-09-01,106.4
1987-10-01,106.9
1987-11-01,106.9
1987-12-01,106.7
1988-01-01,107.4
1988-02-01,107.3
1988-03-01,107.2
1988-04-01,107.1
1988-05-01,107.4
1988-06-01,107.2
1988-07-01,107.6
1988-08-01,108.2
1988-09-01,108.9
1988-10-01,109.9
1988-11-01,110.6
1988-12-01,111.4
1989-01-01,112.6
1989-02-01,113.4
1989-03-01,113.8
1989-04-01,114.1
1989-05-01,113.8
1989-06-01,113.6
1989-07-01,114.1
1989-08-01,114.5
1989-09-01,116.1
1989-10-01,118.2
1989-11-01,120.2
1989-12-01,122.9
1990-01-01,125.8
1990-02-01,126.9
1990-03-01,126.8
1990-04-01,125.2
1990-05-01,124.7
1990-06-01,124.9
1990-07-01,125.7
1990-08-01,127.3
1990-09-01,127.6
1990-10-01,128.6
1990-11-01,128.1
1990-12-01,126.7
1991-01-01,125.2
1991-02-01,125.2
1991-03-01,124.9
1991-04-01,124.5
1991-05-01,124.4
1991-06-01,123.9
1991-07-01,124
1991-08-01,124.5
1991-09-01,125.3
1991-10-01,125.7
1991-11-01,126.2
1991-12-01,127.4
1992-01-01,128.2
1992-02-01,128.1
1992-03-01,127.8
1992-04-01,127.4
1992-05-01,127
1992-06-01,127.8
1992-07-01,128.3
1992-08-01,129.2
1992-09-01,129.7
1992-10-01,130.1
1992-11-01,129.4
1992-12-01,129.1
1993-01-01,129.5
1993-02-01,128.8
1993-03-01,128.8
1993-04-01,128
1993-05-01,128
1993-06-01,129.8
1993-07-01,130.2
1993-08-01,130.5
1993-09-01,129.6
1993-10-01,129.5
1993-11-01,129.5
1993-12-01,130.2
1994-01-01,131.6
1994-02-01,131.8
1994-03-01,131.8
1994-04-01,131.8
1994-05-01,132
1994-06-01,132.2
1994-07-01,131.8
1994-08-01,131.8
1994-09-01,131.3
1994-10-01,131.5
1994-11-01,131.7
1994-12-01,131.6
1995-01-01,132.7
1995-02-01,132.1
1995-03-01,132.2
1995-04-01,132.1
1995-05-01,132.8
1995-06-01,132.2
1995-07-01,132.9
1995-08-01,132.8
1995-09-01,132.3
1995-10-01,133.2
1995-11-01,133.7
1995-12-01,135
1996-01-01,136.3
1996-02-01,137.2
1996-03-01,136.7
1996-04-01,137
1996-05-01,137.6
1996-06-01,139.8
1996-07-01,142
1996-08-01,144.6
1996-09-01,146.7
1996-10-01,149.3
1996-11-01,149.3
1996-12-01,148.6
1997-01-01,147.8
1997-02-01,146.2
1997-03-01,146.1
1997-04-01,145.7
1997-05-01,145.4
1997-06-01,144.1
1997-07-01,143.3
1997-08-01,143.4
1997-09-01,143.5
1997-10-01,145.7
1997-11-01,147
1997-12-01,147.8
1998-01-01,148.3
1998-02-01,147.7
1998-03-01,148.4
1998-04-01,148.5
1998-05-01,148.1
1998-06-01,148.1
1998-07-01,148.2
1998-08-01,150.5
1998-09-01,152.9
1998-10-01,155
1998-11-01,155.9
1998-12-01,157.6
1999-01-01,161.2
1999-02-01,162.3
1999-03-01,161.5
1999-04-01,156.1
1999-05-01,156.2
1999-06-01,156.1
1999-07-01,155.7
1999-08-01,156.5
1999-09-01,158.7
1999-10-01,164.1
1999-11-01,164.6
1999-12-01,162.1
2000-01-01,160.4
2000-02-01,160.9
2000-03-01,159.1
2000-04-01,160.6
2000-05-01,159.6
2000-06-01,159.5
2000-07-01,160.5
2000-08-01,161
2000-09-01,161.6
2000-10-01,161.9
2000-11-01,161.4
2000-12-01,161.5
2001-01-01,163.6
2001-02-01,163.6
2001-03-01,163.2
2001-04-01,163.4
2001-05-01,164.7
2001-06-01,166.9
2001-07-01,168.3
2001-08-01,168.9
2001-09-01,169.4
2001-10-01,170.8
2001-11-01,171.2
2001-12-01,170.8
2002-01-01,169.9
2002-02-01,170.1
2002-03-01,169.4
2002-04-01,168.7
2002-05-01,169
2002-06-01,168
2002-07-01,167.6
2002-08-01,167.2
2002-09-01,166.3
2002-10-01,166.5
2002-11-01,167.1
2002-12-01,167.3
2003-01-01,166.4
2003-02-01,167.2
2003-03-01,167.1
2003-04-01,165.8
2003-05-01,165.4
2003-06-01,163.9
2003-07-01,164.7
2003-08-01,167.5
2003-09-01,170.3
2003-10-01,171.8
2003-11-01,171.2
2003-12-01,173
2004-01-01,172.4
2004-02-01,172.1
2004-03-01,171.9
2004-04-01,174
2004-05-01,185.9
2004-06-01,188.8
2004-07-01,187.7
2004-08-01,184.9
2004-09-01,181.6
2004-10-01,182.1
2004-11-01,180.9
2004-12-01,180.1
2005-01-01,183.3
2005-02-01,181.8
2005-03-01,181.4
2005-04-01,182.2
2005-05-01,183.3
2005-06-01,181
2005-07-01,181.6
2005-08-01,182.9
2005-09-01,181.8
2005-10-01,182.6
2005-11-01,183.5
2005-12-01,183.2
2006-01-01,183.7
2006-02-01,183.4
2006-03-01,183
2006-04-01,181.3
2006-05-01,181
2006-06-01,179.6
2006-07-01,180.8
2006-08-01,180
2006-09-01,179.9
2006-10-01,182
2006-11-01,180.6
2006-12-01,181
2007-01-01,183.453
2007-02-01,183.779
2007-03-01,185.724
2007-04-01,185.821
2007-05-01,187.266
2007-06-01,191.435
2007-07-01,197.899
2007-08-01,201.739
2007-09-01,203.541
2007-10-01,205.319
2007-11-01,205.959
2007-12-01,205.299
2008-01-01,206.905
2008-02-01,208.166
2008-03-01,206.171
2008-04-01,207.68
2008-05-01,207.778
2008-06-01,209.117
2008-07-01,213.981
2008-08-01,214.748
2008-09-01,213.533
2008-10-01,212.733
2008-11-01,213.102
2008-12-01,210.838
2009-01-01,209.632
2009-02-01,204.537
2009-03-01,199.687
2009-04-01,197.124
2009-05-01,196.055
2009-06-01,194.197
2009-07-01,193.118
2009-08-01,192.381
2009-09-01,193.353
2009-10-01,195.36
2009-11-01,193.914
2009-12-01,194.792
2010-01-01,198.949
2010-02-01,198.8
2010-03-01,198.814
2010-04-01,197.308
2010-05-01,197.749
2010-06-01,197.947
2010-07-01,198.991
2010-08-01,198.712
2010-09-01,199.042
2010-10-01,201.291
2010-11-01,201.277
2010-12-01,202.056
2011-01-01,202.349
2011-02-01,203.51
2011-03-01,206.161
2011-04-01,209.707
2011-05-01,211.327
2011-06-01,212.286
2011-07-01,214.781
2011-08-01,216.72
2011-09-01,219.381
2011-10-01,219.493
2011-11-01,218.767
2011-12-01,218.458
2012-01-01,220.492
2012-02-01,219.377
2012-03-01,219.131
2012-04-01,216.918
2012-05-01,216.096
2012-06-01,215.485
2012-07-01,214.434
2012-08-01,214.549
2012-09-01,215.311
2012-10-01,217.083
2012-11-01,218.921
2012-12-01,219.443
2013-01-01,220.319
2013-02-01,219.526
2013-03-01,218.123
2013-04-01,218.141
2013-05-01,216.327
2013-06-01,216.062
2013-07-01,215.92
2013-08-01,216.791
2013-09-01,217.007
2013-10-01,216.596
2013-11-01,217.463
2013-12-01,218.376
2014-01-01,219.362
2014-02-01,220.861
2014-03-01,223.063
2014-04-01,224.171
2014-05-01,225.491
2014-06-01,224.522
2014-07-01,225.14
2014-08-01,226.39
2014-09-01,227.604
2014-10-01,228.831
2014-11-01,228.412
2014-12-01,229.87
2015-01-01,227.8
2015-02-01,225.535
2015-03-01,224.449
2015-04-01,222.691
2015-05-01,221.039
2015-06-01,219.696
2015-07-01,221.443
2015-08-01,220.716
2015-09-01,222.31
2015-10-01,221.874
2015-11-01,220.613
2015-12-01,220.848
2016-01-01,220.869
2016-02-01,219.732
2016-03-01,218.131
2016-04-01,218.315
2016-05-01,216.122
2016-06-01,214.815
2016-07-01,214.605
2016-08-01,215.506
2016-09-01,216.693
2016-10-01,218.183
2016-11-01,216.773
2016-12-01,217.929
2017-01-01,219.804
2017-02-01,220.552
2017-03-01,218.567
2017-04-01,217.827
2017-05-01,217.015
2017-06-01,215.192
2017-07-01,216.434
2017-08-01,216.537
2017-09-01,216.564
2017-10-01,217.17
2017-11-01,216.878
2017-12-01,216.916
2018-01-01,217.897
2018-02-01,216.412
2018-03-01,216.497
2018-04-01,216.906
2018-05-01,215.659
2018-06-01,216.126
2018-07-01,215.622
2018-08-01,216.435
2018-09-01,216.638
2018-10-01,216.8
2018-11-01,215.896
2018-12-01,216.652
2019-01-01,217.079
2019-02-01,216.595
2019-03-01,217.531
2019-04-01,217.51
2019-05-01,217.841
2019-06-01,217.433
2019-07-01,217.626
2019-08-01,218.758
2019-09-01,219.771
2019-10-01,220.738
2019-11-01,221.515
2019-12-01,221.924
2020-01-01,223.035
2020-02-01,224.443
2020-03-01,225.627
2020-04-01,228.755
2020-05-01,230.166
2020-06-01,228.437
2020-07-01,227.114
2020-08-01,231.231
2020-09-01,230.656
2020-10-01,229.155
2020-11-01,229.503
2020-12-01,231.74
2021-01-01,231.546
2021-02-01,230.452
2021-03-01,229.249
2021-04-01,230.17
2021-05-01,230.38
2021-06-01,230.152
2021-07-01,231.233
2021-08-01,230.145
2021-09-01,231.973
2021-10-01,233.168
2021-11-01,233.157
2021-12-01,235.442
2022-01-01,238.675
2022-02-01,242.386
2022-03-01,245.258
2022-04-01,251.03
2022-05-01,257.678
2022-06-01,261.255
2022-07-01,265.638
2022-08-01,267.461
2022-09-01,268.793
2022-10-01,269.355
2022-11-01,271.307
2022-12-01,271.376
2023-01-01,272.04
2023-02-01,272.271
2023-03-01,271.384
2023-04-01,271.102
2023-05-01,269.573
2023-06-01,268.338
2023-07-01,269.143
2023-08-01,268.281
2023-09-01,268.377
2023-10-01,268.326
2023-11-01,267.609
