"Date","CWSR0000SAH21"
1967-01-01,21.3
1967-02-01,21.3
1967-03-01,21.3
1967-04-01,21.3
1967-05-01,21.3
1967-06-01,21.4
1967-07-01,21.4
1967-08-01,21.5
1967-09-01,21.6
1967-10-01,21.6
1967-11-01,21.5
1967-12-01,21.5
1968-01-01,21.6
1968-02-01,21.6
1968-03-01,21.6
1968-04-01,21.6
1968-05-01,21.7
1968-06-01,21.8
1968-07-01,21.8
1968-08-01,21.9
1968-09-01,21.8
1968-10-01,21.8
1968-11-01,21.8
1968-12-01,21.9
1969-01-01,21.9
1969-02-01,21.8
1969-03-01,21.9
1969-04-01,22
1969-05-01,22
1969-06-01,22.1
1969-07-01,22.1
1969-08-01,22.2
1969-09-01,22.3
1969-10-01,22.4
1969-11-01,22.5
1969-12-01,22.5
1970-01-01,22.6
1970-02-01,22.7
1970-03-01,22.7
1970-04-01,22.8
1970-05-01,22.9
1970-06-01,22.9
1970-07-01,23.1
1970-08-01,23.2
1970-09-01,23.4
1970-10-01,23.6
1970-11-01,23.8
1970-12-01,23.9
1971-01-01,24
1971-02-01,24.2
1971-03-01,24.3
1971-04-01,24.4
1971-05-01,24.5
1971-06-01,24.7
1971-07-01,24.8
1971-08-01,25
1971-09-01,25.1
1971-10-01,25.1
1971-11-01,25.1
1971-12-01,25.3
1972-01-01,25.4
1972-02-01,25.3
1972-03-01,25.4
1972-04-01,25.5
1972-05-01,25.6
1972-06-01,25.7
1972-07-01,25.8
1972-08-01,25.9
1972-09-01,26
1972-10-01,26
1972-11-01,26.1
1972-12-01,26.1
1973-01-01,26.3
1973-02-01,26.6
1973-03-01,26.7
1973-04-01,26.8
1973-05-01,27
1973-06-01,27.2
1973-07-01,27.3
1973-08-01,27.5
1973-09-01,27.7
1973-10-01,28.2
1973-11-01,29.1
1973-12-01,30
1974-01-01,31.4
1974-02-01,32.1
1974-03-01,32.5
1974-04-01,33.2
1974-05-01,33.8
1974-06-01,34.2
1974-07-01,34.8
1974-08-01,35.5
1974-09-01,35.9
1974-10-01,36.2
1974-11-01,36.6
1974-12-01,36.9
1975-01-01,37.5
1975-02-01,37.8
1975-03-01,37.9
1975-04-01,38.4
1975-05-01,38.7
1975-06-01,39.1
1975-07-01,39.4
1975-08-01,39.8
1975-09-01,40.4
1975-10-01,40.7
1975-11-01,41.3
1975-12-01,41.6
1976-01-01,42
1976-02-01,42.3
1976-03-01,42.3
1976-04-01,42.4
1976-05-01,42.5
1976-06-01,42.6
1976-07-01,43
1976-08-01,43.4
1976-09-01,43.8
1976-10-01,44.2
1976-11-01,45.3
1976-12-01,46.4
1977-01-01,47.5
1977-02-01,47.7
1977-03-01,48.2
1977-04-01,48.4
1977-05-01,48.3
1977-06-01,48.2
1977-07-01,48.8
1977-08-01,49.2
1977-09-01,49.6
1977-10-01,49.9
1977-11-01,51
1977-12-01,51
1978-01-01,50.8
1978-02-01,51.3
1978-03-01,51.8
1978-04-01,52.4
1978-05-01,52.8
1978-06-01,52.9
1978-07-01,52.8
1978-08-01,52.9
1978-09-01,53.2
1978-10-01,54
1978-11-01,54.2
1978-12-01,54.6
1979-01-01,55.3
1979-02-01,55.9
1979-03-01,56.6
1979-04-01,57.4
1979-05-01,58.5
1979-06-01,60.2
1979-07-01,61.7
1979-08-01,63.3
1979-09-01,64.9
1979-10-01,65.9
1979-11-01,66.5
1979-12-01,67.4
1980-01-01,68.6
1980-02-01,70.1
1980-03-01,71.6
1980-04-01,72.9
1980-05-01,73.8
1980-06-01,74.9
1980-07-01,75.7
1980-08-01,76.4
1980-09-01,76.9
1980-10-01,77
1980-11-01,77.6
1980-12-01,79
1981-01-01,80.7
1981-02-01,83.1
1981-03-01,84.6
1981-04-01,85.8
1981-05-01,86.1
1981-06-01,86.6
1981-07-01,87.7
1981-08-01,88.3
1981-09-01,89.2
1981-10-01,88.9
1981-11-01,90.1
1981-12-01,90.5
1982-01-01,91.6
1982-02-01,91.9
1982-03-01,92.9
1982-04-01,93.2
1982-05-01,94
1982-06-01,94.7
1982-07-01,95.1
1982-08-01,95.6
1982-09-01,96.5
1982-10-01,98.4
1982-11-01,99.2
1982-12-01,99.6
1983-01-01,99.8
1983-02-01,99.3
1983-03-01,99
1983-04-01,99.6
1983-05-01,100.1
1983-06-01,100.1
1983-07-01,100.4
1983-08-01,100.1
1983-09-01,100.5
1983-10-01,100.8
1983-11-01,101.1
1983-12-01,101.1
1984-01-01,101.3
1984-02-01,103.1
1984-03-01,102.5
1984-04-01,103.2
1984-05-01,103.3
1984-06-01,103
1984-07-01,104.2
1984-08-01,104.5
1984-09-01,104.7
1984-10-01,104.7
1984-11-01,104.3
1984-12-01,103.8
1985-01-01,103.8
1985-02-01,103.7
1985-03-01,104.1
1985-04-01,104.5
1985-05-01,104.6
1985-06-01,104.2
1985-07-01,104.2
1985-08-01,103.4
1985-09-01,104
1985-10-01,103.8
1985-11-01,104.4
1985-12-01,104.9
1986-01-01,104.8
1986-02-01,102.7
1986-03-01,101.2
1986-04-01,99.5
1986-05-01,98.3
1986-06-01,99.4
1986-07-01,97.7
1986-08-01,97.9
1986-09-01,97.4
1986-10-01,96
1986-11-01,95.2
1986-12-01,95.2
1987-01-01,96.6
1987-02-01,96.5
1987-03-01,96.6
1987-04-01,96.2
1987-05-01,96.4
1987-06-01,97.6
1987-07-01,97.3
1987-08-01,98.1
1987-09-01,98.1
1987-10-01,97
1987-11-01,97.5
1987-12-01,97.1
1988-01-01,96.5
1988-02-01,96.7
1988-03-01,96.8
1988-04-01,97.2
1988-05-01,96.7
1988-06-01,97.6
1988-07-01,97.7
1988-08-01,97.8
1988-09-01,98.4
1988-10-01,99
1988-11-01,98.9
1988-12-01,99.1
1989-01-01,99.4
1989-02-01,99.2
1989-03-01,99.6
1989-04-01,100.1
1989-05-01,100.1
1989-06-01,100.1
1989-07-01,100.8
1989-08-01,101.1
1989-09-01,100.9
1989-10-01,101.3
1989-11-01,101.8
1989-12-01,102.3
1990-01-01,104.5
1990-02-01,103.5
1990-03-01,103.1
1990-04-01,102.5
1990-05-01,101.9
1990-06-01,102.5
1990-07-01,101.8
1990-08-01,102.9
1990-09-01,104.6
1990-10-01,105.9
1990-11-01,106.4
1990-12-01,105.9
1991-01-01,107.3
1991-02-01,107.1
1991-03-01,106.3
1991-04-01,105.2
1991-05-01,105.6
1991-06-01,104.7
1991-07-01,105.4
1991-08-01,105.1
1991-09-01,105.7
1991-10-01,106.3
1991-11-01,106.8
1991-12-01,107.1
1992-01-01,106.5
1992-02-01,106.2
1992-03-01,106
1992-04-01,106.5
1992-05-01,106.9
1992-06-01,107.3
1992-07-01,107.5
1992-08-01,107.7
1992-09-01,108.2
1992-10-01,108.4
1992-11-01,109.6
1992-12-01,109.5
1993-01-01,109.2
1993-02-01,107.8
1993-03-01,109.6
1993-04-01,110.3
1993-05-01,110.9
1993-06-01,111.2
1993-07-01,111.5
1993-08-01,111.7
1993-09-01,111.9
1993-10-01,111.9
1993-11-01,111.2
1993-12-01,111.3
1994-01-01,110.9
1994-02-01,111.7
1994-03-01,112.4
1994-04-01,111.5
1994-05-01,111.1
1994-06-01,111
1994-07-01,111.1
1994-08-01,111.3
1994-09-01,110.7
1994-10-01,110.4
1994-11-01,110.6
1994-12-01,110.4
1995-01-01,110.8
1995-02-01,111.1
1995-03-01,110.9
1995-04-01,110.7
1995-05-01,110.3
1995-06-01,110.6
1995-07-01,110.6
1995-08-01,111.6
1995-09-01,110.1
1995-10-01,111
1995-11-01,110.9
1995-12-01,111.3
1996-01-01,112.4
1996-02-01,112.9
1996-03-01,113.2
1996-04-01,114.3
1996-05-01,114.7
1996-06-01,113.6
1996-07-01,114.6
1996-08-01,115.2
1996-09-01,115.2
1996-10-01,115.8
1996-11-01,116.5
1996-12-01,117.7
1997-01-01,119.4
1997-02-01,119.4
1997-03-01,117.9
1997-04-01,116.7
1997-05-01,116.1
1997-06-01,116.9
1997-07-01,116.7
1997-08-01,116
1997-09-01,116.9
1997-10-01,117.2
1997-11-01,118.3
1997-12-01,115.9
1998-01-01,115.2
1998-02-01,113.7
1998-03-01,114
1998-04-01,114.2
1998-05-01,114.3
1998-06-01,113.9
1998-07-01,113.5
1998-08-01,113.2
1998-09-01,112.1
1998-10-01,111.7
1998-11-01,112
1998-12-01,111.9
1999-01-01,111.8
1999-02-01,112.1
1999-03-01,112.2
1999-04-01,112
1999-05-01,112
1999-06-01,112.1
1999-07-01,112.5
1999-08-01,113.2
1999-09-01,114.4
1999-10-01,114.7
1999-11-01,115
1999-12-01,114.6
2000-01-01,115
2000-02-01,118.1
2000-03-01,117.3
2000-04-01,117.5
2000-05-01,117.5
2000-06-01,120.6
2000-07-01,122.5
2000-08-01,122.3
2000-09-01,125.4
2000-10-01,127.7
2000-11-01,127.3
2000-12-01,130.3
2001-01-01,139.3
2001-02-01,138.7
2001-03-01,137.1
2001-04-01,136.1
2001-05-01,137.4
2001-06-01,137.3
2001-07-01,135.7
2001-08-01,133.6
2001-09-01,131.5
2001-10-01,128.4
2001-11-01,128
2001-12-01,126.8
2002-01-01,126
2002-02-01,125.5
2002-03-01,125.9
2002-04-01,125.9
2002-05-01,126
2002-06-01,125.2
2002-07-01,125.2
2002-08-01,125.4
2002-09-01,125.9
2002-10-01,126.9
2002-11-01,127.6
2002-12-01,128.5
2003-01-01,129.5
2003-02-01,132.6
2003-03-01,139.7
2003-04-01,138.5
2003-05-01,138.1
2003-06-01,138.1
2003-07-01,138
2003-08-01,138.2
2003-09-01,139
2003-10-01,138.1
2003-11-01,137
2003-12-01,137.7
2004-01-01,139.4
2004-02-01,140.6
2004-03-01,139.2
2004-04-01,139.6
2004-05-01,140.6
2004-06-01,143
2004-07-01,143.9
2004-08-01,145.3
2004-09-01,144.9
2004-10-01,144.8
2004-11-01,148.8
2004-12-01,148.9
2005-01-01,148.1
2005-02-01,149.3
2005-03-01,149.9
2005-04-01,153
2005-05-01,153.9
2005-06-01,153.9
2005-07-01,156.1
2005-08-01,158.5
2005-09-01,166.7
2005-10-01,175
2005-11-01,177.5
2005-12-01,174.2
2006-01-01,180.6
2006-02-01,178
2006-03-01,175.6
2006-04-01,174.2
2006-05-01,173.5
2006-06-01,172.6
2006-07-01,172.6
2006-08-01,173.7
2006-09-01,175.2
2006-10-01,170.4
2006-11-01,172.4
2006-12-01,174.2
2007-01-01,175.1
2007-02-01,176.202
2007-03-01,178.512
2007-04-01,178.637
2007-05-01,178.92
2007-06-01,179.915
2007-07-01,178.742
2007-08-01,177.713
2007-09-01,178.716
2007-10-01,180.409
2007-11-01,182.653
2007-12-01,183.136
2008-01-01,183.713
2008-02-01,185.333
2008-03-01,189.194
2008-04-01,194.284
2008-05-01,199.359
2008-06-01,204.38
2008-07-01,210.902
2008-08-01,208.649
2008-09-01,202.938
2008-10-01,199.98
2008-11-01,196.356
2008-12-01,195.176
2009-01-01,193.994
2009-02-01,192.59
2009-03-01,189.663
2009-04-01,186.445
2009-05-01,183.359
2009-06-01,183.635
2009-07-01,182.695
2009-08-01,182.782
2009-09-01,182.629
2009-10-01,184.015
2009-11-01,186.737
2009-12-01,186.091
2010-01-01,186.911
2010-02-01,186.345
2010-03-01,188.09
2010-04-01,188.501
2010-05-01,187.589
2010-06-01,186.712
2010-07-01,187.227
2010-08-01,187.676
2010-09-01,186.904
2010-10-01,187.108
2010-11-01,186.45
2010-12-01,187.65
2011-01-01,187.502
2011-02-01,188.515
2011-03-01,189.958
2011-04-01,191.387
2011-05-01,192.481
2011-06-01,192.037
2011-07-01,192.994
2011-08-01,193.223
2011-09-01,193.932
2011-10-01,193.039
2011-11-01,192.35
2011-12-01,191.132
2012-01-01,189.794
2012-02-01,188.132
2012-03-01,187.486
2012-04-01,187.096
2012-05-01,185.816
2012-06-01,185.799
2012-07-01,184.605
2012-08-01,186.246
2012-09-01,186.683
2012-10-01,187.581
2012-11-01,189.138
2012-12-01,189.012
2013-01-01,189.193
2013-02-01,189.818
2013-03-01,189.137
2013-04-01,190.913
2013-05-01,192.962
2013-06-01,192.909
2013-07-01,192.729
2013-08-01,191.934
2013-09-01,193.044
2013-10-01,193.069
2013-11-01,193.072
2013-12-01,193.477
2014-01-01,197.557
2014-02-01,199.418
2014-03-01,203.927
2014-04-01,199.47
2014-05-01,201.609
2014-06-01,201.688
2014-07-01,202.018
2014-08-01,200.726
2014-09-01,199.867
2014-10-01,198.97
2014-11-01,197.939
2014-12-01,199.042
2015-01-01,197.938
2015-02-01,197.381
2015-03-01,196.002
2015-04-01,194.811
2015-05-01,193.196
2015-06-01,193.868
2015-07-01,192.486
2015-08-01,192.158
2015-09-01,191.598
2015-10-01,190.902
2015-11-01,190.369
2015-12-01,188.337
2016-01-01,187.474
2016-02-01,186.603
2016-03-01,187.432
2016-04-01,187.235
2016-05-01,188.113
2016-06-01,188.631
2016-07-01,190.292
2016-08-01,191.127
2016-09-01,192.679
2016-10-01,192.647
2016-11-01,192.358
2016-12-01,192.267
2017-01-01,193.151
2017-02-01,194.434
2017-03-01,194.267
2017-04-01,195.925
2017-05-01,197.033
2017-06-01,197.609
2017-07-01,197.664
2017-08-01,197.77
2017-09-01,197.981
2017-10-01,197.186
2017-11-01,198.031
2017-12-01,198.749
2018-01-01,197.972
2018-02-01,200.34
2018-03-01,199.795
2018-04-01,199.344
2018-05-01,199.637
2018-06-01,198.533
2018-07-01,198.014
2018-08-01,199.031
2018-09-01,197.091
2018-10-01,198.23
2018-11-01,198.142
2018-12-01,201.556
2019-01-01,200.057
2019-02-01,198.999
2019-03-01,199.576
2019-04-01,198.98
2019-05-01,198.03
2019-06-01,197.176
2019-07-01,197.515
2019-08-01,196.952
2019-09-01,196.491
2019-10-01,197.679
2019-11-01,198.173
2019-12-01,199.098
2020-01-01,198.951
2020-02-01,198.499
2020-03-01,197.356
2020-04-01,196.547
2020-05-01,195.887
2020-06-01,196.14
2020-07-01,196.026
2020-08-01,195.692
2020-09-01,197.968
2020-10-01,198.767
2020-11-01,200.975
2020-12-01,203.359
2021-01-01,202.327
2021-02-01,205.338
2021-03-01,206.523
2021-04-01,208.648
2021-05-01,209.895
2021-06-01,210.513
2021-07-01,212.017
2021-08-01,213.988
2021-09-01,216.929
2021-10-01,223.318
2021-11-01,224.842
2021-12-01,226.466
2022-01-01,231.147
2022-02-01,232.397
2022-03-01,237.057
2022-04-01,240.724
2022-05-01,248.925
2022-06-01,255.849
2022-07-01,255.344
2022-08-01,259.434
2022-09-01,261.685
2022-10-01,260.78
2022-11-01,259.086
2022-12-01,262.148
2023-01-01,268.032
2023-02-01,262.409
2023-03-01,256.245
2023-04-01,252.342
2023-05-01,248.443
2023-06-01,248.47
2023-07-01,248.647
2023-08-01,249.833
2023-09-01,251.577
2023-10-01,252.833
2023-11-01,257.085
