"Date","CWUR0000SAM"
1943-09-01,11.4
1943-10-01,NA
1943-11-01,NA
1943-12-01,11.5
1944-01-01,NA
1944-02-01,NA
1944-03-01,11.5
1944-04-01,NA
1944-05-01,NA
1944-06-01,11.6
1944-07-01,NA
1944-08-01,NA
1944-09-01,11.7
1944-10-01,NA
1944-11-01,NA
1944-12-01,11.8
1945-01-01,NA
1945-02-01,NA
1945-03-01,11.8
1945-04-01,NA
1945-05-01,NA
1945-06-01,11.9
1945-07-01,NA
1945-08-01,NA
1945-09-01,11.9
1945-10-01,NA
1945-11-01,NA
1945-12-01,12.1
1946-01-01,NA
1946-02-01,NA
1946-03-01,12.3
1946-04-01,NA
1946-05-01,NA
1946-06-01,12.5
1946-07-01,NA
1946-08-01,NA
1946-09-01,12.8
1946-10-01,NA
1946-11-01,NA
1946-12-01,13.1
1947-01-01,13.3
1947-02-01,13.3
1947-03-01,13.4
1947-04-01,13.5
1947-05-01,13.5
1947-06-01,13.6
1947-07-01,13.6
1947-08-01,13.6
1947-09-01,13.8
1947-10-01,13.8
1947-11-01,13.9
1947-12-01,13.9
1948-01-01,14.1
1948-02-01,14.1
1948-03-01,14.2
1948-04-01,14.4
1948-05-01,14.4
1948-06-01,14.4
1948-07-01,14.6
1948-08-01,14.6
1948-09-01,14.6
1948-10-01,14.7
1948-11-01,14.7
1948-12-01,14.7
1949-01-01,14.8
1949-02-01,14.8
1949-03-01,14.9
1949-04-01,14.9
1949-05-01,14.9
1949-06-01,14.9
1949-07-01,14.9
1949-08-01,14.9
1949-09-01,15
1949-10-01,14.9
1949-11-01,14.9
1949-12-01,15
1950-01-01,15.1
1950-02-01,15.1
1950-03-01,15.1
1950-04-01,15.1
1950-05-01,15.1
1950-06-01,15.1
1950-07-01,15.1
1950-08-01,15.2
1950-09-01,15.3
1950-10-01,15.3
1950-11-01,15.4
1950-12-01,15.5
1951-01-01,15.5
1951-02-01,15.6
1951-03-01,15.8
1951-04-01,15.8
1951-05-01,15.9
1951-06-01,15.9
1951-07-01,15.9
1951-08-01,15.9
1951-09-01,16
1951-10-01,16.1
1951-11-01,16.2
1951-12-01,16.4
1952-01-01,16.4
1952-02-01,16.4
1952-03-01,16.6
1952-04-01,16.6
1952-05-01,16.6
1952-06-01,16.9
1952-07-01,16.9
1952-08-01,16.9
1952-09-01,17
1952-10-01,17
1952-11-01,17
1952-12-01,17.1
1953-01-01,17.1
1953-02-01,17.1
1953-03-01,17.1
1953-04-01,17.2
1953-05-01,17.3
1953-06-01,17.4
1953-07-01,17.4
1953-08-01,17.5
1953-09-01,17.6
1953-10-01,17.6
1953-11-01,17.7
1953-12-01,17.7
1954-01-01,17.7
1954-02-01,17.8
1954-03-01,17.8
1954-04-01,17.9
1954-05-01,17.9
1954-06-01,17.9
1954-07-01,17.9
1954-08-01,18
1954-09-01,18
1954-10-01,18
1954-11-01,18.1
1954-12-01,18.1
1955-01-01,18.1
1955-02-01,18.2
1955-03-01,18.2
1955-04-01,18.2
1955-05-01,18.3
1955-06-01,18.3
1955-07-01,18.3
1955-08-01,18.3
1955-09-01,18.4
1955-10-01,18.5
1955-11-01,18.6
1955-12-01,18.7
1956-01-01,18.7
1956-02-01,18.8
1956-03-01,18.8
1956-04-01,18.9
1956-05-01,18.9
1956-06-01,18.9
1956-07-01,19
1956-08-01,19.1
1956-09-01,19.2
1956-10-01,19.2
1956-11-01,19.3
1956-12-01,19.3
1957-01-01,19.4
1957-02-01,19.4
1957-03-01,19.6
1957-04-01,19.6
1957-05-01,19.7
1957-06-01,19.8
1957-07-01,19.8
1957-08-01,19.9
1957-09-01,19.9
1957-10-01,20
1957-11-01,20.1
1957-12-01,20.2
1958-01-01,20.3
1958-02-01,20.3
1958-03-01,20.4
1958-04-01,20.5
1958-05-01,20.6
1958-06-01,20.7
1958-07-01,20.8
1958-08-01,20.8
1958-09-01,21
1958-10-01,21.1
1958-11-01,21.1
1958-12-01,21.1
1959-01-01,21.2
1959-02-01,21.3
1959-03-01,21.4
1959-04-01,21.4
1959-05-01,21.5
1959-06-01,21.6
1959-07-01,21.6
1959-08-01,21.7
1959-09-01,21.8
1959-10-01,21.9
1959-11-01,21.9
1959-12-01,21.9
1960-01-01,22
1960-02-01,22.2
1960-03-01,22.2
1960-04-01,22.3
1960-05-01,22.3
1960-06-01,22.4
1960-07-01,22.4
1960-08-01,22.4
1960-09-01,22.5
1960-10-01,22.6
1960-11-01,22.6
1960-12-01,22.6
1961-01-01,22.7
1961-02-01,22.8
1961-03-01,22.9
1961-04-01,22.9
1961-05-01,23
1961-06-01,23
1961-07-01,23.1
1961-08-01,23.1
1961-09-01,23.2
1961-10-01,23.3
1961-11-01,23.3
1961-12-01,23.3
1962-01-01,23.3
1962-02-01,23.4
1962-03-01,23.5
1962-04-01,23.6
1962-05-01,23.6
1962-06-01,23.7
1962-07-01,23.7
1962-08-01,23.7
1962-09-01,23.8
1962-10-01,23.8
1962-11-01,23.8
1962-12-01,23.9
1963-01-01,24
1963-02-01,24
1963-03-01,24
1963-04-01,24.1
1963-05-01,24.2
1963-06-01,24.3
1963-07-01,24.3
1963-08-01,24.3
1963-09-01,24.3
1963-10-01,24.4
1963-11-01,24.4
1963-12-01,24.4
1964-01-01,24.5
1964-02-01,24.5
1964-03-01,24.6
1964-04-01,24.7
1964-05-01,24.7
1964-06-01,24.7
1964-07-01,24.7
1964-08-01,24.8
1964-09-01,24.8
1964-10-01,24.8
1964-11-01,24.9
1964-12-01,24.9
1965-01-01,25
1965-02-01,25.1
1965-03-01,25.1
1965-04-01,25.2
1965-05-01,25.2
1965-06-01,25.3
1965-07-01,25.4
1965-08-01,25.4
1965-09-01,25.4
1965-10-01,25.5
1965-11-01,25.6
1965-12-01,25.6
1966-01-01,25.7
1966-02-01,25.8
1966-03-01,26
1966-04-01,26
1966-05-01,26.2
1966-06-01,26.3
1966-07-01,26.4
1966-08-01,26.6
1966-09-01,26.8
1966-10-01,27
1966-11-01,27.2
1966-12-01,27.3
1967-01-01,27.5
1967-02-01,27.7
1967-03-01,27.9
1967-04-01,28
1967-05-01,28.1
1967-06-01,28.2
1967-07-01,28.3
1967-08-01,28.5
1967-09-01,28.7
1967-10-01,28.8
1967-11-01,28.9
1967-12-01,29.1
1968-01-01,29.2
1968-02-01,29.4
1968-03-01,29.6
1968-04-01,29.7
1968-05-01,29.8
1968-06-01,29.9
1968-07-01,30
1968-08-01,30.1
1968-09-01,30.3
1968-10-01,30.5
1968-11-01,30.7
1968-12-01,30.9
1969-01-01,31.1
1969-02-01,31.3
1969-03-01,31.6
1969-04-01,31.8
1969-05-01,32
1969-06-01,32.1
1969-07-01,32.3
1969-08-01,32.5
1969-09-01,32.6
1969-10-01,32.5
1969-11-01,32.6
1969-12-01,32.8
1970-01-01,32.9
1970-02-01,33.1
1970-03-01,33.5
1970-04-01,33.7
1970-05-01,33.9
1970-06-01,34.1
1970-07-01,34.3
1970-08-01,34.5
1970-09-01,34.7
1970-10-01,34.8
1970-11-01,34.9
1970-12-01,35.2
1971-01-01,35.4
1971-02-01,35.6
1971-03-01,35.9
1971-04-01,36.1
1971-05-01,36.3
1971-06-01,36.4
1971-07-01,36.6
1971-08-01,36.8
1971-09-01,36.9
1971-10-01,36.7
1971-11-01,36.7
1971-12-01,36.8
1972-01-01,36.9
1972-02-01,37.1
1972-03-01,37.2
1972-04-01,37.3
1972-05-01,37.4
1972-06-01,37.5
1972-07-01,37.6
1972-08-01,37.6
1972-09-01,37.7
1972-10-01,37.9
1972-11-01,38
1972-12-01,38
1973-01-01,38.2
1973-02-01,38.3
1973-03-01,38.4
1973-04-01,38.6
1973-05-01,38.7
1973-06-01,38.8
1973-07-01,38.9
1973-08-01,39
1973-09-01,39.2
1973-10-01,39.8
1973-11-01,39.9
1973-12-01,40
1974-01-01,40.3
1974-02-01,40.6
1974-03-01,41
1974-04-01,41.2
1974-05-01,41.7
1974-06-01,42.3
1974-07-01,42.9
1974-08-01,43.5
1974-09-01,43.9
1974-10-01,44.2
1974-11-01,44.6
1974-12-01,45
1975-01-01,45.6
1975-02-01,46.1
1975-03-01,46.6
1975-04-01,46.9
1975-05-01,47.2
1975-06-01,47.6
1975-07-01,48.1
1975-08-01,48.4
1975-09-01,48.7
1975-10-01,49.1
1975-11-01,49.1
1975-12-01,49.5
1976-01-01,50
1976-02-01,50.6
1976-03-01,51.1
1976-04-01,51.4
1976-05-01,51.7
1976-06-01,52
1976-07-01,52.5
1976-08-01,52.9
1976-09-01,53.2
1976-10-01,53.5
1976-11-01,54.2
1976-12-01,54.4
1977-01-01,54.9
1977-02-01,55.4
1977-03-01,55.9
1977-04-01,56.4
1977-05-01,56.8
1977-06-01,57.1
1977-07-01,57.6
1977-08-01,58
1977-09-01,58.4
1977-10-01,58.7
1977-11-01,58.9
1977-12-01,59.2
1978-01-01,59.8
1978-02-01,60.4
1978-03-01,60.7
1978-04-01,61
1978-05-01,61.4
1978-06-01,61.7
1978-07-01,62.1
1978-08-01,62.6
1978-09-01,63.1
1978-10-01,63.7
1978-11-01,64.2
1978-12-01,64.5
1979-01-01,65.2
1979-02-01,65.7
1979-03-01,66.2
1979-04-01,66.6
1979-05-01,66.9
1979-06-01,67.4
1979-07-01,68.1
1979-08-01,68.7
1979-09-01,69.3
1979-10-01,70
1979-11-01,70.5
1979-12-01,71.3
1980-01-01,72.2
1980-02-01,73.2
1980-03-01,73.9
1980-04-01,74.5
1980-05-01,75
1980-06-01,75.3
1980-07-01,75.8
1980-08-01,76.4
1980-09-01,77.1
1980-10-01,77.7
1980-11-01,78.2
1980-12-01,78.6
1981-01-01,79.7
1981-02-01,80.5
1981-03-01,81.2
1981-04-01,81.8
1981-05-01,82.3
1981-06-01,82.9
1981-07-01,83.6
1981-08-01,84.5
1981-09-01,85.2
1981-10-01,86.1
1981-11-01,86.9
1981-12-01,87.5
1982-01-01,88.3
1982-02-01,89.1
1982-03-01,89.9
1982-04-01,90.6
1982-05-01,91.2
1982-06-01,91.9
1982-07-01,92.9
1982-08-01,93.8
1982-09-01,94.5
1982-10-01,95.3
1982-11-01,96.2
1982-12-01,96.8
1983-01-01,97.7
1983-02-01,98.8
1983-03-01,99.1
1983-04-01,99.4
1983-05-01,99.7
1983-06-01,100
1983-07-01,100.7
1983-08-01,101.3
1983-09-01,101.7
1983-10-01,102.2
1983-11-01,102.7
1983-12-01,103.1
1984-01-01,104
1984-02-01,105.1
1984-03-01,105.5
1984-04-01,105.8
1984-05-01,106.2
1984-06-01,106.5
1984-07-01,107.1
1984-08-01,107.6
1984-09-01,107.9
1984-10-01,108.6
1984-11-01,109.2
1984-12-01,109.5
1985-01-01,110.2
1985-02-01,111
1985-03-01,111.7
1985-04-01,112.1
1985-05-01,112.6
1985-06-01,113.2
1985-07-01,113.8
1985-08-01,114.5
1985-09-01,115
1985-10-01,115.6
1985-11-01,116.3
1985-12-01,116.8
1986-01-01,117.8
1986-02-01,118.9
1986-03-01,119.9
1986-04-01,120.5
1986-05-01,121
1986-06-01,121.6
1986-07-01,122.4
1986-08-01,123.1
1986-09-01,123.7
1986-10-01,124.5
1986-11-01,125
1986-12-01,125.7
1987-01-01,126.5
1987-02-01,127.3
1987-03-01,128.1
1987-04-01,128.8
1987-05-01,129.3
1987-06-01,130
1987-07-01,130.8
1987-08-01,131.4
1987-09-01,132
1987-10-01,132.6
1987-11-01,133
1987-12-01,133.4
1988-01-01,134.6
1988-02-01,135.8
1988-03-01,136.5
1988-04-01,137.1
1988-05-01,137.8
1988-06-01,138.5
1988-07-01,139.6
1988-08-01,140.3
1988-09-01,140.8
1988-10-01,141.7
1988-11-01,142.2
1988-12-01,142.8
1989-01-01,144.2
1989-02-01,145.6
1989-03-01,146.5
1989-04-01,147.2
1989-05-01,147.9
1989-06-01,148.8
1989-07-01,150.1
1989-08-01,151.1
1989-09-01,152.1
1989-10-01,153
1989-11-01,154.2
1989-12-01,154.7
1990-01-01,156.1
1990-02-01,157.6
1990-03-01,158.8
1990-04-01,159.8
1990-05-01,160.8
1990-06-01,161.8
1990-07-01,163.3
1990-08-01,164.7
1990-09-01,165.5
1990-10-01,166.8
1990-11-01,168.1
1990-12-01,168.8
1991-01-01,170.5
1991-02-01,172.1
1991-03-01,173.2
1991-04-01,173.9
1991-05-01,174.6
1991-06-01,175.6
1991-07-01,176.9
1991-08-01,178.3
1991-09-01,179.2
1991-10-01,180.2
1991-11-01,181.2
1991-12-01,182
1992-01-01,183.7
1992-02-01,185.7
1992-03-01,186.8
1992-04-01,187.6
1992-05-01,188.2
1992-06-01,188.9
1992-07-01,190.2
1992-08-01,191.2
1992-09-01,191.9
1992-10-01,193
1992-11-01,193.8
1992-12-01,194.3
1993-01-01,196
1993-02-01,197.6
1993-03-01,198.2
1993-04-01,199
1993-05-01,200.1
1993-06-01,200.7
1993-07-01,201.7
1993-08-01,202.4
1993-09-01,202.8
1993-10-01,203.8
1993-11-01,204.2
1993-12-01,204.5
1994-01-01,205.8
1994-02-01,207
1994-03-01,207.7
1994-04-01,208.6
1994-05-01,209.1
1994-06-01,209.7
1994-07-01,210.8
1994-08-01,211.5
1994-09-01,212
1994-10-01,213.4
1994-11-01,214
1994-12-01,214.6
1995-01-01,215.9
1995-02-01,217.3
1995-03-01,217.7
1995-04-01,218.2
1995-05-01,218.7
1995-06-01,219.2
1995-07-01,220.2
1995-08-01,221.1
1995-09-01,221.5
1995-10-01,222.3
1995-11-01,222.8
1995-12-01,223.1
1996-01-01,224.5
1996-02-01,225.6
1996-03-01,226
1996-04-01,226.4
1996-05-01,226.8
1996-06-01,227.3
1996-07-01,228.2
1996-08-01,228.5
1996-09-01,228.8
1996-10-01,229.4
1996-11-01,229.9
1996-12-01,230.1
1997-01-01,231.1
1997-02-01,232.1
1997-03-01,232.8
1997-04-01,233.2
1997-05-01,233.6
1997-06-01,233.8
1997-07-01,234.2
1997-08-01,234.6
1997-09-01,234.7
1997-10-01,235.2
1997-11-01,235.8
1997-12-01,236.5
1998-01-01,237.4
1998-02-01,238.7
1998-03-01,239.1
1998-04-01,239.9
1998-05-01,240.6
1998-06-01,241.4
1998-07-01,242.1
1998-08-01,242.8
1998-09-01,243.2
1998-10-01,243.7
1998-11-01,244
1998-12-01,244.4
1999-01-01,245.8
1999-02-01,246.9
1999-03-01,247.5
1999-04-01,248.2
1999-05-01,248.7
1999-06-01,249.4
1999-07-01,250.3
1999-08-01,251
1999-09-01,251.4
1999-10-01,251.9
1999-11-01,252.5
1999-12-01,253.2
2000-01-01,254.5
2000-02-01,256.2
2000-03-01,257.3
2000-04-01,258
2000-05-01,258.5
2000-06-01,259.7
2000-07-01,260.6
2000-08-01,261.7
2000-09-01,262.2
2000-10-01,262.8
2000-11-01,263.1
2000-12-01,263.8
2001-01-01,266.3
2001-02-01,268.1
2001-03-01,269.1
2001-04-01,269.9
2001-05-01,270.4
2001-06-01,271.5
2001-07-01,272
2001-08-01,273.4
2001-09-01,273.9
2001-10-01,274.9
2001-11-01,275.6
2001-12-01,276.2
2002-01-01,278.5
2002-02-01,279.8
2002-03-01,280.9
2002-04-01,281.9
2002-05-01,282.9
2002-06-01,283.6
2002-07-01,285.6
2002-08-01,286.3
2002-09-01,286.7
2002-10-01,288.3
2002-11-01,289.6
2002-12-01,290.6
2003-01-01,291.8
2003-02-01,293
2003-03-01,293.5
2003-04-01,293.7
2003-05-01,294.6
2003-06-01,295.5
2003-07-01,296.7
2003-08-01,297.4
2003-09-01,298.3
2003-10-01,299.1
2003-11-01,300.1
2003-12-01,301.4
2004-01-01,302.8
2004-02-01,305.4
2004-03-01,306.9
2004-04-01,307.7
2004-05-01,308.4
2004-06-01,309.4
2004-07-01,310.4
2004-08-01,311
2004-09-01,311.7
2004-10-01,312.7
2004-11-01,313.6
2004-12-01,314.4
2005-01-01,316.3
2005-02-01,318.9
2005-03-01,320.3
2005-04-01,321.1
2005-05-01,321.9
2005-06-01,322.5
2005-07-01,323.7
2005-08-01,323.5
2005-09-01,324
2005-10-01,325.8
2005-11-01,327.9
2005-12-01,328.2
2006-01-01,329.1
2006-02-01,331.5
2006-03-01,333.2
2006-04-01,334.2
2006-05-01,335
2006-06-01,335.5
2006-07-01,336.5
2006-08-01,337.3
2006-09-01,337.8
2006-10-01,338.9
2006-11-01,339.8
2006-12-01,340
2007-01-01,343.138
2007-02-01,346.191
2007-03-01,346.946
2007-04-01,348.109
2007-05-01,348.801
2007-06-01,349.145
2007-07-01,351.346
2007-08-01,352.704
2007-09-01,353.571
2007-10-01,355.719
2007-11-01,357.165
2007-12-01,357.745
2008-01-01,360.71
2008-02-01,362.329
2008-03-01,363.069
2008-04-01,363.356
2008-05-01,363.462
2008-06-01,363.628
2008-07-01,363.942
2008-08-01,364.652
2008-09-01,365.25
2008-10-01,366
2008-11-01,366.8
2008-12-01,367.301
2009-01-01,370.001
2009-02-01,372.63
2009-03-01,373.541
2009-04-01,374.599
2009-05-01,375.42
2009-06-01,375.479
2009-07-01,376.161
2009-08-01,377.007
2009-09-01,378.263
2009-10-01,379.072
2009-11-01,380.295
2009-12-01,380.302
2010-01-01,383.443
2010-02-01,386.919
2010-03-01,388.33
2010-04-01,389.05
2010-05-01,389.029
2010-06-01,389.513
2010-07-01,389.335
2010-08-01,389.905
2010-09-01,392.028
2010-10-01,392.749
2010-11-01,393.277
2010-12-01,393.616
2011-01-01,395.536
2011-02-01,398.908
2011-03-01,399.516
2011-04-01,400.683
2011-05-01,401.316
2011-06-01,401.398
2011-07-01,402.16
2011-08-01,402.783
2011-09-01,403.433
2011-10-01,405.472
2011-11-01,407.128
2011-12-01,407.909
2012-01-01,410.459
2012-02-01,413.022
2012-03-01,414.116
2012-04-01,415.231
2012-05-01,416.471
2012-06-01,418.174
2012-07-01,419.745
2012-08-01,419.931
2012-09-01,421.005
2012-10-01,421.438
2012-11-01,421.639
2012-12-01,421.774
2013-01-01,423.824
2013-02-01,426.414
2013-03-01,427.366
2013-04-01,427.001
2013-05-01,426.08
2013-06-01,427.448
2013-07-01,427.996
2013-08-01,430.255
2013-09-01,431.305
2013-10-01,431.298
2013-11-01,430.871
2013-12-01,430.057
2014-01-01,432.765
2014-02-01,436.036
2014-03-01,436.521
2014-04-01,437.099
2014-05-01,437.893
2014-06-01,438.183
2014-07-01,438.768
2014-08-01,438.636
2014-09-01,439.428
2014-10-01,439.9
2014-11-01,441.306
2014-12-01,442.519
2015-01-01,443.836
2015-02-01,445.601
2015-03-01,446.802
2015-04-01,449.328
2015-05-01,449.766
2015-06-01,448.88
2015-07-01,449.376
2015-08-01,449.272
2015-09-01,450.023
2015-10-01,453.217
2015-11-01,454.731
2015-12-01,454.393
2016-01-01,457.923
2016-02-01,462.098
2016-03-01,462.462
2016-04-01,463.672
2016-05-01,465.106
2016-06-01,466.035
2016-07-01,468.11
2016-08-01,472.761
2016-09-01,473.564
2016-10-01,473.504
2016-11-01,473.582
2016-12-01,473.676
2017-01-01,476.148
2017-02-01,479.287
2017-03-01,479.285
2017-04-01,478.133
2017-05-01,478
2017-06-01,478.772
2017-07-01,480.574
2017-08-01,481.53
2017-09-01,480.807
2017-10-01,481.377
2017-11-01,481.486
2017-12-01,481.9
2018-01-01,485.166
2018-02-01,486.79
2018-03-01,487.797
2018-04-01,487.927
2018-05-01,488.686
2018-06-01,489.799
2018-07-01,488.914
2018-08-01,487.864
2018-09-01,488.53
2018-10-01,489.163
2018-11-01,490.909
2018-12-01,491.376
2019-01-01,494.426
2019-02-01,495.718
2019-03-01,496.695
2019-04-01,497.485
2019-05-01,499.328
2019-06-01,500.198
2019-07-01,502.666
2019-08-01,506.108
2019-09-01,506.767
2019-10-01,511.994
2019-11-01,513.609
2019-12-01,516.071
2020-01-01,518.806
2020-02-01,520.943
2020-03-01,522.866
2020-04-01,524.534
2020-05-01,527.097
2020-06-01,528.939
2020-07-01,531.205
2020-08-01,531.951
2020-09-01,531.012
2020-10-01,528.847
2020-11-01,527.938
2020-12-01,526.846
2021-01-01,530.123
2021-02-01,531.917
2021-03-01,532.342
2021-04-01,531.979
2021-05-01,531.295
2021-06-01,530.252
2021-07-01,531.631
2021-08-01,532.705
2021-09-01,531.981
2021-10-01,535.167
2021-11-01,536.559
2021-12-01,538.111
2022-01-01,543.371
2022-02-01,545.306
2022-03-01,548.302
2022-04-01,550.265
2022-05-01,552.413
2022-06-01,555.597
2022-07-01,558.738
2022-08-01,563.144
2022-09-01,566.234
2022-10-01,563.347
2022-11-01,559.603
2022-12-01,559.789
2023-01-01,560.797
2023-02-01,558.412
2023-03-01,555.336
2023-04-01,554.483
2023-05-01,554.542
2023-06-01,554.268
2023-07-01,552.629
2023-08-01,553.695
2023-09-01,553.95
2023-10-01,556.613
2023-11-01,558.757
