"Date","CUURA421SA0L1E"
1982-01-01,96.7
1982-02-01,96.7
1982-03-01,97.3
1982-04-01,97.5
1982-05-01,97.1
1982-06-01,98.1
1982-07-01,97.2
1982-08-01,97.2
1982-09-01,97
1982-10-01,97.6
1982-11-01,97.5
1982-12-01,96.4
1983-01-01,96.3
1983-02-01,97.2
1983-03-01,97.4
1983-04-01,97.9
1983-05-01,97.8
1983-06-01,98.1
1983-07-01,98.4
1983-08-01,98.8
1983-09-01,99.9
1983-10-01,100.5
1983-11-01,101
1983-12-01,101.1
1984-01-01,101.5
1984-02-01,102
1984-03-01,102.2
1984-04-01,102.9
1984-05-01,103.2
1984-06-01,103.6
1984-07-01,103.9
1984-08-01,105.2
1984-09-01,105.8
1984-10-01,106.1
1984-11-01,106.6
1984-12-01,106.5
1985-01-01,107.3
1985-02-01,107.9
1985-03-01,107.9
1985-04-01,108
1985-05-01,108.5
1985-06-01,109.1
1985-07-01,109.9
1985-08-01,111.3
1985-09-01,111.4
1985-10-01,112.5
1985-11-01,112.7
1985-12-01,113
1986-01-01,113.2
1986-02-01,113.6
1986-03-01,115
1986-04-01,114.5
1986-05-01,114.5
1986-06-01,115.3
1986-07-01,115.7
1986-08-01,115.9
1986-09-01,117.5
1986-10-01,118.4
1986-11-01,118.3
1986-12-01,117.8
1987-01-01,118.3
1987-02-01,119
1987-03-01,120.3
1987-04-01,120.8
1987-05-01,121
1987-06-01,120.8
1987-07-01,120.9
1987-08-01,122
1987-09-01,122.9
1987-10-01,123.6
1987-11-01,123.8
1987-12-01,124.2
1988-01-01,124.5
1988-02-01,125.7
1988-03-01,126.7
1988-04-01,126.8
1988-05-01,127.3
1988-06-01,127.3
1988-07-01,127.1
1988-08-01,127.5
1988-09-01,128.5
1988-10-01,129.2
1988-11-01,129.9
1988-12-01,130.1
1989-01-01,130.4
1989-02-01,131.3
1989-03-01,131.7
1989-04-01,131.8
1989-05-01,132.7
1989-06-01,133.4
1989-07-01,134
1989-08-01,134.1
1989-09-01,135.8
1989-10-01,135.7
1989-11-01,136.1
1989-12-01,136.8
1990-01-01,138
1990-02-01,139.3
1990-03-01,140.4
1990-04-01,140
1990-05-01,140
1990-06-01,140.5
1990-07-01,141.1
1990-08-01,141.4
1990-09-01,142.9
1990-10-01,143.7
1990-11-01,144
1990-12-01,144.4
1991-01-01,145.2
1991-02-01,145.9
1991-03-01,146.2
1991-04-01,146.9
1991-05-01,146.4
1991-06-01,146.5
1991-07-01,147.6
1991-08-01,148.1
1991-09-01,149
1991-10-01,149.4
1991-11-01,150.2
1991-12-01,149.5
1992-01-01,150.8
1992-02-01,151.4
1992-03-01,151.9
1992-04-01,152.3
1992-05-01,152.4
1992-06-01,152.1
