"Date","CUURA208SEHF01"
1971-05-01,37.9
1971-06-01,39
1971-07-01,39
1971-08-01,39
1971-09-01,39
1971-10-01,39
1971-11-01,39
1971-12-01,39
1972-01-01,39
1972-02-01,39
1972-03-01,39
1972-04-01,39.9
1972-05-01,39.9
1972-06-01,39.9
1972-07-01,39.9
1972-08-01,39.9
1972-09-01,40.8
1972-10-01,40.8
1972-11-01,40.8
1972-12-01,40.8
1973-01-01,40.8
1973-02-01,40.8
1973-03-01,40.8
1973-04-01,40.8
1973-05-01,40.8
1973-06-01,40.8
1973-07-01,40.8
1973-08-01,40.8
1973-09-01,39.7
1973-10-01,39.3
1973-11-01,39.3
1973-12-01,39.3
1974-01-01,42.4
1974-02-01,42.4
1974-03-01,42.7
1974-04-01,43.8
1974-05-01,44.7
1974-06-01,45.3
1974-07-01,46.9
1974-08-01,46.3
1974-09-01,47.8
1974-10-01,49.9
1974-11-01,49.9
1974-12-01,50
1975-01-01,49.8
1975-02-01,53
1975-03-01,52.8
1975-04-01,54.4
1975-05-01,51.9
1975-06-01,53.4
1975-07-01,53.8
1975-08-01,53.3
1975-09-01,53.6
1975-10-01,54.3
1975-11-01,53.2
1975-12-01,54.3
1976-01-01,52.1
1976-02-01,54
1976-03-01,54.9
1976-04-01,56
1976-05-01,56.6
1976-06-01,57.2
1976-07-01,59.8
1976-08-01,62.1
1976-09-01,62.9
1976-10-01,58.5
1976-11-01,59.9
1976-12-01,58.4
1977-01-01,64.5
1977-02-01,63.3
1977-03-01,64.3
1977-04-01,66.7
1977-05-01,62.2
1977-06-01,63.8
1977-07-01,64.5
1977-08-01,65
1977-09-01,60
1977-10-01,57.9
1977-11-01,60.9
1977-12-01,62.1
1978-01-01,62.6
1978-02-01,62.4
1978-03-01,69.2
1978-04-01,76.4
1978-05-01,79
1978-06-01,85.5
1978-07-01,68.6
1978-08-01,62.2
1978-09-01,60.8
1978-10-01,72.7
1978-11-01,71.9
1978-12-01,68.9
1979-01-01,71.7
1979-02-01,65.2
1979-03-01,70.6
1979-04-01,70.7
1979-05-01,76.4
