"Date","CUURA316SEHF01"
1971-05-01,30.1
1971-06-01,30.1
1971-07-01,30.2
1971-08-01,30.3
1971-09-01,30.3
1971-10-01,30.3
1971-11-01,30.3
1971-12-01,30.3
1972-01-01,30.3
1972-02-01,30.3
1972-03-01,30.3
1972-04-01,32.2
1972-05-01,32.1
1972-06-01,32.1
1972-07-01,32.1
1972-08-01,32.1
1972-09-01,32
1972-10-01,32.1
1972-11-01,32.2
1972-12-01,32.3
1973-01-01,32.7
1973-02-01,33.5
1973-03-01,35.3
1973-04-01,33.3
1973-05-01,32.6
1973-06-01,32.6
1973-07-01,32.3
1973-08-01,32.4
1973-09-01,32.5
1973-10-01,32.7
1973-11-01,33.2
1973-12-01,33.2
1974-01-01,32.9
1974-02-01,33.1
1974-03-01,34.7
1974-04-01,34.8
1974-05-01,35.3
1974-06-01,35.4
1974-07-01,35.7
1974-08-01,37.8
1974-09-01,37.7
1974-10-01,38
1974-11-01,38.1
1974-12-01,38.2
1975-01-01,38.1
1975-02-01,38.4
1975-03-01,38.8
1975-04-01,39.3
1975-05-01,41
1975-06-01,41.4
1975-07-01,41.9
1975-08-01,42.1
1975-09-01,41.7
1975-10-01,41.5
1975-11-01,42.6
1975-12-01,42.5
1976-01-01,41.4
1976-02-01,41.2
1976-03-01,43.5
1976-04-01,44.8
1976-05-01,46.3
1976-06-01,49.4
1976-07-01,49.2
1976-08-01,49.4
1976-09-01,48.6
1976-10-01,49.4
1976-11-01,50.4
1976-12-01,50
1977-01-01,50.1
1977-02-01,50.7
1977-03-01,54
1977-04-01,53.3
1977-05-01,53
1977-06-01,50
1977-07-01,51.6
1977-08-01,53.2
1977-09-01,52.3
1977-10-01,52.1
1977-11-01,51.3
1977-12-01,49.4
1978-01-01,49.5
1978-02-01,50.1
1978-03-01,52.1
1978-04-01,51.4
1978-05-01,61.3
1978-06-01,60.4
1978-07-01,63.5
1978-08-01,64.8
1978-09-01,61.9
1978-10-01,59.2
1978-11-01,47.3
1978-12-01,49.3
1979-01-01,50.6
1979-02-01,49.3
1979-03-01,52.5
1979-04-01,51.8
1979-05-01,59.3
1979-06-01,67.2
1979-07-01,65.3
1979-08-01,66.1
1979-09-01,63.5
1979-10-01,65.6
1979-11-01,55.3
1979-12-01,60.8
1980-01-01,59.8
1980-02-01,59.8
1980-03-01,61.8
