"Date","CUUR0000SEGB"
1947-03-01,33.2
1947-04-01,NA
1947-05-01,NA
1947-06-01,33
1947-07-01,NA
1947-08-01,NA
1947-09-01,32.5
1947-10-01,NA
1947-11-01,34
1947-12-01,34.7
1948-01-01,NA
1948-02-01,NA
1948-03-01,34.3
1948-04-01,NA
1948-05-01,NA
1948-06-01,33.9
1948-07-01,NA
1948-08-01,NA
1948-09-01,34.2
1948-10-01,NA
1948-11-01,NA
1948-12-01,34.2
1949-01-01,NA
1949-02-01,NA
1949-03-01,33.5
1949-04-01,NA
1949-05-01,NA
1949-06-01,33.1
1949-07-01,NA
1949-08-01,NA
1949-09-01,32.7
1949-10-01,NA
1949-11-01,NA
1949-12-01,32.2
1950-01-01,NA
1950-02-01,NA
1950-03-01,31.3
1950-04-01,NA
1950-05-01,NA
1950-06-01,31.3
1950-07-01,NA
1950-08-01,NA
1950-09-01,32
1950-10-01,NA
1950-11-01,NA
1950-12-01,34.9
1951-01-01,NA
1951-02-01,NA
1951-03-01,36.1
1951-04-01,NA
1951-05-01,NA
1951-06-01,36.1
1951-07-01,NA
1951-08-01,NA
1951-09-01,35.4
1951-10-01,NA
1951-11-01,NA
1951-12-01,35.4
1952-01-01,NA
1952-02-01,NA
1952-03-01,35.1
1952-04-01,NA
1952-05-01,NA
1952-06-01,34.9
1952-07-01,NA
1952-08-01,NA
1952-09-01,34.9
1952-10-01,NA
1952-11-01,NA
1952-12-01,34.9
1953-01-01,NA
1953-02-01,NA
1953-03-01,34.8
1953-04-01,NA
1953-05-01,NA
1953-06-01,34.8
1953-07-01,NA
1953-08-01,NA
1953-09-01,34.9
1953-10-01,NA
1953-11-01,NA
1953-12-01,34.9
1954-01-01,NA
1954-02-01,NA
1954-03-01,35.1
1954-04-01,NA
1954-05-01,NA
1954-06-01,34.3
1954-07-01,NA
1954-08-01,NA
1954-09-01,34.5
1954-10-01,NA
1954-11-01,NA
1954-12-01,34.5
1955-01-01,NA
1955-02-01,NA
1955-03-01,34.5
1955-04-01,NA
1955-05-01,NA
1955-06-01,34.5
1955-07-01,NA
1955-08-01,NA
1955-09-01,34.7
1955-10-01,NA
1955-11-01,NA
1955-12-01,34.9
1956-01-01,NA
1956-02-01,NA
1956-03-01,35.3
1956-04-01,NA
1956-05-01,NA
1956-06-01,35.4
1956-07-01,NA
1956-08-01,NA
1956-09-01,35.4
1956-10-01,NA
1956-11-01,NA
1956-12-01,35.8
1957-01-01,NA
1957-02-01,NA
1957-03-01,36.2
1957-04-01,NA
1957-05-01,NA
1957-06-01,36.5
1957-07-01,NA
1957-08-01,NA
1957-09-01,36.6
1957-10-01,NA
1957-11-01,NA
1957-12-01,37.4
1958-01-01,NA
1958-02-01,NA
1958-03-01,37.9
1958-04-01,NA
1958-05-01,NA
1958-06-01,38.1
1958-07-01,NA
1958-08-01,NA
1958-09-01,38
1958-10-01,NA
1958-11-01,NA
1958-12-01,37.9
1959-01-01,NA
1959-02-01,NA
1959-03-01,38
1959-04-01,NA
1959-05-01,NA
1959-06-01,38.2
1959-07-01,NA
1959-08-01,NA
1959-09-01,38.4
1959-10-01,NA
1959-11-01,NA
1959-12-01,38.5
1960-01-01,NA
1960-02-01,NA
1960-03-01,38.2
1960-04-01,NA
1960-05-01,NA
1960-06-01,38.2
1960-07-01,NA
1960-08-01,NA
1960-09-01,38.2
1960-10-01,NA
1960-11-01,NA
1960-12-01,38.1
1961-01-01,NA
1961-02-01,NA
1961-03-01,38
1961-04-01,NA
1961-05-01,NA
1961-06-01,38
1961-07-01,NA
1961-08-01,NA
1961-09-01,38.3
1961-10-01,NA
1961-11-01,NA
1961-12-01,38.1
1962-01-01,NA
1962-02-01,NA
1962-03-01,38.6
1962-04-01,NA
1962-05-01,NA
1962-06-01,38.4
1962-07-01,NA
1962-08-01,NA
1962-09-01,38.4
1962-10-01,NA
1962-11-01,NA
1962-12-01,38.6
1963-01-01,NA
1963-02-01,NA
1963-03-01,38.4
1963-04-01,NA
1963-05-01,NA
1963-06-01,38.4
1963-07-01,NA
1963-08-01,NA
1963-09-01,38.8
1963-10-01,NA
1963-11-01,NA
1963-12-01,38.8
1964-01-01,NA
1964-02-01,NA
1964-03-01,NA
1964-04-01,NA
1964-05-01,NA
1964-06-01,38.6
1964-07-01,NA
1964-08-01,NA
1964-09-01,NA
1964-10-01,NA
1964-11-01,NA
1964-12-01,38.7
1965-01-01,NA
1965-02-01,NA
1965-03-01,NA
1965-04-01,NA
1965-05-01,NA
1965-06-01,38.9
1965-07-01,NA
1965-08-01,NA
1965-09-01,NA
1965-10-01,NA
1965-11-01,NA
1965-12-01,37.7
1966-01-01,NA
1966-02-01,NA
1966-03-01,37.9
1966-04-01,NA
1966-05-01,NA
1966-06-01,38
1966-07-01,NA
1966-08-01,NA
1966-09-01,38.1
1966-10-01,NA
1966-11-01,NA
1966-12-01,38.2
1967-01-01,38.2
1967-02-01,38.3
1967-03-01,38.3
1967-04-01,38.5
1967-05-01,38.6
1967-06-01,38.6
1967-07-01,38.6
1967-08-01,38.8
1967-09-01,38.9
1967-10-01,38.9
1967-11-01,39
1967-12-01,39
1968-01-01,39.1
1968-02-01,39.1
1968-03-01,39.2
1968-04-01,39.4
1968-05-01,39.5
1968-06-01,39.8
1968-07-01,39.8
1968-08-01,39.9
1968-09-01,40.1
1968-10-01,40.2
1968-11-01,40.6
1968-12-01,40.8
1969-01-01,40.8
1969-02-01,41
1969-03-01,41.2
1969-04-01,41.5
1969-05-01,41.5
1969-06-01,41.7
1969-07-01,41.8
1969-08-01,41.9
1969-09-01,42
1969-10-01,41.9
1969-11-01,42
1969-12-01,41.9
1970-01-01,42
1970-02-01,42.2
1970-03-01,42.4
1970-04-01,42.4
1970-05-01,42.5
1970-06-01,42.5
1970-07-01,42.6
1970-08-01,42.8
1970-09-01,42.9
1970-10-01,43
1970-11-01,43
1970-12-01,43.2
1971-01-01,43.4
1971-02-01,43.4
1971-03-01,43.6
1971-04-01,43.9
1971-05-01,43.9
1971-06-01,44
1971-07-01,44.1
1971-08-01,44.2
1971-09-01,44.3
1971-10-01,44.4
1971-11-01,44.4
1971-12-01,44.4
1972-01-01,44.5
1972-02-01,44.6
1972-03-01,44.7
1972-04-01,44.9
1972-05-01,45.3
1972-06-01,45.4
1972-07-01,45.3
1972-08-01,45.4
1972-09-01,45.4
1972-10-01,45.4
1972-11-01,45.5
1972-12-01,45.6
1973-01-01,45.6
1973-02-01,45.7
1973-03-01,45.9
1973-04-01,46.1
1973-05-01,46.2
1973-06-01,46.2
1973-07-01,46.3
1973-08-01,46.4
1973-09-01,46.5
1973-10-01,46.8
1973-11-01,47.2
1973-12-01,47.6
1974-01-01,48
1974-02-01,48.5
1974-03-01,48.9
1974-04-01,49.5
1974-05-01,50.3
1974-06-01,51.2
1974-07-01,51.8
1974-08-01,52.6
1974-09-01,53.4
1974-10-01,54.3
1974-11-01,54.7
1974-12-01,55.3
1975-01-01,55.8
1975-02-01,56.7
1975-03-01,57.3
1975-04-01,57.7
1975-05-01,57.7
1975-06-01,57.9
1975-07-01,58.3
1975-08-01,58.3
1975-09-01,58.5
1975-10-01,58.8
1975-11-01,59
1975-12-01,59.5
1976-01-01,60.1
1976-02-01,60.4
1976-03-01,60.2
1976-04-01,60.6
1976-05-01,60.7
1976-06-01,61.1
1976-07-01,61.3
1976-08-01,61.6
1976-09-01,61.8
1976-10-01,62.2
1976-11-01,62.6
1976-12-01,62.7
1977-01-01,63.1
1977-02-01,63.2
1977-03-01,63.4
1977-04-01,63.9
1977-05-01,64.2
1977-06-01,64.7
1977-07-01,64.9
1977-08-01,65.3
1977-09-01,65.4
1977-10-01,65.9
1977-11-01,66.2
1977-12-01,66.6
1978-01-01,66.9
1978-02-01,66.9
1978-03-01,66.9
1978-04-01,67
1978-05-01,67.6
1978-06-01,67.7
1978-07-01,68.2
1978-08-01,68.7
1978-09-01,69.4
1978-10-01,69.6
1978-11-01,70
1978-12-01,69.9
1979-01-01,70.5
1979-02-01,71.2
1979-03-01,71.9
1979-04-01,71.8
1979-05-01,72.4
1979-06-01,72.6
1979-07-01,72.9
1979-08-01,73.3
1979-09-01,74
1979-10-01,74.4
1979-11-01,74.6
1979-12-01,75.7
1980-01-01,75.9
1980-02-01,76.7
1980-03-01,77.4
1980-04-01,78
1980-05-01,78.9
1980-06-01,79.3
1980-07-01,80.3
1980-08-01,80.8
1980-09-01,81.3
1980-10-01,81.8
1980-11-01,82.1
1980-12-01,83.2
1981-01-01,83.8
1981-02-01,84.8
1981-03-01,85.9
1981-04-01,86.5
1981-05-01,87.6
1981-06-01,88.3
1981-07-01,88.4
1981-08-01,88.9
1981-09-01,89.3
1981-10-01,89.5
1981-11-01,89.8
1981-12-01,90.7
1982-01-01,91.4
1982-02-01,92.2
1982-03-01,93
1982-04-01,94.2
1982-05-01,94.5
1982-06-01,95.2
1982-07-01,95.7
1982-08-01,96.4
1982-09-01,96.3
1982-10-01,97.2
1982-11-01,98
1982-12-01,97.5
1983-01-01,98.1
1983-02-01,98.9
1983-03-01,99.4
1983-04-01,99.9
1983-05-01,99.9
1983-06-01,101
1983-07-01,101.4
1983-08-01,101.2
1983-09-01,101.4
1983-10-01,101.6
1983-11-01,102.7
1983-12-01,102.9
1984-01-01,103.1
1984-02-01,103.5
1984-03-01,102.8
1984-04-01,103.3
1984-05-01,103.3
1984-06-01,103.8
1984-07-01,104.4
1984-08-01,104.6
1984-09-01,105
1984-10-01,105.1
1984-11-01,105.7
1984-12-01,105.7
1985-01-01,105.9
1985-02-01,106.4
1985-03-01,106.7
1985-04-01,107.1
1985-05-01,107.2
1985-06-01,107.4
1985-07-01,107.8
1985-08-01,108
1985-09-01,108.4
1985-10-01,108.7
1985-11-01,108.6
1985-12-01,109.2
1986-01-01,110.3
1986-02-01,110.5
1986-03-01,111
1986-04-01,111.2
1986-05-01,111.3
1986-06-01,110.9
1986-07-01,110.9
1986-08-01,111.7
1986-09-01,111.4
1986-10-01,112
1986-11-01,111.9
1986-12-01,111.9
1987-01-01,112.6
1987-02-01,112.9
1987-03-01,112.9
1987-04-01,113.2
1987-05-01,113.7
1987-06-01,113.7
1987-07-01,114.3
1987-08-01,114.3
1987-09-01,114.7
1987-10-01,114.9
1987-11-01,115
1987-12-01,115
1988-01-01,116.1
1988-02-01,116.4
1988-03-01,116.8
1988-04-01,117.4
1988-05-01,117.2
1988-06-01,117.5
1988-07-01,117.8
1988-08-01,117.2
1988-09-01,118.7
1988-10-01,119.8
1988-11-01,120.7
1988-12-01,121.6
1989-01-01,121.7
1989-02-01,121.9
1989-03-01,122.4
1989-04-01,122.6
1989-05-01,122.7
1989-06-01,122.2
1989-07-01,122.8
1989-08-01,123.8
1989-09-01,124
1989-10-01,124.4
1989-11-01,125.1
1989-12-01,124.7
1990-01-01,125.1
1990-02-01,126
1990-03-01,126.9
1990-04-01,128.3
1990-05-01,128.3
1990-06-01,129.2
1990-07-01,128.4
1990-08-01,128.1
1990-09-01,128.8
1990-10-01,129.3
1990-11-01,129.5
1990-12-01,129.9
1991-01-01,130.3
1991-02-01,131.5
1991-03-01,131.5
1991-04-01,133.1
1991-05-01,133
1991-06-01,132.2
1991-07-01,133.5
1991-08-01,134
1991-09-01,133.4
1991-10-01,133.3
1991-11-01,133.8
1991-12-01,133.4
1992-01-01,134.5
1992-02-01,135.8
1992-03-01,136.1
1992-04-01,137
1992-05-01,136.1
1992-06-01,135.7
1992-07-01,137.5
1992-08-01,137.3
1992-09-01,137
1992-10-01,136.8
1992-11-01,136.9
1992-12-01,137.8
1993-01-01,137.7
1993-02-01,137
1993-03-01,138.4
1993-04-01,138.1
1993-05-01,138.7
1993-06-01,139
1993-07-01,140
1993-08-01,139.8
1993-09-01,139.7
1993-10-01,139.7
1993-11-01,140.2
1993-12-01,140.1
1994-01-01,140.5
1994-02-01,140
1994-03-01,139.7
1994-04-01,141.4
1994-05-01,141.7
1994-06-01,141.8
1994-07-01,141.9
1994-08-01,141.9
1994-09-01,141.8
1994-10-01,142
1994-11-01,142.3
1994-12-01,142.6
1995-01-01,142.2
1995-02-01,142.6
1995-03-01,142.2
1995-04-01,142.2
1995-05-01,142.9
1995-06-01,142.8
1995-07-01,142.7
1995-08-01,143.2
1995-09-01,143
1995-10-01,144.4
1995-11-01,144.8
1995-12-01,144.1
1996-01-01,143.7
1996-02-01,144.1
1996-03-01,144
1996-04-01,144.2
1996-05-01,145.3
1996-06-01,143.9
1996-07-01,144.4
1996-08-01,145
1996-09-01,145.1
1996-10-01,144.6
1996-11-01,144.7
1996-12-01,142.8
1997-01-01,143.6
1997-02-01,143.3
1997-03-01,143.6
1997-04-01,144.5
1997-05-01,144.1
1997-06-01,144.2
1997-07-01,143.7
1997-08-01,143.5
1997-09-01,143.7
1997-10-01,144.5
1997-11-01,146.1
1997-12-01,145.3
1998-01-01,146.1
1998-02-01,146.7
1998-03-01,147.3
1998-04-01,147.3
1998-05-01,149.3
1998-06-01,149.2
1998-07-01,149.1
1998-08-01,148.5
1998-09-01,149.1
1998-10-01,149.4
1998-11-01,148.8
1998-12-01,148.7
1999-01-01,149.9
1999-02-01,149.8
1999-03-01,150.8
1999-04-01,150.9
1999-05-01,150.9
1999-06-01,152.6
1999-07-01,152
1999-08-01,152.3
1999-09-01,153
1999-10-01,153.4
1999-11-01,153.3
1999-12-01,152.5
2000-01-01,152.8
2000-02-01,152.6
2000-03-01,153.5
2000-04-01,153.4
2000-05-01,153
2000-06-01,153.6
2000-07-01,153.7
2000-08-01,154.3
2000-09-01,154.3
2000-10-01,153.4
2000-11-01,153.9
2000-12-01,155.5
2001-01-01,155.3
2001-02-01,155.3
2001-03-01,155.7
2001-04-01,155.8
2001-05-01,153.2
2001-06-01,154.6
2001-07-01,155.1
