"Date","CUURD200SAES"
2009-12-01,100
2010-01-01,100.367
2010-02-01,100.294
2010-03-01,100.332
2010-04-01,100.375
2010-05-01,100.426
2010-06-01,100.438
2010-07-01,100.4
2010-08-01,104.333
2010-09-01,104.95
2010-10-01,105.411
2010-11-01,105.447
2010-12-01,105.314
2011-01-01,105.731
2011-02-01,106.095
2011-03-01,106.055
2011-04-01,106.069
2011-05-01,106.078
2011-06-01,106.311
2011-07-01,106.14
2011-08-01,108.624
2011-09-01,108.67
2011-10-01,109.177
2011-11-01,109.227
2011-12-01,109.523
2012-01-01,109.624
2012-02-01,109.765
2012-03-01,109.788
2012-04-01,109.479
2012-05-01,109.537
2012-06-01,109.486
2012-07-01,109.802
2012-08-01,110.705
2012-09-01,111.297
2012-10-01,112.504
2012-11-01,112.504
2012-12-01,112.507
2013-01-01,112.66
2013-02-01,112.827
2013-03-01,112.815
2013-04-01,112.626
2013-05-01,112.624
2013-06-01,112.636
2013-07-01,112.674
2013-08-01,114.14
2013-09-01,114.215
2013-10-01,114.36
2013-11-01,114.389
2013-12-01,114.389
2014-01-01,114.554
2014-02-01,114.552
2014-03-01,115.133
2014-04-01,115.311
2014-05-01,114.371
2014-06-01,114.431
2014-07-01,114.52
2014-08-01,114.989
2014-09-01,114.883
2014-10-01,114.02
2014-11-01,114.486
2014-12-01,114.785
2015-01-01,115.128
2015-02-01,114.628
2015-03-01,114.87
2015-04-01,115.073
2015-05-01,114.897
2015-06-01,114.99
2015-07-01,115.038
2015-08-01,118.335
2015-09-01,117.886
2015-10-01,118.104
2015-11-01,118.412
2015-12-01,118.278
2016-01-01,118.566
2016-02-01,118.642
2016-03-01,119.293
2016-04-01,119.221
2016-05-01,117.41
2016-06-01,117.568
2016-07-01,117.436
2016-08-01,116.353
2016-09-01,115.93
2016-10-01,115.014
2016-11-01,114.606
2016-12-01,114.554
2017-01-01,113.835
2017-02-01,113.518
2017-03-01,113.428
2017-04-01,112.946
2017-05-01,113.02
2017-06-01,112.381
2017-07-01,112.483
2017-08-01,113.288
2017-09-01,114.166
2017-10-01,115.185
2017-11-01,115.463
2017-12-01,116.159
