"Date","CUURA101SAS"
1967-01-01,29.9
1967-02-01,30.2
1967-03-01,30.2
1967-04-01,30.2
1967-05-01,30.3
1967-06-01,30.4
1967-07-01,30.4
1967-08-01,30.5
1967-09-01,30.6
1967-10-01,30.8
1967-11-01,30.8
1967-12-01,31
1968-01-01,31.1
1968-02-01,31.1
1968-03-01,31.3
1968-04-01,31.4
1968-05-01,31.5
1968-06-01,31.8
1968-07-01,31.9
1968-08-01,32.3
1968-09-01,32.4
1968-10-01,32.5
1968-11-01,32.6
1968-12-01,32.7
1969-01-01,33.3
1969-02-01,33.4
1969-03-01,33.7
1969-04-01,33.9
1969-05-01,34
1969-06-01,34.2
1969-07-01,34.3
1969-08-01,34.4
1969-09-01,34.7
1969-10-01,34.7
1969-11-01,34.8
1969-12-01,35.4
1970-01-01,36.2
1970-02-01,36.5
1970-03-01,36.8
1970-04-01,37.3
1970-05-01,37.4
1970-06-01,37.8
1970-07-01,37.9
1970-08-01,38.2
1970-09-01,38.4
1970-10-01,38.6
1970-11-01,38.8
1970-12-01,39.4
1971-01-01,39.6
1971-02-01,40.1
1971-03-01,40.3
1971-04-01,40.4
1971-05-01,40.5
1971-06-01,40.8
1971-07-01,41.2
1971-08-01,41.3
1971-09-01,41.4
1971-10-01,41.5
1971-11-01,41.5
1971-12-01,41.8
1972-01-01,42.6
1972-02-01,42.7
1972-03-01,42.7
1972-04-01,42.9
1972-05-01,43.1
1972-06-01,43.4
1972-07-01,43.4
1972-08-01,43.5
1972-09-01,43.6
1972-10-01,43.9
1972-11-01,43.9
1972-12-01,44.3
1973-01-01,44.5
1973-02-01,44.7
1973-03-01,44.8
1973-04-01,45
1973-05-01,45.2
1973-06-01,45.4
1973-07-01,45.4
1973-08-01,45.7
1973-09-01,45.9
1973-10-01,46.2
1973-11-01,46.5
1973-12-01,47.1
1974-01-01,47.5
1974-02-01,47.9
1974-03-01,48.4
1974-04-01,48.5
1974-05-01,49
1974-06-01,49.2
1974-07-01,49.4
1974-08-01,49.9
1974-09-01,50.4
1974-10-01,50.5
1974-11-01,50.9
1974-12-01,51.3
1975-01-01,51.5
1975-02-01,51.9
1975-03-01,51.9
1975-04-01,52.2
1975-05-01,52.3
1975-06-01,52.6
1975-07-01,52.7
1975-08-01,53
1975-09-01,54.5
1975-10-01,54.7
1975-11-01,55.5
1975-12-01,56
1976-01-01,56.4
1976-02-01,56.9
1976-03-01,57.5
1976-04-01,57.6
1976-05-01,57.7
1976-06-01,58.3
1976-07-01,58.4
1976-08-01,58.7
1976-09-01,59.2
1976-10-01,59.4
1976-11-01,59.5
1976-12-01,59.8
1977-01-01,60.5
1977-02-01,60.6
1977-03-01,61
1977-04-01,61.2
1977-05-01,61.5
1977-06-01,62
1977-07-01,62
1977-08-01,62.3
1977-09-01,62.5
1977-10-01,62.7
1977-11-01,62.9
1977-12-01,63.1
1978-01-01,63.6
1978-02-01,63.9
1978-03-01,64.4
1978-04-01,64.5
1978-05-01,64.7
1978-06-01,65.3
1978-07-01,65.6
1978-08-01,66.1
1978-09-01,66.5
1978-10-01,66.8
1978-11-01,67
1978-12-01,67.2
1979-01-01,67.7
1979-02-01,68
1979-03-01,68.2
1979-04-01,68.7
1979-05-01,69.4
1979-06-01,70
1979-07-01,70.4
1979-08-01,71.1
1979-09-01,71.9
1979-10-01,72.5
1979-11-01,73
1979-12-01,73.5
1980-01-01,74.2
1980-02-01,74.7
1980-03-01,75.8
1980-04-01,76.7
1980-05-01,77.3
1980-06-01,78.2
1980-07-01,78.9
1980-08-01,79.4
1980-09-01,79.8
1980-10-01,80.2
1980-11-01,80.8
1980-12-01,81.9
1981-01-01,82.6
1981-02-01,83.4
1981-03-01,83.8
1981-04-01,84.8
1981-05-01,85.3
1981-06-01,86.3
1981-07-01,88.2
1981-08-01,89.2
1981-09-01,90.9
1981-10-01,90.6
1981-11-01,90.9
1981-12-01,91.2
1982-01-01,91.2
1982-02-01,91.2
1982-03-01,90.7
1982-04-01,91.6
1982-05-01,92.6
1982-06-01,94.6
1982-07-01,94.8
1982-08-01,95.8
1982-09-01,96.9
1982-10-01,97.9
1982-11-01,97.5
1982-12-01,96.5
1983-01-01,97
1983-02-01,97.2
1983-03-01,97.5
1983-04-01,98.9
1983-05-01,99.1
1983-06-01,99.4
1983-07-01,99.9
1983-08-01,100
1983-09-01,100.9
1983-10-01,101.5
1983-11-01,102.2
1983-12-01,102.2
1984-01-01,103.5
1984-02-01,104
1984-03-01,104.3
1984-04-01,104.8
1984-05-01,105
1984-06-01,105.3
1984-07-01,106.1
1984-08-01,106.9
1984-09-01,107.9
1984-10-01,107.6
1984-11-01,108.8
1984-12-01,108.6
1985-01-01,108.6
1985-02-01,109.1
1985-03-01,109.4
1985-04-01,109.8
1985-05-01,110.3
1985-06-01,111
1985-07-01,111.4
1985-08-01,112.2
1985-09-01,112.4
1985-10-01,112.3
1985-11-01,113.6
1985-12-01,113.8
1986-01-01,114.9
1986-02-01,115.5
1986-03-01,116.4
1986-04-01,116.5
1986-05-01,116.2
1986-06-01,117.8
1986-07-01,118.9
1986-08-01,119
1986-09-01,119.1
1986-10-01,119.5
1986-11-01,119.5
1986-12-01,120.2
1987-01-01,121
1987-02-01,121.6
1987-03-01,121.6
1987-04-01,122
1987-05-01,123.2
1987-06-01,124.2
1987-07-01,124.7
1987-08-01,125.8
1987-09-01,126.2
1987-10-01,126.8
1987-11-01,127
1987-12-01,128.1
1988-01-01,129.6
1988-02-01,129.5
1988-03-01,129.6
1988-04-01,130.4
1988-05-01,131.1
1988-06-01,131.9
1988-07-01,132.9
1988-08-01,133.3
1988-09-01,134.4
1988-10-01,134.5
1988-11-01,134.7
1988-12-01,135
1989-01-01,136.3
1989-02-01,136.7
1989-03-01,137.7
1989-04-01,138.2
1989-05-01,139.2
1989-06-01,140.1
1989-07-01,140.8
1989-08-01,141.2
1989-09-01,141.9
1989-10-01,142.6
1989-11-01,143.4
1989-12-01,143.7
1990-01-01,144.8
1990-02-01,145.2
1990-03-01,146.9
1990-04-01,147.7
1990-05-01,147.9
1990-06-01,148
1990-07-01,149.9
1990-08-01,151.5
1990-09-01,151.4
1990-10-01,151.4
1990-11-01,151.3
1990-12-01,151.7
1991-01-01,154.2
1991-02-01,155.1
1991-03-01,154.9
1991-04-01,155
1991-05-01,155.4
1991-06-01,156.8
1991-07-01,158.3
1991-08-01,158.7
1991-09-01,158.7
1991-10-01,158.2
1991-11-01,159.3
1991-12-01,159.6
1992-01-01,161
1992-02-01,161.8
1992-03-01,163.3
1992-04-01,163.1
1992-05-01,162.7
1992-06-01,163.8
1992-07-01,164.8
1992-08-01,165.4
1992-09-01,165.6
1992-10-01,166.6
1992-11-01,166.5
1992-12-01,166.8
1993-01-01,168.1
1993-02-01,168.2
1993-03-01,168.7
1993-04-01,169
1993-05-01,169.4
1993-06-01,170.8
1993-07-01,171.2
1993-08-01,172
1993-09-01,171.3
1993-10-01,171.3
1993-11-01,170.8
1993-12-01,171.9
1994-01-01,172.6
