"Date","CUURX200SA0"
1996-12-01,100
1997-01-01,100
1997-02-01,100.2
1997-03-01,100.2
1997-04-01,100.3
1997-05-01,100.5
1997-06-01,100.7
1997-07-01,100.6
1997-08-01,100.9
1997-09-01,101.2
1997-10-01,101.3
1997-11-01,101.3
1997-12-01,101
1998-01-01,101.2
1998-02-01,101.6
1998-03-01,101.6
1998-04-01,101.9
1998-05-01,102.3
1998-06-01,102.2
1998-07-01,102.2
1998-08-01,102
1998-09-01,102.2
1998-10-01,102.4
1998-11-01,102.4
1998-12-01,102.3
1999-01-01,102.6
1999-02-01,102.6
1999-03-01,103
1999-04-01,103.7
1999-05-01,103.7
1999-06-01,103.7
1999-07-01,103.9
1999-08-01,104.2
1999-09-01,105.1
1999-10-01,105
1999-11-01,105.6
1999-12-01,105.3
2000-01-01,105.6
2000-02-01,106.1
2000-03-01,106.9
2000-04-01,106.9
2000-05-01,107
2000-06-01,108.4
2000-07-01,107.7
2000-08-01,107.1
2000-09-01,108.6
2000-10-01,108.8
2000-11-01,108.9
2000-12-01,108.7
2001-01-01,109.6
2001-02-01,109.8
2001-03-01,109.7
2001-04-01,110.4
2001-05-01,111.6
2001-06-01,111.2
2001-07-01,110
2001-08-01,110.3
2001-09-01,111.6
2001-10-01,110
2001-11-01,110
2001-12-01,109.6
2002-01-01,109.5
2002-02-01,109.6
2002-03-01,110.2
2002-04-01,110.7
2002-05-01,110.8
2002-06-01,111.2
2002-07-01,111.3
2002-08-01,111.4
2002-09-01,111.5
2002-10-01,111.9
2002-11-01,111.7
2002-12-01,111.4
2003-01-01,112
2003-02-01,112.8
2003-03-01,113.6
2003-04-01,113.2
2003-05-01,113
2003-06-01,113.2
2003-07-01,113.1
2003-08-01,113.6
2003-09-01,113.9
2003-10-01,113.6
2003-11-01,113.6
2003-12-01,113.3
2004-01-01,114.1
2004-02-01,114.7
2004-03-01,115.2
2004-04-01,115.6
2004-05-01,116.4
2004-06-01,116.8
2004-07-01,116.3
2004-08-01,116.5
2004-09-01,116.8
2004-10-01,117.4
2004-11-01,117.7
2004-12-01,117.3
2005-01-01,117.3
2005-02-01,118.1
2005-03-01,118.7
2005-04-01,119.6
2005-05-01,119.3
2005-06-01,119.6
2005-07-01,120.2
2005-08-01,120.9
2005-09-01,123.1
2005-10-01,122.6
2005-11-01,121.3
2005-12-01,120.9
2006-01-01,121.6
2006-02-01,121.6
2006-03-01,122.3
2006-04-01,123.3
2006-05-01,123.7
2006-06-01,124
2006-07-01,124.1
2006-08-01,124.1
2006-09-01,123.2
2006-10-01,122.6
2006-11-01,123.1
2006-12-01,123
2007-01-01,122.861
2007-02-01,123.854
2007-03-01,125.151
2007-04-01,125.724
2007-05-01,127.247
2007-06-01,127.372
2007-07-01,127.111
2007-08-01,126.886
2007-09-01,127.504
2007-10-01,127.349
2007-11-01,128.392
2007-12-01,128.04
