"Date","CUUR0200SA0E"
1986-11-01,82.9
1986-12-01,83.2
1987-01-01,86
1987-02-01,86.2
1987-03-01,86
1987-04-01,87.2
1987-05-01,87.9
1987-06-01,94.2
1987-07-01,93.7
1987-08-01,96.3
1987-09-01,95.9
1987-10-01,90
1987-11-01,89.8
1987-12-01,88.8
1988-01-01,87
1988-02-01,86.8
1988-03-01,86.5
1988-04-01,87.8
1988-05-01,89.4
1988-06-01,92.9
1988-07-01,93
1988-08-01,94.5
1988-09-01,93.4
1988-10-01,89.8
1988-11-01,89.9
1988-12-01,90.2
1989-01-01,89.7
1989-02-01,90.3
1989-03-01,90.2
1989-04-01,96.1
1989-05-01,97.9
1989-06-01,100.2
1989-07-01,99.4
1989-08-01,97.5
1989-09-01,97
1989-10-01,94.6
1989-11-01,93.1
1989-12-01,92.9
1990-01-01,98.4
1990-02-01,96.2
1990-03-01,94.2
1990-04-01,94.4
1990-05-01,94.4
1990-06-01,99.9
1990-07-01,98
1990-08-01,104
1990-09-01,108
1990-10-01,108.2
1990-11-01,107.5
1990-12-01,106
1991-01-01,103.7
1991-02-01,99.8
1991-03-01,97.3
1991-04-01,97.1
1991-05-01,100.7
1991-06-01,103
1991-07-01,101.1
1991-08-01,101.8
1991-09-01,101
1991-10-01,98.1
1991-11-01,98.7
1991-12-01,99
1992-01-01,96.5
1992-02-01,94.7
1992-03-01,95.1
1992-04-01,96.4
1992-05-01,99.5
1992-06-01,103.5
1992-07-01,101.8
1992-08-01,101.1
1992-09-01,102.8
1992-10-01,100.6
1992-11-01,101
1992-12-01,99.8
1993-01-01,99.2
1993-02-01,98.7
1993-03-01,98.4
1993-04-01,100.2
1993-05-01,102
1993-06-01,104.2
1993-07-01,102.6
1993-08-01,102.3
1993-09-01,102.3
1993-10-01,102.1
1993-11-01,98.6
1993-12-01,96.9
1994-01-01,96.5
1994-02-01,98
1994-03-01,97.7
1994-04-01,98.6
1994-05-01,98.7
1994-06-01,102.6
1994-07-01,103.7
1994-08-01,105.9
1994-09-01,104.7
1994-10-01,99.4
1994-11-01,100.6
1994-12-01,99.3
1995-01-01,99
1995-02-01,98.2
1995-03-01,97.6
1995-04-01,100.1
1995-05-01,102.4
1995-06-01,106
1995-07-01,103.4
1995-08-01,101.9
1995-09-01,101.9
1995-10-01,98.4
1995-11-01,97.2
1995-12-01,98.4
1996-01-01,100.5
1996-02-01,100.9
1996-03-01,103.6
1996-04-01,106.6
1996-05-01,108.9
1996-06-01,110.1
1996-07-01,109.5
1996-08-01,108.2
1996-09-01,109.3
1996-10-01,107.8
1996-11-01,110.5
1996-12-01,112.3
1997-01-01,113.3
1997-02-01,111.3
1997-03-01,107.1
1997-04-01,105
1997-05-01,105.8
1997-06-01,109.7
1997-07-01,108.5
1997-08-01,110.2
1997-09-01,110.4
1997-10-01,106.7
1997-11-01,106.6
1997-12-01,104.9
1998-01-01,102.2
1998-02-01,101
1998-03-01,100.6
1998-04-01,101
1998-05-01,103.6
1998-06-01,105.2
1998-07-01,105.1
1998-08-01,101.8
1998-09-01,101.3
1998-10-01,99
1998-11-01,98
1998-12-01,95.3
1999-01-01,95.6
1999-02-01,94.4
1999-03-01,96.1
1999-04-01,101.5
1999-05-01,102.6
1999-06-01,105
1999-07-01,107.6
1999-08-01,109.8
1999-09-01,113.3
1999-10-01,108.8
1999-11-01,110.4
1999-12-01,110.6
2000-01-01,111.9
2000-02-01,116.1
2000-03-01,120.6
2000-04-01,116.2
2000-05-01,120
2000-06-01,138.5
2000-07-01,129.2
2000-08-01,121.8
2000-09-01,131.3
2000-10-01,128.7
2000-11-01,129.4
2000-12-01,128.1
2001-01-01,138.4
2001-02-01,134.3
2001-03-01,127.7
2001-04-01,133.9
2001-05-01,145
2001-06-01,140.1
2001-07-01,125.3
2001-08-01,127
2001-09-01,134.9
2001-10-01,114.4
2001-11-01,109.4
2001-12-01,106.6
2002-01-01,108.1
2002-02-01,106.8
2002-03-01,112.2
2002-04-01,118.8
2002-05-01,119.2
2002-06-01,123
2002-07-01,124.4
2002-08-01,124
2002-09-01,125
2002-10-01,124.5
2002-11-01,123.3
2002-12-01,119
2003-01-01,125.3
2003-02-01,134.8
2003-03-01,141.1
2003-04-01,132.2
2003-05-01,130.1
2003-06-01,138.4
2003-07-01,137.6
2003-08-01,142.3
2003-09-01,143.6
2003-10-01,134.3
2003-11-01,131.4
2003-12-01,129.1
2004-01-01,137.7
2004-02-01,140
2004-03-01,140.7
2004-04-01,144.4
2004-05-01,153.8
2004-06-01,158.2
2004-07-01,156.1
2004-08-01,155.9
2004-09-01,153.5
2004-10-01,155.8
2004-11-01,156.2
2004-12-01,151.2
2005-01-01,150.8
2005-02-01,153.8
2005-03-01,158.7
2005-04-01,169.1
2005-05-01,165.7
2005-06-01,170.4
2005-07-01,177.9
2005-08-01,187.7
2005-09-01,207.5
2005-10-01,200.6
2005-11-01,183.4
2005-12-01,180.8
2006-01-01,188.7
2006-02-01,183.2
2006-03-01,187.5
2006-04-01,196.5
2006-05-01,200.8
2006-06-01,204.9
2006-07-01,211.3
2006-08-01,209.7
2006-09-01,189.8
2006-10-01,170.6
2006-11-01,174.1
2006-12-01,178.6
2007-01-01,176.615
2007-02-01,181.914
2007-03-01,192.406
2007-04-01,202.423
2007-05-01,220.437
2007-06-01,221.159
2007-07-01,217.608
2007-08-01,208.9
2007-09-01,212.38
2007-10-01,201.972
2007-11-01,214.418
2007-12-01,209.852
2008-01-01,212.642
2008-02-01,213.686
2008-03-01,224.367
2008-04-01,236.112
2008-05-01,254.281
2008-06-01,271.353
2008-07-01,277.788
2008-08-01,262.842
2008-09-01,257.484
2008-10-01,221.927
2008-11-01,181.411
2008-12-01,165.258
2009-01-01,172.22
2009-02-01,171.823
2009-03-01,171.311
2009-04-01,170.433
2009-05-01,179.657
2009-06-01,200.921
2009-07-01,193.888
2009-08-01,197.898
2009-09-01,192.324
2009-10-01,189.146
2009-11-01,196.306
2009-12-01,193.179
2010-01-01,203.016
2010-02-01,197.774
2010-03-01,203.507
2010-04-01,205.939
2010-05-01,206.842
2010-06-01,207.908
2010-07-01,210.62
2010-08-01,209.539
2010-09-01,208.765
2010-10-01,205.007
2010-11-01,206.642
2010-12-01,212.222
2011-01-01,217.597
2011-02-01,220.209
2011-03-01,234.516
2011-04-01,247.582
2011-05-01,257.011
2011-06-01,252.851
2011-07-01,251.234
2011-08-01,249.436
2011-09-01,247.998
2011-10-01,230.575
2011-11-01,229.526
2011-12-01,224.764
2012-01-01,230.171
2012-02-01,231.722
2012-03-01,247.13
2012-04-01,246.56
2012-05-01,240.262
2012-06-01,238.223
2012-07-01,236.473
2012-08-01,249.651
2012-09-01,253.53
2012-10-01,240.05
2012-11-01,230.034
2012-12-01,225.47
2013-01-01,224.054
2013-02-01,241.945
2013-03-01,243.045
2013-04-01,239.379
2013-05-01,249.121
2013-06-01,254.901
2013-07-01,244.857
2013-08-01,243.856
2013-09-01,242.78
2013-10-01,228.893
2013-11-01,222.913
2013-12-01,222.083
2014-01-01,229.581
2014-02-01,234.602
2014-03-01,248.57
2014-04-01,249.886
2014-05-01,249.225
2014-06-01,258.829
2014-07-01,252.339
2014-08-01,245.707
2014-09-01,243.217
2014-10-01,227.634
2014-11-01,216.469
2014-12-01,202.495
2015-01-01,182.372
2015-02-01,189.377
2015-03-01,196.429
2015-04-01,194.29
2015-05-01,202.549
2015-06-01,214.413
2015-07-01,212.965
2015-08-01,210.174
2015-09-01,196.4
2015-10-01,192.789
2015-11-01,183.519
2015-12-01,172.607
2016-01-01,169.831
2016-02-01,161.307
2016-03-01,173.728
2016-04-01,178.323
2016-05-01,186.465
2016-06-01,198.523
2016-07-01,190.806
2016-08-01,191.216
2016-09-01,191.573
2016-10-01,187.192
2016-11-01,181.718
2016-12-01,186.581
2017-01-01,194.261
2017-02-01,189.806
2017-03-01,190.872
2017-04-01,195.496
2017-05-01,194.062
2017-06-01,198.416
2017-07-01,197.405
2017-08-01,201.139
2017-09-01,205.385
2017-10-01,196.531
2017-11-01,204.945
2017-12-01,197.85
2018-01-01,203.251
2018-02-01,202.097
2018-03-01,200.936
2018-04-01,205.87
2018-05-01,216.074
2018-06-01,219.215
2018-07-01,217.576
2018-08-01,217.425
2018-09-01,217.523
2018-10-01,212.364
2018-11-01,197.513
2018-12-01,188.207
2019-01-01,182.886
2019-02-01,189.411
2019-03-01,200.004
2019-04-01,209.577
2019-05-01,212.344
2019-06-01,210.885
2019-07-01,213.389
2019-08-01,208.437
2019-09-01,204.625
2019-10-01,201.417
2019-11-01,197.989
2019-12-01,198.773
2020-01-01,198.499
2020-02-01,194.298
2020-03-01,181.24
2020-04-01,159.976
2020-05-01,170.732
2020-06-01,183.717
2020-07-01,186.542
2020-08-01,186.154
2020-09-01,187.227
2020-10-01,182.841
2020-11-01,179.638
2020-12-01,184.125
2021-01-01,192.598
2021-02-01,201.571
2021-03-01,212.902
2021-04-01,217.17
2021-05-01,223.383
2021-06-01,232.432
2021-07-01,236.105
2021-08-01,236.32
2021-09-01,238.393
2021-10-01,243.658
2021-11-01,245.627
2021-12-01,240.486
2022-01-01,240.746
2022-02-01,250.795
2022-03-01,275.376
2022-04-01,275.275
2022-05-01,298.959
2022-06-01,333.543
2022-07-01,314.399
2022-08-01,290.436
2022-09-01,285.462
2022-10-01,283.218
2022-11-01,272.717
2022-12-01,253.118
2023-01-01,260.465
2023-02-01,257.853
2023-03-01,257.197
2023-04-01,263.178
2023-05-01,260.06
2023-06-01,265.945
2023-07-01,262.385
2023-08-01,271.18
2023-09-01,268.255
2023-10-01,254.858
2023-11-01,248.681
