"Date","CUUR0200SA0E"
1977-12-01,50.5
1978-01-01,50.5
1978-02-01,50.8
1978-03-01,51.3
1978-04-01,52
1978-05-01,52.8
1978-06-01,53.4
1978-07-01,53.3
1978-08-01,53.6
1978-09-01,53.9
1978-10-01,54.3
1978-11-01,54.6
1978-12-01,55.3
1979-01-01,56.3
1979-02-01,57.1
1979-03-01,58.7
1979-04-01,60.5
1979-05-01,63.1
1979-06-01,66.3
1979-07-01,68.8
1979-08-01,71.1
1979-09-01,73
1979-10-01,73.3
1979-11-01,73.4
1979-12-01,75.1
1980-01-01,78.2
1980-02-01,81.2
1980-03-01,83.4
1980-04-01,84.3
1980-05-01,85
1980-06-01,86.2
1980-07-01,86.6
1980-08-01,86.7
1980-09-01,86.7
1980-10-01,86
1980-11-01,85.9
1980-12-01,86.7
1981-01-01,89.1
1981-02-01,93.4
1981-03-01,95.3
1981-04-01,94.8
1981-05-01,94.3
1981-06-01,95.3
1981-07-01,96.2
1981-08-01,96.5
1981-09-01,97.1
1981-10-01,96.5
1981-11-01,96
1981-12-01,96
1982-01-01,96
1982-02-01,95.2
1982-03-01,94.1
1982-04-01,91.6
1982-05-01,93.7
1982-06-01,99.2
1982-07-01,100.3
1982-08-01,99.8
1982-09-01,99.8
1982-10-01,99.6
1982-11-01,100
1982-12-01,99.8
1983-01-01,98.6
1983-02-01,96.8
1983-03-01,95.9
1983-04-01,99.3
1983-05-01,101.4
1983-06-01,103.4
1983-07-01,104
1983-08-01,103.9
1983-09-01,103.8
1983-10-01,102.2
1983-11-01,101.4
1983-12-01,100.7
1984-01-01,100.1
1984-02-01,100.1
1984-03-01,100.2
1984-04-01,100.7
1984-05-01,101.1
1984-06-01,102.6
1984-07-01,103.6
1984-08-01,103.6
1984-09-01,104.2
1984-10-01,102.5
1984-11-01,100.5
1984-12-01,100.1
1985-01-01,99.1
1985-02-01,98.3
1985-03-01,99.8
1985-04-01,101.8
1985-05-01,102.8
1985-06-01,106.6
1985-07-01,106.6
1985-08-01,105.6
1985-09-01,105.5
1985-10-01,101.6
1985-11-01,102.2
1985-12-01,102.5
1986-01-01,101.4
1986-02-01,95.9
1986-03-01,88.9
1986-04-01,85.5
1986-05-01,88.8
1986-06-01,93.9
1986-07-01,89
1986-08-01,88.6
1986-09-01,88.8
1986-10-01,84
