"Date","CWUR0000SAF115"
1967-01-01,29.2
1967-02-01,29.2
1967-03-01,29.1
1967-04-01,29.1
1967-05-01,29.1
1967-06-01,29.1
1967-07-01,29.1
1967-08-01,29.2
1967-09-01,29.3
1967-10-01,29.3
1967-11-01,29.3
1967-12-01,29.3
1968-01-01,29.4
1968-02-01,29.4
1968-03-01,29.5
1968-04-01,29.5
1968-05-01,29.6
1968-06-01,29.7
1968-07-01,29.7
1968-08-01,29.8
1968-09-01,29.9
1968-10-01,30
1968-11-01,30
1968-12-01,30.1
1969-01-01,30.2
1969-02-01,30.2
1969-03-01,30.3
1969-04-01,30.4
1969-05-01,30.5
1969-06-01,30.6
1969-07-01,30.6
1969-08-01,30.7
1969-09-01,30.7
1969-10-01,30.8
1969-11-01,31.1
1969-12-01,31.3
1970-01-01,31.5
1970-02-01,31.8
1970-03-01,32.1
1970-04-01,32.4
1970-05-01,32.7
1970-06-01,32.8
1970-07-01,33
1970-08-01,33.1
1970-09-01,33.3
1970-10-01,33.5
1970-11-01,33.6
1970-12-01,33.7
1971-01-01,33.9
1971-02-01,34
1971-03-01,34
1971-04-01,34.1
1971-05-01,34.2
1971-06-01,34.3
1971-07-01,34.3
1971-08-01,34.4
1971-09-01,34.4
1971-10-01,34.4
1971-11-01,34.4
1971-12-01,34.4
1972-01-01,34.3
1972-02-01,34.4
1972-03-01,34.5
1972-04-01,34.6
1972-05-01,34.6
1972-06-01,34.4
1972-07-01,34.3
1972-08-01,34.4
1972-09-01,34.5
1972-10-01,34.7
1972-11-01,34.7
1972-12-01,34.7
1973-01-01,34.8
1973-02-01,35.1
1973-03-01,35.4
1973-04-01,35.6
1973-05-01,36
1973-06-01,36.4
1973-07-01,36.5
1973-08-01,36.6
1973-09-01,37.2
1973-10-01,38.1
1973-11-01,38.8
1973-12-01,39.3
1974-01-01,39.8
1974-02-01,41.1
1974-03-01,42.7
1974-04-01,43.9
1974-05-01,45
1974-06-01,46.4
1974-07-01,47.7
1974-08-01,49.6
1974-09-01,51.5
1974-10-01,52.9
1974-11-01,54.6
1974-12-01,56.9
1975-01-01,57.5
1975-02-01,57.4
1975-03-01,57.3
1975-04-01,56.4
1975-05-01,55.2
1975-06-01,54.2
1975-07-01,53.5
1975-08-01,53.8
1975-09-01,54.2
1975-10-01,54.5
1975-11-01,54.5
1975-12-01,54.8
1976-01-01,54.7
1976-02-01,54.6
1976-03-01,54.5
1976-04-01,54.9
1976-05-01,55.2
1976-06-01,55.7
1976-07-01,56.3
1976-08-01,56.9
1976-09-01,57.3
1976-10-01,57.8
1976-11-01,58.5
1976-12-01,59.5
1977-01-01,60.6
1977-02-01,62.5
1977-03-01,63.9
1977-04-01,66.6
1977-05-01,69
1977-06-01,70.8
1977-07-01,70.9
1977-08-01,71
1977-09-01,71.1
1977-10-01,71
1977-11-01,70.7
1977-12-01,70.6
1978-01-01,71.3
1978-02-01,71.8
1978-03-01,72.3
1978-04-01,72.8
1978-05-01,73.1
1978-06-01,73.5
1978-07-01,73.8
1978-08-01,74
1978-09-01,74.1
1978-10-01,74.4
1978-11-01,74.6
1978-12-01,75
1979-01-01,75.8
1979-02-01,76.4
1979-03-01,76.6
1979-04-01,77
1979-05-01,77.5
1979-06-01,77.8
1979-07-01,78.5
1979-08-01,79.4
1979-09-01,80.3
1979-10-01,80.8
1979-11-01,81.3
1979-12-01,81.8
1980-01-01,82.6
1980-02-01,83.9
1980-03-01,85
1980-04-01,86.1
1980-05-01,87.1
1980-06-01,88.1
1980-07-01,88.7
1980-08-01,89.8
1980-09-01,90.3
1980-10-01,91.1
1980-11-01,92.2
1980-12-01,92.9
1981-01-01,93.7
1981-02-01,94.5
1981-03-01,95
1981-04-01,95.1
1981-05-01,94.9
1981-06-01,94.8
1981-07-01,94.7
1981-08-01,95.3
1981-09-01,95.3
1981-10-01,95.6
1981-11-01,95.5
1981-12-01,95.4
1982-01-01,96.3
1982-02-01,96.9
1982-03-01,97.2
1982-04-01,97.2
1982-05-01,97.4
1982-06-01,97.4
1982-07-01,97.3
1982-08-01,97.6
1982-09-01,97.7
1982-10-01,98.1
1982-11-01,97.9
1982-12-01,97.8
1983-01-01,98.7
1983-02-01,99.1
1983-03-01,99.3
1983-04-01,99.3
1983-05-01,99.3
1983-06-01,99.2
1983-07-01,99.1
1983-08-01,99.3
1983-09-01,99.8
1983-10-01,100.4
1983-11-01,100.6
1983-12-01,100.6
1984-01-01,101.5
1984-02-01,102
1984-03-01,102.3
1984-04-01,102.7
1984-05-01,102.6
1984-06-01,103
1984-07-01,103.3
1984-08-01,103.5
1984-09-01,103.8
1984-10-01,104.2
1984-11-01,103.8
1984-12-01,103.7
1985-01-01,104.7
1985-02-01,105.2
1985-03-01,105.5
1985-04-01,105.6
1985-05-01,105.7
1985-06-01,105.6
1985-07-01,105.5
1985-08-01,105.8
1985-09-01,106
1985-10-01,106.2
1985-11-01,105.9
1985-12-01,105.7
1986-01-01,107
1986-02-01,109.6
1986-03-01,109.7
1986-04-01,109.9
1986-05-01,109.4
1986-06-01,109.2
1986-07-01,109.1
1986-08-01,109.2
1986-09-01,109.1
1986-10-01,109.4
1986-11-01,109.2
1986-12-01,108.8
1987-01-01,110.7
1987-02-01,111
1987-03-01,110.7
1987-04-01,110.4
1987-05-01,110.4
1987-06-01,110.1
1987-07-01,109.9
1987-08-01,110.3
1987-09-01,110.2
1987-10-01,110.5
1987-11-01,110.1
1987-12-01,109.8
1988-01-01,111.3
1988-02-01,111.7
1988-03-01,111.9
1988-04-01,112
1988-05-01,112.2
1988-06-01,112.3
1988-07-01,113
1988-08-01,113.5
1988-09-01,113.9
1988-10-01,114.7
1988-11-01,114.8
1988-12-01,115.1
1989-01-01,116.5
1989-02-01,117.7
1989-03-01,118
1989-04-01,118.9
1989-05-01,118.8
1989-06-01,119
1989-07-01,119.6
1989-08-01,119.6
1989-09-01,119.6
1989-10-01,120.2
1989-11-01,119.8
1989-12-01,120.1
1990-01-01,121.3
1990-02-01,121.8
1990-03-01,122.2
1990-04-01,122.1
1990-05-01,122.6
1990-06-01,123.1
1990-07-01,123.5
1990-08-01,124.2
1990-09-01,124.4
1990-10-01,125.2
1990-11-01,124.9
1990-12-01,125.1
1991-01-01,126.9
1991-02-01,127.3
1991-03-01,127.1
1991-04-01,127.6
1991-05-01,127.3
1991-06-01,127.1
1991-07-01,127
1991-08-01,127.3
1991-09-01,127.2
1991-10-01,127.7
1991-11-01,126.9
1991-12-01,127
1992-01-01,128.6
1992-02-01,129.2
1992-03-01,128.9
1992-04-01,128.5
1992-05-01,128.8
1992-06-01,129.1
1992-07-01,128.6
1992-08-01,129
1992-09-01,129
1992-10-01,129.1
1992-11-01,128.2
1992-12-01,128.2
1993-01-01,129.4
1993-02-01,130.3
1993-03-01,130.2
1993-04-01,129.9
1993-05-01,130.5
1993-06-01,130.2
1993-07-01,130.5
1993-08-01,130.6
1993-09-01,130.3
1993-10-01,131.3
1993-11-01,131
1993-12-01,130.8
1994-01-01,132.2
1994-02-01,132.4
1994-03-01,132.5
1994-04-01,132.9
1994-05-01,132.7
1994-06-01,132.7
1994-07-01,135.4
1994-08-01,138.3
1994-09-01,138.8
1994-10-01,139
1994-11-01,138.5
1994-12-01,138.3
1995-01-01,139.7
1995-02-01,140.2
1995-03-01,140.3
1995-04-01,140.4
1995-05-01,140.4
1995-06-01,140.2
1995-07-01,140.3
1995-08-01,140.8
1995-09-01,140.7
1995-10-01,140.8
1995-11-01,140.1
1995-12-01,140.1
1996-01-01,141.4
1996-02-01,141.5
1996-03-01,142.1
1996-04-01,142.4
1996-05-01,142.5
1996-06-01,142.5
1996-07-01,142.6
1996-08-01,142.8
1996-09-01,143.2
1996-10-01,143.5
1996-11-01,143
1996-12-01,143.2
1997-01-01,144.4
1997-02-01,145
1997-03-01,145.1
1997-04-01,146.4
1997-05-01,146.6
1997-06-01,147.2
1997-07-01,147.9
1997-08-01,148
1997-09-01,148.2
1997-10-01,148.4
1997-11-01,147
1997-12-01,147.1
1998-01-01,148.1
1998-02-01,148.5
1998-03-01,148.9
1998-04-01,148.9
1998-05-01,148.7
1998-06-01,149.8
1998-07-01,150.5
1998-08-01,151.5
1998-09-01,151.7
1998-10-01,151.9
1998-11-01,152
1998-12-01,151.7
1999-01-01,152.4
1999-02-01,152.6
1999-03-01,152.3
1999-04-01,153
1999-05-01,152.6
1999-06-01,152.8
1999-07-01,153
1999-08-01,153.5
1999-09-01,153.3
1999-10-01,152.9
1999-11-01,152.3
1999-12-01,152.7
2000-01-01,153.7
2000-02-01,153.8
2000-03-01,154.5
2000-04-01,153.4
2000-05-01,154.9
2000-06-01,155.6
2000-07-01,156
2000-08-01,156.2
2000-09-01,156.1
2000-10-01,155.3
2000-11-01,155.4
2000-12-01,155.8
2001-01-01,157.3
2001-02-01,157.3
2001-03-01,158.2
2001-04-01,157.1
2001-05-01,159.1
2001-06-01,159.1
2001-07-01,160
2001-08-01,160.5
2001-09-01,159.8
2001-10-01,160.4
2001-11-01,159.7
2001-12-01,160.5
2002-01-01,161
2002-02-01,160.1
2002-03-01,159.6
2002-04-01,161
2002-05-01,159.7
2002-06-01,160.4
2002-07-01,160.5
2002-08-01,160.1
2002-09-01,160.3
2002-10-01,160.3
2002-11-01,160.7
2002-12-01,160.6
2003-01-01,161.3
2003-02-01,161.9
2003-03-01,162.1
2003-04-01,161.7
2003-05-01,161.7
2003-06-01,163
2003-07-01,162.3
2003-08-01,162.6
2003-09-01,162.8
2003-10-01,162.5
2003-11-01,161.6
2003-12-01,162.5
2004-01-01,162.3
2004-02-01,163.3
2004-03-01,164.7
2004-04-01,164.6
2004-05-01,165.1
2004-06-01,165.5
2004-07-01,165.6
2004-08-01,165.8
2004-09-01,164.8
2004-10-01,165
2004-11-01,163.8
2004-12-01,163.2
2005-01-01,165.3
2005-02-01,165
2005-03-01,165.3
2005-04-01,167
2005-05-01,165.8
2005-06-01,166.3
2005-07-01,167
2005-08-01,167.1
2005-09-01,167.1
2005-10-01,167.7
2005-11-01,166.9
2005-12-01,167.1
2006-01-01,168.5
2006-02-01,168.7
2006-03-01,168.7
2006-04-01,168.2
2006-05-01,169.4
2006-06-01,169.5
2006-07-01,170.4
2006-08-01,170
2006-09-01,169.3
2006-10-01,169.5
2006-11-01,168.7
2006-12-01,168.1
2007-01-01,170.242
2007-02-01,170.861
2007-03-01,171.183
2007-04-01,171.898
2007-05-01,172.024
2007-06-01,173.049
2007-07-01,173.727
2007-08-01,173.997
2007-09-01,173.463
2007-10-01,174.215
2007-11-01,173.393
2007-12-01,173.511
2008-01-01,175.572
2008-02-01,177.442
2008-03-01,177.713
2008-04-01,181.215
2008-05-01,182.241
2008-06-01,183.342
2008-07-01,185.174
2008-08-01,186.458
2008-09-01,187.467
2008-10-01,188.806
2008-11-01,188.685
2008-12-01,189.527
2009-01-01,191.782
2009-02-01,191.62
2009-03-01,191.594
2009-04-01,190.65
2009-05-01,190.401
2009-06-01,190.657
2009-07-01,190.235
2009-08-01,190.704
2009-09-01,189.892
2009-10-01,190.63
2009-11-01,188.868
2009-12-01,189.197
2010-01-01,190.354
2010-02-01,190.831
2010-03-01,190.232
2010-04-01,190.299
2010-05-01,190.643
2010-06-01,190.164
2010-07-01,190.675
2010-08-01,191.226
2010-09-01,190.318
2010-10-01,190.351
2010-11-01,189.265
2010-12-01,189.176
2011-01-01,190.656
2011-02-01,192.187
2011-03-01,193.787
2011-04-01,194.281
2011-05-01,195.396
2011-06-01,196.454
2011-07-01,197.389
2011-08-01,199.201
2011-09-01,199.519
2011-10-01,200.43
2011-11-01,199.146
2011-12-01,199.694
2012-01-01,201.995
2012-02-01,203.131
2012-03-01,203.721
2012-04-01,204.076
2012-05-01,204.838
2012-06-01,204.476
2012-07-01,204.782
2012-08-01,204.956
2012-09-01,204.435
2012-10-01,204.289
2012-11-01,203.705
2012-12-01,203.881
2013-01-01,204.632
2013-02-01,204.104
2013-03-01,204.551
2013-04-01,205.35
2013-05-01,204.764
2013-06-01,204.916
2013-07-01,205.025
2013-08-01,203.418
2013-09-01,203.06
2013-10-01,202.701
2013-11-01,202.656
2013-12-01,202.913
2014-01-01,203.768
2014-02-01,204.712
2014-03-01,204.601
2014-04-01,204.26
2014-05-01,205.006
2014-06-01,205.141
2014-07-01,206.547
2014-08-01,206.295
2014-09-01,206.474
2014-10-01,205.51
2014-11-01,205.169
2014-12-01,205.682
2015-01-01,206.154
2015-02-01,207.689
2015-03-01,207.366
2015-04-01,207.568
2015-05-01,208.066
2015-06-01,208.544
2015-07-01,208.997
2015-08-01,208.594
2015-09-01,209.37
2015-10-01,209.346
2015-11-01,207.961
2015-12-01,207.544
2016-01-01,207.672
2016-02-01,208.279
2016-03-01,208.566
2016-04-01,209.747
2016-05-01,208.886
2016-06-01,209.094
2016-07-01,209.115
2016-08-01,208.463
2016-09-01,208.138
2016-10-01,207.718
2016-11-01,206.372
2016-12-01,207.004
2017-01-01,207.539
2017-02-01,207.559
2017-03-01,208.626
2017-04-01,209.196
2017-05-01,209.296
2017-06-01,208.755
2017-07-01,209.221
2017-08-01,208.584
2017-09-01,208.902
2017-10-01,208.059
2017-11-01,208.195
2017-12-01,208.048
2018-01-01,208.363
2018-02-01,208.759
2018-03-01,208.698
2018-04-01,209.242
2018-05-01,208.832
2018-06-01,208.924
2018-07-01,209.369
2018-08-01,208.757
2018-09-01,209.328
2018-10-01,208.948
2018-11-01,209.225
2018-12-01,208.509
2019-01-01,208.877
2019-02-01,209.942
2019-03-01,210.181
2019-04-01,209.86
2019-05-01,209.491
2019-06-01,210.792
2019-07-01,209.76
2019-08-01,209.872
2019-09-01,210.237
2019-10-01,210.519
2019-11-01,210.049
2019-12-01,209.297
2020-01-01,209.614
2020-02-01,212.113
2020-03-01,213.45
2020-04-01,218.166
2020-05-01,218.074
2020-06-01,218.223
2020-07-01,218.398
2020-08-01,218.451
2020-09-01,217.253
2020-10-01,217.642
2020-11-01,216.294
2020-12-01,217.437
2021-01-01,216.801
2021-02-01,218.189
2021-03-01,218.332
2021-04-01,219.186
2021-05-01,218.953
2021-06-01,219.479
