"Date","APUS35B74716"
1981-09-01,1.44
1981-10-01,1.43
1981-11-01,1.428
1981-12-01,1.427
1982-01-01,1.447
1982-02-01,1.442
1982-03-01,1.421
1982-04-01,1.367
1982-05-01,1.36
1982-06-01,1.384
1982-07-01,1.427
1982-08-01,1.437
1982-09-01,1.43
1982-10-01,1.443
1982-11-01,1.436
1982-12-01,1.429
1983-01-01,1.412
1983-02-01,1.378
1983-03-01,1.362
1983-04-01,1.394
1983-05-01,1.43
1983-06-01,1.443
1983-07-01,1.45
1983-08-01,1.375
1983-09-01,1.413
1983-10-01,1.397
1983-11-01,1.367
1983-12-01,1.354
1984-01-01,1.338
1984-02-01,1.341
1984-03-01,1.342
1984-04-01,1.35
1984-05-01,1.353
1984-06-01,1.353
1984-07-01,1.34
1984-08-01,1.33
1984-09-01,1.334
1984-10-01,1.335
1984-11-01,1.335
1984-12-01,1.319
1985-01-01,1.252
1985-02-01,1.243
1985-03-01,1.264
1985-04-01,1.308
1985-05-01,1.344
1985-06-01,1.348
1985-07-01,1.345
1985-08-01,1.341
1985-09-01,1.333
1985-10-01,1.324
1985-11-01,1.324
1985-12-01,1.328
1986-01-01,1.319
1986-02-01,1.271
1986-03-01,1.147
1986-04-01,1.008
1986-05-01,0.996
1986-06-01,1.017
1986-07-01,0.972
1986-08-01,0.951
1986-09-01,0.972
1986-10-01,0.958
1986-11-01,0.946
1986-12-01,0.958
1987-01-01,0.975
1987-02-01,1.026
1987-03-01,1.031
1987-04-01,1.06
1987-05-01,1.07
1987-06-01,1.093
1987-07-01,1.112
1987-08-01,1.151
1987-09-01,1.153
1987-10-01,1.133
1987-11-01,1.118
1987-12-01,1.118
1988-01-01,1.098
1988-02-01,1.083
1988-03-01,1.075
1988-04-01,1.071
1988-05-01,1.098
1988-06-01,1.108
1988-07-01,1.123
1988-08-01,1.093
1988-09-01,1.1
1988-10-01,1.109
1988-11-01,1.094
1988-12-01,1.095
1989-01-01,1.093
1989-02-01,1.091
1989-03-01,1.085
1989-04-01,1.125
1989-05-01,1.216
1989-06-01,1.226
1989-07-01,1.201
1989-08-01,1.168
1989-09-01,1.125
1989-10-01,1.116
1989-11-01,1.099
1989-12-01,1.094
1990-01-01,1.169
1990-02-01,1.187
1990-03-01,1.18
1990-04-01,1.188
1990-05-01,1.192
1990-06-01,1.208
1990-07-01,1.209
1990-08-01,1.263
1990-09-01,1.331
