"Date","APU0000FD2101"
2022-03-01,4.055
2022-04-01,3.924
2022-05-01,3.938
2022-06-01,4.117
2022-07-01,4.083
2022-08-01,4.213
2022-09-01,4.339
2022-10-01,4.437
2022-11-01,4.278
2022-12-01,4.048
2023-01-01,4.298
2023-02-01,4.37
2023-03-01,4.34
2023-04-01,4.21
2023-05-01,4.396
2023-06-01,4.444
2023-07-01,4.531
2023-08-01,4.569
2023-09-01,4.563
2023-10-01,4.662
2023-11-01,4.522
