"Date","CP0600USM086NEST"
2001-12-01,61.22
2002-01-01,62.57
2002-02-01,62.88
2002-03-01,63.09
2002-04-01,63.35
2002-05-01,63.54
2002-06-01,63.66
2002-07-01,64.07
2002-08-01,64.22
2002-09-01,64.3
2002-10-01,64.63
2002-11-01,64.91
2002-12-01,65.09
2003-01-01,65.37
2003-02-01,65.61
2003-03-01,65.73
2003-04-01,65.83
2003-05-01,66.02
2003-06-01,66.19
2003-07-01,66.48
2003-08-01,66.65
2003-09-01,66.83
2003-10-01,66.95
2003-11-01,67.13
2003-12-01,67.39
2004-01-01,67.7
2004-02-01,68.21
2004-03-01,68.52
2004-04-01,68.7
2004-05-01,68.82
2004-06-01,69.03
2004-07-01,69.24
2004-08-01,69.35
2004-09-01,69.48
2004-10-01,69.67
2004-11-01,69.82
2004-12-01,69.96
2005-01-01,70.34
2005-02-01,70.87
2005-03-01,71.14
2005-04-01,71.31
2005-05-01,71.47
2005-06-01,71.59
2005-07-01,71.86
2005-08-01,71.81
2005-09-01,71.95
2005-10-01,72.32
2005-11-01,72.73
2005-12-01,72.81
2006-01-01,73.04
2006-02-01,73.63
2006-03-01,73.99
2006-04-01,74.2
2006-05-01,74.39
2006-06-01,74.48
2006-07-01,74.69
2006-08-01,74.85
2006-09-01,74.96
2006-10-01,75.15
2006-11-01,75.28
2006-12-01,75.27
2007-01-01,75.98
2007-02-01,76.59
2007-03-01,76.71
2007-04-01,76.92
2007-05-01,77.08
2007-06-01,77.15
2007-07-01,77.59
2007-08-01,77.86
2007-09-01,78.03
2007-10-01,78.47
2007-11-01,78.81
2007-12-01,78.97
2008-01-01,79.61
2008-02-01,80.03
2008-03-01,80.25
2008-04-01,80.34
2008-05-01,80.42
2008-06-01,80.51
2008-07-01,80.63
2008-08-01,80.78
2008-09-01,80.92
2008-10-01,81.11
2008-11-01,81.37
2008-12-01,81.53
2009-01-01,82.16
2009-02-01,82.78
2009-03-01,83
2009-04-01,83.25
2009-05-01,83.46
2009-06-01,83.51
2009-07-01,83.68
2009-08-01,83.89
2009-09-01,84.2
2009-10-01,84.43
2009-11-01,84.69
2009-12-01,84.73
2010-01-01,85.47
2010-02-01,86.22
2010-03-01,86.54
2010-04-01,86.72
2010-05-01,86.78
2010-06-01,86.92
2010-07-01,86.9
2010-08-01,87.07
2010-09-01,87.58
2010-10-01,87.76
2010-11-01,87.89
2010-12-01,88
2011-01-01,88.46
2011-02-01,89.21
2011-03-01,89.41
2011-04-01,89.67
2011-05-01,89.79
2011-06-01,89.82
2011-07-01,89.98
2011-08-01,90.1
2011-09-01,90.22
2011-10-01,90.56
2011-11-01,90.8
2011-12-01,90.9
2012-01-01,91.35
2012-02-01,91.8
2012-03-01,91.94
2012-04-01,92.09
2012-05-01,92.31
2012-06-01,92.63
2012-07-01,92.9
2012-08-01,92.95
2012-09-01,93.12
2012-10-01,93.19
2012-11-01,93.24
2012-12-01,93.24
2013-01-01,93.69
2013-02-01,94.24
2013-03-01,94.45
2013-04-01,94.39
2013-05-01,94.17
2013-06-01,94.48
2013-07-01,94.62
2013-08-01,95.06
2013-09-01,95.34
2013-10-01,95.39
2013-11-01,95.35
2013-12-01,95.23
2014-01-01,95.84
2014-02-01,96.58
2014-03-01,96.75
2014-04-01,96.93
2014-05-01,97.15
2014-06-01,97.3
2014-07-01,97.46
2014-08-01,97.45
2014-09-01,97.66
2014-10-01,97.77
2014-11-01,98.11
2014-12-01,98.42
2015-01-01,98.71
2015-02-01,99.14
2015-03-01,99.43
2015-04-01,100
2015-05-01,100.13
2015-06-01,99.93
2015-07-01,100.05
2015-08-01,100.01
2015-09-01,100.13
2015-10-01,100.69
2015-11-01,100.94
2015-12-01,100.83
2016-01-01,101.47
2016-02-01,102.34
2016-03-01,102.36
2016-04-01,102.66
2016-05-01,102.9
2016-06-01,103.06
2016-07-01,103.49
2016-08-01,104.4
2016-09-01,104.61
2016-10-01,104.64
2016-11-01,104.69
2016-12-01,104.73
2017-01-01,105.26
2017-02-01,105.91
2017-03-01,105.94
2017-04-01,105.72
2017-05-01,105.73
2017-06-01,105.93
2017-07-01,106.35
2017-08-01,106.53
2017-09-01,106.46
2017-10-01,106.62
2017-11-01,106.68
2017-12-01,106.85
2018-01-01,107.6
2018-02-01,108.04
2018-03-01,108.32
2018-04-01,108.35
2018-05-01,108.56
2018-06-01,108.84
2018-07-01,108.65
2018-08-01,108.43
2018-09-01,108.38
2018-10-01,108.35
2018-11-01,108.55
2018-12-01,108.49
2019-01-01,108.94
2019-02-01,108.99
2019-03-01,109.05
2019-04-01,109.07
2019-05-01,109.23
2019-06-01,109.17
2019-07-01,109.42
2019-08-01,109.91
2019-09-01,109.8
2019-10-01,110.58
2019-11-01,110.68
2019-12-01,110.96
2020-01-01,111.29
2020-02-01,111.49
2020-03-01,111.67
2020-04-01,111.85
2020-05-01,112.19
2020-06-01,112.39
2020-07-01,112.68
2020-08-01,112.66
2020-09-01,112.74
2020-10-01,112.48
2020-11-01,112.44
2020-12-01,112.37
2021-01-01,113.24
2021-02-01,113.83
2021-03-01,114.09
2021-04-01,114.19
2021-05-01,114.21
2021-06-01,114.14
2021-07-01,114.55
2021-08-01,114.92
2021-09-01,114.97
2021-10-01,115.33
2021-11-01,115.37
2021-12-01,115.39
2022-01-01,116.28
2022-02-01,116.48
2022-03-01,116.84
2022-04-01,116.99
2022-05-01,117.21
2022-06-01,117.71
2022-07-01,118.06
2022-08-01,118.66
2022-09-01,119.06
2022-10-01,119.09
2022-11-01,118.92
2022-12-01,119.42
2023-01-01,119.56
2023-02-01,119.54
2023-03-01,119.56
2023-04-01,119.85
2023-05-01,120.41
2023-06-01,120.86
2023-07-01,121.03
2023-08-01,121.68
2023-09-01,122.34
2023-10-01,122.42
