"Date","CUURA214SAS"
1966-12-01,29
1967-01-01,NA
1967-02-01,NA
1967-03-01,29.5
1967-04-01,NA
1967-05-01,NA
1967-06-01,29.5
1967-07-01,NA
1967-08-01,NA
1967-09-01,29.8
1967-10-01,NA
1967-11-01,NA
1967-12-01,30.1
1968-01-01,NA
1968-02-01,NA
1968-03-01,30.8
1968-04-01,NA
1968-05-01,NA
1968-06-01,31.3
1968-07-01,NA
1968-08-01,NA
1968-09-01,31.6
1968-10-01,NA
1968-11-01,NA
1968-12-01,31.9
1969-01-01,NA
1969-02-01,NA
1969-03-01,32.5
1969-04-01,NA
1969-05-01,NA
1969-06-01,33.1
1969-07-01,NA
1969-08-01,NA
1969-09-01,33.5
1969-10-01,NA
1969-11-01,NA
1969-12-01,33.8
1970-01-01,NA
1970-02-01,NA
1970-03-01,35.1
1970-04-01,NA
1970-05-01,NA
1970-06-01,36.1
1970-07-01,NA
1970-08-01,NA
1970-09-01,36.6
1970-10-01,NA
1970-11-01,NA
1970-12-01,37
1971-01-01,NA
1971-02-01,NA
1971-03-01,37.2
1971-04-01,NA
1971-05-01,NA
1971-06-01,37.5
1971-07-01,NA
1971-08-01,NA
1971-09-01,38
1971-10-01,NA
1971-11-01,NA
1971-12-01,38.1
1972-01-01,NA
1972-02-01,NA
1972-03-01,38.3
1972-04-01,NA
1972-05-01,NA
1972-06-01,38.7
1972-07-01,NA
1972-08-01,NA
1972-09-01,39
1972-10-01,NA
1972-11-01,NA
1972-12-01,38.9
1973-01-01,NA
1973-02-01,NA
1973-03-01,39.2
1973-04-01,NA
1973-05-01,NA
1973-06-01,39.5
1973-07-01,NA
1973-08-01,NA
1973-09-01,40.1
1973-10-01,NA
1973-11-01,NA
1973-12-01,40.7
1974-01-01,NA
1974-02-01,NA
1974-03-01,41.4
1974-04-01,NA
1974-05-01,NA
1974-06-01,42.7
1974-07-01,NA
1974-08-01,NA
1974-09-01,44
1974-10-01,NA
1974-11-01,NA
1974-12-01,45.3
1975-01-01,NA
1975-02-01,NA
1975-03-01,46.2
1975-04-01,NA
1975-05-01,NA
1975-06-01,46.7
1975-07-01,NA
1975-08-01,NA
1975-09-01,47.4
1975-10-01,NA
1975-11-01,NA
1975-12-01,48.8
1976-01-01,NA
1976-02-01,NA
1976-03-01,49.6
1976-04-01,NA
1976-05-01,NA
1976-06-01,50.6
1976-07-01,NA
1976-08-01,NA
1976-09-01,51.3
1976-10-01,NA
1976-11-01,NA
1976-12-01,52.5
1977-01-01,NA
1977-02-01,NA
1977-03-01,53.8
1977-04-01,NA
1977-05-01,NA
1977-06-01,55
1977-07-01,NA
1977-08-01,NA
1977-09-01,55.8
1977-10-01,NA
1977-11-01,NA
1977-12-01,56.8
1978-01-01,NA
1978-02-01,57.3
1978-03-01,NA
1978-04-01,58.8
1978-05-01,NA
1978-06-01,59.9
1978-07-01,NA
1978-08-01,60.6
1978-09-01,NA
1978-10-01,61.9
1978-11-01,NA
1978-12-01,62.2
1979-01-01,NA
1979-02-01,64
1979-03-01,NA
1979-04-01,66.3
1979-05-01,NA
1979-06-01,69.3
1979-07-01,NA
1979-08-01,70.8
1979-09-01,NA
1979-10-01,72.7
1979-11-01,NA
1979-12-01,74.2
1980-01-01,NA
1980-02-01,75.6
1980-03-01,NA
1980-04-01,78.1
1980-05-01,NA
1980-06-01,80.7
1980-07-01,NA
1980-08-01,80.7
1980-09-01,NA
1980-10-01,81.9
1980-11-01,NA
1980-12-01,83.6
1981-01-01,NA
1981-02-01,84.2
1981-03-01,NA
1981-04-01,86.1
1981-05-01,NA
1981-06-01,89.1
1981-07-01,NA
1981-08-01,89.3
1981-09-01,NA
1981-10-01,89.7
1981-11-01,NA
1981-12-01,90.2
1982-01-01,NA
1982-02-01,92.4
1982-03-01,NA
1982-04-01,91.7
1982-05-01,NA
1982-06-01,94.6
1982-07-01,NA
1982-08-01,96
1982-09-01,NA
1982-10-01,96.7
1982-11-01,NA
1982-12-01,97.3
1983-01-01,NA
1983-02-01,98.8
1983-03-01,NA
1983-04-01,99.6
1983-05-01,NA
1983-06-01,99.5
1983-07-01,NA
1983-08-01,101.7
1983-09-01,NA
1983-10-01,101.8
1983-11-01,NA
1983-12-01,102.2
1984-01-01,NA
1984-02-01,103.5
1984-03-01,NA
1984-04-01,103.8
1984-05-01,NA
1984-06-01,105.6
1984-07-01,NA
1984-08-01,105.7
1984-09-01,NA
1984-10-01,106.4
1984-11-01,NA
1984-12-01,106.8
1985-01-01,NA
1985-02-01,107.3
1985-03-01,NA
1985-04-01,108.2
1985-05-01,NA
1985-06-01,109.2
1985-07-01,NA
1985-08-01,109.5
1985-09-01,NA
1985-10-01,110.5
1985-11-01,NA
1985-12-01,109.5
1986-01-01,NA
1986-02-01,110.1
1986-03-01,NA
1986-04-01,111.3
1986-05-01,NA
1986-06-01,111.6
1986-07-01,NA
1986-08-01,113.5
1986-09-01,NA
1986-10-01,113.2
1986-11-01,NA
1986-12-01,114.2
