"Date","CUSR0000SA0L5"
1957-01-01,28.3
1957-02-01,28.5
1957-03-01,28.5
1957-04-01,28.5
1957-05-01,28.7
1957-06-01,28.7
1957-07-01,28.8
1957-08-01,28.9
1957-09-01,29
1957-10-01,29
1957-11-01,29
1957-12-01,29.1
1958-01-01,29.3
1958-02-01,29.4
1958-03-01,29.5
1958-04-01,29.6
1958-05-01,29.6
1958-06-01,29.6
1958-07-01,29.6
1958-08-01,29.6
1958-09-01,29.5
1958-10-01,29.5
1958-11-01,29.6
1958-12-01,29.6
1959-01-01,29.6
1959-02-01,29.6
1959-03-01,29.6
1959-04-01,29.6
1959-05-01,29.6
1959-06-01,29.7
1959-07-01,29.8
1959-08-01,29.8
1959-09-01,29.9
1959-10-01,29.9
1959-11-01,29.9
1959-12-01,30
1960-01-01,29.9
1960-02-01,30
1960-03-01,30
1960-04-01,30.1
1960-05-01,30.1
1960-06-01,30.1
1960-07-01,30.1
1960-08-01,30.2
1960-09-01,30.2
1960-10-01,30.3
1960-11-01,30.3
1960-12-01,30.4
1961-01-01,30.4
1961-02-01,30.4
1961-03-01,30.4
1961-04-01,30.4
1961-05-01,30.4
1961-06-01,30.4
1961-07-01,30.5
1961-08-01,30.5
1961-09-01,30.5
1961-10-01,30.5
1961-11-01,30.5
1961-12-01,30.5
1962-01-01,30.5
1962-02-01,30.7
1962-03-01,30.7
1962-04-01,30.7
1962-05-01,30.8
1962-06-01,30.7
1962-07-01,30.7
1962-08-01,30.8
1962-09-01,30.9
1962-10-01,30.9
1962-11-01,30.9
1962-12-01,30.9
1963-01-01,31
1963-02-01,31
1963-03-01,31
1963-04-01,31
1963-05-01,31
1963-06-01,31.1
1963-07-01,31.2
1963-08-01,31.2
1963-09-01,31.2
1963-10-01,31.2
1963-11-01,31.3
1963-12-01,31.4
1964-01-01,31.4
1964-02-01,31.4
1964-03-01,31.4
1964-04-01,31.4
1964-05-01,31.4
1964-06-01,31.5
1964-07-01,31.5
1964-08-01,31.5
1964-09-01,31.6
1964-10-01,31.6
1964-11-01,31.6
1964-12-01,31.7
1965-01-01,31.8
1965-02-01,31.8
1965-03-01,31.8
1965-04-01,31.9
1965-05-01,31.9
1965-06-01,32.1
1965-07-01,32
1965-08-01,32
1965-09-01,32.1
1965-10-01,32.2
1965-11-01,32.2
1965-12-01,32.3
1966-01-01,32.4
1966-02-01,32.5
1966-03-01,32.6
1966-04-01,32.8
1966-05-01,32.8
1966-06-01,32.9
1966-07-01,33
1966-08-01,33.1
1966-09-01,33.2
1966-10-01,33.3
1966-11-01,33.3
1966-12-01,33.4
1967-01-01,33.3
1967-02-01,33.4
1967-03-01,33.4
1967-04-01,33.4
1967-05-01,33.5
1967-06-01,33.6
1967-07-01,33.7
1967-08-01,33.9
1967-09-01,34
1967-10-01,34.1
1967-11-01,34.2
1967-12-01,34.3
1968-01-01,34.4
1968-02-01,34.5
1968-03-01,34.6
1968-04-01,34.7
1968-05-01,34.8
1968-06-01,35
1968-07-01,35.2
1968-08-01,35.3
1968-09-01,35.4
1968-10-01,35.6
1968-11-01,35.8
1968-12-01,35.9
1969-01-01,36
1969-02-01,36.1
1969-03-01,36.4
1969-04-01,36.6
1969-05-01,36.7
1969-06-01,36.9
1969-07-01,37
1969-08-01,37.2
1969-09-01,37.4
1969-10-01,37.6
1969-11-01,37.8
1969-12-01,38
1970-01-01,38.2
1970-02-01,38.4
1970-03-01,38.6
1970-04-01,38.8
1970-05-01,38.9
1970-06-01,39.1
1970-07-01,39.2
1970-08-01,39.3
1970-09-01,39.5
1970-10-01,39.7
1970-11-01,39.9
1970-12-01,40.1
1971-01-01,40.1
1971-02-01,40.2
1971-03-01,40.3
1971-04-01,40.4
1971-05-01,40.6
1971-06-01,40.8
1971-07-01,40.9
1971-08-01,41
1971-09-01,41
1971-10-01,41.1
1971-11-01,41.2
1971-12-01,41.4
1972-01-01,41.5
1972-02-01,41.7
1972-03-01,41.7
1972-04-01,41.8
1972-05-01,41.9
1972-06-01,42
1972-07-01,42.1
1972-08-01,42.2
1972-09-01,42.4
1972-10-01,42.5
1972-11-01,42.7
1972-12-01,42.8
1973-01-01,43
1973-02-01,43.3
1973-03-01,43.7
1973-04-01,44
1973-05-01,44.3
1973-06-01,44.5
1973-07-01,44.6
1973-08-01,45.4
1973-09-01,45.6
1973-10-01,45.9
1973-11-01,46.4
1973-12-01,46.7
1974-01-01,47.2
1974-02-01,47.8
1974-03-01,48.3
1974-04-01,48.5
1974-05-01,49.1
1974-06-01,49.4
1974-07-01,49.8
1974-08-01,50.4
1974-09-01,51
1974-10-01,51.5
1974-11-01,52
1974-12-01,52.4
1975-01-01,52.8
1975-02-01,53
1975-03-01,53.2
1975-04-01,53.4
1975-05-01,53.5
1975-06-01,53.9
1975-07-01,54.4
1975-08-01,54.6
1975-09-01,55
1975-10-01,55.3
1975-11-01,55.7
1975-12-01,56
1976-01-01,56.2
1976-02-01,56.3
1976-03-01,56.3
1976-04-01,56.4
1976-05-01,56.7
1976-06-01,56.9
1976-07-01,57.2
1976-08-01,57.5
1976-09-01,57.8
1976-10-01,58.1
1976-11-01,58.3
1976-12-01,58.6
1977-01-01,58.9
1977-02-01,59.5
1977-03-01,59.8
1977-04-01,60.2
1977-05-01,60.4
1977-06-01,60.7
1977-07-01,61
1977-08-01,61.2
1977-09-01,61.5
1977-10-01,61.7
1977-11-01,62.2
1977-12-01,62.4
1978-01-01,62.8
1978-02-01,63.1
1978-03-01,63.6
1978-04-01,64.1
1978-05-01,64.6
1978-06-01,65.2
1978-07-01,65.7
1978-08-01,66.1
1978-09-01,66.6
1978-10-01,67.2
1978-11-01,67.7
1978-12-01,68.1
1979-01-01,68.6
1979-02-01,69.4
1979-03-01,70.1
1979-04-01,70.8
1979-05-01,71.7
1979-06-01,72.4
1979-07-01,73.2
1979-08-01,74
1979-09-01,74.8
1979-10-01,75.5
1979-11-01,76.3
1979-12-01,77.2
1980-01-01,78.4
1980-02-01,79.3
1980-03-01,80.5
1980-04-01,81.3
1980-05-01,82.1
1980-06-01,82.9
1980-07-01,83
1980-08-01,83.5
1980-09-01,84.3
1980-10-01,85.1
1980-11-01,86
1980-12-01,86.8
1981-01-01,87.6
1981-02-01,88.5
1981-03-01,89.1
1981-04-01,89.5
1981-05-01,90.1
1981-06-01,90.9
1981-07-01,91.9
1981-08-01,92.6
1981-09-01,93.5
1981-10-01,93.8
1981-11-01,94.2
1981-12-01,94.4
1982-01-01,94.7
1982-02-01,95
1982-03-01,94.9
1982-04-01,95.2
1982-05-01,96.1
1982-06-01,97.2
1982-07-01,97.7
1982-08-01,97.9
1982-09-01,97.8
1982-10-01,98.2
1982-11-01,98.1
1982-12-01,97.6
1983-01-01,97.9
1983-02-01,97.9
1983-03-01,98
1983-04-01,98.7
1983-05-01,99.1
1983-06-01,99.4
1983-07-01,99.8
1983-08-01,100.1
1983-09-01,100.4
1983-10-01,100.7
1983-11-01,101
1983-12-01,101.2
1984-01-01,101.8
1984-02-01,102.3
1984-03-01,102.6
1984-04-01,103
1984-05-01,103.2
1984-06-01,103.4
1984-07-01,103.7
1984-08-01,104.1
1984-09-01,104.4
1984-10-01,104.7
1984-11-01,104.9
1984-12-01,105.1
1985-01-01,105.5
1985-02-01,106.1
1985-03-01,106.5
1985-04-01,106.8
1985-05-01,107
1985-06-01,107.3
1985-07-01,107.5
1985-08-01,107.6
1985-09-01,107.8
1985-10-01,108.2
1985-11-01,108.8
1985-12-01,109.2
1986-01-01,109.2
1986-02-01,108.9
1986-03-01,108.3
1986-04-01,107.8
1986-05-01,108
1986-06-01,108.5
1986-07-01,108.5
1986-08-01,108.6
1986-09-01,109
1986-10-01,109.1
1986-11-01,109.3
1986-12-01,109.6
1987-01-01,110.4
1987-02-01,110.9
1987-03-01,111.2
1987-04-01,111.7
1987-05-01,112
1987-06-01,112.5
1987-07-01,112.7
1987-08-01,113.3
1987-09-01,113.6
1987-10-01,114
1987-11-01,114.3
1987-12-01,114.5
1988-01-01,114.8
1988-02-01,115
1988-03-01,115.3
1988-04-01,116
1988-05-01,116.3
1988-06-01,116.7
1988-07-01,117.3
1988-08-01,117.7
1988-09-01,118.3
1988-10-01,118.6
1988-11-01,119
1988-12-01,119.3
1989-01-01,119.8
1989-02-01,120.2
1989-03-01,120.8
1989-04-01,121.7
1989-05-01,122.3
1989-06-01,122.6
1989-07-01,123
1989-08-01,123
1989-09-01,123.2
1989-10-01,123.8
1989-11-01,124.2
1989-12-01,124.6
1990-01-01,125.8
1990-02-01,126.3
1990-03-01,126.8
1990-04-01,127.1
1990-05-01,127.3
1990-06-01,128
1990-07-01,128.6
1990-08-01,129.6
1990-09-01,130.5
1990-10-01,131.4
1990-11-01,131.7
1990-12-01,132.1
1991-01-01,132.6
1991-02-01,132.6
1991-03-01,132.6
1991-04-01,132.9
1991-05-01,133.3
1991-06-01,133.6
1991-07-01,133.8
1991-08-01,134.1
1991-09-01,134.5
1991-10-01,134.7
1991-11-01,135.3
1991-12-01,135.7
1992-01-01,135.7
1992-02-01,135.9
1992-03-01,136.3
1992-04-01,136.6
1992-05-01,136.9
1992-06-01,137.3
1992-07-01,137.6
1992-08-01,138
1992-09-01,138.2
1992-10-01,138.7
1992-11-01,139.1
1992-12-01,139.3
1993-01-01,139.7
1993-02-01,140
1993-03-01,140.2
1993-04-01,140.7
1993-05-01,141
1993-06-01,141.1
1993-07-01,141.2
1993-08-01,141.6
1993-09-01,141.7
1993-10-01,142.3
1993-11-01,142.6
1993-12-01,142.9
1994-01-01,142.9
1994-02-01,143.3
1994-03-01,143.6
1994-04-01,143.7
1994-05-01,144
1994-06-01,144.4
1994-07-01,144.9
1994-08-01,145.5
1994-09-01,145.7
1994-10-01,145.8
1994-11-01,146.1
1994-12-01,146.4
1995-01-01,146.8
1995-02-01,147.1
1995-03-01,147.4
1995-04-01,148
1995-05-01,148.3
1995-06-01,148.6
1995-07-01,148.7
1995-08-01,149
1995-09-01,149.2
1995-10-01,149.6
1995-11-01,149.7
1995-12-01,150
1996-01-01,150.7
1996-02-01,151.1
1996-03-01,151.6
1996-04-01,152.1
1996-05-01,152.4
1996-06-01,152.6
1996-07-01,153
1996-08-01,153.2
1996-09-01,153.7
1996-10-01,154.1
1996-11-01,154.6
1996-12-01,155
1997-01-01,155.3
1997-02-01,155.6
1997-03-01,155.7
1997-04-01,155.8
1997-05-01,155.8
1997-06-01,156.1
1997-07-01,156.2
1997-08-01,156.6
1997-09-01,157
1997-10-01,157.3
1997-11-01,157.5
1997-12-01,157.5
1998-01-01,157.7
1998-02-01,157.7
1998-03-01,157.7
1998-04-01,157.8
1998-05-01,158.3
1998-06-01,158.5
1998-07-01,158.8
1998-08-01,159
1998-09-01,159
1998-10-01,159.4
1998-11-01,159.6
1998-12-01,159.9
1999-01-01,160.2
1999-02-01,160.1
1999-03-01,160.3
1999-04-01,161.3
1999-05-01,161.4
1999-06-01,161.4
1999-07-01,162
1999-08-01,162.5
1999-09-01,163.2
1999-10-01,163.5
1999-11-01,163.7
1999-12-01,164.1
2000-01-01,164.6
2000-02-01,165.2
2000-03-01,166.3
2000-04-01,166.1
2000-05-01,166.4
2000-06-01,167.4
2000-07-01,167.9
2000-08-01,167.8
2000-09-01,168.7
2000-10-01,168.9
2000-11-01,169.3
2000-12-01,169.6
2001-01-01,170.6
2001-02-01,171
2001-03-01,171
2001-04-01,171.4
2001-05-01,172.2
2001-06-01,172.6
2001-07-01,172.2
2001-08-01,172.2
2001-09-01,172.9
2001-10-01,172.3
2001-11-01,172.2
2001-12-01,172
2002-01-01,172.3
2002-02-01,172.5
2002-03-01,173.1
2002-04-01,173.8
2002-05-01,174
2002-06-01,174.1
2002-07-01,174.4
2002-08-01,174.9
2002-09-01,175.1
2002-10-01,175.5
2002-11-01,175.8
2002-12-01,176
2003-01-01,176.8
2003-02-01,177.8
2003-03-01,178.1
2003-04-01,177.4
2003-05-01,177
2003-06-01,177.2
2003-07-01,177.7
2003-08-01,178.5
2003-09-01,179.1
2003-10-01,178.9
2003-11-01,179
2003-12-01,179.4
2004-01-01,180.2
2004-02-01,180.6
2004-03-01,181
2004-04-01,181.2
2004-05-01,182
