"Date","CUSR0000SAS2RS"
1990-01-01,141.7
1990-02-01,142
1990-03-01,143.1
1990-04-01,143.7
1990-05-01,144.1
1990-06-01,145.2
1990-07-01,146.2
1990-08-01,147.6
1990-09-01,147.8
1990-10-01,148.1
1990-11-01,148.4
1990-12-01,148.9
1991-01-01,149.9
1991-02-01,150.3
1991-03-01,150.7
1991-04-01,151.1
1991-05-01,151.4
1991-06-01,151.8
1991-07-01,152.2
1991-08-01,152.6
1991-09-01,153.1
1991-10-01,153.6
1991-11-01,154.2
1991-12-01,154.8
1992-01-01,155.2
1992-02-01,155.6
1992-03-01,156.1
1992-04-01,156.3
1992-05-01,156.6
1992-06-01,157.3
1992-07-01,157.5
1992-08-01,157.9
1992-09-01,157.9
1992-10-01,158.7
1992-11-01,159.1
1992-12-01,159.4
1993-01-01,159.9
1993-02-01,160.3
1993-03-01,160.5
1993-04-01,161.2
1993-05-01,161.6
1993-06-01,162.1
1993-07-01,162.2
1993-08-01,162.5
1993-09-01,162.9
1993-10-01,163.2
1993-11-01,163.6
1993-12-01,164.3
1994-01-01,164.6
1994-02-01,165.3
1994-03-01,165.7
1994-04-01,166
1994-05-01,166.3
1994-06-01,166.6
1994-07-01,166.9
1994-08-01,167.7
1994-09-01,168.2
1994-10-01,168.7
1994-11-01,169.1
1994-12-01,169.2
1995-01-01,169.6
1995-02-01,170.1
1995-03-01,170.6
1995-04-01,171.2
1995-05-01,171.8
1995-06-01,172.2
1995-07-01,172.8
1995-08-01,173.1
1995-09-01,173.6
1995-10-01,174.2
1995-11-01,174.6
1995-12-01,175.1
1996-01-01,175.7
1996-02-01,176
1996-03-01,176.4
1996-04-01,176.8
1996-05-01,177.2
1996-06-01,177.6
1996-07-01,178.5
1996-08-01,178.7
1996-09-01,179
1996-10-01,179.4
1996-11-01,179.9
1996-12-01,180.3
1997-01-01,180.9
1997-02-01,181.4
1997-03-01,181.8
1997-04-01,182.2
1997-05-01,182.6
1997-06-01,183.1
1997-07-01,183.6
1997-08-01,184.1
1997-09-01,184.4
1997-10-01,185
1997-11-01,185.5
1997-12-01,186.3
1998-01-01,186.7
1998-02-01,187.3
1998-03-01,187.6
1998-04-01,188.2
1998-05-01,188.8
1998-06-01,189.2
1998-07-01,189.6
1998-08-01,190.2
1998-09-01,191
1998-10-01,191.6
1998-11-01,192.1
1998-12-01,192.6
1999-01-01,192.6
1999-02-01,192.9
1999-03-01,193.3
1999-04-01,194
1999-05-01,194.3
1999-06-01,194.8
1999-07-01,195.2
1999-08-01,195.5
1999-09-01,196.2
1999-10-01,196.4
1999-11-01,196.9
1999-12-01,197.4
2000-01-01,198.4
2000-02-01,198.8
2000-03-01,199.5
2000-04-01,199.9
2000-05-01,200.4
2000-06-01,201
2000-07-01,201.6
2000-08-01,202.1
2000-09-01,202.7
2000-10-01,203.3
2000-11-01,203.9
2000-12-01,204.3
2001-01-01,205
2001-02-01,205.6
2001-03-01,206.6
2001-04-01,207
2001-05-01,207.8
2001-06-01,208.7
2001-07-01,209.2
2001-08-01,210.1
2001-09-01,210.4
2001-10-01,210.9
2001-11-01,212.1
2001-12-01,213
2002-01-01,213.5
2002-02-01,214.6
2002-03-01,214.9
2002-04-01,215.6
2002-05-01,216
2002-06-01,216.5
2002-07-01,216.8
2002-08-01,217.6
2002-09-01,218.1
2002-10-01,218.5
2002-11-01,219.1
2002-12-01,219.6
2003-01-01,220.2
2003-02-01,220.2
2003-03-01,220.2
2003-04-01,220.2
2003-05-01,221.4
2003-06-01,221.3
2003-07-01,221.9
2003-08-01,222.4
2003-09-01,222.8
2003-10-01,223.5
2003-11-01,223.9
2003-12-01,224.4
2004-01-01,224.9
2004-02-01,224.8
2004-03-01,226.1
2004-04-01,226.8
2004-05-01,227.5
2004-06-01,227.9
2004-07-01,228.4
2004-08-01,228.7
2004-09-01,229.5
2004-10-01,229.9
2004-11-01,230
2004-12-01,230.4
2005-01-01,230.9
2005-02-01,231.7
2005-03-01,233
2005-04-01,233
2005-05-01,232.9
2005-06-01,233.4
2005-07-01,234
2005-08-01,234.3
2005-09-01,234
2005-10-01,235.2
2005-11-01,235.9
2005-12-01,236.6
2006-01-01,237.1
2006-02-01,237.9
2006-03-01,238.9
2006-04-01,239.7
2006-05-01,240.7
2006-06-01,241.5
2006-07-01,242.4
2006-08-01,243.4
2006-09-01,244
2006-10-01,244.9
2006-11-01,245.7
2006-12-01,246.5
2007-01-01,247.098
2007-02-01,248.089
2007-03-01,248.452
2007-04-01,249.291
2007-05-01,249.905
2007-06-01,250.677
2007-07-01,251.393
2007-08-01,251.832
2007-09-01,252.428
2007-10-01,252.926
2007-11-01,253.458
2007-12-01,254.077
2008-01-01,254.838
2008-02-01,255.251
2008-03-01,256.03
2008-04-01,256.026
2008-05-01,256.422
2008-06-01,257.023
2008-07-01,257.758
2008-08-01,257.901
2008-09-01,258.309
2008-10-01,258.535
2008-11-01,258.804
2008-12-01,258.767
2009-01-01,259.301
2009-02-01,259.52
2009-03-01,259.901
2009-04-01,260.189
2009-05-01,260.328
2009-06-01,260.384
2009-07-01,260.33
2009-08-01,260.314
2009-09-01,260.065
2009-10-01,260.171
2009-11-01,259.374
2009-12-01,259.08
2010-01-01,258.766
2010-02-01,258.555
2010-03-01,258.327
2010-04-01,258.318
2010-05-01,258.482
2010-06-01,258.538
2010-07-01,258.605
2010-08-01,258.593
2010-09-01,258.927
2010-10-01,259.157
2010-11-01,259.631
2010-12-01,259.933
2011-01-01,260.233
2011-02-01,260.485
2011-03-01,260.714
2011-04-01,260.913
2011-05-01,261.249
2011-06-01,261.721
2011-07-01,262.275
2011-08-01,262.806
2011-09-01,263.254
2011-10-01,263.748
2011-11-01,264.277
2011-12-01,264.827
2012-01-01,265.273
2012-02-01,265.714
2012-03-01,266.208
2012-04-01,266.757
2012-05-01,267.181
2012-06-01,267.535
2012-07-01,267.792
2012-08-01,268.356
2012-09-01,269.041
2012-10-01,269.662
2012-11-01,270.115
2012-12-01,270.565
2013-01-01,271.027
2013-02-01,271.592
2013-03-01,272.07
2013-04-01,272.591
2013-05-01,273.23
2013-06-01,273.762
2013-07-01,274.239
2013-08-01,274.88
2013-09-01,275.375
2013-10-01,275.745
2013-11-01,276.622
2013-12-01,277.385
2014-01-01,278.028
2014-02-01,278.582
2014-03-01,279.463
2014-04-01,280.105
2014-05-01,280.898
2014-06-01,281.426
2014-07-01,282.194
2014-08-01,282.766
2014-09-01,283.405
2014-10-01,284.018
2014-11-01,284.786
2014-12-01,285.343
2015-01-01,286.126
2015-02-01,286.858
2015-03-01,287.736
2015-04-01,288.466
2015-05-01,288.988
2015-06-01,289.874
2015-07-01,290.992
2015-08-01,291.553
2015-09-01,292.435
2015-10-01,293.112
2015-11-01,293.884
2015-12-01,294.565
2016-01-01,295.491
2016-02-01,296.335
2016-03-01,297.025
2016-04-01,297.786
2016-05-01,298.818
2016-06-01,299.913
2016-07-01,300.625
2016-08-01,301.505
2016-09-01,302.542
2016-10-01,303.551
2016-11-01,304.464
2016-12-01,305.333
2017-01-01,306.105
2017-02-01,306.937
2017-03-01,307.421
2017-04-01,308.148
2017-05-01,308.891
2017-06-01,309.723
2017-07-01,310.138
2017-08-01,311.481
2017-09-01,312.378
2017-10-01,313.477
2017-11-01,314.181
2017-12-01,315.168
2018-01-01,315.979
2018-02-01,316.645
2018-03-01,317.73
2018-04-01,318.682
2018-05-01,319.821
2018-06-01,320.228
2018-07-01,321.06
2018-08-01,322.06
2018-09-01,322.671
2018-10-01,323.501
2018-11-01,324.439
2018-12-01,325.298
2019-01-01,326.276
2019-02-01,327.413
2019-03-01,328.512
2019-04-01,329.734
2019-05-01,330.592
2019-06-01,331.508
2019-07-01,332.332
2019-08-01,332.971
2019-09-01,334.11
2019-10-01,334.475
2019-11-01,335.341
2019-12-01,335.977
2020-01-01,337.274
2020-02-01,338.39
2020-03-01,338.525
2020-04-01,338.439
2020-05-01,339.117
2020-06-01,339.423
2020-07-01,340.178
2020-08-01,340.709
2020-09-01,341.015
2020-10-01,341.379
2020-11-01,341.856
2020-12-01,342.231
2021-01-01,342.804
2021-02-01,343.444
2021-03-01,344.343
2021-04-01,345.679
2021-05-01,346.688
2021-06-01,348.25
2021-07-01,349.903
2021-08-01,350.509
2021-09-01,351.889
2021-10-01,353.406
2021-11-01,355.14
2021-12-01,356.546
2022-01-01,358.016
2022-02-01,359.932
2022-03-01,361.786
2022-04-01,363.691
2022-05-01,365.831
2022-06-01,367.973
2022-07-01,370.05
2022-08-01,372.631
2022-09-01,375.373
2022-10-01,378.1
2022-11-01,380.667
2022-12-01,383.587
2023-01-01,386.502
2023-02-01,389.383
2023-03-01,391.685
2023-04-01,393.461
2023-05-01,395.522
2023-06-01,397.061
2023-07-01,398.785
2023-08-01,399.95
2023-09-01,402.406
2023-10-01,403.679
2023-11-01,405.57
